search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Modelo alfanumérico
11, Casco Cerrado Nueva Colección Shaft Rider One ,"1,799",NA,383,86,18 meses,99.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,28,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-cerrado-nueva-coleccion-shaft-rider-one-_JM?searchVariation=39433695939,26,0,0,1,0,#577998441,NA,"M,L,XL",Shaft,SH,Aztec,Integral,Simple,Poliestireno,Policarbonato,Adultos,Unisex,1500 g,NA
12, Casco Roda Revenge Certificado Dot Incluye Mica Humo ,"1,349",NA,431,4,18 meses,74.94,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,136,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-620741508-casco-roda-revenge-certificado-dot-incluye-mica-humo-_JM?searchVariation=22706785484,106,21,5,1,3,#620741508,NA,"M,L,XL",RODA,Abatible,Revenge,Abatible,Doble,Resina termoplástica,Policarbonato,Adultos,Unisex,NA,NA
13," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ",550,NA,727,12,18 meses,30.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,97,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,65,18,11,0,2,#610879940,"Negro,Azul,Negro,Negro mate,Plata,Rojo,Tribal,motogp","M,L,XL",Promoto,CERRADO,A107,Integral,Simple,Poliestireno,ABS,Adultos,Unisex,NA,basic
14, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,1474,2820,18 meses,52.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,104,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=AHmWDm4hLP9cTmsGJr7AqP8%2FNVX3hdb4N5vspu%2FnFKZCmzl9yFTSqBOmwTcE0Xt7koyN9k886hVlyZZI4uKyt0TPa4gOD3qsZL%2Ffpy7m8XXkINhYd70vCsq3%2F5Ev7H9ejseIrVEWNl2BR%2BS7WapdHfP5XFeYVitFPtSLlRKszyn8pkXa5%2B4sFWu7xRnaTni%2BozY%2FrULmmojVppHF5EFcJiKZqh96e3hVNbzLo4DI5r8i%2BZWp48lezdL0n%2F5qF24xqRpbc0ak9y1IX4FUxQyJLSlr4GJ5FNa%2BgRkCNwh8c69R3T5KgAGZ8DdFPqqns8z2RWJ9rspZODiSreh42%2B24Z%2BPzL7EaFhQYvq%2BxBFADvNxB%2FteYmcm%2FT%2FxgRzimWgd905IdD7NHuqdQvBUfu1gXaV8CDl1CEtD96eW2TZEsywrYLBHDY1ON%2FMbGyn1wcnM4MAZFet%2BE1OWE%2FdmkEWJux0sMUuNXPGCSTl6Os7vXFi4QvNCl1%2FL2SuMGYI8RDH3DgiV%2BKaJGGv08NMUgrXIDU7ECCQrqZGdkxkcQka3XAfsVo0OGhnZ6y9I4HcXi6FAGAMO%2FnG73gZaafXNx2TkhqRNIEIPK7%2FEIAHfoEqjuAsywLDJKfXWstdyuJvCK%2FskAas5Ki45%2FA02xzpKE33rKhbY1SZ%2FmLnw8TEbNmFLJLRtfrZfGyhVVzYR%2FtClr6c8IB%2F1PCsHRFrLqGDosCw1a0TkJpj55qMY%2F4Dbbl%2BvLRXumnUJ%2BPRbPfz7IMxj%2BEMHwhaoUGYLWUazA%2Fvu0ObGsDeTE1%2BQ%2F9c7gjrQPi58bFmX6zbI9n4j5kdmK2cL5EFQmTIL%2BnEJCLrfTR1b%2FJz2PPcht%2BEO6xb%2B%2B%2BnBW6vrBjez9XPBjH0kqnRaI2D361tZ74ijunknmieTKFMFEnFhSDDVeemPCXMG2JKZ5rNNxS3KzIUPql6yQ7eSghp%2FOLFLeCtDFPl7p60clfF77vT%2FXch9Syi1QqbIoNyMgnr5btowX8BmKNTfCcQSrodZJ%2Flv9dA1uXDYLfsVGlcJIpdhkODRPFyMcGGgSr9VrtF6bkPnXogcl0VGaKwhKJatwdYmirGVKnRco8wFBxifosDes2Ed8A8MHC6Ojf2kWrHRCcyjD0ai7WO1kGPuaPg0NAvtO%2B8RylwsJqUernTUXulq7R4LpFDbU%2Fubnue0vF27IpqxHALtQmw8zwRcPaCrZ2C%2Bd1eoG%2FZvv3ILWJNgK2hEJP69SvUffeFdV9cEGPMXldSQP9iOOL6YsCorcEX2%2Fr%2FtSVpibqCcOsUKjildbhkH%2Fdd8iB7PklEQyStyWnM%2FVX25GdIcEiNfuw5eZ%2FuBctpXasN3cLP1oRKrsdB5F5tS77QRFe44%2FZF1DOIbX5mdwXrv6qTx3Jc5aNHLnU6NNf6NZVzWku473E7xFkXiNlzu5Wk%2Fg4A0bGB%2FfpcY0auBOb7Dz12m3cEIdFuVEfwlVUE6L2ZnGxf8dxR3L9IqH794sa3PBGRgjxXtQKBA9SfqEOdwNIlV05pDjPdsB6LYaaXoTZhCj0KksCfyJMAAexqZVBVPqQC1be1FAcmNzqw%2B6ITmlNUpjK0gzH6fwhyh0quUBvS35ubFXadj8%2B8OxAeSJyzqqfp7dfTq%2B3AWRosOs%2BXv6vrPhH2qARMMcBVoygNuwZTw0vv0EaBS1FKqCIt865jBEk%2B%2FVhQ0pLHlB%2FCj0jZMTIHaTWWt1WXU7YD18hekADjAPx%2BR%2Ba0qJhCiSBEmwQGviiB4O11QtbI9BgEe3XmorsUpiT4I%2FDOqmattWwznFQgPPfBBIg8I%3D,72,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,Unisex,NA,NA
15, Casco Integral Roda Asteroid Pro Con Certificacion Dot ,849,NA,89,3,12 meses,83.87,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,10,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660783834-casco-integral-roda-asteroid-pro-con-certificacion-dot-_JM?searchVariation=31940579166,8,1,0,0,0,#660783834,Negro,L,RODA,CERRADO,Asteroid PRO,Integral,NA,NA,ABS,Adultos,Unisex,NA,NA
16, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,949,NA,1791,116,12 meses,93.75,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,79,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-582660373-casco-tipo-cross-negro-mate-certificacion-dot-tallas-_JM?searchVariation=23194309270,66,12,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,CAS-CRO-15,NEGRO MATE,Cross,Simple,Poliestireno,ABS,Adultos,NA,NA,NA
17, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,349,NA,310,5,18 meses,19.39,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,6,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=31056556403,4,1,1,0,0,#657032837,NA,Unitalla,OEM,LUCES,Recto,Integral,NA,NA,NA,Adultos,Unisex,NA,NA
18, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,141,3,18 meses,88.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,2,0,0,0,0,#650438989,NA,"L,XL",Faseed,Mask,Graficos,Rebatible,Simple,Resina termoplástica,ABS,Adultos,Unisex,NA,NA
19," Casco Depredador, Envío Gratis!!! ",899,NA,691,361,18 meses,49.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,53,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-568733170-casco-depredador-envio-gratis-_JM?searchVariation=23088464886,27,14,6,2,4,#568733170,Negro,"negro,MEDIANO,CHICO,EXTRA GRANDE,GRANDE",JK,DEPREDADOR,Negro,Integral,Simple,Esponja,Fibra de vidrio,Adultos,Masculino,NA,EDN
20, Casco Abatible Bkr Deidad Quetzal Svs Con Certificacion Dot ,"1,299",NA,74,23,18 meses,72.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=GejGyMUsiqag53EieWMHlX2nLiPhYDzrt2QEv0vE0UOQvb15mgRXMUqGLJ8BbbuQjp6yoswl5VYo0wTrPwUousPbERVpK4TQM4OXdsuqR5yW71MrePY7guYvzwGSquxNOY6quN8pAiboJgZcUSdDoI7dYW0S%2BztTYzcMz21AzWnuvAn%2FvAavAX0TLbsIrHrhs%2FiWGfUxDdlCZEcq2tCVNXXOrRcVUNdHvWVf9nC6TMIJhqj%2BFrnGROifxjWGqLQuxXZ5yjMUtyj3%2FYGbbt6yeeuN5Ha21QR27VxDDt4aLKbpOncgRTJmRta6iH11z5N4LiPV6Xgyr%2B4%2F1w1M1JI0CgxPsRSXwyD5yDBua3ZtNCApGUOL%2BDFnmIFYKxCPOHEArW3hpM9LP%2BCHj35SzL1f0yCAhrvapteqjmseyKf7fb0RJm21VJ5zf8hPd6FRd5gkZeeX60u%2BlbF125m%2BVQ8VA6Mx4ZEz%2BCCE4%2FkZf9cx85aPVHtd%2BSYBcvakhbkTgdMPFvmRgI4d5hYCrnVekavx3Q9ogqtCP3ZsRFebgVEgIzOtFa4Xvg09o7aZVgLxFrFzUDKTMz%2FlJimhUn3HqXYraXdywKx3ilrRk0Ed8trETOse7f%2Fx6ZFGqFWY5XaNeTRTkFdxBOhwSzQfL97UXJzO2LaAYMcUjgymfovHly%2FeqN7zqnrvMq%2BVvmzly3339V9XiU6UlQ1VtgTylYG2JRy38Q%2FSmSKRO4KAIlmN%2BUdjrFeLa30WmPiKnfBIE748i%2Brbh%2FcjN1sJZHdULXRjZBHjZLy32VXLE2nHxXKjnZOdOFRGEs41D6y4MloxW11KvHkTe9nfZlcFecc0J%2FrEEfvl1AwUzHaTx9TP9iZU8gBK1IGVF8a66XJg8ZL0ywpQ8EVrd2AiYmTPOvOKvNXOZfjUew%2BILxQ4Uw94kh052eq3CXso1%2FwgErPQ2evvT%2B7B%2FDp2O%2ByrA8U6ag9e783LOk00VVE2ogqlRfBA5fvep11xV3sDmlnzF5hcs94hGt5xhnb44GlPxxP%2FdX2eu78jVwHxNDoQB6gE4ZZcSac8f13lF2NCYWMggosTJGM3VxrDi3b7I0L7gK%2BQ6DeE9ItJZMXW9qnlrUlm8vvwKeft7NvroO1nEwwqOZU6vA2AMT3pFTON04GbReB5FY4vYe0eg9z2n4zF6S39lmj%2FKibc6djHhIoZ%2BsxOER3Fy8L38ZOlmHzHTWh1myXjxN5PYPHR8sQoWyJMaRhA3GHXSPoE%2FD48MQM6P8JIBibjvZF1tnJsZeWNnSHF2u8V9nCUXHo6ULYekA4fVDXOpur7v%2FtRaEJccUG%2FCxlSiw9eUzSSuECyBkSBYgCGbRkDRkw6qSk%2BDIm%2BMsEfunCjqx3W6%2BzER4EMmT7PzW9889umIO0HofcQs6kOseTGkcG4UddT76nKGiONjG4Kk016mAAWpNh%2BI12YSFzd%2BcITYbVow%2Bnir8Ic%2BF1nDpFeYOP8ySPDVuGxWW2yHNqk94fUydet%2FZC9g0BqmTjpN2ZtQgaTcO1xkdiOagYIWT2MVHPUj%2FXcxbuxh%2FBekSu78V3dzk09OqZTNADLuKfmYOHLdRerhBM7U3bxIvDnFkk%2FBQD5MhpfBdCmodZfuni8SG8ZVmwzOHZCRTXGm%2FZ5D8Mtt1Yysafea6kwv2C1cV9jpjWSK%2BykXS2r6TiVXp1C9sPgJ%2BNO%2B%2FVMtBywXMPbKNKybYpLh1j4kM38CHvEdMd80W%2FJwZBv%2BMk99Zs9KVNZPmku6auKemkUVEBmFM41L5GK4L6jBRfpFmBuGh85JC5SXo7NyNbB%2BU56dehwvYTe,1,0,0,0,0,#660786514,NA,"S,M,G,XG",BKR,MODULAR ABATIBLE,Deidad Quetzal,Rebatible,NA,NA,NA,NA,NA,NA,NA
21, Casco Roda Revenge Abatible Gafa Interna Certificado Dot ,"1,145",NA,687,25,18 meses,63.61,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,136,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-610191804-casco-roda-revenge-abatible-gafa-interna-certificado-dot-_JM?searchVariation=26168049808,106,21,5,1,3,#610191804,"Negro Matte,Blanco,Negro Matte,Negro brillo,Negro/Morado,Negro/Naranja,Negro/Plata,Negro/Rojo,Rojo brillo","L y XL,M,L,XL",RODA,Revenge,2019,Rebatible,Simple,Resina termoplástica,ABS Alto Impacto,Adultos,Unisex,NA,NA
22, Casco Ls2 Valiant Abatible Moto Visor Interno Negro 2019 ,"5,864",NA,108,12,18 meses,325.78,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,45,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636555558-casco-ls2-valiant-abatible-moto-visor-interno-negro-2019-_JM?searchVariation=35500798462,43,2,0,0,0,#636555558,Negro mate,"Negro mate,M,L,XL.,S,M,L,XL,XXL,XXXL",LS2,FF399,Valiant,Rebatible,Doble,EPS,Policarbonato,Adultos,Unisex,NA,FF399
23," Casco Tipo Cross Moto Negro Mate Dot Tallas S, M, L Y Xl ",699,NA,1171,345,12 meses,69.06,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,39,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-583170040-casco-tipo-cross-moto-negro-mate-dot-tallas-s-m-l-y-xl-_JM?searchVariation=32245623358,34,3,2,0,0,#583170040,NA,"S,M,L,XL",Alessia,NA,TIPO CROSS,Cross,NA,NA,NA,NA,NA,NA,NA
24," Casco Moto Vintage Negro Mate Roda, 3/4 Dot Gogles Gratis! ",949,999,90,49,18 meses,52.72,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,3,https://perfil.mercadolibre.com.mx/SELLATODO,https://articulo.mercadolibre.com.mx/MLM-664359717-casco-moto-vintage-negro-mate-roda-34-dot-gogles-gratis-_JM?searchVariation=32919947420,3,0,0,0,0,#664359717,NA,"XL - extra grande,L - grande,M- mediano",Roda,NA,Vintage,Abierto,NA,tela,NA,NA,Unisex,NA,NA
25, Casco Híbrido Crossover Moto Faseed Trooper Certificado Ece ,"1,430",NA,168,20,18 meses,79.44,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,14,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-686224257-casco-hibrido-crossover-moto-faseed-trooper-certificado-ece-_JM?searchVariation=40049216136,12,1,1,0,0,#686224257,NA,"L 59-60cm,M 57-58cm,XL 61-62cm",Faseed,NA,Fs-726X,Multi-Modular,Simple,Poliestireno,ABS,Adultos,Unisex,NA,NA
26, Casco Nolan N70-2 Gt Bellavista N-com Gris/rojo Matte 3 En 1 ,"6,199",NA,16,10,18 meses,344.39,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,0,1,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-681431137-casco-nolan-n70-2-gt-bellavista-n-com-grisrojo-matte-3-en-1-_JM?searchVariation=36646362245,0,0,0,0,0,#681431137,NA,"S,M,L,XL",Nolan,NA,N70-2,GT Bellavista,Simple,Poliestireno,Policarbonato,Adultos,Unisex,NA,NA
27, Casco Abatible Risky Samurai Negro Naranja Dot Y Ece2205 ,"1,499",NA,85,52,18 meses,83.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,6,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-660197893-casco-abatible-risky-samurai-negro-naranja-dot-y-ece2205-_JM?searchVariation=31791606682,6,0,0,0,0,#660197893,NA,"S,M,L",Risky,ABATIBLE / MODULAR,CAS-VA-32,Rebatible,Doble,Resina termoplástica,Plastico ABS,Adultos,Unisex,NA,NA
28, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,349",NA,183,3,18 meses,74.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,9,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,8,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM,TALLA S 55-56 CM",HRO,Abatible,3400 DV,Rebatible,Doble,Poliestireno,ABS,Adultos,Unisex,NA,NA
