search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Modelo alfanumérico
1, Casco Oneal Series 2 Slick Negro Motocross Enduro Mtb 2019 ,"2,550",NA,42,9,18 meses,141.67,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,10,https://perfil.mercadolibre.com.mx/OFICIAL+STORE?brandId=375,https://articulo.mercadolibre.com.mx/MLM-636228850-casco-oneal-series-2-slick-negro-motocross-enduro-mtb-2019-_JM?searchVariation=27681177843,9,0,0,0,0,#636228850,NA,"S,M,L,XL,XXL",O'Neal,2 Series,Slick,MOTOCROSS,Simple,EPS,Policarbonato,Adultos,Unisex,NA,NA
2, Casco Oneal 3 Series Motocross Enduro Mtb Helium Azul 2019 ,"2,950",NA,19,9,18 meses,163.89,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/OFICIAL+STORE?brandId=375,https://articulo.mercadolibre.com.mx/MLM-657927682-casco-oneal-3-series-motocross-enduro-mtb-helium-azul-2019-_JM?searchVariation=31257804272,1,0,0,0,0,#657927682,NA,"S,M,L,XL,XXL",O'Neal,3 Series,Helium,Cross,NA,EPS,Policarbonato,Adultos,Unisex,NA,NA
3, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,184,70,18 meses,72.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,7,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=33988574797,5,0,1,0,1,#669501641,NA,"M,L,XL,XXL",KOV,Stealth,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA
4, Casco Joe Rocket Rkt 14 Negro Iridio / 2 Micas ,"2,599",NA,95,1,18 meses,144.39,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ZAMUDIO8AA,https://articulo.mercadolibre.com.mx/MLM-661020862-casco-joe-rocket-rkt-14-negro-iridio-2-micas-_JM?searchVariation=31987498578,2,0,0,0,0,#661020862,NA,L,Joe Rocket,Rkt,Rkt-14,Integral,Doble,Resina termoplástica,ABS,Adultos,Unisex,NA,NA
5, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,134,15,18 meses,268.83,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483,19,0,0,0,0,#654427065,"S,M,L,XL,XXL",,Scorpion Exo,Covert,Covert,MODULAR,Simple,EPS,Policarbonato,Adultos,Unisex,NA,NA
6, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,1474,2820,18 meses,52.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,104,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,72,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,Unisex,NA,NA
7, Casco Para Motociclista Kov Match One Negro Aerodinámico Lente Interno Certificación Auténtica De Seguridad ,"1,249",NA,102,20,18 meses,69.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,6,https://perfil.mercadolibre.com.mx/MOTOMOPED,https://articulo.mercadolibre.com.mx/MLM-666557391-casco-para-motociclista-kov-match-one-negro-aerodinamico-lente-interno-certificacion-autentica-de-seguridad-_JM?searchVariation=33472737694,5,1,0,0,0,#666557391,NA,"S,M,XL,XXL",KOV,NA,Veneno Match,Completo,Doble,NA,NA,Adultos,Unisex,NA,NA
8, Casco Abatible Roda Revenge Con Certificacion Dot ,"1,145",NA,140,8,18 meses,63.61,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,136,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ANblI77V429%2BN2bhQxTwRbNiqAeZfjyXheER18QI85%2FjaM%2Fs517MGUY%2BGUG3ky8gw5K7MWyMNLzHSP%2BPqUkIljeVrp42%2FngiuuVh6TcANDIk8nkLc%2BI59PJOS6d6BiVkEqjNLrxrevtEYxABbDulRXli9dSWFmjOUASkir9XoL5PVz%2BhyN3Scl7T%2FxJQ7uf6OXsGAq1ecorwq7CYDuiHgUDAcfcEohQnsRpH%2B56seev9CrEaMxFaSfa4MUjlXt0zityqOCdzGMFZPEKar6UZ3RFouAkNBI27rb87RdVA28mkqkpX1dC%2BShOhQ9GqO2PfsXkUaIzs4BZdnkd7v13FCid2lvbcZIeF9XAAasRBwzyBcYa0KRGs61OYEcKdfGJIlrnHYYD%2BjmsJsyDx0pKX%2Fp9TGLMkrqUAB%2F0SFS501izokt0YoBfgI1%2B37q6t2AGTWQ%2FsuvBgxM%2FtOThlbsboa8q6oli%2BTVNJilR4YZrmffYMLr9eQXiGx1tpviyPVXddEdwvzvCi1dcSHHN%2FRszub1XXZ38WgpIF97JR1dbQ3BWlyA0EMgWo1rK1KzUqMFV09XsUwVNmOYFyRefCJS4A%2FM9ECfo5ysFntMMetVyu0HsRvyPgpEBwS6NiTjpA3p6o3%2Fg5F9GYFzkhWPA2GZyvnAZeXniHnxikC195q7t%2BsI8CH%2F3emEa%2FiUH1tfEKzW6Rr%2BA9L9ViF7qhrzJVyzsjQUI8PjDsHqZp1pLqAfC4ELAilAyqoUHD%2BB0yPGK4Bw6JIxO5pC%2B7C0tgcpIReqgXjS5BmOBgKTdtx6O0wUeXlSMDkM3Vx4Cx%2F7wnDSB3KZFJykxolpF9cHcPXTVP1KKRdP05bPiIYjvLdIC2oFcRWjy0r%2FU06b0qJN0BmSbxLv8HQSiq80ky5nr%2BnSApIzDtUo0GQ%2BS%2FDzZdqWgOYh5GRX2t2qjcRQNhl%2BmOM3jDG11KQOeRX9VTwUDoK1qS60pYnL8DZ8mKmkKV7uitBFw5K7UP8J1GDva6NjPfI7Z4D0zOUvlLC26RpOPOc51P3vKrh8AnsT5M6AaW6Er%2BdK5nWriR3dwHFPZvpcyOW4zETalSk1qFZRZiu06sRx3WXOJ1pyYcbUBtPsZxg8jT5yrf6anlHr%2BNat%2FRxS%2FPH4kR1rKzCXzBKrlVyeqOnlxu07CUxu3Vtzu%2FYo939Y2ADK2MsUJdNUV8llG925%2FrEKl50V%2FX6KMkGkLtoaTO7fxdQrAJXI1on3ivqukGD2Fn71BgUPtxFPl8rTKwT%2B%2FmfWCmfYOdRwist%2FWP281KJOGxhbigJ8FDeqLac4mntt0onF%2FEJDIizcituYK3iUMUWVIxYMuTumw6CvHp5nOLHDE70qh2ngq%2BdJVbDWowKYymcTM5MPbp%2BCQw1SuayJKSaPnrf%2FUvOalD%2FF5B75VbPevlM4Avd8QENGUUMzf17eJDMXGYSW5EG74VxxaWvtEi%2BBdK%2FT1o%2BkgLVjueiluUMWtGnI8hawTGM1oPVkMHjeOO4fkzYOUe0fpIROLMOLg0mtSUljU1RW3gD%2FSEsXFMOJYtSzhQwNf%2FWezpVkF4rgdrkYE6EZVPLL%2BxFrYvUXkvaku2cshJhmcEk6xWxy0hFgg0PfXsMBjnpDHUjc1lX0SqsugZjRDGrxFOg%2BdT%2FhpZOHLk%2BM7g9%2BpVH6EuiT7hP1YGbM38y8kWq4JO8%2FeLaKLZHGsKXPT%2BNfx1MqjQvsR5%2FPR6iVTSrS1hADbNxA7rLLmtVMGxyJnvoKpsSSgjDZvWo%2BdU7LWxlqcHkLKvlH1cTRYidTXrXXatJRZmMQ%3D%3D,106,21,5,1,3,#660781205,NA,"L,XL",RODA,MODULAR (ABATIBLE),Revenge,Rebatible,NA,NA,NA,NA,NA,NA,NA
9, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,550",NA,99,10,18 meses,86.11,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435578802,7,0,0,1,0,#687886875,NA,"L (59 - 60 cm),XL (61 - 62 cm),S (55 - 56 cm),M (57 - 58 cm)",Faseed,NA,FS-726X,Modular,Simple,NA,NA,Adultos,Unisex,NA,NA
10, Casco Abatible Deportivo Modular Cafe Racer Fassed Trooper ,"1,447",NA,183,20,18 meses,80.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,12,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-689955419-casco-abatible-deportivo-modular-cafe-racer-fassed-trooper-_JM?searchVariation=38914188679,9,1,1,1,0,#689955419,NA,"M,L,XL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
