search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Usos recomendados,Línea,Modelo alfanumérico,Peso
1174, Casco Moto Integral Ff 352 Rookie Mono Negro Brillante Ls2 ,4279,NA,5,6,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/LOQUIEROYA-TIENDA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UayUTsDCHrwgRt0Dl0deX12sGETiwSjISLGWzL0QJbo6FaZEiyCT7G8J2cr4SPUe%2FtiWktc08vESQuNE1%2FbYPrhVzeJBPsFJMnTpX74jU74u1RABA0f9BC95r1od8DlNu48D1JsTGeLCG1ywXeobnuieUpj0MvglB%2FM6d8tmEC%2BrdW7N%2FHvyJAnQAmjdC0b3VTuP0aPPlA%2F8V69TXxIVpEFg%2Ft3Yd0MyPU5HXRLnEHCDrTKcSzinYsPLE3i50kJMT818I5MN2wfj1QPQdWab8JbO4uaPS%2BJrScY3jAyKVQXRV2PZa5Z1%2BEUbew7rWcSVEnFkGMIPe6MRck3aC3xmkxRPOEeyM3zpQuUa8nfaQgOz48zwmyRSjTP8B27I7XAotjVvyIMSr6OWNG%2F%2Bckc3%2F%2Ffw8vyJ1gIeGUWf5acdtKOGi1krYli7sSg%2FNoVeK2DPdLsTSSdrW7Qehdz%2FhAlP8JN2bc5gQNy%2BufHNBJmot8X6wrpMAFPWhZeCaoBcMBFrvRdN6jlAhNsWLi%2Bj75CxhW%2BcakTi3%2BOflZ7k75EVWt6eeOzWEppODtZxJCpWKt3589mAvItl%2B9m2C9Suasf1losva75OkTXmEWa%2F7ZlsEhc0hJlbf2wqSbYXagSEzG%2FSKZYOr9U2dQ%2BZDkTGInUk1SbHb3jTajJSH2tsMDWgpLTDs%2FIZnYAy94u9TtBhVFlUb5E5uksMUUDaf2VLubhULA4aTHtTUeuO8nRqvFk0f4sIrEvKyF50l%2F7hlqpBRKU5yHeVxEqn9Qzh633bR6s2oNwqV65WKzlPrEmaCsQHhXGEmRkQn4vdm9sblsLUHDqosJDPOIu2Jic3W%2FE0aVDxb%2B%2B5eTaCvKHO5K8KltKkC0MeZADrHKR1JNZElwQahSRZMwQ8D5Tzpj4qxGpxsIvBIpsQZH2N6k3UZVpZtEA6xSorrqUfn4OKM9BPTyfH5mwbIo8Sr0JGUeR8%2BTaiWRYEAK2%2BO1KORx27bH3KYBq2AgWxNpMRk%2FLKqnb0eYcbCD%2FOj779OLcUiV7yNnWUaGGaaigpi8GbcjjbGklMp5xhFDeDJhk4WgUIgsIrYE0PQnUVaKVdYzNiONxpHdHbjn%2Fa2LwVWe7ibKINyQRYMqzh66qIv1fcZ5PQeTCbSF%2FkcnZsSNbhQyTNIXPUvRF3g8wBQGKpA0JoYwrW%2BePzZGrA0B6MXj0%2FNy%2FQJyM5wRMpK%2Fm2vGeB%2BxoMgbbzqhQL3S37z9OvcHKHMA2NzXPdEMzAJsCqENoVH6jh9h5uJAUOBrRSbWmkYSHhvBKeiuFm%2FAZtjA0F68ubYpIJC%2BozyfFNuS47hb3mHw%2FwvqFxRo3cI7mdm%2F2te8eH9D9BWROeuLLGfrakiFvPOxpMzToC6vduyJ1TK70sT%2B%2FDTNYsUQXzSNeKlLC1Q0bb37MGSidhKaH2Js9yHtqsct%2FF7B82AtoNhKYFsFxgYBYz4sUk6z8Gk85RTl1cl9TUpqgLvjGI0g%2Bc9nXKnUIw6xg%2FMMxsSK2Hv2UQVLWyfFicXrjzDFG9snmiGYX%2FJ9VgcvgYPdjwsbaqCza6XZ6fAfWoz0bT8UriRYxCRRGXqCOG1%2B1H8VoQizr%2FB0%2BCVi59uw5QnV1Y%2FBsXwellIGEhxdr15rwbAmBCghdtYywFL%2Bfb%2FfxTlCPBl17e3l4y%2Fj2VuOTzijkb39qrotLRRmUG4qhPRTlF%2BA8u0p6bEUamT5yECmBhiaPruwenlwHF0WxtzlIh992WSaqPO%2FgHuqYq9dujSBTpwedZ8Gx0X60LgH5n1SlAt9riVcIZtQ3ZvZ4V45TKBuqefkNJYFmKHbad5zUUUDC%2Fb7LB6kr5dhlzXLUSUGbvZt9K7nRefnPr3Uk9VruMh%2FHjiIz4qdWhK95FA8SkIdIwMrIk6EY9rBh%2BiUzNhgI6Fwuvi%2FkFTb0%3D,NA,NA,NA,NA,NA,#781346845,Negro,"M,XL",LS2,FF 352 Rookie,Integral,Simple,Poliestireno,Policarbonato,Adultos,Unisex,NA,352,NA,NA
1175, Casco Moto Hawk Rs5 Vector Rebatible Mate Suzuki Quilmes ,4400,NA,5,35,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,1049,https://perfil.mercadolibre.com.ar/SUZUKI+QUILMES,https://articulo.mercadolibre.com.ar/MLA-786661327-casco-moto-hawk-rs5-vector-rebatible-mate-suzuki-quilmes-_JM?searchVariation=37131950573,639,281,83,30,16,#786661327,Negro mate,"S,M,L,XL",Hawk,RS5,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA,NA
1176, Casco Cross Homologado Rs7 Negro Hawk Negro Mate ,3298,NA,20,189,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,226,https://perfil.mercadolibre.com.ar/SUZUKI+QUILMES,https://articulo.mercadolibre.com.ar/MLA-605629471-casco-cross-homologado-rs7-negro-hawk-negro-mate-_JM?searchVariation=41375180745,154,56,10,3,3,#605629471,Negro mate,"S,M,L,XL",Hawk,RS7,Cross,NA,NA,NA,NA,NA,NA,RS7,NA,50 g
1177, Casco Integral Bell Qualifier Tagger Moto Calle Pista Visor ,6500,NA,3,9,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/999+MOTOS,https://articulo.mercadolibre.com.ar/MLA-785180150-casco-integral-bell-qualifier-tagger-moto-calle-pista-visor-_JM?searchVariation=36584923282,NA,NA,NA,NA,NA,#785180150,TAGGER,"M,L",Bell,Qualifier,Integral,Simple,tpa,alta densidad,Adultos,Unisex,NA,NA,NA,1500 g
1178, Casco Moto Rebatible Kyt Convair Doble Visor Motoscba ,6880,NA,5,2,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/MOTOSCBA,https://articulo.mercadolibre.com.ar/MLA-641175293-casco-moto-rebatible-kyt-convair-doble-visor-motoscba-_JM?searchVariation=39982324579,NA,NA,NA,NA,NA,#641175293,"S,M",,KYT,CONVA0201,Abierto,Doble,POLAMIDA ANTIALERGICA,TERMOCOMPOSITE,Adultos,Unisex,NA,REBATIBLE DOBLE VISOR,NA,NA
1179, Casco Moto Shark Drak Evok Mat Black Anthracite Devotobikes ,20993,NA,1,19997,6 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,22,https://perfil.mercadolibre.com.ar/DEVOTOBIKES,https://articulo.mercadolibre.com.ar/MLA-742130333-casco-moto-shark-drak-evok-mat-black-anthracite-devotobikes-_JM?searchVariation=26354047335,18,3,1,0,0,#742130333,"S 56CM,XL 62CM",,Shark,ANTHRACITE,Abierto,Simple,Poliestireno,resina termoplastica,Adultos,Unisex,NA,drak,NA,NA
1180, Casco Moto Ls2 Ff370 Rebatible Shadow 2019 Negro Cycles ,8748,NA,2,4,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UuKQM9vm9Gs6cAzMmy2%2F3uK5iVng6U5u59KxWsbFKoSK9VgRv3z%2F9Mdnrw9fXTsJW%2BQtNvVXiYoa9PwbAxmWT%2BzSrupIkwYYJGOQpO7OK8chiOGrOPSMIzDT1p%2F5xl5mNBGXhRxINNNX8mx876ic4pGbGfHgjFXjMnd4x3iR8d4yjKHsHciifNkx6RW7qUQXz92BWIBOTOX9AQK9BTkM%2B9oL51gv6F17GyXvtvPoAfn9%2F8zUIGPzDzmTe%2B9AEHnW56RgwS0sdksBYdN6kE1Vd2w8vR%2BKIsHM9XFq3BL7vJsyJZHmyFWAMnB46Jlurv6ruTylntV0VhgL5X68aSQiPxLdQ1ymf6ys9DXBBUrwoUk8MRcj9yVD7mO2gEbHugiYIKxqQ9S%2BDJRNfSw%2B3vNANxE%2FH6VLX3UwzFOpZ1giZK5EJS3AUElyBOUqPYlBX%2BC6BRu8tWJeT%2BGl2Y8IHKdxBIbYN7pow2DTvR28tSL%2B%2BWU8pwyXFMCPEfzPYLU%2FLPHtrke8miV4jFy1y904yo%2F2kVrEbz2DTn0PICkJSpempC1HCYHi%2BhIQIJFM6BHkdcVrH%2BsoRSicX4fRuuij3Dcxv3nmk4Itw8iy%2F6EvSNyXWafiPuNKt4jg3TBRcQrYSFA6c3d9AaJmWqKjCVVBO8yzUUpfpKiRgp8pJ%2B0wqvefJ4Z%2BxnQU%2BZ9DNUSEO7FIfwT5KBRgBlpqPUc1fb6VRyeArvf5py%2BWTwHh3d3Y%2FrBTNsUtUAUTNmqcW5j977NqjYvdBfAI0hw5f5LfaMQute7s4lc%2BuPVN3qnqo1qzWYwQ22UwuluHT7CRFUDWSzTWrAfQHL%2BaN9MNOQraNpMh0pbM7jemN%2FO9gwyr4rQqgL2k8uQxqg7bUwp4iHnRc5shffuoP%2B2h4B1ZOxsyWvEWvvq%2BvYbo7x8bJbMjMuoweNEORCEhMtbd9gfTK0FxRrvyyRdvFXgfe6CDkciYP5cTTAB%2FyZK8y%2FBNzvfOMqfZKUmeqfAi3cYyniDjga4YcavKfdz2iEacZ%2Bd%2FcMXoitVvccdjUuQcllwHGiXoS6U4WDUQ7d8PhiYFE8zbVQFABL4BHn2zBnJJUNq1vgAvW%2FH4MsrAcy%2FE6qQbCMn2IhMnmfcDMBHREVNBWNwTdzAJTp8Zs4vdVgZI4Sp8VtHd0K5thK3%2Bb6bU92gY7BYhzujOxO%2Bs1a%2BdgDKh6sbsRfcxpPJFsHEVM6ZZvupR5rnZCLAVyuPc5ArnT%2F8rPiznfkkDARhzLHmpqio%2F44suMKmXEAFJ0LQ0LdXDgsmj2uKUuM8AoeLsAW9De0L7S4zmWD4DPRE8CxE%2BK5Tpl%2Fn2Jy8ils0%2B3I0CMmBlXDRVc4epCprpp7lwIoTeeJwzHLiksSrhp8ntbkaw6BxglvHH7xLTVYNj9TFSWGg8RJtf6WwyX0fulEenD5S1NsSNX%2B%2FbUhtYK2y%2B7Udvq7G8OtH2lxE5CRKGpfQI8oIVnq7ZOUsEYQe1DrLnA%2B8xvSlw%2FyoppnNaDOSrnaR6ZYPql%2FZYMeUTZ6SHANIqt%2F6LGMrWjFhI%2BhxhQOFBE%2BophjcJ%2FpFNvpaIuupr%2BO%2BWSQjF2LzN24b3myoHTVkizXkp1lzBb3DU10Z1I5SnKsMSP9vcc7KJIn%2F%2FhrV9FakwY%2BYqgKVyekipHWRnpVNwLlRXx2Uwlw%2F1u8xcbiZSv17WVJaxN2j7C0yPKI8jKt%2BEAcTjij%2F7xXNla3popDvOi03vsVsqLshupxN5oVzFtNKBPgwQxSkfM%2BMs7CcgsOr%2BsRJSwT9YZX9PYdPVXSmKifbwAV6jqSSbum0u4IuTSNepavRUeBKjxUDl%2B3D7513Zpa2KR8s5HqXOmYjSn95JFb3al4CDbgWWYVYfrHZFHsSvv6bkapgWKGghj116l%2F993Xgcm1Jclr6hvWoc1eGP,NA,NA,NA,NA,NA,#789854067,Negro - Amarillo,"S,M,XL",LS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181, Casco Moto Abierto Ls2 Ff 599 Spitfire Negro Mate Rpm1240 ,6990,NA,21,13,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3,1,https://perfil.mercadolibre.com.ar/RPM-1240,https://articulo.mercadolibre.com.ar/MLA-614558584-casco-moto-abierto-ls2-ff-599-spitfire-negro-mate-rpm1240-_JM?searchVariation=33527598829,0,0,1,0,0,#614558584,Negro,S M L XL,LS2,Spitfire,Abierto,NA,NA,HPTT,NA,NA,NA,Ff599,OF599,NA
1182, Casco Hjc Cs15 Integral Negro Mate Single Mono En Fas Motos ,6600,NA,48,9966,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,5,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-650812895-casco-hjc-cs15-integral-negro-mate-single-mono-en-fas-motos-_JM?searchVariation=26832318655,3,2,0,0,0,#650812895,Negro - Mate,"XS,S,M,L,XL,XXL",HJC,CS-15 de HJC,Integral,NA,Resina termoplástica,Policarbonato,NA,NA,Road,Integral,15,NA
1183, Casco Agv Moto K-3 Sv Agv Pinlock Doble Visor Guy Martin ,15588,NA,2,2,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/SUZUKI+QUILMES,https://articulo.mercadolibre.com.ar/MLA-754692601-casco-agv-moto-k-3-sv-agv-pinlock-doble-visor-guy-martin-_JM?searchVariation=29045971008,NA,NA,NA,NA,NA,#754692601,5 CONTINENTS,XL,AGV,K-3,Integral,NA,NA,NA,NA,NA,NA,Integral,NA,NA
