search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Posição da ventilação,Tipo de fechamento,Certificado de segurança,Usos recomendados
11, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,121,NA,117,32,12x,10.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,11,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-799885731-capacete-moto-ebf-fechado-unissex-varias-corestamanho-_JM?searchVariation=29524996254,7,3,1,0,0,#799885731,"Preto-fosco - Naranja,Preto-fosco - Plata,Preto-fosco - Rojo,Preto-fosco - Rosa,Preto-fosco - Verde","56,58,60",EBF,Spark,Black Edition,Integral,Simple,ABS,Adultos,Unissex,NA,1300 kg,NA,NA,NA,NA
12, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,164,189,4591,476,12x,13.74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1799,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456541671,1297,349,97,25,31,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,"ABS, Policarbonato",Adultos,Unissex,Nylon Pluma,NA,NA,NA,NA,NA
13, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,99,NA,189,21,12x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798336971-capacete-moto-ebf-aberto-unissex-varias-corestamanho-_JM?searchVariation=27796449325,4,0,0,0,0,#798336971,Preto-brilho - Rosa,"56,58,60",EBF,Thunder Open,Mandala,Aberto,Simple,ABS,Adultos,Unissex,NA,1.4 kg,NA,NA,NA,NA
14, Capacete Tipo Sanmarino Masculino Feminino 56/58/60 Pro Tork ,67,NA,2,1484,12x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/A.T+STORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zfTcfE82Y7QLwDrm3Bxh%2B6PLWWTHM0347nEM9VTwPzxSYWoMI7eUpqfewkTHiOzJ0%2B5JQrkJiQJbVtMUTSPiIKh0h%2Bc6trEaJM1Q4cpOO44us%2BtwA80kGhV8T7KxL5CXCUmGg8X3Vbfd5Gq3r%2BPlG0J8DEOhFug7RG3eT0jHCy%2F4a8kqnvEUtZZ44Ck6XGbhxM8XYmYHg5gQytyHhWoTSr4%2BsLtb%2BDIOPfhgd0wI%2BZ1i5NG1xvb1ElwKbr1yawziLpipBbOavFSzORWlvkM6oVAjq1DqgKd5RcNhZE9UZ5S22bdxBdA4rlnW3CXQ7lto1SINf%2FeWz3BsQ3NpRomcWMX0lwjq%2BRvW8uoxbuXzu6HbotjY9OBIohEnNbZa8gU1zVSXIwUwsa5B9mUeVA2wYVyOJPkf6yy54e%2Fh433CW1BbiYn0vPbIx%2F7KgrCnzCH6WMNB3ITQNloYBW%2FTMnhgk18TpNQvYVVZY7Ctd77TeNGu%2FfH59UjMOOhiaT%2BNzbLk3s2PaXapOeOrRvHq9NzgUTy04o49%2B%2FZO2PpGfmd8htC2KaJHg71NKHgzjStd6NNjcymKMZN7uCYVy2pSZtMCHkg5A7nDahWALRNUzlH55U21IoIHWpawjiaH4GMJ1eezt7tPTQs6btkBaHpMyiC0%2FT45W9djhJzBeT6Amft7GwvXxt8JRIHKgtfmcnOj3d%2FtEw4I96nHW0j1AIxyUO7XVSgPHn1mo9Pdr8jlS3CvSSz2mQpNR6013ENzZQNbWk7yGpvOT5syFh5uLnIM50xivjwSxirZwLlg%2FlZz0DrluyVgOmivNNyY5d5edT30ZyNcRr7metrcbqVgxOhkEq%2FUR12lNMRFsjia5IIN5aSWlBuqdHFTq3y1SMlK9BKfBnqKaRrEEhim%2BTE1E1X6MzPnvukeM9eSXOKqUUyWT6hICPJcHGtM9az7YI6z5JnxUFhzuhpfa6ZT05ITNYAYVmvvqljcLSYKnRf6Z411moHZ1gVAJoelA8V7VHgTWEgML2rDaI2jwR9k8Yyd0YiU2AElgT%2BH6l05ejdOSL6uKP4E0rT3wjIJQUcPbzY2KMXNGxXD6v%2B%2BOH%2B5CRynkvrzfxmL8w5rZOd2pwfDulxjcdrEaXxPuuJkPDoYa2Y%2BSrx7gJ5tJgexp%2FAXOHJI%2BGAfIxPVavKQFSbigsnRo4W7jUgPVPG482u9cOsFn0Vr7ZXoF6GPX1LH4F5WhrPwc4HqaEVv8lR2hgTvkFtkPTBfQPuk%2FsBgvoRK1R2dk3147xzMjeReLP%2BI2RSCp9RWkapH2CngugwIbHXMSyRHXkSgQX3dUjChBLR9MTxpV%2BSoLGdN41gqh6KaIXvloke3DHfbS79oTlKZgCcw9FSEW4%2F3POraEPioxuRB12d7WlLwUFt5rEDeFAmzsxmCWb7RGUvNNlh%2FkrfpiWo4AH8NV8kxOVMOPVrl736hoyZdufOduXkh6j0Ec9Po7TyaAvvU1I8N1PlX4cuVEoPzL5J5DXnGvdvv40W5LJloxgI4gEWx0jhsn9MpcdbFF6tcN%2Fxe0U8ABf4mqfLWLG%2BRhwXSWXmyC1nVMsoCo0fj19TmKELse0eoAaj3vkRIK%2B%2BIdTpDlLn3wdJNR6BVVCpfS1P2lpGBKLbMGk5nHLKK8o16oj3GenlcidWaf7tjdX78MncNrf1iScGyHSbuLI1OVgvRwNk%2FYKQWWqmb0IVNueU%2B26yEFqTSfLtXh1UKdijV85KzZc3Qe4hxlHc4Tu8kW5nSOqMPd01ncmGTNCxTxWJoUtVtR3NaYusQ5bkDfhcGAsxK%2F2jGZtcTbILTfTaVgo9EAtQOMKgHTvinlHPOVCfFrnzoBGJyUE%2FDupySGV5tzyVtQR03okJm4DPs4Gq%2Fik8HykvyolT88p%2Fx%2BmJ1,21,5,7,0,2,#1302048689,Preto,"56,58,60",Pro Tork,NA,Sport Moto,Integral,Simple,NA,Adultos,Unissex,NA,NA,NA,NA,NA,NA
15, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,60,NA,594,82,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,43,https://perfil.mercadolivre.com.br/BEE-STORE,https://produto.mercadolivre.com.br/MLB-852374852-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22590316605,22,11,6,2,2,#852374852,Preto,Grande/58cm,Pro Tork,Custom,Coquinho,Aberto,NA,Revestimento em Napa,Adultos,Unissex,NA,NA,NA,NA,NA,NA
16, Capacete Aberto New Liberty 3 Moto Motociclista Promoção ,57,NA,1828,516,10x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1554,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1038,323,140,31,21,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,Micrométrico,Inmetro,NA
17, Capacete Moto Pro Tork R8 Fechado ,149,NA,1489,23,12x,12.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,227,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798271820-capacete-moto-ebf-articuladoescamoteavel-robocop-varios-tc-_JM?searchVariation=25735834139,148,47,18,6,8,#798271820,Preto-fosco,"56,58,60,61",EBF,Robocop,EBF E08,Aberto,Simple,ABS,Adultos,Unissex,NA,1.8 kg,NA,NA,NA,NA
18, Capacete Protork Coquinho Moto Custom Couro Boulevard Harley ,75,NA,1942,23,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,48,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,31,6,8,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,ABS,NA,NA,NA,1.04 g,NA,NA,NA,NA
19, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,66,NA,177,16,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,4,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1181903476-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=33198145839,1,3,0,0,0,#1181903476,Preto,UNICO,Pro Tork,NA,Coquinho,Aberto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20, Capacete Moto Tipo Sanmarino Automático Masculino/feminino Varias Cores Pro Tork ,67,NA,2,3571,12x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=LLGvHvxUVdQG08wBhXw4rx%2FST9DByCqVRoK2jRRTW43JWpCBeRvAJ6YnFbVn2N%2BfsRPxCvhSBaBSydwkrrj4fZYvFktbmQfep02%2FGlO2BFhXaKeMPXngc4UMMuMG%2BZXpE%2FzXzDQlqxruqtxABPg4NiZkn%2FxuF69eB6WLnl7mA4YlcdGXw9Vz%2FQzeprKQdJ098MNhZHR95LgrrNWHHVf3A0%2BPyeN8fkCoRmC6feGZFT4uTm9CWL%2Bs%2F6lfsIvCaEz%2B%2FmhL6Y5E7Ud2UL7WJfZKAB4JZbAP8bNE%2BNwCdnRo0Y8VNQ4DBP8fmFDkm2arkagTdz5789epKwR5gOn6%2BC%2FJs50Fr0DcaaiGq4DQu5j6%2F8SGO3bCEoGazql25Q5zzO%2Fc%2FqWTA7BXSc1YkDgfNPYmNhGTlP3Q0q9JLs44yhdkPVgVnP2fBuCS1SSfG2KTJn93SJKIXTobTEKs15MnLvgBxa1yL3sbOuJdS2oJGDE0I9rNRCG2RLXPibYq7gLn3shFQnUyQSxa81wd2PFwp4Vy0m6l3SFM%2FNQYBmKq93tsJk8KDxgEX5v61H3MDcLZCmR19z71rZoV0qx9SiVk2gG1i8XGyfq2sHfIm%2BPdcWaegQ9eGSR4hpj7Yll7F8P1tLHdVSfVlX3mvrR0TfJXbqLJgau5%2F6s5gt5o3iDhqXfBW6TRGQixghxEA2BxDzUmYuVAOKzFq62KY2qCJHo4cYb44f7I4K1MFBg%2BdSlyD6fuIrA3c4tG7NOQ7eScmCzjs0kOgtWxI7WLPYKqMyu2o1em46DDFss0WbyIvQLwpt%2B5b7K4Unc0TajVarw9%2BlSD0TjN3MUMzZHPRqCka96IQIFWIbKt2KECcCS4MHKjaf27qoz47UzxgwBItm8WTDSWbhjWr6fUuE4kTInszccU6tMpZiTx9lKvhr9L0bLUSazrOVEoEtSE%2BHNPuB5Fe1nnDuhlr%2BuTqY%2FtMqvphK2t3tZF5d84yc7D73FkXPq3f078A3D06RagjGjGqe2Aj%2FaHF1VNh2m3Yd32Rypi%2B4YXKARdEAqNFUK14AlB7%2FDsiSsTkLe%2Ff3K54MZQ%2FPrZgggqv9IWGqJiOx2BzZBHFDBcg7HMnhBtShMdx5MNJ6hoGTIMKzpcNcMvK2vboG1KYZ5izRLp%2FJN%2FD%2B79rfgDVFxiakzZaKQkMqC0fCbGKsRRJnpbiP%2BQ1HAJkwTu2iqKEZ9o5BZrBTmZVaVAIyFXKxTlCl9h1psjSUDCJDW3exBFTt5QM2cR9cm0WCKi84w8u1ke1pFGsN7vYI6jFiW8%2BCGO5EIWtRAQ4LjU0SRvFqR7ldfU41jJpmlD%2F7nH31Gakzb1R8oJQywzrfyHWePXygWo%2BcqeZ%2BlVklc2ddlKeNi%2B2wWUrUVZFcPI7tuNqVyqJ%2BOWbIqziAxsN6VQKrXrEH2S2Q6E%2FRE0O7PFoynLCGs5RwfZDv5MseNSqWM%2FdZKcqpYBBn00SGFrOYxHedO%2F9NBKhp1trW1XQ4Ckf5e9OlmheJaxd%2Bvycq3tcQiQpNYYTL6Fr4%2BkL02JCnm1MxYdlEUkUMtOfCKaEA%2Bfl%2FTyPSWLOP%2FCAb4Vsd3ua2yv0KHjdRZnzPzvSAs0wqJLtgA4aRhuRrnoP8rspCElfm4RHFPo9XkivxI31Tjtfm20XnmyTjKFbOpw7WC8j%2FWr9%2FbKeAHo6pRkKo5OkaLQCl1gbC4xJa7JTbK6Kk%2BsWj%2BPJ2AH3ZxiR1OofBLbM06Z4M7lJrT01yCqneFFLrGoq7kfATwd%2B0kB0%2BEcTBJTfcSc5fpoDGwV9pBuIsY3IFkHi5Wze5N7%2Fy%2BKoKwYoU%2FlMFPy6XlS1yuB9135iHmTq6Fe%2BxUjdmNJVaRc%2BUKiWr6G31mq%2BjKiEnmL11rUUgr2Lp7ZHS77yPprWiqEAu9qLbV4fCY9btFFRMdOZdS98qfLObTN,21,5,7,0,2,#1302037367,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
21, Capacete Moto Pro Tork Evolution G4 Las Vegas + Viseira Extr ,196,NA,376,39,12x,16.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,15,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803341736-capacete-moto-fechado-ebf-masculino-varias-corestamanhos-_JM?searchVariation=27796982381,9,4,1,0,1,#803341736,"Branco - Azul e Vermelho,Branco - Azul e Vermelho,Preto-fosco - Amarelo,Preto-fosco - Azul e Vermelho,Preto-fosco - Prata,Preto-fosco - Rosa,Preto-fosco - Verde e Vermelho,Preto-fosco - Vermelho","56,58,60,61",EBF,EOX,Frost,Aberto,Simple,NA,Adultos,Unissex,NA,1400 kg,NA,NA,NA,NA
22, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Rosa ,60,NA,691,2988,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1050,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1167358616-capacete-aberto-new-liberty-3-moto-motociclista-promoco-_JM?searchVariation=37125151127,749,205,70,14,12,#1167358616,Prreto Brillante,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto com Viseira,Simple,ABS,Adultos,Unissex,Poliestireno,NA,NA,NA,NA,Urbano
23, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,60,NA,3043,20908,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1579,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,977,347,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,SPORT MOTO 788,Sport Moto,Integral,Simple,ABS,Adultos,Unissex,Poliestireno,NA,NA,NA,NA,NA
24, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,922,9,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1579,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773,977,347,149,57,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,ABS,NA,NA,NA,NA,NA,NA,NA,NA
25, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,65,NA,425,106,12x,6.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1470,https://perfil.mercadolivre.com.br/CMC+RIDERS,https://produto.mercadolivre.com.br/MLB-1130342691-capacete-pro-tork-new-liberty-three-3-moto-motoqueiro-motobo-_JM?searchVariation=29629708493,1101,252,88,12,17,#1130342691,"Preto-fosco,Azul,Branco,Prata,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,CAPACETE,New Liberty 3,Cross,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
