search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Posição da ventilação,Tipo de fechamento,Certificado de segurança,Usos recomendados
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,133,NA,924,19,12x,11.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,414,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,328,60,15,8,3,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,169,NA,233,44,12x,14.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,60,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-854437166-capacete-moto-ebf-feminino-cross-fechado-varias-cores-e-tamx-_JM?searchVariation=25530772440,49,6,4,0,1,#854437166,Preto - Rosa,"56,58,60",EBF,Motard,Motard Fada,Integral,Simple,ABS,Adultos,Feminino,NA,NA,NA,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,1165,6,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2242,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122504,1492,420,190,66,74,#1162746915,"Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",1.27 kg,NA,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,2278,41,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2242,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1492,420,190,66,74,#1071430308,"Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,Antialérgica,1.27 kg,NA,NA,NA,NA
5, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,854,40,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2242,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629218,1492,420,190,66,74,#1162758324,Rosa,"56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",1.27 kg,NA,NA,NA,NA
6, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,120,NA,181,8,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2242,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162752461-capacete-moto-protork-r8-fechado-viseira-espelhada-loi-_JM?searchVariation=39731421955,1492,420,190,66,74,#1162752461,Verde,"58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",Adultos,Unissex,injetado em polímero abs de alto impacto virgem,1.27 kg,Superior,Micrométrico,Inmetro,Urbano
7, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,134,NA,869,152,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,82,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,53,19,6,3,1,#960763001,Preto,"56,58,60",Pro Tork,Capacetes,NOS Evolution,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,camurça com alto nível de conforto e absorção;,1400 g,NA,NA,NA,NA
8, Capacete Moto Tipo Sanmarino Automático Masculino/feminino ,69,NA,37,3571,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lBfSXFSMy6zwmqfYu9wOOT%2FCCXlc%2Fuw5OAPXF5xrMg68JFCAMGHgR9fqUD5ho86t0A8%2Ff%2F9p%2BvNvoGNORINnXF%2B0WKgxyfttX6hevX3fvNOPh%2BjFUm00DTGbRsWuOr3V0Ofc%2B4gNENaXCrgfcuzVMYjKz2IiykwifqpN5DMQHhMoq%2F3aYpKg9ZpmYiSIdEXSGA7Z9vbvTbBv%2Be7MJ8lc7vfh2LVzTgjPrja4f5SaoyvebBVbE11uuJ9irwZU76MbvUtrhvV%2BciO1i3i%2F5Mx1ZLBcVzDq5j5mCl5k6cnDZDiU8CTrcBLP%2FNWgkk8HbiMfZsTRq8JXnx9phDD2qwhNxxcKe772A7Jw2XoIis%2F%2BFc3kv%2FZ3Ae54%2BZqNRTS7KWtA9zGj%2B%2FmLGzE9gxjCiW3YuxKvgVjZkHyIJTUydXINKD4MZl3%2BwF96DhRZUzZMWkB6cNTxWqpbb6a5xJ8dSxbM7401JunYtfaqwN%2FQ3Bsu%2FrSPmsGk9BhqvCEL5sCdp2RGqTgtASajYUZaT%2BOXBU7CwXUc63ioT4Mn9m1qhsbjcSpHcrgTzwPSmdndb9tvLyR8v4oYCueTUNQ7P1hi1xSxVyu55tcAgnrIMQyVCOLO086OQswB0VO0VGXffeASHba7Z%2FeVD%2FuZYa6pwuKhxGqwMNjjfdG2TglE0T7eOzlyAK14LUSRl0z4LX4%2F3FN%2F4Wdap2TNiTTl2arrllmnRWdm9hNN4pPYXu62FHkh1WpxHJQVB7eWTd8ydfKffpgtMd9bIO7Q4ArPGJG02Dba3y6DRGkPFS9mhqBKrh9%2FS3U%2B2eJg05%2Fwpn6wb7OEMF5KcN%2BqP4y6WQSHJBbdWDZ2tAIw4mBWHZc706IMWX%2BWB3giQccEcN5VClS7Aeta0j23QOvw9RrqsR6kmC09B8wpw0CTmGns2FkanbtUWvOYZjT2joD7il8n4nP8NbAYgVt1rlUS6%2Fv4DDQEg6Ml8iw0I0hbWMPybVH7JyAYXJieufasnRDvjz2a2Fb4l8WL9EsthKTJXxZ%2BoTWY8UMGz8MUVx18hFQXQBUIQS3szU9zEIgFUUdsK2wMoCPMgu1Io%2BJ5Sg4WyQzn7OGBpgfgLg7%2BDxfFvPHcMSzRr5flMNMQvY4xrc6968ZkrgmYW5BZw%2Bebhk%2BFwRrW9Skebdw0uwhapz55niMUZHDroJZ8mtFDb8j6g%2BTrKfAbR2P0LIgkQ8LQNQRV5lEciri6YWRHUD5OeXGsZ8G2vWf5ytPwk99G0UBv7aWr9Pc1bLpljhZsbErT2AvE%2FTXtQhvNUjVxLskAPF47wTT7pVGpfQ32f0ITAlulTqySMIpDXYw1eOv6xmOys6zQ65bebNn6eQbWVA7ct%2BIfaE6G1e9MTDkTd0w70dp%2B97r44P6ZqbquemzTlZFD2%2Ba2VFLQp%2FssszGB8cG1LCdGXh8%2Bod8sdr556x1pO9STr%2BPBf8JV%2BUbGbrJqRPjSxqN0uia%2F8ItrqzvSFYfs5PlrDWxZXAzs4hCOrW0ztyob%2BW%2Brp6b56gzpzab2oaTwbz9opSXaRsQVnBRoFBvJjx38EFvmhcsiSg1RSube0dRF38kUxIhP5JpHa17PqUwU9%2FOIzrR16c%2FFrDoimAKyMMfdveXmGmFydMlajIPG5YAjJ7S3DVNbhuYFYi59uGkaGBuo2uqw0Pa%2FESQyQ1uek3t5AdxEApl1OVTYpAOZoRBhO7HTvOoYqMKHANAHcDsCBTifDwqEJmJulKeomV%2BFqni9YOP%2BIXVeQPNKeEKbjFVwaJEygOAYA%2F2er3t4zbrTSutMpdLCQ8V0LswrNcApa1cV%2BE%2FI%2FjzFwQWdCy6IHZ%2FASPnoqlAo0t13%2BO560D%2Fs5u3HOqjnAmgGtYi1bO66M%2BynWJn0I9a7sVstjERHYervOMH7BA%3D%3D,21,5,7,0,2,#1281264225,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
9, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,164,NA,569,26,12x,15.77,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1799,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071360789-capacete-moto-protork-escamoteavel-robocop-v-pro-jet-3-loi-_JM?searchVariation=29556830528,1297,349,97,25,31,#1071360789,Azul,"58,60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,62,NA,127,179,12x,5.24,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,339,https://perfil.mercadolivre.com.br/DEAMOTOPE%C3%87AS+BSB-DF,https://produto.mercadolivre.com.br/MLB-1249960652-capacete-moto-infantil-pro-tork-liberty-4-kids-girls-54-rosa-_JM?searchVariation=38673058235,226,73,27,4,9,#1249960652,Rosa,54,Pro Tork,NA,Liberty Four,Integral,Simple,ABS,Crianças,Feminino,Forro antialérgico,NA,NA,NA,NA,NA
