search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales
865, Philips Oneblade Pro Qp6510/20 Recortá Modelá Y Afeitá ,2799,NA,2,180,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,249,https://perfil.mercadolibre.com.ar/TC+SHOP,https://articulo.mercadolibre.com.ar/MLA-719487154-philips-oneblade-pro-qp651020-recorta-modela-y-afeita-_JM,159,66,18,3,3,#719487154,Philips,OneBlade Pro,OneBlade,Qp6510/20,NA,NA,NA
866, Cortabarba Philips Bt7201/15 Con Sistema De Aspiración ,2999,NA,2,63,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TC+SHOP,https://articulo.mercadolibre.com.ar/MLA-640151046-cortabarba-philips-bt720115-con-sistema-de-aspiracion-_JM,NA,NA,NA,NA,NA,#640151046,Philips,NA,BT7201/15,BT7201/15,NA,Batería,NA
867, Máquina Afeitadora Wahl Finale Profesional ,5999,NA,13,6,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,47,https://perfil.mercadolibre.com.ar/HOGARSTORE,https://articulo.mercadolibre.com.ar/MLA-754549287-maquina-afeitadora-wahl-finale-profesional-_JM,29,12,4,1,1,#754549287,Wahl,5-Star,Finale,NA,80 Minutos Continuos,Batería,Fijos
868, Maquina De Afeitar Braun Serie 3 Proskin 3010s Recargable ,3911,NA,0,100,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-747118422-maquina-de-afeitar-braun-serie-3-proskin-3010s-recargable-_JM,NA,NA,NA,NA,NA,#747118422,Braun,NA,3010,NA,NA,NA,NA
869, Maquina Cortabarba Philips Multigroom Mg7730/15 14en1 ,4079,NA,3,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MASTRONARDIHOGAR,https://articulo.mercadolibre.com.ar/MLA-749340406-maquina-cortabarba-philips-multigroom-mg773015-14en1-_JM,NA,NA,NA,NA,NA,#749340406,Philips,Series 7000,MG7730/15,MG7730/15,120,Corriente directa,NA
870, Philips Oneblade Pro Qp6510/20 Recortá Modelá Y Afeitá ,2499,NA,8,63,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,249,https://perfil.mercadolibre.com.ar/HOGARSTORE,https://articulo.mercadolibre.com.ar/MLA-719041396-philips-oneblade-pro-qp651020-recorta-modela-y-afeita-_JM,159,66,18,3,3,#719041396,Philips,OneBlade,QP6510/20,QP6510/20,60 min,Recargable,Planos
871, Kemei Rasuradora/afeitadora Semi Profesional Rostro/cabeza ,1385,NA,3,4,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PIDA1043871,https://articulo.mercadolibre.com.ar/MLA-787380382-kemei-rasuradoraafeitadora-semi-profesional-rostrocabeza-_JM,NA,NA,NA,NA,NA,#787380382,Kemei,Rasuradora,KM-1102,NA,NA,Corriente directa,Flexibles
872, Afeitadora Philips S1520/02 Recargable Cortapatilla ,3499,NA,9,17,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,52,https://perfil.mercadolibre.com.ar/365+STORE,https://articulo.mercadolibre.com.ar/MLA-760437676-afeitadora-philips-s152002-recargable-cortapatilla-_JM,37,10,3,0,1,#760437676,Philips,Shaver Series,Shaver,S1520/02,45 M,NA,Flexibles
873, Afeitadora Recargable Philco Ae5100pn ,1289,NA,1,4,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TELEARTELECTRO,https://articulo.mercadolibre.com.ar/MLA-740273397-afeitadora-recargable-philco-ae5100pn-_JM,NA,NA,NA,NA,NA,#740273397,Philco,AFEITADORA,AE5100PN,NA,50 MINUTOS,NA,NA
874, Cortabarba Philips Bt1209/15 ,1385,NA,13,115,12 cuotas,NA,NA,Retiro gratis en local de Ribeiro,NA,NA,4.5,62,NA,https://articulo.mercadolibre.com.ar/MLA-776572987-cortabarba-philips-bt120915-_JM,39,19,3,0,1,#776572987,Philips,NA,BT1209/15,NA,NA,NA,NA
875, Afeitadora Corta Barba Pelo Nariz Patillas Recargable 3 En 1 ,1499,NA,2,5,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MOJOJOJO-TIENDA,https://articulo.mercadolibre.com.ar/MLA-774466909-afeitadora-corta-barba-pelo-nariz-patillas-recargable-3-en-1-_JM,NA,NA,NA,NA,NA,#774466909,Surker,Afeitadora - corta pelo - saca pelo nariz,SK-721,NA,45 Minutos/Carga 8 Horas,NA,NA
876, Magic Clip Gold Edición Limitada ,8500,NA,0,NA,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DANIELA2135,https://articulo.mercadolibre.com.ar/MLA-808037655-magic-clip-gold-edicion-limitada-_JM,NA,NA,NA,NA,NA,#808037655,Wahl,NA,NA,NA,NA,NA,NA
877, Kemei Km - 2600 Recortadora De Pelo Eléctrica Recargable ,1381,NA,0,NA,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/YAYINGAR,https://articulo.mercadolibre.com.ar/MLA-806259455-kemei-km-2600-recortadora-de-pelo-electrica-recargable-_JM,NA,NA,NA,NA,NA,#806259455,Kemei,NA,NA,NA,NA,NA,NA
878, Nebulizador De Malla Portátil Portátil Recargable Mini Usb ,1235,NA,0,988,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/HOLAMALLAR,https://articulo.mercadolibre.com.ar/MLA-796259766-nebulizador-de-malla-portatil-portatil-recargable-mini-usb-_JM,NA,NA,NA,NA,NA,#796259766,Universal,NA,Universal,NA,NA,NA,NA
879, Maquina Afeitar Recargable Kit 3 En 1 Bigote Barba Envio Inc ,1150,NA,1,76,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ROMA4087574,https://articulo.mercadolibre.com.ar/MLA-799761822-maquina-afeitar-recargable-kit-3-en-1-bigote-barba-envio-inc-_JM,NA,NA,NA,NA,NA,#799761822,Gemei,GM,GM-3106,NA,NA,Batería,Removibles
880, Cortabarba Multigroom Philips Mg3730 ,2220,NA,1,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/GARCIAYOLIVEROSAGARCIAYOL,https://articulo.mercadolibre.com.ar/MLA-790585117-cortabarba-multigroom-philips-mg3730-_JM,NA,NA,NA,NA,NA,#790585117,Philips,cortabarba,MG-3730,MG3730,NA,Eléctrica,NA
