search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales
1, Cortabarba Multigroom Philips Mg7715/15 ,2199,2999,1154,202,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,108,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,77,24,4,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA
2, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1899,2299,308,3,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM,7,3,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,NA,100-240v,Planos
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2499,NA,2483,42,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,192,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,144,43,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos
4, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1632,NA,13,60,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,672,79,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,43,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,31,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos
6, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,1948,52,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos
7, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3059,NA,64,42,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,33,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,22,8,2,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA
8, Cortabarba Multigroom Philips Mg7715/15 ,345,NA,69,930,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/01ENLINEA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MNlsa4%2BQh94gXOlSsSGiILoimmbVQQ6l6l8pWO8f7pASfUJ%2FhgSKIoETVKPj6LqCkmlwP55nQeh0Nrlmd9PU%2FtZWjxb3hjHpcJyhPX%2F51di7KXnHAYU%2BRVTMYjl3HVs9DITK3zedl601PpvDwlhumnUNtqXixlO0xebtoH1Rd92raB9p4iAlyyDsWFkUFEmWKXV7%2F%2BnP7sN9xJ4RhYQSkCYR9shuWQDYbbYcuyXAKERNURnwiLVfELaKTK2X0rODpyaeHM4RrROsAOSlzw2e5z5JGnhNPGvfCdyc2w8t%2F78sVkgjflDzd85Jo%2Bg%2FjYa4uJk6h59Ym8d1wSl3utxW2uVBN9RP%2BzGUQ7Oq94AWecCYS4JDlmbKyX0MVKgyUQYKQrG%2Fe1o9iBhVEwsg84tpJ9FDUh78eBqoUlutdwwR1fyjIrmb7mCyjOVmIgpFqHU6o%2BNWL%2Fg7KJlzp3weeg0ig49FHLv5A2pWegGzHf%2BY8wFmo9dQXjgDoasXQCwInccR0MINLZIqceJj0tGt1G8zVs3zXtKXqhI4V%2BOXDUav0DLKCWAF7yaUH0wX5xNj2m%2BZ8LPIyRYViPfcK1SSgJZ2Ggyfw9BqPlH3m7rayIXzsdPsdbQpPLhKkupwmD4RPpJ9h8NU%2BQa2mpaZEmaaQkrZluW6FLhYjTus%2ByugO%2F2GU%2FHef3UmIVk%2BHrB6wX708Nvv%2FZxY2X8dBLySFDWa%2BKcnpBlVd%2FMN3CFpUNY4q8EZkPaBxRgqCpaELXYiMjgxlaZEPwHXsxdZQp0zRjuMvtUma%2FwGxD1wQAEO47IgI1Hrr5ViqJm4PrIWPXjFKiVm6R9pNA3aj3ILMqyLgKI73taBZufDe3KK4QH1WdQGcRfMv%2B2cocR2PvHWAxrc%2BMqhdU2cyGImEzjiRLf9uTm7CaVJgZY0exn573VMNh8IrwhUq8IA8KAbYFApBLjIkNBysaf8MujNFu5Zo7z4LT5Qq5dycvJa5Ww0GCP4fXXBsYIU0eEhhlYSZGz3lRsEjgMKjFtbKtLWQY5gOGWMZMHQ5zd%2BLY%2F3IXBujPXqUYWVu7RGi4HOUUCQgH6Om%2FME8v2Hg8A7aR14NmpZMOJTmraS69SPNopC8r9qCHcmptx%2BX8h5sHPaI49mh3GRxnadyifTgjVUxD6sbrUzXwaTDQ86xQ8oxkLEaLh18sRAXS0YUdtSf1eE%2Fa7iHmhJjNGTYh7akSVySswk7itf54sHDdrzUhvgxQiDP0Knniet8vfDl0ZUESb9fa%2BBBnvCQnY71qXwHcpwav5xj7oCIkxVzMRxupa5wxMuYdE%2FIy%2BkvOFw9nJH9NeifbRW2mEgdrS3Iy4uKZI73M74%2FxyoSPXSZKIpnWTREKf3lBRFjMhKsMfMKmwkNHHsYkFzYkEcz2to6D9d1ed73gFrWSRf267EYicl8YGDLmv5LueYuvhZWWnFBKPaVSypuREmPMgQwyEs6osd0quEz2HFo0HPiBK2zLD%2F4mFnT33A2y4ZnxqxN8y9qYyE5cw7mGSoXdCAVCsaX984VrqoXSEGgiMbLGBsy6YAaQbWw1EwRY%2F1sReU3X1%2BZkN2MFwWZiHz2ULrfVWMGaFYmZm8Ui5dz81JoOqu%2BrFmt3ROCkyhXhopyHMrJmRsg0vhdmmA3B4iPtyqQkvXHfX2DaF8sdGJxJ044%2BRklEpmuL7KiKkCUTliQPxjUTrntJ6l5733Rk0BWzFEAplN21VGeQsQO4gQdrYD6Az2GUAK6K57xWL0MGGl0Y7TEnsYi4j0NzMF1nM9WG2GZxQ%3D,3,0,0,0,0,#783178998,Nanzhong,"NA",NZ-203,NA,NA,USB,Giratorios
9, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,1790,2740,452,19,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,39,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,26,12,1,0,0,#741917410,Teknik Pro,Barber,Fading & Shaving,NA,40 minutos,Batería,NA
10, Afeitadora Philips Aquatouch S1030/04 ,1799,NA,884,34,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,553,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,371,122,37,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,45 M,220v,Flexibles
11, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2499,NA,393,31,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,99,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,61,28,7,1,2,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,40M,220v,Planos
12, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,4499,NA,640,21,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,208,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,137,55,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,40 M,220v,NA
13, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,2950,NA,3,97,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,92,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM,61,19,6,2,3,#756788500,GA.MA Italy,NA,GT 555,NA,NA,NA,NA
14, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,5435,NA,10,5,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,44,https://perfil.mercadolibre.com.ar/DIE2215,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nSP44MlEi6Bu0KHokNjfaAuKCZ1gGLFBC7UVvHJl%2FhSHJ1Wey3oWspcxaEkp6JdxwEMar%2FHJWynv6mw7WHpYgaMDdmv26sRqLVCIcRgyPyW65g4MZFQ9QVAI80EvGeRVkUf7NsEvvhxw5efejqMM7xl%2B9eM0lg4b%2F83wPGa0%2FLTmf6iA6EaxEHfaoG1T5NLpXzOpLF2HfUmS7rWGOn51T68OsVATlDoRy7Tvuo%2F3UdHaUHECAIR0Hp0n8pHAcVLkTUQMB%2FMBhziFg1I3BukxGTl9bGM0RsNZ9EQc%2FEyHwhfc7RqD6LCOoOKKrl7SFEJB4PsblWQu2VUsg114j2S3SNLiYZLaW4Ywmsjcdtjltb5i9NWCIUmVnFFyYoBgPiWFWsuZ7bWazWcCy%2BNcljcHiEiPZmEPvxLbgP4RiienRUojUQmpp8SqCG1%2Bhz1C8WsJiNHRvytms72rEpmTK2nqBSvNJbztBH3wqwC8pQ3C%2BQBhnRUF78WfDCCyMAAPpuC%2Fxaqmx0tWCJwUARsdnkyOx6kpuBHy72MjkF8Yghc4K879FAgBPZW2W%2BSp5dbl9RxU8CJFv1RmeS1e1XqBXCQyyk%2BdtLTVKuTTqt%2FIbjiR13JNV0%2Fr2llJFTV4IsbP3ln6TEm5NP6ixwKocrxrZGwHBr1bCZyVElIZOUughhiUuCLk5qURQodO7%2FhpdC5ZZ0PeuEoSzy1rQ37DwkF0N6oUBv47uLkCM0rdeTx1TTDC0qKKsrbu3iBA05ZKFZjSFs3Ol%2FCIOHxMwXY6kvcyowuzDeBoyy8FSugnS7Lbfu0pqR1b0CLJDb2V3O50sLXHCHr7%2BW7iBjwSlwIUgbQ7z2Xw5jnT%2FArT0wSpXrU7ySClbqXgt%2BYMLRr3561GCdwHZ4NNENSVDGxdWGvdTDpzBfqwcIRc62isrUX29Eqqiouc2UB%2Byr9rDxtYWXnwQPCVNEA7QbUj%2FdWakkrcQlCRqj%2FORPMKI0kF2tt6KZfHYwb82p8hBayPVW%2FQ%2Bdv%2Bqw9IV9s9xAKIVeRZdf2ov8fxULDsorPpfTfV3Brqv%2BwawTbq5%2FpJ33yyQcc0NVx9oFhk47YHKE6IWoMaFzMuL9aXrgqc5%2FW%2Birfb5jmvdYnx8mycRwqBpqE79%2BQoKIMab%2BcxbBgpbB%2FHWeG2jQ5ZlN4JoAiC4tl75hazuKwv0OnQWjsxDbWAXnHCEg9j2d27FHGjo8tF8bl1xSXv5HXlYbNM6hVs7MFu7xJdv2Y0NY2b8DsKY2vCjGPkMQrlRtYBtm1BXW76fn9VdNXr1B77R1bbui8717O6rUtKQmFwg3vG1eG%2F7qzvEi11mBUIX9IUJymC%2FUw%2BoulwPTWXYgvyYvy3kr8pPVGnUjWM7kAoCN7iPSQGbpnAL2nkWBbAXZv8E0wEqNte%2B0U%2FT0ej9qxHK4oy4RqR%2BAwmm5Yn80PqoAPQjJkerv4I0Z3KdF4m4ZCly2SDTYThvC6JaCZbZZOwQFD%2BaXQjDjAwlNj6g43okeC%2BqVUKI%2FMRSLI0rVnu6qtoKh1A8gGJWVysb0ekSx%2FtBVArlhrbDYai4chVBtC57yrcxvycPYY8gnTV33AWPfsKSaSlzvfJJjIa%2F%2FiXByh60BykA0uSiwyIN5xkTeUKd4Lwn4wt18bA1CIohu%2BWiy2d7A1n6weVKEFQukVnkhbfmVCEHlEK%2Fw4zO8K8TUgmycp%2BRNJ8T8gS3teV%2Bpa2jMrWC1AOYxb642OGmRsEcDRuCMxa4xeJiDUB9KP%2FKp6UeGQcar1wcqD8Av%2BBAKVEsTk%3D,38,6,0,0,0,#742120717,Gamma,zero Shaver,Shaver,NA,2 horas,Batería,Planos
15, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,1799,NA,3871,51,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,878,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM,657,157,43,8,13,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,45 m,Batería,Planos
16, Afeitadora Eléctrica Fading Shaving Teknikpro ,2490,NA,414,136,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,39,https://perfil.mercadolibre.com.ar/-LASMARGARITAS-?brandId=100,https://articulo.mercadolibre.com.ar/MLA-684054385-afeitadora-electrica-fading-shaving-teknikpro-_JM,26,12,1,0,0,#684054385,Teknik Pro,NA,Fading & Shaving,NA,NA,NA,NA
17, Afeitadora Remington Bht1000 Bodygroom Cortadora Corporal ,799,1099,544,105,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,129,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-614373794-afeitadora-remington-bht1000-bodygroom-cortadora-corporal-_JM,83,35,9,1,1,#614373794,Remington,Bodygroom,BHT1000,NA,30 minutos,Batería,Flexibles
18, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,2549,NA,390,79,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,50,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM,46,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,NA,Flexibles
19, Afeitadora Electrica Cortadora Barba Philips One Blade 2510 ,1650,NA,47,3,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-594545386-afeitadora-electrica-cortadora-barba-philips-one-blade-2510-_JM,1,0,0,0,0,#594545386,Philips,Afeitadora,QP2510/10,NA,NA,NA,NA
20, Cortabarba Multigroom Philips Mg5730/15 ,2339,2599,3,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/OPENFARMA?brandId=1804,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BZyGv5qi6bCR3zueMLyNmA1MGPukxGBLFN6jYDRhRs0bUylgiIFiPYpCZWvDTFabCvq0SV%2FTM8y7x7O8n18%2BMgx%2BlePkDSIzFwGYRwU83jWGYjzj5haslz82HcuEBZg6h4k0en6FWQ%2F1p%2FKFQcm2qo1fc%2FQ1zYWPgHnvJRQjGUlk1uwGDGVjVFdXgqniLbaO0D2r5teNIMdoYMvD%2BeN6Q%2BnwpfmM0IRfVBVAOfmX%2FSFkpNv6xl98OHX3dYbPy9vJLMhkN%2BdJC%2By4Bv3GNhOyHy3OIlEMqN4Sd77t1kJTrtLMzXsh2dkIUNRnePJ65X%2BIYpxH8XZXnU6meQ%2BtTU1541ypBx%2BSYw7QqfCswS8AEz1vYTvVtO4kJjWMIn8vjsOHrYypW4vaaiW0kcW1ZEJznXlymVl%2BQyXztgAp9YukOMIlQdtXzUNf5Uvaflc1hyoH1fnZXDZ3KhQWVaPNQeku%2BkzTgK4Lpk%2FDFnwWyOWawxdcK0hlXiuq4L6thnCmjWGxuRkA342P29F4TCINgKEHZfsynGD3UZFEqWHCFWPVcCetJOGYpkF%2B5yTQ8C9f5AtY5%2FGglD5sV5%2BLB%2FwvQbBBP9ETzgmIyG7j3Tix48tqRukpRd5MXQwg%2BmimeuwHJWT2enhJbs8kcprj3%2Bc7HJFtpxAcgWvcaNhY4zaWnqy0VTBzEV%2BG55WVaZu8yT0r%2FdgSNFlvaGDA%2BfBfN%2F12%2F2wDmjLvt2Z4Vgq1LnHb03z%2FytdPdpueJtHzf%2BocqjSkgVLNB9f9IHEY3Dr5a6Epm%2BvlAXlrbUisul4LovlqQcFHSHqhi14wBFSIB9I8CNctY4iFYqH7rFoEdKF2i6ajdgHjk4NjcsucMJtzjKC28j6l8VKMpbA5zHYmvBX8SZjCynsIFIaSVb%2Fm1lpSke4A4vqtCehN%2BO8Xs4Y%2FDSm3byDkO%2FNS3ews0ZdPB2E0wdnE8wWbliuPlzVnJDVaDUsTLhSOg33XjPGHyNxLmr%2BUtGA5ETCkeauA4XmCrlfKJN5oS1qTZw1BO9%2BOXPrAFFbQ8G36lpMNM0H%2FVEKTIhxu4mN7yCDOm%2BQZx6%2FhlWTXQJGzgx7nty9wnag7nB0ZF1ypKSeFlEAz96P%2BO3NQBtvtyeXd%2BWG3fYAFfRJgjUqg7n0AtRycncXecSlR8aU%2B7smfiYaNZcZkFVHTgouudDDE1sqMg6R1XSdxmEE82cfucjSZtXmXqaA%2B9Wjdxp%2BAkhuXKNPJJA16bWN%2FW4wr%2FLYPOL6VF4HyYb%2F4OhZu9zGczU9W7mJW%2FMfjhcqHtfgckMg3IaExG9FqYwFoGhsqQL0ak33bxSMs9lU9yTsmU7NpfV3nsw80hWLNmuFjCWh8ef482Xg4NHRJKyjTe31LpWWMOZ1FcKrV1lcOYvEQIl3PtRuceJjAUaRWdA7QTYi9pIX5pBqisPmJ152yNgzWLK%2BLpJqkp10GwGPjS6mp%2BpG0wHvQo6gkO%2BTgK%2FGFmu47wbkFRaq55zuJ%2B%2B3HiG%2BtUmUPqB1s87aHpf6YoAdc2fblVxKVj%2B4X64CrqAEPSdcvJQ8w15pUq%2F1CciCaHpxzrO%2BEphE2woCBYDPSSAE8AaFMIr9knz7ph0zjTJZ1qy1v%2FriADsSoGKJXW9Cbpj8P6t7JF4ImL%2Fpa5agylmvC%2BZ6McySn9Q9%2FuoHzQAsEcF5SmnMN0ORpnZEWgeBeA94tp7Y1w5ElFnu2laQJXNjQQRLw9zjdMFuN3z4Dmlol5FNPOgQJ4OBKgTH%2FpYAzQd98b32w8VZeQe8%3D,NA,NA,NA,NA,NA,#763457424,GA.MA Italy,GSH,0895,NA,45 minutos,NA,Giratorios
21, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,10899,NA,232,4,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,142,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-617927378-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM,110,30,3,2,1,#617927378,Braun,Series 7,7840s Wet&Dry,NA,50 minutos,Batería,Flexibles
22, Recortador Multigroom Philips 11 En 1 Mg5730/15 ,1999,2499,311,174,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,20,https://perfil.mercadolibre.com.ar/WALMART+ARGENTINA?brandId=176,https://articulo.mercadolibre.com.ar/MLA-780584124-recortador-multigroom-philips-11-en-1-mg573015-_JM,12,7,1,0,0,#780584124,Philips,Multigroom,MG5730/15,MG5730/15,NA,Batería,Cuchillas Autoafilables
23, Afeitadora Philips S1030/04 ,1599,NA,870,9,12 cuotas,NA,NA,Retiro gratis en local de Frávega,NA,NA,4.5,553,https://perfil.mercadolibre.com.ar/FRAVEGA?brandId=229,https://articulo.mercadolibre.com.ar/MLA-725232886-afeitadora-philips-s103004-_JM,371,122,37,13,9,#725232886,Philips,AquaTouch,S1030/04,S1030/04,45 minutos,NA,NA
24, Afeitadora Gama Corta Patilla Inalambrica Gsh Sport - Luico ,1035,NA,115,22,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,26,https://perfil.mercadolibre.com.ar/LUICO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-624061468-afeitadora-gama-corta-patilla-inalambrica-gsh-sport-luico-_JM,18,6,1,0,1,#624061468,GA.MA,GSH Sport,GSH Sport,NA,NA,A batería,3 Cuchillas de Acero
25, Maquina De Cortar Pelo Y Cortabarba Bodygroom Philips Mg7730 ,2999,NA,611,434,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,19,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747481161-maquina-de-cortar-pelo-y-cortabarba-bodygroom-philips-mg7730-_JM,15,3,1,0,0,#747481161,Philips,NA,Multigroom,MG7730/15,120 MIN,Batería,Planos
26, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1650,NA,26,4,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TOMASSA+ONLINE?brandId=1449,https://articulo.mercadolibre.com.ar/MLA-749275441-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,1,0,0,0,0,#749275441,GA.MA,NA,GM 560,NA,NA,NA,NA
27, Afeitadora Razor Shaver Andis Profoil Lithium ,6200,NA,216,68,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,15,https://perfil.mercadolibre.com.ar/E-SHOP+PELUQ,https://articulo.mercadolibre.com.ar/MLA-674516231-afeitadora-razor-shaver-andis-profoil-lithium-_JM,15,0,0,0,0,#674516231,Andis,ProFoil,Pro Foil,NA,80 min,220v,Ergónomicos
28, Philips One Blade Afeitadora Recortadora Qp2510 Oneblade ,1099,NA,188,4,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,5,https://perfil.mercadolibre.com.ar/FARMACIA+SELMA,https://articulo.mercadolibre.com.ar/MLA-784833769-philips-one-blade-afeitadora-recortadora-qp2510-oneblade-_JM,4,1,0,0,0,#784833769,Philips,OneBlade,QP2510,NA,NA,Batería,Planos
29, Cortabarba Y Cortacabello Philips Mg3730 Kit Profesional ,1699,NA,1648,45,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747798332-cortabarba-y-cortacabello-philips-mg3730-kit-profesional-_JM,26,15,2,0,0,#747798332,NA,NA,NA,NA,NA,NA,NA
30, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1459,NA,6,13,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,1,1,https://perfil.mercadolibre.com.ar/PPSTOREPEPPERSRL,https://articulo.mercadolibre.com.ar/MLA-737092131-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,0,0,0,0,1,#737092131,GA.MA,NA,GC 545,NA,NA,NA,NA
31, Afeitadora Philips Oneblade Pro Qp2521 Recorta Modela Afeita ,1399,NA,106,19,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,878,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-721060660-afeitadora-philips-oneblade-pro-qp2521-recorta-modela-afeita-_JM,657,157,43,8,13,#721060660,Philips,Oneblade Pro,QP2521/10,QP2521/10,45 min por carga,220v,cuchillas
32," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",1099,NA,380,12,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-733195547-recortador-philips-para-nariz-orejas-cejas-nt316010-_JM,14,4,4,0,0,#733195547,Philips,Series 3000,Nosetrimmer,NT3160/10,NA,Pila,Giratorios
33, Afeitadora Gama 855 Inalambrica Cortapatilla Dia Del Padre ,1125,NA,191,9,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,96,https://perfil.mercadolibre.com.ar/-MILYON-,https://articulo.mercadolibre.com.ar/MLA-670005766-afeitadora-gama-855-inalambrica-cortapatilla-dia-del-padre-_JM,47,34,13,2,0,#670005766,GA.MA Italy,GSH SPORT,GSH 855,NA,50 MINUTOS,Inalámbrica,3 cabezales
34, Afeitadora Hombre Gsh895 Gama ,2599,NA,NA,59,12 cuotas,NA,NA,Retiro gratis en local de Megatone,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/MEGATONE?brandId=82,https://articulo.mercadolibre.com.ar/MLA-807259905-afeitadora-hombre-gsh895-gama-_JM,NA,NA,NA,NA,NA,#807259905,GA.MA Italy,NA,GSH 895,NA,NA,Recargable,NA
35, Afeitadora Philips Aquatouch S5420/24 Eléctrica Recargable ,5999,NA,92,16,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,5,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-723885768-afeitadora-philips-aquatouch-s542024-electrica-recargable-_JM,3,2,0,0,0,#723885768,Philips,AquaTouch,S5420/24,NA,45,NA,NA
