search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
321, Elástico Trasero Afeitadora Seco Mojado Cuerpo Mens Grooming ,2630,NA,NA,100,18 cuotas,146.11,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-454258810-elastico-trasero-afeitadora-seco-mojado-cuerpo-mens-grooming-_JM,NA,NA,NA,NA,NA,#454258810,NA
322, Afeitadora Gama Gsh 855 Sport - Encontralo.shop- ,45,NA,0,5,18 cuotas,89.50,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ENCONTRALO.SHOP,https://articulo.mercadolibre.com.uy/MLU-463327746-afeitadora-gama-gsh-855-sport-encontraloshop--_JM,NA,NA,NA,NA,NA,#463327746,NA
323, Afeitadora Para El Cuerpo Philips Bodygroom - La Tentación ,26,NA,0,50,18 cuotas,51.71,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LATENTACIONSRL,https://articulo.mercadolibre.com.uy/MLU-464548481-afeitadora-para-el-cuerpo-philips-bodygroom-la-tentacion-_JM,NA,NA,NA,NA,NA,#464548481,NA
324, Afeitadora Philips Uso En Seco Y Humedo S1070/04 ,79,NA,46,14,18 cuotas,157.12,NA,Envío a todo el país,NA,NA,4.8,5,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444077546-afeitadora-philips-uso-en-seco-y-humedo-s107004-_JM,4,1,0,0,0,#444077546,NA
325, Máquina Afeitadora Recorte De Nariz Oreja Cejas Facial ,650,NA,0,15,18 cuotas,36.11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MVDSPORT,https://articulo.mercadolibre.com.uy/MLU-454216441-maquina-afeitadora-recorte-de-nariz-oreja-cejas-facial-_JM,NA,NA,NA,NA,NA,#454216441,NA
326, Cleaning Brush Gama Ultrasonic Pro ,3392,NA,1,4,18 cuotas,188.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FARMASHOPUY?brandId=176,https://articulo.mercadolibre.com.uy/MLU-459962385-cleaning-brush-gama-ultrasonic-pro-_JM,NA,NA,NA,NA,NA,#459962385,NA
327, Plancha Gamma Cp1 Nova Digital 4d Iht ,3495,NA,1,NA,18 cuotas,194.17,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FARMASHOPUY?brandId=176,https://articulo.mercadolibre.com.uy/MLU-459964611-plancha-gamma-cp1-nova-digital-4d-iht-_JM,NA,NA,NA,NA,NA,#459964611,15249
328, Afeitadora Gillette Prestobarba Ultragrip X 1 Descartable ,44,NA,NA,9,18 cuotas,2.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/PERFUMERIA+SAUL?brandId=585,https://articulo.mercadolibre.com.uy/MLU-462312811-afeitadora-gillette-prestobarba-ultragrip-x-1-descartable-_JM,NA,NA,NA,NA,NA,#462312811,Gillette
329, Las Mujeres Afeitadora Impermeable Ceja Recortador Remover A ,1345,NA,NA,100,18 cuotas,74.72,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-456520064-las-mujeres-afeitadora-impermeable-ceja-recortador-remover-a-_JM,NA,NA,NA,NA,NA,#456520064,NA
330, Afeitadora Recargable Panasonic 3 Cabezas Esst25 ,197,NA,0,9999,18 cuotas,391.81,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FERRETERIA+FERRESERVI,https://articulo.mercadolibre.com.uy/MLU-444085142-afeitadora-recargable-panasonic-3-cabezas-esst25-_JM,NA,NA,NA,NA,NA,#444085142,Panasonic
331, Afeitadora Philips Aqua Touch Copacabana Tienda Oficial ,139,NA,2,NA,18 cuotas,276.46,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/COPACABANA+TIENDA+OFICIAL?brandId=4,https://articulo.mercadolibre.com.uy/MLU-449470195-afeitadora-philips-aqua-touch-copacabana-tienda-oficial-_JM,NA,NA,NA,NA,NA,#449470195,NA
332, Afeitadora Electrica Impermeable 3 Cuchillas Xiaomi ® ,85,NA,0,1000,18 cuotas,169.43,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=KQApmkop5uuy%2BLPW%2FEDieu2S39xS0wsUDAkrt9zvkqG23s3Y8KThKvLqjv6KsCcbDSzvh3j5a1vym7btLV6mdpmJNkpFOxZfWYoMnJ5q7x2og%2FVL%2FufIOzNh%2FfSONtmpb6mK68MaYtQZjYCDfU1zEWGAD8RSryp20L1wGmGqZ1vcc0Kfcb5cpgMf21RmYbEdqn4NOCKAFGUY%2FmKJZKVp3%2FG936dld6RPaYnjam%2BqLY%2Bd9yOiFpZQpoZs%2FTHMeb%2BV3sNBxZfKx3yLLrboFdA%2FEhBzioJnw6NXupPNmtsIWLaNF1ZKlylwD%2BrisqF9CQ9z2vlSfovZoefKwjyi%2Fs%2FBfqzL8IZrzkNrMdm0ZgTVbMj%2BdBttLWTFrX6syg27O%2FOfBanWhyn0uj2aidhAKUdK1prRA8Z4%2B1M8NdRQGY3Sp%2BH9D%2BD8UyUJxqchcG1VgQSLKocx%2FS0PKFCgHOxKnvbhGFa8ax2WJW%2B%2BPclBhWaggBDZeofUCmI1xgKfGiJ3QqaZlYhEgvZrfPGjyG2M3%2Fzy9S6qG7BfA3j2JHDZWaJiYuIuo51PzqPlxEAR6spT2cGI0vg6Vij5erQH5UGaA%2B730FVETGAnT01E1Uj%2FftbpI6fcS0laazvGZNpGpxaEfJeJ%2BoNu%2F3P1ceHl9KsQJTc9jf35mmJmGbnDlI16iXf13M5XMfwsSHyaLJaLZJQ0eqsW3ApidpFOcZEYm3ZYWPv5hFfPC3IT8otLzxc%2BBm79IZkikF2MVCDhcRK90wAX501iE1w2yPdB4hEaGSORXX31gIbb%2FCfRwvqTDHqeFS8QVUVpboeQJuQuablUiNZH%2FdbD2Oj%2FEm4bIGUgWwkBS%2FP604iigQm%2BKsoK2WVSA05Ich9Gx68NMZAXijk13CTBhZf0NFp%2BLPccKEJNwgvdNNuzzoYdRxu9pIilF1IEDY8sQ45ua0q0bP%2BE1AqSLJ1vQJ8RREfoSQquVW%2BmhGE%2B5VWl38dqgUnNTSxjUJr4B%2B%2BcophOctfcOI4JZAbbscyWcyH014P1NsOILamf6Li4TexcmVxHE63JyRQC1werEgqms0S9HnozfulqlDymYaT2oP%2FzKqszb%2B7nNzkm1A3uMNnZllch9grmP3sFOmC9TxQONZCk2KYdqBbja4Wr6pAZuhKGOSCf3q0pCBAJQLoxVERgT1QHAtrL79YP47ORNkiSrPTC9E%2B8IzG2h96UJtZuxCjEpTn2%2F8F%2FlKCu53HFAdI49Kv%2Bl6TwUZI4F%2Bsc0UJjiY%2FA5lwwiGurh6SUSX7rJmcs21eH033asynxY2rC%2BuToZU1KelNp24E4yseUewbAEM0ckHwm83pknX5ub9qQRCQCb1iT2alwAPHfYBx4sylVMW2RoaHxNEEpiAXpVnKmzzCg%2F49bvVnycXqQsR2kWlA%2FNU%2Bxztaa0oRrREzm%2F9OhogDglPAH1tzgV6t3DsM%2FtV3zx06LiM0TqczpUa5Ie5aUEj%2BEQDOcH3Clhqn%2FOQh24ytD0HDLb2M5NZSoHHZsCNjp%2FTQ9iWouLvfa9wzNg8EazjpIDsjKmkEKqa4d0yt3TftwGMJDhDROHFCcckXsk3vnFE43cWl7QKDicVVCvzdeJYfZLOXZusWWmmGXL7%2F0z2BWUv7gacrICFLcO1bJUO%2Fg4S43ViE08CwQ5qI4lXRoe2Yewc1wOiGNSSHpkUj2NBFXsocihpo%2BKwW7NawO4GJrgKZm2bSi2w%3D%3D,NA,NA,NA,NA,NA,#464831366,NA
333, Mujeres Eléctrico Ceja Trimmer Cuello Pelos Axila Removedor ,1314,NA,NA,100,18 cuotas,73.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-454621465-mujeres-electrico-ceja-trimmer-cuello-pelos-axila-removedor-_JM,NA,NA,NA,NA,NA,#454621465,NA
334, Afeitadora Gama Gsh 900 Recargable Cortapatilla Nueva Barata ,1989,NA,0,NA,18 cuotas,110.56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GEOMARC12,https://articulo.mercadolibre.com.uy/MLU-461278698-afeitadora-gama-gsh-900-recargable-cortapatilla-nueva-barata-_JM,NA,NA,NA,NA,NA,#461278698,NA
335, 3 Piezas Afeitadora Afeitadora Cuchillas De Repuesto Cabezas ,1345,NA,NA,100,18 cuotas,74.72,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-451776732-3-piezas-afeitadora-afeitadora-cuchillas-de-repuesto-cabezas-_JM,NA,NA,NA,NA,NA,#451776732,NA
336, Afeitadora Corporal Philips Abrimos Todos Los Dias 10a20hs ,1744,NA,0,4,18 cuotas,96.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/SOLUCIONESSIMPLESUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=5fotJcrtiSSeg7sBoAMM5169Z1q2LTdagVvuAi7tLgzK8LvwvM5dSIAxIRyqrSUVFjuvY6zWAiuTuVllcihWVnQww78CTVygjqeE0yPr4ArG3m5M%2BtiQICwE0T%2FTeY69Ganfw8tEDokpiq5m%2F0oPikIL922UTFczIgeMRzeGocoLNeZh2NGs1tPHDe5EAZ1v3g4PUuHsN0dSN8QZUni9b%2F9WQx4ls3quFTFtq1TOFq0bTIP%2FZVs7VbfhIRUNoxL%2FeqKMJdO%2BFsFTDUeBuV%2FSCzaLfGR8BVxy5EsPxYllYlbYkkKyb3%2FJ%2BxGYq4%2Fmkptv9L3Ac4owLaYkJAgP4WVh17LJ%2FbyTtyezv3yQfsLAq0hB28wTQCOGDBkSXOrdLolXcEIieF2%2BIaU2BqTWC%2Ffxd9HxjIIwo947wzrVSoZvquNPpK78MQa2I%2F5MUR3fCjEgQex7P%2FHD7EitkGgW57DXWrIb0PHyBqj17XS2%2BqnY2ARIemqISQhF2ZcPplF7Pt9X5VggictEnEjU9lcFvvdVMAUR3CPt0ku6FSBjpGgaFPYAaoUOVQwy7lA7QWm8pMZaLDi9mda3z5OQwKxDIP8Anlg4iXbjaFHSC75zfr301AY8Jc4HjHbWKVk68aU1NyqCzi6XDrv8rlf22i2NpSwqwGI6MHZdvCO5sO499Q8LyIv5Js3AEeD%2Fl8Ira3l1s%2Fg0mEgukVIUz2ZApvXXiSNVhsdMn4%2F1tYexDyPsnefpN0ucL2MsS7zQf4s4jwgaIxIgHChECi0pLpPCWBaedbZ2DbNI%2FAhcQmSKt87RdSEu4qT3BwhMb12qpDWBDDKV%2BEPeCBhitgkPsUlF8mXCh5%2FsfWLnDALFBFtm%2BWYk%2Fwhq%2FBJeYeMiJohD1DqEcWdNc%2BP8fPjqn1K6%2FyEHeVEgtiY1SNoG8%2Fcr2k0JnXiFC1KrPFW7z74On%2FW%2FvtGQKarUnJ4damzO8QK2RS4SyJA8at%2F5jgwN7szQE5JJdORD7lNZDsiH8ePm00%2B8%2FGGdx2CdvmXV6GX0gL%2FD%2Fp8vI4ZuxNLB29FGJlhneF5oPv0BzsNNRCVLh5jyiwWViwff9m1g6x0zhoIuKYTGhUJ0dchq67lZL3kZIhAzyHyDs6jU9MrVwqS4sCc2O%2BiRpaNEFTUGIToU7%2FLCTAfMxfl6kYdmU2MzI1hSi0QvKyxWc3j48eEqKAEYlVVr5i%2FegMwWowcWf1avoMJpaZ7dg5TC9CcPK1I8jF9Y5nHKFWWWXcgPqNhYilD8VP7R3wDCjFN3Q%2Blgh9PODZ4D0aHEI1hwJT7g7eyhvJmN%2FPX3k82oO7CBpN0P35O7z%2FORrLRYCrpkBfMe7RnmbjD3zDxoqTVJkkGJbtANgbGaBnazzxkGY7CjADDlncEm3g8LcIqj1v5UJJ2XiyUSXR2547UgIuXI2epCmYNu2%2B9FU3Jv3IrGp%2B%2BkCgwbScNJalAfA476AtZ6kRQXoCJHHCTwjdXcsOQUyq1VDXDPPQyUzROu8%2B%2B2uDPDM8EPPMmjDYUgDkbv7DRcXGYvamucUg5mn5d4DdVOj4CUJ%2FxFlF%2Fpc72rljzFt1d%2Fzh5lTUatw1jPhy0NQ%2Fc8RoBwIkj%2FbLA324ZxTJLjrvtSl7DEEW%2Bpadi2H89dS4yqPK4deK38%2B7aLe98gHCiVTP32UNuzncAeizCoJ4mwDxT%2FZ8DyqBVXB%2FEeAQdYishxlMQe3BdCfkHSMdadsg9HnUPCbg%3D%3D,NA,NA,NA,NA,NA,#465288725,NA
337, Cabezal De Afeitado Rq11 Repuesto Para Philips Norelco Rq118 ,1681,NA,1,100,18 cuotas,93.39,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452849959-cabezal-de-afeitado-rq11-repuesto-para-philips-norelco-rq118-_JM,NA,NA,NA,NA,NA,#452849959,NA
