search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1811, Barbeador Elétrico Máquina Shaver Kemei Km-q788 ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 665
		
		 sem juros
		
	

	
		",65,NA,Envio para todo o país,NA,NA,3.8,11,https://perfil.mercadolivre.com.br/DMT_PARTS,https://produto.mercadolivre.com.br/MLB-1209070459-barbeador-eletrico-maquina-shaver-kemei-km-q788-_JM,6,1,2,0,2,#1209070459,Kemei,Shaver,KM-Q788,NA,Recarregável,Removíveis,NA,0.117 kg
1812, Peça Maquina Prova Dágua Philips 3000 Qg3340 Qg3352 Qg3347 ,319,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3058
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,NA,NA,5.0,2,https://perfil.mercadolivre.com.br/NS.BAZAR,https://produto.mercadolivre.com.br/MLB-754179415-peca-maquina-prova-dagua-philips-3000-qg3340-qg3352-qg3347-_JM,NA,NA,NA,NA,NA,#754179415,Philips,PRODUTOS NOVOS ORIGINAIS E COMPATÍVEIS COM LINHAS PROFISSIONAIS,PHILIPS SERIES 3000   MULTIGROOM E   - QG33 de 3330 até 3357,QG3330,Elétrica,Removíveis,NA,NA
1813, Sensotouch Rq11 Rq12 3d 8d S90 9000 9090 S95 Base Oficial ,134,NA,"
			
				Novo
			
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1125
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,NA,NA,4.6,14,https://perfil.mercadolivre.com.br/NS.BAZAR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=26DSXlAFSarZFfu3o8MRO4wv%2FwlfMPvzzakS8LJh3tHMQeFXWvbCHdJsLWNjPLYHt7eLird0tJYQOUCM6VMoota%2Fy7ZyU%2F90sOml87G7ZKhWZ0AYl1BJ7ghlfnMekufhqMEIjFHTp0c3YwGbm%2BdP8qI8OKRO3yClhgsIn%2FTB7h3OsP%2BnPJ%2Fv6KU%2FAGhrvgqkPqoQ5%2BkwzAgnS%2FmUk0bUr5JyerYFhATfGtqo5D5QwABpZj864wELzE1FOdAoNI6Qb5aH4IiCrU0KrlvWxiH8lCPQBkkygPsMUUBarEav8NlcaD6Vr6NzEPQc3%2BVN8DbvNTA1RBRK0Qqmp9oeYbUdELgj%2FHR%2F6Mh%2BpV6%2F5pB%2BsHQvCZ9GttU9hgTi34FvItzdlmyrPu9UluS2zFpECDAhonL5SjxPo8SIBYd77SsgDZVY2sy4mfQCZ8Cr86Pi1TBnbKqTjmm0dGSNuD5yiLTpN8TPdbo8cRw%2ByQAnA%2BP%2FU496Lurbd7oDFWt0lib7gC0xYsICZYNUYkGm1bkkC2EYI4VIF2MmP5%2BxUH%2Fk7pfUE6m5nd6JMjRBWse2gGtMssvgTbhZhKXnfXLmsodnrP%2F71V4ZAUiCRfLiZdifBaZ3t19jMCjJk5bCsYoGlWWCOwi9wifx%2BOb6cUiR1nIjuH3bNjhJYHcVohE3bOh1bCGoJafaoDtIloVBC8VIfJ05PMtGnmteDItT1Y20TB%2F%2B8Gm3HPOHXvOzKc5lKRQG46WfWLmk0DzJes%2FZ4ib8FTqAwV%2F9d%2FzTuEY2cs5KdDNqZKsaewDgLzDe7Umj686kBj8Xajd9NELH0bdfp5Rc62Onj%2BmYhFpDwNSBVcT%2Fi9xGnuMB74wovL%2BaL%2FclL2elOJui1Q0HuYkI0UBbojhNO4mw%2BbN%2F5yx32UnkmqrR4X%2Bwf3GjfQ87N%2FoWU57y%2BcsH6EzvXuYmfci%2BRS7vmA9Z76Lztp6YdjSfUmM7I%2Buw%2BzBDahNqqX7jORiPzGkHGPdJB0%2B%2BWtNBXjSQ66P6GLvxRL%2FN9bZVl1%2FpgYZVWTbtF%2FXmpvDdUr0LG3h8HKCwaCz6IJxQMyIyKWLgWqmIRWn%2BOXK5STMOAPlFrvGFya%2FigcDdfor4sggNnw0Wn%2Bu8iPhvkZKlW%2By9EnEwo9EdEFuBssNT0IsK1Xp0r%2BdZzs1IFG6mHcVg79igN0yeW6%2Fi5fpYbiw7AhVNY7TcPzeBnM%2BjwlKiKwJrK3UCsePuMPFp%2FFyEKlBc6roeo2MsQH5ztKd%2FJGplcZ8stKcRZHdl62R4Yi%2FteJ1vek1TGwEtrxEJ1aRaEoF6C2%2FOEnwWUxR0MQF8%2B5uq4Ai1tLQSWvBUgpUZXjbqP%2FlgUOMRYoYEQN2wAgIZh3nchFYo1Gi9elSbHVR%2BAqbL2mNwgq%2BRmzvUQvupT80EyiFJEgp5dFs7Idd8yWd7NjUbxBvUDo22%2BTh7zuLCLV3jpY8NyY982rJyKCzR2v6IUvN3%2BIStWwaK9ERseuIb5leP5HnWVaWg0Zx4iTAKdV9SrddS8P1zCtBiE2wfKU5HTSfsGVOhpjOYPv61Osj%2BGF0%2Fj%2Bef9pspDPvaEKXZ9i0WpG7cR2wYlM3NMV6lBUaw%2FvAn89G4R1ZpgKu9dDlQg3TXTMjcuQVAGvXBe3BdDyoUKEqsgverTRH74NEjU5EToACHnNuQNVI%2BAbr73NZj37AXOUJgS6fqyat8lEgWr9KQsN5eDCsjD1%2BtXHUZxx6sRoZ2z93F9KHONl%2FvkJR6JdtZshsji2AedOE%2FT8dnkFzUuu7jcylM9U5DPbBKHcA1Mg%3D%3D,12,0,0,2,0,#1293358982,Philips,Sensotouch Shaver RQ11 RQ12 8D 9000 9090 s90 S95AquaTouch,Shaver Peça Oficial Lacrado do Fornecedor de Peças,RQ1145/17,Recarregável,Removíveis,NA,NA
1814, Barbeador Eletrico A Pilha 2xaa Pailipu Pq 206 ,23,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 575
		
		 sem juros
		
	

	
		",75,NA,Envio para todo o país,NA,NA,3.6,22,https://perfil.mercadolivre.com.br/FIDELISPRESENTES,https://produto.mercadolivre.com.br/MLB-1069989787-barbeador-eletrico-a-pilha-2xaa-pailipu-pq-206-_JM,9,4,3,4,2,#1069989787,Pailipu,NA,PQ206,NA,NA,Ergónomicos,NA,NA
1815, Maquina Aparador Elétrico Nova Nhc-3915 Bivolt Perna Barba ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(34 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ITA+SUPERSHOP,https://produto.mercadolivre.com.br/MLB-874061675-maquina-aparador-eletrico-nova-nhc-3915-bivolt-perna-barba-_JM,NA,NA,NA,NA,NA,#874061675,Nova,NA,NHC-3915,NA,Elétrica,NA,NA,NA
1816, Barbeador Eletrico Philips Oneblade Qp2510/10 Seco E Molhado ,134,NA,"
			
			
				
				25
				vendidos
			
		",(871 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1289
		
		 sem juros
		
	

	
		",89,NA,Frete grátis,NA,NA,4.4,1495,NA,https://produto.mercadolivre.com.br/MLB-1223394423-barbeador-eletrico-philips-oneblade-qp251010-seco-e-molhado-_JM,1025,263,101,39,67,#1223394423,Philips,OneBlade,QP2510/10,NA,Recarregável,Planos,NA,NA
1817, One Blade Oneblade Qp2530 Com 4 Pentes Philips E Necessaire ,275,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(74 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2300
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJA.MORMINO,https://produto.mercadolivre.com.br/MLB-1102928092-one-blade-oneblade-qp2530-com-4-pentes-philips-e-necessaire-_JM,NA,NA,NA,NA,NA,#1102928092,Philips,OneBlade,OneBlade,QP2530,Recarregável,Removíveis,60Min,168 g
1818," Bateria Maquina Andis Shaver 3,7 V 800 Mah Li-ion ",89,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 742
		
		 sem juros
		
	

	
		",42,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LCAELETR%C3%94NICA,https://produto.mercadolivre.com.br/MLB-967206703-bateria-maquina-andis-shaver-37-v-800-mah-li-ion-_JM,NA,NA,NA,NA,NA,#967206703,Planet Batter,NA,AA-800,NA,NA,NA,NA,NA
1819, Gama Barbeador Gsh1000 W&d ,369,NA,"
			
				Novo
			
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3082
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/COELHO+FAST,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Sci6v%2BNzQZh0mNilIXiAPL7lnyJsm%2B%2FeoO4wmKVHoi%2BRNJrNAoAHg4KDguquGLxhuyljwDF41dUbU6FNViTm0x%2F7c1Yi6MR4jhh38vYuIcjfgfKTqsmUGZl26UvKJYjisiFXqCQ9g6dQemHdhJ8AnIyQnabtWJKorDrpQqIH1YwCXOFipJNNTf4z5GrDXPpP3Yrgpk9aVk9cQlRiAVO8zNFr49wy6ReOr20R5OzeWG6JZd6rSj7n2mCrvE4d5YclwMZRs%2BMzzk%2Fm1ImDSQRjW6dAorVMHIIjvZpWik0cinJJsBKriU7Cw8bI6ddsWevtM4qmGSw2MqCUXsIsl%2FHojA7ZztfHvyVz5JKEk%2BBwSd1uqdnnF%2BCuFxOQT1Cir3QW2yGR2HtCSyuQ0QZMNGqrWs6iBfJ0SG%2BGgSg6HaF9veLGpEN3G4Kjc4B6UAmzRCKdWL%2BYny3QfHrVM673toTKISOUEQeJNm7uJWxgIcKeN093lgoK3TMP8DEnNpLfVQK8y1uQ07PtGkAzdIOWnWNdZzfgohdMaThjEIJNmBDr9HbVCqFo%2BEx46Wxd8mjO%2FDwpfdwFudlouxL3lEIKQsLjDAXQg9wj97f%2FW01nGvJNN4cN4ZJzabJQgX9xTZb8XonTqlynPpyWEyFYEG0szfq7fyUSZPg7c6IqCOtcjhmI0zwq9jpcBxLNTeShfnCZxv8Lb9xVdBjy1kTYn4k382lf8Ov4XzGq%2B8up7oow6wOR4SnqQiyjk9G07WOaHVe4SqQPZzuRRfoyXTTtc0THmc3eXJhq%2BCkdqLxx4JQ48%2Fn8cIj%2Bw4fENvK5gznTfXBYOx5PtfcQ0mA7w9Y4v15IDYAWfHbSy96DyCYBSymNvZXcIZeFF4V4dh6K%2BHSn2qpZnEU76N3xizfEXyVb%2FkfBJ4rKn3Hfg9KdhX3RIrjD%2F72JmY8zLa9qQ43kvovwfCmFgpLA1sA1i4KhhgNJYncT48PUetvavPYXkZjr9oGT50VNfuK%2F7q8M468rwkGThpf%2BqBD50R4FtfoOuZe3%2FoeeONEpTdaWRdR%2Fnp2jBiMGz%2F5LSCDFxeesUflxC%2BXi068VpvNB3ZhEPTJUFkhj%2FHiIy1sH7RcL9oJR12HvYLpReo%2BRyFL6AaHSqauoHZBB35l39IFtwic7Iz4G0XQcYaqIUhgRin0L2HcswRgtr9q32t7cBbRGLc0qctEU1ITzt9I6O5baMJbijuufgXCnmC9LH2G%2FXQyk62xwPMyG36Q1kVQpk0JPZjN24r8aJbD08km5jSQH7ZEh4tv9HC8MOFQocjmxqrmDovra8Wu5L4%2Fy12WByjzlX0p%2FeFTZ58WeVtomLng76x7DGDJDaXQ%2FQiemxbFVfkr%2Fa4wXsmDMgNJrA0qSV8WQN38JAfVglceArwEThD8%2FoTFTRQdVjA5Ht72NrUNuJwdR7%2BhyeW%2BuRwQNDwSPsH2p1bkyRFn8X4ZX0tKuB%2BRp1wAkDe7OPMkins2EPg4Z1bchYs52szQfrKnzqgh1lYTrkJpvNOFWWllenCBc0fdvxJ6TxpvGT%2FP4cyZZ1CFZboSKouUAJAwZQV3hfMtsIlLigyjzESh7i1FeJLB61cbT1zCURUTcd1VTbqK%2FntU06TaBJRb1aMAiLPHZw0VsM3RVdT3Czid4bKBp04XF2KYhCt5g1xzis3YKRQgjbVf4AAO0rt0FemWSW41fxBmcBXuZsXhQ4sEqgedUHsWx1gXnoQc%2FugN%2B7KMWrMc%2Bvnk%3D,NA,NA,NA,NA,NA,#1274283788,GA.MA,Gsh1000,GSH1000 W&D,NA,"Uso com, ou SEM FIO",Cabeça Flutuante (3 anéis de corte por cabeça),NA,NA
1820, Barbeador Oneblade Pro Philips Aparador De Pelos Original 2 ,217,NA,"
			
				Novo
			
			
				
					 - 
				
				36
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,NA,NA,4.4,1495,https://perfil.mercadolivre.com.br/BELLA_STORE_SA,https://produto.mercadolivre.com.br/MLB-1082965427-barbeador-oneblade-pro-philips-aparador-de-pelos-original-2-_JM,1025,263,101,39,67,#1082965427,Philips,Barbeador Elétrico,OneBlade,QP2510/10,Recarregável,Flexíveis,30 min,NA
1821, Barbeador Elétrico Recarregável Bivolt C/ Aparador De Pelos ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				41
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 582
		
		 sem juros
		
	

	
		",82,NA,Envio para todo o país,NA,NA,3.4,5,https://perfil.mercadolivre.com.br/FAITHSHOP100,https://produto.mercadolivre.com.br/MLB-778677849-barbeador-eletrico-recarregavel-bivolt-c-aparador-de-pelos-_JM,0,2,3,0,0,#778677849,Roadstar,NA,RS-806B,NA,Recarregável,NA,NA,515 g
1822, Kemei Shaver Maquina De Barbear Modelo Km-1102 ,114,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.5,40,https://perfil.mercadolivre.com.br/TIFFANY+VENDAS,https://produto.mercadolivre.com.br/MLB-1189994761-kemei-shaver-maquina-de-barbear-modelo-km-1102-_JM,26,8,3,1,1,#1189994761,Kemei,shaver,KM-1102,NA,Recarregável,Ergónomicos,2 horas,NA
1823, Barbeador Elétrico Super Moderno Tecnológia Alemã ,150,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ALWA4051750,https://produto.mercadolivre.com.br/MLB-1271553551-barbeador-eletrico-super-moderno-tecnologia-alem-_JM,NA,NA,NA,NA,NA,#1271553551,Solo,barbeador elétrico,outro,NA,Bateria,Flexíveis,NA,NA
1824, Barbeador Elétrico Solo Corporal Rosto Oneblade Já No Brasil ,79,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 666
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ARYANE+STORE,https://produto.mercadolivre.com.br/MLB-1274417710-barbeador-eletrico-solo-corporal-rosto-oneblade-ja-no-brasil-_JM,NA,NA,NA,NA,NA,#1274417710,Boxili,Barber,Solo,NA,Bateria,Removíveis,NA,NA
1825, Kemei Km-1102 Recarregável Com Lâmina De Barbear Elétrico ,114,NA,"
			
				Novo
			
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,NA,NA,4.5,40,https://perfil.mercadolivre.com.br/QBELISSIMA,https://produto.mercadolivre.com.br/MLB-751262448-kemei-km-1102-recarregavel-com-lmina-de-barbear-eletrico-_JM,26,8,3,1,1,#751262448,Kemei,barbeador e corte de cabelo,KM-1102,NA,Recarregável,Ergónomicos,2 horas,NA
1826, Barbeador Elétrico Máquina Shaver Kemei Recarregável Bivolt ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(93 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 638
		
		 sem juros
		
	

	
		",38,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJASANTAANA,https://produto.mercadolivre.com.br/MLB-1258329549-barbeador-eletrico-maquina-shaver-kemei-recarregavel-bivolt-_JM,NA,NA,NA,NA,NA,#1258329549,Kemei,Shaver,RSCW5500,NA,Recarregável,Removíveis,NA,NA
