value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,meses,meses,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís
2,años,años,Envío gratis,,"Si no te gusta o no te queda bien, devuélvelo."
3,días,días,Chegará amanhã,,
4,,,Entrega a acordar con el vendedor,,
5,,,Envío gratis a todo el país,,
6,,,Lo retiro en la tienda del vendedor,,
7,,,Lo retiro en el domicilio del vendedor,,
8,,,Envío,,
9,,,Llega gratis mañana,,
