value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío gratis a todo el país,,
3,días,días,Lo retiro en el domicilio del vendedor,,
4,,,Lo retiro en la tienda del vendedor,,
5,,,Retiro gratis en tienda del vendedor,,
6,,,Retiro gratis en tienda de MobileHUT,,
7,,,Entrega a acordar con el vendedor,,
8,,,Envío gratis,,
9,,,Envío,,
10,,,Retiro gratis en tienda de LOi,,
11,,,Retiro gratis en tienda de Geant,,
12,,,Retiro gratis en tienda de Office 2000,,
