search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Conectores de entrada
399, Parlante Mini Portátil Inalámbrico Luz Bluetooth Radio Usb ,199,NA,127,29,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,3.9,16,http://perfil.mercadolibre.com.uy/ML+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-444556183-parlante-mini-portatil-inalambrico-luz-bluetooth-radio-usb-_JM,6,5,4,0,1,#444556183,Genérico,Genérico,3 W,N/A,NA,NA
400," Patineta Electrica 6.5 , Luces Led, Bluetooth, Parlantes! ",8990,NA,2,48,18 cuotas,499.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TS+ELECTRONICA,https://articulo.mercadolibre.com.uy/MLU-460327467-patineta-electrica-65-luces-led-bluetooth-parlantes-_JM,NA,NA,NA,NA,NA,#460327467,NA,NA,NA,NA,NA,NA
401, Parlante Bluetooth X25 Portable 3w Rms Mic Microsd Aux Loi ,347,549,1,999,18 cuotas,19.28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464590826-parlante-bluetooth-x25-portable-3w-rms-mic-microsd-aux-loi-_JM,NA,NA,NA,NA,NA,#464590826,NA,NA,NA,NA,NA,NA
402, Parlante Philips Bt 100 ,27,NA,2,NA,18 cuotas,51.97,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/PUNTOLUZSAPUNTOLUZSA?brandId=76,https://articulo.mercadolibre.com.uy/MLU-456027997-parlante-philips-bt-100-_JM,NA,NA,NA,NA,NA,#456027997,Philips,NA,NA,NA,NA,NA
403, Parlante Bluetooth Energy Sistem Tower 7 + Envios Gratis ,195,NA,1,9999,18 cuotas,375.38,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MONTEVIDEOPC1,https://articulo.mercadolibre.com.uy/MLU-458754050-parlante-bluetooth-energy-sistem-tower-7-envios-gratis-_JM,NA,NA,NA,NA,NA,#458754050,Energy Sistem,NA,NA,NA,NA,NA
404, Parlante Portátil Jbl Charge 3 Waterproof Bt Teal Zonatecno ,6699,NA,4,8,18 cuotas,372.17,NA,Envío a todo el país,NA,NA,4.7,27,http://perfil.mercadolibre.com.uy/ZONATECNO?brandId=628,https://articulo.mercadolibre.com.uy/MLU-458048069-parlante-portatil-jbl-charge-3-waterproof-bt-teal-zonatecno-_JM,20,5,2,0,0,#458048069,JBL,Charge 3,20 W,Pasivo,NA,NA
405, Parlante Portable Bluetooth Inalambrico Sd Radio Fm Usb ® Ty ,337,NA,12,49988,18 cuotas,18.72,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-458116375-parlante-portable-bluetooth-inalambrico-sd-radio-fm-usb-ty-_JM,1,0,0,0,0,#458116375,NA,NA,NA,NA,165 g,NA
406," Parlante Speaker Bluetooth Ozzie, Resistente Al Agua! ",1690,NA,15,2,18 cuotas,93.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/UYMERCADOREY?brandId=579,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=MV4cvCE%2B4yJU%2FE%2BreShIGV6DLj4SI53wvpY1aQKnhXcL3UNLHzfioxG%2BsCG2Fwm44b8shjWtf2mpR5yaFB6IrwUaYdw7Qb%2BCURqh1zdhMMYJl8yYcSfxm5Pi1p61kbqa8vWxtUlhP6rTVumzn%2BTOxIDCMNP2%2F6BlX2RQ9K89X9l0ppiKlw%2FUMDONTMX05Jh4F3uH4XiywADnpiCBmdPywEhypmaF2HQrN08GSl9OusdlbotqwUaTlNrJOmGyfG7MT%2FKU3NL08ZvdAC6H4MREj%2FGDhEFFY2672BZnmi2AzZgn%2Bj4mL%2Fp86yTzyG7Jtq0ONu%2F8EDz3QNo2s4MrfdiRwGh4LjQShTth2sU2hzzBc7pYW26g1oXgS9iY3WWA3oa2FLLq4mIWRLazu1bPebEiAGqzxrfiTHSLL9RDek4mmFkEpBErMz8s9Nr0eju51lJEClmPkBipFXwWGB4OlHxObYrAzHIozskhDrC%2Ba0myTAPh8yT8Lxt2q4kq0FuqNTQpdj5T%2BILles2b0UO6KquooZ3CiBK6oOfY3yqgfboiFBx8QYXq%2FxE9L5cOlxF2RKneH4hSDKi56AvpmgrWoxx1kxLLrqcMCgCq0oZbSBDs5CcOaFLh6%2FRnvYxX86Eq%2FoBJelujalqm8Qqs%2BcmkIISGVNnsH4zAVVlOvIqhg3LGULw6Pra5bI4cDNcNH6hfwZNHeZ7Q5htsbpBWyiRwqRpYuAdkZLLbbBUkrEVOULKTTsUw3eLq8xsxH3qgrE2ummaXzc1JgbU%2BD%2FfMEwx4K2Ur4Hq9QeXLFnUIotnkCjJ%2FZ5H6wo0AEHj7%2BFkpyjf0A98mMzsNB7lj%2FX6eRnu4moJvYqF0Kui7eIjYMJWFivYWhxwJVUfbW3KmgK6LHr6AJtvoVItMKQi%2BTbx3ttyG%2B%2FlUfh4hVr7M3ntbVh2ZuRBrpeaHjicES84PFvmNS8gTUsrtJow9PtiNzHZe%2BA8ZqxeGaVKSncmCs5czyLy2i70zSmwIDVML4nlmeigNUvn2W5W%2BMUPhx2V35M2odAvedFYgA4KzYHMFGjh12kv2V0aJg4zYRLJbN2d7ybt6yVK8YAltxhsoxRUwTGw4O%2Bg4fzxryPqO6FIpKux2GG67GJQ9tmksjM534X65s%2B4Hq%2BGFIpnGKNpLpg3eNL1dC5VLcM%2F5SHuw6WnMVMt%2Bjlvo7rU90hbR0YD9RL3qPjxuKWIvxaZ6cNku8kjbw8SpxbfRBzMOJUDeZ2diyz2%2FgYRW9uhA5%2B%2Bk1itHxY%2FYKkMOxG3sLk3euwo5aQlYMjlr4DgSN03XyQuy%2FH9a%2BQNrJl3Ud0LiQsBxlGENGuelXrbevt%2F5hbWE48vFjgWMfWDUdXygPZbDE1JdNxQrd7%2BS8Enzx29SRbRe2nnHoFlnAyfwR%2FCsP1S8WrkJMKygmHiZWa052ahG6Dhu5joDOc5YV5bvNV351HR9B3Sxa0koSBVlLQSoPlFVFp78jaIikyuYyeBaZ1jWh9d9RphCjM9OIKsTgQiR7O44llZ0Q75fODAp4B%2FCJVlh7VL91OJW1DL4qHKrFbB4CGeWFR19DICPz15xq4QCZgV11Qxh9Umbkcdar%2FrWfjCQNRLGLvBGufTZQbLp8yfDG11QMYKOtkVxeOgtdED28vxq%2FT7SO7k8%2BjGZIZm3P3g6%2F%2BDfJYSmP8AP22sq%2F5tDGgugApb9vhE1FlT8kGCw1w%3D%3D,NA,NA,NA,NA,NA,#456278628,NA,NA,NA,NA,NA,NA
407, Parlante Shower Bluetooth Resistente Al Agua Redondo Usb ,240,399,1,8,18 cuotas,13.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/UNIVERSO+BINARIO,https://articulo.mercadolibre.com.uy/MLU-464307337-parlante-shower-bluetooth-resistente-al-agua-redondo-usb-_JM,NA,NA,NA,NA,NA,#464307337,NA,NA,NA,NA,NA,NA
408, Parlante Torre Xion Xi-tower1 Luces Led Bluetooth Albion ,79,NA,0,20,18 cuotas,152.07,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTASALBION,https://articulo.mercadolibre.com.uy/MLU-450948990-parlante-torre-xion-xi-tower1-luces-led-bluetooth-albion-_JM,NA,NA,NA,NA,NA,#450948990,Xion,NA,NA,NA,NA,NA
