search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Voltagem,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Sensibilidade de entrada,Resposta máxima em frequência,Resposta mínima em frequência,Conectores de entrada,Peso,Largura,Altura,Profundidade,Cor
1," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",207,NA,"
			
				Novo
			
			
				
					 - 
				
				736
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1732
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,26,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,21,3,2,0,0,#1147417505,Mondial,Thunder VII,MCO-07,MCO-07,Bivolt,80 W,Subwoofer,Subwoofer,Alça para Transporte,Caixa,Digial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				183
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1082
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2360,https://perfil.mercadolivre.com.br/SHOP+MIX_ONLINE,https://produto.mercadolivre.com.br/MLB-1232778245-caixa-de-som-bluetooth-pendrive-sd-auxiliar-charge-3-_JM,1752,335,136,53,84,#1232778245,JBL,NA,Charge 3,NA,NA,20 W,Subwoofer,Passivo,Portatil,Caixa,5.1,2,80 dB,20 kHz,65 Hz,NA,NA,NA,NA,NA,NA
3, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,53,NA,"
			
				Novo
			
			
				
					 - 
				
				283
				vendidos
			
		",(42 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 614
		
		 sem juros
		
	

	
		",14,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,13,https://perfil.mercadolivre.com.br/PLACECOMPRAS,https://produto.mercadolivre.com.br/MLB-1189229037-mini-caixa-de-som-radio-fm-am-sw-portatil-mp3-player-usb-sd-_JM,11,2,0,0,0,#1189229037,Briwax,NA,BX-667 / BX-670,NA,NA,3 W,Tweeter,Tweeter,De piso,Caixa,2.1,NA,NA,NA,NA,USB,830 g,NA,NA,NA,NA
4, Caixa Bluetooth Jbl Go2 Original Lacrada Várias Cores ,207,NA,"
			
				Novo
			
			
				
					 - 
				
				604
				vendidos
			
		",(9656 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1988
		
		 sem juros
		
	

	
		",88,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,24,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1204735042-caixa-de-som-speaker-google-home-mini-2019-em-portugues-_JM,23,1,0,0,0,#1204735042,Google,NA,Home Mini,NA,NA,2 W,caixa,Passivo,multiplos,Caixa,mono,NA,NA,NA,NA,USB,350 g,"3.86 ""","3.86 """,NA,NA
5, Caixa De Som Speaker Google Home Mini 2019 Em Portugues ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				310
				vendidos
			
		",(50 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1831,https://perfil.mercadolivre.com.br/SHOP+MIX_ONLINE,https://produto.mercadolivre.com.br/MLB-1177468854-caixa-som-mini-bluetooth-pendrive-sd-fm-auxiliar-_JM,1186,311,170,67,96,#1177468854,JBL,NA,Xtreme,NA,NA,40 W,Subwoofer,Tweeter,Portatil,Caixa,5.1,2,80 dB,20 kHz,70 Hz,"USB, Leitor SD, Auxiliar",780 g,NA,NA,NA,NA
6, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				249
				vendidos
			
		",(23 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 925
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,23,https://perfil.mercadolivre.com.br/BREVISTORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=O67pehxZPPT9MxgorPGcBm9NYwr5AfaWCds2TmvcbxKeThevVybp0DsVz1ccaVLdKq8bC%2BCCXc6biUcFDXYaU7TeceLWZfW9IShflSyoOaGIpb%2B1%2BoaxSF%2FRA%2Bdy1693a%2FmK31Eg1NTHUt4MgosQamUXfcPVhzcQkBd%2BvE1N179Az2ThRKlohG95jz5YwwiagJTjeTYVJQtDtUTfJ%2BpNhZvqQ5XxRzWfRtyGWgzk9onYjEjwQI5HudkFqdCRrTnZYl9vYu%2FnqtEE6d8Ja%2BKzbw8VkyriMuuYskIxgqQYfxr65kSH5jgh%2FBrBuQuOvWGU8bQfH3mJCWxpDPbRl0zjsRnBHfWs0gZCmR%2BOQCOzHGYhto2UyCEUX%2By%2B5WgXsvKAfEWOHb7M6mEQyjP2yO8hCi%2FRxoFwYdtgWaWq365d2JoHZt6nNSz6qaLWQTbYtgTlcEuo65nsEvRxmJ0il02XuPF%2FRXGBB6xjd5SfbEi7e0T%2BRMfoXz98qP%2BXBBWexCdNWaJMxnrPW4bQJy5ZufFbo9VnJOUol0s6NCV%2By8ilwaplTQFmDh5UGEijMsrVuzfOh9GJS1cH5mizMWDtIqETLvgWbb5KdLXzT8QbU5JOGzS0%2BlvldOIlUGI%2FB%2F1lbwwFhfrbiImHLWr9YhEXJzdzkLq9PPcQMkuOKqDT4r53Lxs%2FgsKAYAW28GwVNOkjlWzwoYKSBRzysutDbCNkZDYpmh9ttH5Og18%2FqNMwlR8pLERhHgd6u6WT4Wp96Bq7p61RQeeDNWGPmL910cNYtQoEAwVbjfXXdzADK6Rj3PugEFHvl67ZJcX%2FWIlxuoxmOTUALNGGg5TW4WWpFZA2tUXNky%2B%2BOkj610qHE%2BvQBfWmVsajpVPQTi8dgNe4CrbLMKvFxRIOStJP%2BzsbXtAdQDnR9s1N%2BwcWOtaCGBYZ0e%2FW%2BY4hWzE7VwZMTyJwTFZjmGcotXqmfn%2Bf4h%2FLq6o3XrGujh8PK%2B4hZtTS6LhUM4wz5XAsal%2FJtrVI4pA%2B2dv7kW%2Fd1hRZ0a3ZeoQAm8RzfDUqGlPFoXwc8NfNciL1TEuvpJ5HXFVBBit2ubJmMDMs5Z5GRnt69kNJHomRt1hJvZSPhf05M95w2ll8LfEdE8ZEFw%2FqoO3FUn9vGTRNupIUZvFD2UzJqh%2BYVlb%2B7xOjkTwbhtLD614WIOKPQoi1ylIohPR58NRIh5hQBRfR5YcJwxvdEsqsGmC4IfFepONJPd7wwn1pkaJmGqCVhoXXNhJZa5uYiF5CqM0%2Fi2EmyBsBy4UPM4yyxBrrym5jlRSS8a%2F2B9WG3Y%2FDYUrAcjwDHJ%2F6UBEVWtVh0mB9HzGVcT52T9fzzp0SuHSkGGP4MJSkzodzHsZ82YGTLNRerIpG5ZKxGUz2P3Av0hKJHuoB6s2pqgI3lYast7pHZURc%2FNFxkIP%2BqFCNtg6NBm7ymXiEMip7uaaIGL3Z4j1FrpctxvjseQZ6EXJZyUOD0QjkfiyZ9uRYLitSPz%2Bza%2BXDIFMUYPXANsZ2tHSewJ6UCY6KpdWA74K2bU76k8rAJ87lqDRM3AEemHJSVH3vB%2B1BW9o5fzk2pjcZeS%2F1ZgOpyPjskCdjcBOri5cH1xZyfWiUj6sK1%2BMuustoooC2EntlSAijZOEUS2fyIbTGB4bcmiILhlICUSEJF2oNoPj8yLXMDE75a9dCkdyUGBlaEW9QKnIVvw730xtog5B%2Bo5DeUAtm7mWYCdawld5KJ62a7Dt%2FsOna1QIUbEffej4URBAf1SRuLFpgWCLRZ1Ed%2B6A1Ed44xyRZclaRCmhucRnr2Y4cGvijgof4VNN5dFPHO9aXMxk91t7MrRKpJtcXGcPcunnoFr8WxAV9v%2FICRpaTSQVwhA%3D%3D,14,6,3,0,0,#939772594,Exbom,Bluetooth,CS-M33BT,CS-M33BT,110/220v Bi-volt ou 5v USB,10 W,Subwoofer,Ativo/Passivo,"Sala, Quarto, Cozinha, Praia, Sítio",Caixa,1.1,2,NA,20 kHz,85 Hz,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",NA,NA,NA,NA,NA
7, Caixa Som Bluetooth Xtreme Mini Potente 40w Rms Radio Fm ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				1013
				vendidos
			
		",(260 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,42,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,29,7,3,1,2,#1114227033,Grasep,Voxcube,D-Q10,NA,Bivolt,30 W,Woofer,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",Caixa,5.1,3,NA,NA,NA,Entrada para Microfone,NA,NA,NA,NA,NA
8, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,148,NA,"
			
				Novo
			
			
				
					 - 
				
				565
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1233
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1470,https://perfil.mercadolivre.com.br/VRJ+IMPORTS,https://produto.mercadolivre.com.br/MLB-1222327188-caixa-bluetooth-jbl-go2-original-lacrada-varias-cores-_JM,1348,97,18,4,3,#1222327188,JBL,NA,GO 2,NA,NA,3 W,Caixa bluetooth,Woofer,De piso,Caixa,NA,1,80 dB,NA,NA,Auxiliar,NA,71 mm,86 mm,31 mm,NA
9, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,229,NA,"
			
				Novo
			
			
				
					 - 
				
				98
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1917
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,6,https://perfil.mercadolivre.com.br/POWER+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1164624221-caixa-som-bluetooth-fb107-40w-rms-mp3-usb-aux-radio-controle-_JM,4,2,0,0,0,#1164624221,Briwax,NA,FBX-107,NA,(Bivolt),40 W,Tweeter,Tweeter,De piso,Caixa,5.1,NA,NA,NA,NA,Entrada para Microfone,2.75 kg,NA,NA,NA,NA
10, Caixa De Som Speaker Google Home Mini 2019 Português - Preta ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				12472
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1282,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,789,260,122,45,66,#757364044,Infokit,Bluetooth,VC-M874BT,VC-M874QBT,110/220v ou USB 5v,12 W,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Torre,Bluetooth,3,80 dB,NA,NA,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,17 cm,36.5 cm,14 cm,NA
