search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante
1, Parlante Bluetooth Soundcore Mini 2 Anker ,139,NA,9,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,2,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434540089-parlante-bluetooth-soundcore-mini-2-anker-_JM,0,2,0,0,0,#434540089,NA,NA,NA,NA
2, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,41,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM,5,1,0,0,0,#435227656,Amazon,Echo  Dot 3era Gen,NA,NA
3, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,29,21,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA
4, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,39,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM,2,0,0,0,0,#428636742,Samsung,HW-N300PE,NA,NA
5, Parlante Portatil Maxtron Urban 8 Bluetooth Karaoke Fm Usb ,123,NA,7,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666277-parlante-portatil-maxtron-urban-8-bluetooth-karaoke-fm-usb-_JM,NA,NA,NA,NA,NA,#434666277,NA,NA,NA,NA
6, Google Home Mini Charcoal Smart Assistant No Chromecast ,135,NA,29,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,2,0,0,0,0,#435158863,Google,home mini,NA,NA
7, Parlante Potente Bluetooth Recargable / Usb / Sd / Radio ,54,NA,23,76,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-431706450-parlante-potente-bluetooth-recargable-usb-sd-radio-_JM,1,0,0,0,0,#431706450,NA,NA,NA,NA
8, Parlante Portatil Mini Speaker Smart Bluetooth Radio Usb Sd ,18,NA,33,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/LIZANDRIAN15,https://articulo.mercadolibre.com.pe/MPE-431775835-parlante-portatil-mini-speaker-smart-bluetooth-radio-usb-sd-_JM,1,0,0,0,0,#431775835,NA,NA,NA,NA
9, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb31 (azul) ,369,NA,11,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904503-parlante-sony-bluetooth-extra-bass-inalambrico-xb31-azul-_JM,NA,NA,NA,NA,NA,#431904503,Sony,NA,NA,NA
10, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,340,NA,4,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM,NA,NA,NA,NA,NA,#436941118,NA,NA,NA,NA
11, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,339,369,14,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM,7,2,0,0,0,#432200042,JBL,Flip 4,20 W,Activo
12, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,33,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,14,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM,12,1,1,0,0,#428500548,JBL,GO 2,3 W,Activo
13, Jbl Charge 3 Parlante Bluetooth Acuatico Sumergible Portatil ,499,NA,3,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432339590-jbl-charge-3-parlante-bluetooth-acuatico-sumergible-portatil-_JM,NA,NA,NA,NA,NA,#432339590,NA,NA,NA,NA
14, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,15,42,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM,7,2,0,0,0,#429687772,JBL,Flip 4,16 W,Activo
15, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,559,659,5,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#434111505,JBL,Charge 4,30 W,Activo
16, Parlante Bluetooth Jbl Xtreme 2 Sumergible Sellado Garantía ,959,NA,1,49,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-435373873-parlante-bluetooth-jbl-xtreme-2-sumergible-sellado-garantia-_JM,NA,NA,NA,NA,NA,#435373873,NA,NA,NA,NA
17, Jbl Flip 4 Parlante Bluetooth Original Acuático Tienda ,349,NA,12,993,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM,1,0,0,0,0,#429636474,JBL,FLIP 4,NA,NA
18, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,266,742,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM,3,1,2,1,0,#419076361,NA,NA,NA,NA
19, Parlante Bluetooth + Subwoofer De 70 Watts Karaoke ,169,NA,42,191,NA,NA,NA,Envío gratis a todo el país,NA,NA,3.3,4,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-421436494-parlante-bluetooth-subwoofer-de-70-watts-karaoke-_JM,1,1,1,0,1,#421436494,NA,NA,NA,NA
20, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,18,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,1,0,0,0,0,#434444301,Sony,XB12,NA,NA
21, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb41 (azul) ,549,699,9,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904354-parlante-sony-bluetooth-extra-bass-inalambrico-xb41-azul-_JM,NA,NA,NA,NA,NA,#431904354,Sony,NA,NA,NA
22, [ ] Parlante Portatil Micronics Sound Master Bluethoot Micro ,290,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,https://articulo.mercadolibre.com.pe/MPE-436529376--parlante-portatil-micronics-sound-master-bluethoot-micro-_JM,NA,NA,NA,NA,NA,#436529376,NA,NA,NA,NA
