value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío,,"Si no te gusta o no te queda bien, devolvelo."
3,días,días,Envío a todo el país,,
4,,,Envío gratis a todo el país,,
5,,,Llega gratis el martes,,
6,,,Retiro gratis en local de Frávega,,
7,,,Retiro gratis en local del vendedor,,
8,,,Entrega a acordar con el vendedor,,
9,,,Chegará amanhã,,
10,,,Llega gratis mañana,,
11,,,Retiro gratis en tienda de Geant,,
