search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Modelo alfanumérico
14, Auriculares Bluetooth Inalambricos In Ear Earpods + Envio ,998,NA,"
			
				Nuevo
			
			
				
					 - 
				
				577
				vendidos
			
		",(98 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,25,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1tMRn4XYswbHeSac7giqNG57Uje08vNuCRU7t4yrPfZkNQ2dgz8EM%2FNKpgQj34IC%2FO84PPm1ASNy4mMEy5AcK43C0mVtFjWyGDpLd8oX7jsA0%2BT8kbwM%2BW8ySjxRxB1bApIcq5l%2BD3YBKAAF2UaYFUYfEqbWl0eVcGQ69ew5Ah2m47vd7Dwby4%2BbZUff3EX7GuWzNdFoUwpNOxsmFuN1MIDikyjW%2FmTwK7JpuoK6N%2B223twlvtzTLdhTQYIxTOb5ZraHIKe4VsOoYOAyEBRV%2BUd%2FpTbWeu%2F0uXK9pPFWd4Oe%2BVx7wTncF8OSUTWmm2y7tqkjwOwsfAbS0JsED3NWn1fPwKXo%2F5ghHswz6edKruIJ1zGjMYquainH%2FGBk5pxW9OFXjHlpo1DINNHLFpz9rOTghwErl%2BYml4N09VBE0fgNuIGBeXjhGisBZGTP5KXt6w9RzrnU0hUqWUAaxg6j8Mclb2ak0DhkgOrolAYvTgxh3P4Ptx12%2F0jnZ%2BnRRs%2FDpgdaesJc%2F6Aq6%2Fvc1C4LYyiPIzPb1QH9AsD%2FbxQGoV7GeclurOfqJzmpcJ0CEyQyjZpf4bdcFO1unQjsfqtDPesVqw4QKfZWgYRGOklxqokRRMaX8BBb29dpNw3DULo6%2FyKhUEmv2A7KSc1UbNhYq6ggmvjyBUTygcGLUhHXMmlHVM2LdcfiiZk54MV6%2F7v6bzYFXcxBPnKWebujsjpBeugiD%2FmoB5ZwTwQECwA6TBQgpnlpKZkaKE2zR3dO9yQRXC8vTjrFSTt8c%2BFxU4sYlCAiQhCamjZe8WcxDPI3QvlVpS%2FfJs3%2BJnhxE9Qm5s8EvI4tmttJUmF%2FuSrHDok3HRmFyLIl57b0Y5IdmLhqQBhcVouO0ZG0e73cpVAEVAAEmumzNUx3VnHjagusluII%2FXODDtb2bi6Eg9Fnc%2BVN4JcAkwRhhabz80VsRyJqclBWwg2U7lWZZchok2o062jeKOotjA4IxTH0BFKetOKDI%2BgIUtqxbXMHEoSC5QkwsKsh9PbxxaQj3gg%2F0fgwxgG7XDZU8QwAhr8LHVdFMin95z94e7rPnFbr59D%2Bw5pQPBxK0toJLfk4FhLDRVF0KsEXEvgm0eH0lOWzJkTaQem61mYsR3vaxvg7npAnUR%2FXidvb2cTFTS%2F8Uqqx4mflunuV2F2WFM7uN2WfWsYObjFWQOOzb5T%2FO%2FoqaMbSDYiktTiz%2F52iqKn1qmt8IdIIFo81Yw2d4uzlNTv3j%2FArmVquqKUFN3Q%2FmhDuGgT%2Fp5nIUdz2J4phbmm%2BYt1ZxM4Nu69DhwY11qVAVID1CkMW8LlblJ6EVmmT%2FJ6SsVlVK1zKKa8rj9JdayHs00I%2FI8vCwPrMw1OfjDmU1DPHJTXOdn13cCCfx%2BAVSPR6yYOijpCoE%2FHhU9eJARZaL3JInihu9lqaQKJj58ivFZbwIc0z6PleV9663qEu6tqKfYY9R5TsTk9nf9lCjmIlOyOsxwsFJgF%2BMT0zUi304n2su2TiGs5vY85GFg7oIJMuebIeUHp%2FAX4N9F6x9crwtIvVTRMGWvUrB7CQjOST%2BgKb2xFu1i6MxHyZUTYH%2FKj6X4fmd4sUPcGEyXvnY1q2iSp0YSjaGdUX1OF8zQjh4vu2RhSy4BNi,7,13,5,0,0,#777161906,TWS,I7s,In-ear,Earpod,3
15, Auriculares Inalambrico Bluetooth I7s Tws iPhone Android ,3000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2125
				vendidos
			
		",(494 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,196,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,https://articulo.mercadolibre.com.ar/MLA-693323156-auriculares-bluetooth-qcy-t2c-tws-original-2019-inalambrico-_JM,140,41,10,2,3,#693323156,QCY,T2C,In-ear,In-Ear,In1852
16, Auriculares Bluetooth Deportivo Inalambrico Samsung iPhone ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				679
				vendidos
			
		",(93 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,24,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-777160297-auriculares-bluetooth-inalambrico-deportivos-in-ear-envio-_JM,11,4,5,2,2,#777160297,Athlete,SS,In-ear,Sport,1
17, Auriculares Bluetooth Inalambricos In Ear Earpods + Envio ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1967
				vendidos
			
		",(72 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,104,https://perfil.mercadolibre.com.ar/MWPRODUCTSARGENTINA,https://articulo.mercadolibre.com.ar/MLA-669916084-auricular-bluetooth-vincha-micro-sd-radio-fm-inalambrico-_JM,60,31,10,1,2,#669916084,Genericos,P.47,Over-ear,WIRELESS,P47
18, Auriculares Bluetooth Inalambricos In Ear Twins Microfono K2 ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3021
				vendidos
			
		",(77 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,115,https://perfil.mercadolibre.com.ar/SYSIMPORTACIONESS,https://articulo.mercadolibre.com.ar/MLA-735692134-auriculares-inalambricos-bluetooth-50-i7s-tws-in-ear-_JM,59,26,15,2,13,#735692134,TWS,I7S,In-ear,Earphone,I7s
19, Auriculares Bluetooth Celular Inalambrico Deportivos In Ear ,999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3553
				vendidos
			
		",(27 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,275,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-672953591-auriculares-bluetooth-celular-inalambrico-deportivos-in-ear-_JM,177,57,32,3,6,#672953591,NA,NA,NA,NA,NA
20, Auriculares Bluetooth Inalambricos Inear Con Base Recargable ,812,855,"
			
				Nuevo
			
			
				
					 - 
				
				1935
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,94,https://perfil.mercadolibre.com.ar/TOPTEK_,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dc7yN1K%2BikDgG4NrCLUgoYSXiJaYfyJqenwwS%2FvVe4Y3Ej720ZtvUFy6F1WQ%2BFANhtbKTg74WrxTts5wOZARr6FxNffYOH8TpZRI20X%2Bzhd4sORn2OzIhr5y4renlFpXuFPvgCo5zzwkh8Jef6eN4v76uqkthkMinqjaPAz%2B7CIFtCf3%2BIbWX4Rpf4hgDKqOP9bZpssvEWsH3vIcDnnvLkqXE%2FTXKwzSLrze84sNKn2xg3XlFz5b62OvLSL9zzxJ%2FeJhDTipUx8U9p6Mq%2BANElTwaB%2BD2LcJ%2FcFKccd%2FyqYU1lJpPXYLbRlWcEGq6MAgZTmOtl%2FThLL68p9bfXD%2Fkc9ivOWlK%2Bsj6ZbXqCB7YA%2FUowmKxOIJQhMq5J77E9TKPTAp0DbmAQ1klyMrgC9cSNzzgAcT6bTPrBhaVn4tiSHNmI8MOWPSg1sWTSvYdbVy4ppnMWTgaHCx2t3hB%2BXf2udUqGWAPn5Buc6qkvKg2Ij6r0u5DP3OISephu52HYqwGHfEEvfmXurc6PB9hoYL3mfg%2FWBVuRt4GcnYSIw7KvIpMDCmFSP7auRXGZsYgox0e0FsRoDV3utHuFRGju5qL8hAykL%2FTRgrGigPvS%2BkX8shddp0gG3o1P4iTMl%2BS5Ho9NOsw85StVdKCTT%2BzxnvIv6yGkCIlk%2BDkbv8NWzoUYdsFcuUjJl4F9Zu7hBze3SQxgVY2rHFm9gp4G9d190v4w2BLF7CD943QlPLGRFu7U49hGMBEarE3RbktYDQDBu1F7FbQW6HLp7Ypyj4gf9lMeWXZLll3p6xuaPo6g2t%2BAM0xphb%2BM%2BOs%2BHg0kwWex2JdjEqRaodM1IB%2Fm8YwuH9I0CjlQloUPQJfGfkBD7vzTFzNxc9UGsIcaLKH3n%2BnLaRDKQT8zN3afWctoW9L5Z75NkRN0bA6I2%2Fqsi8vCqXLejl%2F2k5CWTF7D7TUi0eBqp1IYMihDtEAKSu8TKpMnetgor6koSYFMd%2F%2BbFYdTpTr87OwKoNK6Uvtemzxf6bB5zGltwPCrZmtGKVKy7bmzw9Jhc1UarOrQ1V5mcnZtv%2FJgXeUN0MY3pxrgOmn7PWyj5aM6MC9g6ZHJhmm7EBkrGdoKakFGg77JcpjQnWWgWY6N7M0ckEJrUgbNgr%2FMpxoJQIrzQn4iy7KGzuBfMqC2qafUeqFuJwEutqHN4nw%2B6yZXuVtGCCXO1BIdf4QLHB2uweAQUlheZf5HSj1lPsyBELbnuRQAgo9rME0budIjfn8NSe4c6krWgISh%2BoPkJr2pj18GCggJwM27OEbO4PMAltoxYrGCrhYTtoPh3kM1H9qE0GR5HyGgsSW%2FxNyhFDaEEct8MPE0vYnUtAqC9WhlaEhBkMj5TnrtG1auK7l3B0ltIXEchCE4lSAHXLQVdxSmx6CUrDdJqOgOTd8lQ8Wi1COmiGaMVng%2FVrsq%2BJzL4vOvVsFEGenPfz24F3JevnEjWYiMztYFDPJk8rQHtzqIgeD6nEl2a%2Bf3vHN2aWdQlEjPDCB70o2679VXWpSkbPDnJ%2Fx0gko4Vfm2DG3Ull%2FF3qUotvedBBS5FLxmlP1dfDcUgTgnaeepiN%2BB6LfIfPQWC5H%2F5CWGTxmOaHnHya9fGwTnCKUiWB%2FUALQLow,52,22,6,5,9,#726718392,TWS,I7s,In-ear,inear,3213213211
21, Auriculares Bluetooth Celular Inalambrico Deportivos In Ear! ,1499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				612
				vendidos
			
		",(54 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,33,https://perfil.mercadolibre.com.ar/SYSIMPORTACIONESS,https://articulo.mercadolibre.com.ar/MLA-753632999-auriculares-bluetooth-50-inalambricos-i9s-tws-in-ear-_JM,17,13,1,0,2,#753632999,TWS,I9s,In-ear,earphone,I9s
22, Auriculares Bluetooth Noga Bt469 Manos Libres Oficial Full ,2519,NA,"
			
				Nuevo
			
			
				
					 - 
				
				913
				vendidos
			
		",(11 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,78,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-672953659-auriculares-bluetooth-inalambricos-in-ear-twins-microfono-k2-_JM,44,17,8,2,7,#672953659,True Wirless,K2,In-ear,Auriculares Bluetooth,K2
23, Auricular Vincha Deportivo Bluetooth 4.1 Correr Bicicleta Spinning 8 Hs Potente ,2528,NA,"
			
				Nuevo
			
			
				
					 - 
				
				526
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,110,https://perfil.mercadolibre.com.ar/TRISHOP2010,https://articulo.mercadolibre.com.ar/MLA-686652267-auriculares-qcy-t1-c-manos-libres-bluetooth-samsung-lg-sony-_JM,71,30,4,3,2,#686652267,Samsung,QCY T1,In-ear,QCY,T1C
