search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
11, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				966
				vendidos
			
		",(212 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.4,16,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA,NA
12, Audifonos Bluetooth Binaural Tws Qcy T1 ,36.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				103
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.165
			
		
		 sin interés
		
	

	
		","
				$ 6.165
			",NA,Envío gratis a todo el país,NA,NA,4.7,3,https://perfil.mercadolibre.cl/CASTLETECEIRL,https://articulo.mercadolibre.cl/MLC-470772617-audifonos-bluetooth-binaural-tws-qcy-t1-_JM,2,1,0,0,0,#470772617,QCY,T1,In-ear,NA,Negro
13, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				475
				vendidos
			
		",(250 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.7,39,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM,33,3,2,0,1,#447161588,NA,NA,NA,NA,NA
14, Audifonos Bluetooth Binaural Tws Qcy T1 ,36.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				103
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.165
			
		
		 sin interés
		
	

	
		","
				$ 6.165
			",NA,Envío gratis a todo el país,NA,NA,4.7,3,https://perfil.mercadolibre.cl/CASTLETECEIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=EVqh4MiwGEfU9J9sYC2HCr8jdRPEG6Gyn6%2FGm0GMnQVnqq7DLH0BpZE49ORWSP8%2F5wP3LeUBZoq2YTC7miGZp1MiaWTYKb1KOiVmX4qJaPvj7851I7rWp4z7xbEYw48Kef2xFsnpO9DAkWD8lZLceTgr0zGsAyTvZ0EMAv1zU4Qb2iHurPYt0eLl4sKdTXVPTJ2zqr6ulmGyxPpUwEu8lY1vqsNHeY6%2FMHy2PXcYI4930GhC40qUtJnvOt21%2FTMbbknQkFddbqJlMGqW%2FgUPX%2FSfKUyHUt1ZqdIihAZGpncQYWz37Z4s%2BTVYJ7xVnOnVL43aajQOK3%2BmG75vW5w71Y6sSWgCjFH3VFcmBzWuDsK33uw0YYa3G4hT4m9ZlwkfPwNH8QlRXFmKAqFSNXExri179AiSlC6b5SQ2TLlfS4vLqVz4OZHLiRGDf8%2BepWXTy0cHvbcUrR6RHIi%2BJEH%2BsMZ3WY4rs%2FrXa2jnIRNT19H1T%2F5bBKDbaim%2FBK2x%2F2R4TnPmi31Z3%2FLUMbjLdcXnSDHZD0wfa6UCsOlx6S%2B1NMHIq%2BlymKv5xFvqjUh4YxK48ABgr8gnKSbsg3ZXfmfxByy0U4GUb4Q04lTq%2BLjX0Hez0PXYorEzyBrw4C%2BnUDufC7lkCGwSsnJxGgrMSQVMN8Dk9KpwpOf%2BKJTFeLWDSh6pl%2F%2BJNxpWcmdRBaqSYDk7wUR3nK56EycWBQA2LmjqKW5GFcwimif%2FSiGa82bfSuNXvyHpfTSfTVArUoQJ7efKEPbAq1yf6i33qdhveMKFbWzbbhPqUwMCe4nFJrm8yYcK318brMOpVX7HRXAXrCpSyKgReGWuIh0FWceHCIEAVn8mGqk9rn0SikgltlG9Us8Z0448fF4NmtJf537xrfKtCDiKbM18LB3xBD%2B1D3ORnQpr2cmjIapuTMwLP%2BTe5OmOlXacJ14V6rLM54o1Az9zZe0CtbpD%2Frnb2N4Dt6rV%2FV7ERtDbZYGMVrRqXZH1ZtKbmjJm1aJy9T3TwsrUkDVfxJLT4QxLianEw3kNUypOMcRSgy80XPjYJCFE5X6nBjdnCVZL4p0OM3bDKubEK14vsfmaccqK6n8kqSKRkjVsMpJUYwS1JGIsOY6R1Tufgnm1borh6u86VY4vnzePUFevonOoDXXnWqsIY2i9vIgad%2FmrDHdpj00hRQb1GsJpxsycovjRJU03xuWUJIZw2XIHvGi2YbNV%2BL4JmIYOWeI2tC%2B4TcfzKHisAiGq4USvQNkalxEYf83XdRF6DOwrp4UggUCePVAY62The0QW2UZnZf%2BS0w%2BRq1C5%2FtT0IHprER1iggJtGkGnay8VuvB35fmOGKxzTg5Oj%2BjiAPh7xGcoEbAXAnUQsDnWO0qzCc1kcQj33nuIlb7eLQ6IgofPBXj%2F3tvRnZkngTVEI0rZ9olqJq%2BN3EDkwJda5AF5zEkI6EOIPwSy431pAWmjrVOFNd7%2FzAIqI5WV%2FuSjWWtI33tUDrfm%2BFO%2BFo8omxKHem7ddjWDDyAjO5PkJBSFwnJ2qy9tVpoD%2F26OZsH8KAIXyFgCI8nI,2,1,0,0,0,#470772617,QCY,T1,In-ear,NA,Negro
15, Audífono Bluetooth V4.2 M5 Deportivos Magnéticos ,4.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				75
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 417
			
		
		 sin interés
		
	

	
		","
				$ 417
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-473455109-audifono-bluetooth-v42-m5-deportivos-magneticos-_JM,NA,NA,NA,NA,NA,#473455109,NA,NA,NA,NA,Roja
16, Manos Libres Bluetooth Mini Auricular ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				337
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,3.4,5,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM,2,0,2,0,1,#465965042,NA,NA,NA,NA,NA
17, Audifonos Bluetooth Qcy T1s ,26.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.498
			
		
		 sin interés
		
	

	
		","
				$ 4.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,8,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-488306883-audifonos-bluetooth-qcy-t1s-_JM,7,1,0,0,0,#488306883,QCY,T1s,TWS,NA,NA
18, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				966
				vendidos
			
		",(212 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.4,16,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=VS2CSCjfQN3ievZPfT3E%2BRSgKYq9bLWjQxwjdbtnMNkEsMciIr8sZ3Mbjshxz7lL%2BRoO5DmH%2Fjyme6Q0O6E3KBz%2FL8Xfx2Attup29ZZZZTBmqgruJ2GLLcSc%2BbV5A4hJ2eQ6LMGbgZTDnl54EWfpkTaMbiK6PV3olHdo5sLBNARKkKZfC0MHS%2BkVOAMnvpS5FVjmPnnWs4dp9dkf8jme0iCfERjkD65OTJ9MQYPy0nr83vZhQueLhYGH4GaDD0dOs1H6XNIVCXs9p45Q26qgbuDvHJa%2Bj0Piln3jnp4p%2FvNn3pagh3eiogfe9gfsXWN7mt9R8QnLnI31yi%2FFEU7%2FRxIzeWy6BuL%2Bfj0A%2FOcs9oUjA5ORaOBsRGVJ1v5dRGXLtP4Gby5Z7x%2F5tlzAj%2Fgw9dkWMgn5sve68UCcJfwgDOikEABnr0l9EwP5X8KID0fMyvcZ4kLUAVhKH0B1Sdq3jtnN%2BSvnTEuIG61g6PU3V9AGMPL1hfAXBxWymJfy%2FsFUnxzjn6q78A6oev%2F3ZL8s%2BLzRV4F4vDIxzEiNpakj3hSwWYMXBvnF6RAQ44ySfL3BzcDiYXj47ETpjQcC0hWgsq3NSqscoB%2BjwWFbAlkyR6ZVoSsppp%2BZX3n2tEWJwu3lxUnk5I0sAwTq8ryebcJfNn9kvQ06Ne0frIHtPEyNHkbpDwV6J4dUCzLHEJl0xSsOr%2FID1y%2FsOB4r03dQPW2Kx57XCcVlfOwEZZk7dPMFfQUQBnuGUVUhjBVQwRASbvg4M3%2BXBpPZP%2BrkDS%2F7E1WgTL51%2B3%2FGYEctcPX%2FOjpulJPHeQ2xHOV9ukZendVOFZNm7h1ooNIAWHYaf%2Fo%2F%2BcfQeDVTKKVSz%2FOLMil5qKDRHSePoJnyXbdMl%2BB35g%2FcsXOPJ4IQ%2FGrXgPY0ZJpw6UzHlCgAcN70r9PHNdNgYlJD%2FfQ3dJaTzfGER1S%2FEJJoVcOJ00I6u8Jh0AJru1i2B%2FCY5ZF9nb5RvsWFFlaUUzh%2F1CVMFzH72nR%2B%2BKmk4tvIzApru4k6INGxh6ewR6psYd3mP7%2Fjm940O0K5Mw4XjKxp6Nh%2BKRuOaWky%2FQojJaWJftPTW9Cqycd1J6OXIRc3i7C3RgxkQBi5nrmMIE0YJjAvize%2BrK3gmUAXgMcxLkRtqnSxmu7hS%2BD%2Fa8j0lO%2BzHlKkhsLSXUoqpm0hocF2xgk41xBq0GcKYJA6osQmyg%2B%2BADf4U%2BiTgEoPHYhbphJEGVQlE%2F3zgly7UCLN6zEtUQ38zctTLtI3%2B3%2Fvn7m095L5YjUSvBKZtH1hthtI2qKZYHxOnPp6FbeJrB987deCqIQ9%2Bo7yUnYkIyO4DmWD4HDqkWMNLEPmvHoD%2FNdO8zWwDLwDlmngXkajqGSyv3iGnbvFr6R2YcQexM2iojwd45bEiv3suYkwL8ZueaKi%2BJOXY3easDKh%2Fkm7gSp%2F6bxJxRnrFip5VY9jlBQOdwZ4m6cfEshTUAZPZp7Jir2QcZZUXo2Niq94i1AUCSMp1P%2FY8OpqmqeFqejaE0ETIQhGRNAZNqHRwb9INaLyq98Y5oxfNxe%2Fvz%2ByJIW1TW4YceugiCuwWOODBmYGKPE%3D,11,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA,NA
19, Audifonos Bluetooth Tipo iPhone 7 iPhone 8 ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				202
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,3.3,4,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,https://articulo.mercadolibre.cl/MLC-461170076-audifonos-bluetooth-tipo-iphone-7-iphone-8-_JM,2,0,0,1,1,#461170076,NA,NA,NA,NA,NA
20, Audífono Monster Bluetooth Profesional 40 Hrs De Musica ,24.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				121
				vendidos
			
		",(79 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.148
			
		
		 sin interés
		
	

	
		","
				$ 4.148
			",NA,Envío gratis a todo el país,NA,NA,5.0,7,https://perfil.mercadolibre.cl/OUTLETNET-LTDA,https://articulo.mercadolibre.cl/MLC-460166710-audifono-monster-bluetooth-profesional-40-hrs-de-musica-_JM,7,0,0,0,0,#460166710,Monster,NA,NA,NA,NA
