search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda,Color
1164, iPhone 7 Plus Funda iPhone 8 Plus Funda Fingic Pineapple ... ,24.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.000
			
		
		 sin interés
		
	

	
		","
				$ 4.000
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465561699-iphone-7-plus-funda-iphone-8-plus-funda-fingic-pineapple--_JM,NA,NA,NA,NA,NA,#465561699,NA,NA,NA,NA
1165, iPhone 7 Plus Funda iPhone 8 Plus Funda Teryei Military G... ,26.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.333
			
		
		 sin interés
		
	

	
		","
				$ 4.333
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465561735-iphone-7-plus-funda-iphone-8-plus-funda-teryei-military-g-_JM,NA,NA,NA,NA,NA,#465561735,Teryei,Apple,Carcasa,NA
1166, iPhone 7 Plus Funda iPhone 8 Plus Funda Mavis S Diary Fun... ,24.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.000
			
		
		 sin interés
		
	

	
		","
				$ 4.000
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465561901-iphone-7-plus-funda-iphone-8-plus-funda-mavis-s-diary-fun-_JM,NA,NA,NA,NA,NA,#465561901,Mavis%27s Diary,Apple,Carcasa,NA
1167, iPhone 7 Plus Funda Para iPhone 8 Plus Ikasefu Graba En R... ,25.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.167
			
		
		 sin interés
		
	

	
		","
				$ 4.167
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465562513-iphone-7-plus-funda-para-iphone-8-plus-ikasefu-graba-en-r-_JM,NA,NA,NA,NA,NA,#465562513,IKASEFU,NA,NA,NA
1168, Esr Funda Para iPhone 8 7 iPhone 8 Funda De Tpu Suave Y S... ,23.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.833
			
		
		 sin interés
		
	

	
		","
				$ 3.833
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465562569-esr-funda-para-iphone-8-7-iphone-8-funda-de-tpu-suave-y-s-_JM,NA,NA,NA,NA,NA,#465562569,ESR,Apple,Carcasa,NA
1169, Funda Easyacc Para iPhone 8 Plus Funda iPhone 7 Plus Fund... ,29.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.833
			
		
		 sin interés
		
	

	
		","
				$ 4.833
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465562591-funda-easyacc-para-iphone-8-plus-funda-iphone-7-plus-fund-_JM,NA,NA,NA,NA,NA,#465562591,EasyAcc,Apple,Carcasa,NA
1170, Funda Para iPhone 8 Plus Funda Para iPhone 7 Plus Linda F... ,29.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.833
			
		
		 sin interés
		
	

	
		","
				$ 4.833
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465562856-funda-para-iphone-8-plus-funda-para-iphone-7-plus-linda-f-_JM,NA,NA,NA,NA,NA,#465562856,CHICHIC,Apple,Carcasa,NA
1171, Funda Dockem Wallet Para iPhone 8 Y iPhone 7 Minimalista ... ,27.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.500
			
		
		 sin interés
		
	

	
		","
				$ 4.500
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563454-funda-dockem-wallet-para-iphone-8-y-iphone-7-minimalista--_JM,NA,NA,NA,NA,NA,#465563454,Dockem,Apple,Carcasa,NA
1172, iPhone 7 iPhone 8 Funda Kcoyo Hard Pc Slim A Prueba De Go... ,24.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.000
			
		
		 sin interés
		
	

	
		","
				$ 4.000
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563525-iphone-7-iphone-8-funda-kcoyo-hard-pc-slim-a-prueba-de-go-_JM,NA,NA,NA,NA,NA,#465563525,KCFIR,Apple,Carcasa,NA
1173, Dorlione Para iPhone 7 Plus Funda iPhone 8 Plus Funda Pp ... ,25.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.167
			
		
		 sin interés
		
	

	
		","
				$ 4.167
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563586-dorlione-para-iphone-7-plus-funda-iphone-8-plus-funda-pp--_JM,NA,NA,NA,NA,NA,#465563586,Dorlione,Apple,Carcasa,NA
