search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
56, Funda Marmol iPhone 6 S 7 8 Plus Xs Max Proteccion Tpu Flex ,363,385,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(198 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-754758381-funda-marmol-iphone-6-s-7-8-plus-xs-max-proteccion-tpu-flex-_JM?searchVariation=36659102172,NA,NA,NA,NA,NA,#754758381,Apple,Iphone 6; Iphone 6 plus; Iphone 7; Iphone 7 plus; iPHONE 8; IPHONE 8 Plus; Iphone X; Iphone XS Max; XR,Norcel,Marmol,Flexible,TPU/Policarbonato
57, Funda Spigen iPhone 8 7 Ultra Hybrid 2 Black 100% Original ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				58
				vendidos
			
		",(7 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,2,https://perfil.mercadolibre.com.ar/ORIGINALCASE+NET,https://articulo.mercadolibre.com.ar/MLA-675984456-funda-spigen-iphone-8-7-ultra-hybrid-2-black-100-original-_JM,NA,NA,NA,NA,NA,#675984456,Apple,iPhone 7,Spigen,ULTRA HYBRID 2 BLACK,TPU (Thermoplastic Polyurethane) y Polycarbonate Premium,TPU/Policarbonato
58, Funda Cafele Tpu Slim iPhone 6 6s 7 8 Plus X Xs Max Xr ,400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(357 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,4,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,https://articulo.mercadolibre.com.ar/MLA-714609809-funda-cafele-tpu-slim-iphone-6-6s-7-8-plus-x-xs-max-xr-_JM?searchVariation=22020204545,4,0,0,0,0,#714609809,Apple,"iPhone 6/6s, iPhone 6/6s Plus, iPhone 7, iPhone 7 plus, iPhone 8, iPhone 8 plus, iPhone X y iPhone Xs",Cafele,TPU,TPU (flexible),TPU/Policarbonato
59, Funda Marmol iPhone 6s 7 8 Plus X Xs Max Tpu Flex + Vidrio ,504,535,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(190 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-755012112-funda-marmol-iphone-6s-7-8-plus-x-xs-max-tpu-flex-vidrio-_JM?searchVariation=34228570696,NA,NA,NA,NA,NA,#755012112,Apple,Iphone 6; Iphone 6 plus; Iphone 7; Iphone 7 plus; iPHONE 8; IPHONE 8 Plus; Iphone X; Iphone XS Max; XR,Norcel,Marmol,Flexible,TPU/Policarbonato
60, Funda Metalica Magnetica Vidrio Trasero iPhone X 6 7 8 Plus ,549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				145
				vendidos
			
		",(835 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,9,https://perfil.mercadolibre.com.ar/TIENDAEASYSHOPPING,https://articulo.mercadolibre.com.ar/MLA-744121281-funda-metalica-magnetica-vidrio-trasero-iphone-x-6-7-8-plus-_JM?searchVariation=33239382730,6,1,0,1,1,#744121281,Apple,iPhone,Micro,Magnetica,Magnetica,Metal y acrilico
61, Funda Ringke Max iPhone 8 & 8 Plus + Vidrio Templado ,725,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/COSASLINDAS-,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LBLTs2z3%2BglZMRG5iGR90xAk7xz%2F8J%2F9MWtjOoUagdxB5gh8UsNhUknLDvSHrD0WevjXLhjwVbgAQdSTYDDeBETQIgqiC%2Fdn%2F%2BwFM7k2V9QUc0f%2FHnPbGgSP4q5Eao0fjQd2tCV3y3uOcECwzqvfpQB%2FM1TOGmLVae2LssAQKiLx7gEYpRPZ69h6NTZK5cH9XvYAZI3IYiP6XAAK6oeSma87nFkUZ80ZVEVkmWYcKnYPolF0%2FdFoT6icT82iQcpyUnSoKJBRB9j2VYWvFe4T92kDoQx4EcieqilPgKFxKe9KdBgPrWvGzJAdb8CDMK0JUQf2Sr1KA4DHTfjwuKJsS%2B3mjk31onLu1EIlfzROuHucoEg9rvXHX25JAjpw%2BXewLBhwVN7DBl7MMGOj8u6N0Z%2F%2F4Cka2C1TyXMyO7n4KG0YuYdBC9xttScIvvoM1rEs1TFl1Ort2x8Bye5Wt%2BDQWEC2dZR%2FYQ%2FyKsg6oSzv4cVwQvlpFG9%2FxK%2BzvdDTorYD3ocvXfdaAdPdnvC2vJB%2BPyJXq%2FDgdufZv7t%2BwDBTxmFNNUZSgn%2BQ5nwoMJekz5%2Fb21uMxG6ljF1yKN9z0pk8Ld2nloqH2r%2FaQO%2FFYt%2BkrGCtETrOd65JpE41DYCbVxVlBZRKXnNAMOCZ8TPtX83gfx4%2BC0kj9RP%2BERUx%2BNFfyk8yisxrg6rJUkqim68pDK5qAiKX261XlTffFrqMO4BEBUv0mrov1UlqoAr8VKPTCTpjyWRV63HC%2Bfnw7Hjl%2B4cRr3rAUeG7DZioTDgBAd%2FqE4QllpZFKb3nlxU3bJUnUeS9%2F1nhKvxKMHLDyo7vZUUVtV%2FdZ07tk2eLntHXhJZbnx%2BF%2Bfac4wDALiqy%2BmJMFwXVi5n3yZkbA5Gjp5HTMvcGKInXKz%2FFMGHLHnlIrfdIi%2FXWRvlp62woyr2tBA8pinG1T5HCIyqJm428ExFvvMaWqHlLROaGErj%2BZaFHECYUc8F5oVAUOZVD83oMVaU3nhiOmvMj09G3DJyu65EKn8Ugdu4rJJuFLrF7zVRn9kReQ97R6ZGXWRdjixfi%2F2HIIyL%2F5IMJC0nMTkcEJMmpga0G7lxRnOf%2Fn1X76Ok6oPyfJ5jysocTZUV9L3H98orcei8mZXJAeAqszPdarW%2BmwmBmCnTmCSYGPurDJmg6s0gfJ2BpONszaw26q%2BCooG1LvpjRoUI8iEWfKmwkecyyWsYmRAL%2FkJ8DAaP%2BlU6bT8qXUg95Lb9KBRSDsRe7jCImyBsMQHTF6%2FPgwH%2FSe%2BmIDQYtEDmb5QqibtbDdmXZUbprGDB4GYMQHlHQErtvYgif%2F5Bj3s6oib2x8MC70gYkX9yuT1z02Yq8uerIOmyaQ5rRV42zCPX1Bhc1O7SdgWy%2BoIsov1yLSFgGXQtRcs0ZOhP1JodpoDviTDZ%2BD6EN8tjDwB2pzNXGFVnsAf6PPl4mndaiq%2Bi8Himf5tXE8n0n9hRCPJx%2Bu6KKuiQy%2FzowD0et4B%2FxxwYwAdfa1oyvH8A4QItNzoWF2TeM71Yahj1xZUfrROLNAG%2FAuBmTFOefy6zjdm9%2BHLCJJvQ5Qv0sWShKF325FiFRMmXAgXwVC%2FFbllviNJUP%2BephftPRkb5KPN6quOMXgcyYn0mTyEOEeywXNIyw1smNLAgiaztO2KUOBvZXCpQx,NA,NA,NA,NA,NA,#713897368,Apple,Iphone 8 & 8 PLus,Ringke,Max,NA,Acrílico
62, Funda Cafele Super Fina Slim iPhone 78 Plus Xs Max Xr+cuotas ,417,442,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(28 disponibles),6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/NORCEL01,https://articulo.mercadolibre.com.ar/MLA-757904959-funda-cafele-super-fina-slim-iphone-78-plus-xs-max-xrcuotas-_JM?searchVariation=30074542847,3,0,0,0,0,#757904959,Apple,Iphone 8; Iphone 8 plus; Iphone 7; Iphone 7 plus; Iphone X; Iphone Xs; Iphone Xs Max; Iphone XR,CAFELE,Super Fina,Rugerizada,TPU/Policarbonato
63, Funda Waterproof Sumergible Acuatica iPhone X 7/8 Plus ,830,880,"
			
				Nuevo
			
			
				
					 - 
				
				62
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,4,https://perfil.mercadolibre.com.ar/NORCEL01,https://articulo.mercadolibre.com.ar/MLA-747973413-funda-waterproof-sumergible-acuatica-iphone-x-78-plus-_JM?searchVariation=27677873865,2,2,0,0,0,#747973413,Apple,iPhone 7 Plus; Iphone 8 Plus; Iphone 8; Iphone 7; Iphone X,Norcel,WATERPROOFT SLIM,SUMERGIBLE,TPU/Policarbonato
64, Funda 360 Cubre Completo iPhone 6 6s 7 8 Plus 10 X +templado ,520,NA,"
			
				Nuevo
			
			
				
					 - 
				
				155
				vendidos
			
		",(69 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,11,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,https://articulo.mercadolibre.com.ar/MLA-689214803-funda-360-cubre-completo-iphone-6-6s-7-8-plus-10-x-templado-_JM?searchVariation=22574681803,8,0,0,2,1,#689214803,Apple,"iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus y X",TiendaShopealo,360 Cubre Completo,360 Cubre Completo,Gel
65, Funda Silicona Case Para iPhone 8/7 8 Plus/7 Plus + Vidrio ,799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				57
				vendidos
			
		",(458 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/TIENDA+CONTROL,https://articulo.mercadolibre.com.ar/MLA-675950453-funda-silicona-case-para-iphone-87-8-plus7-plus-vidrio-_JM,NA,NA,NA,NA,NA,#675950453,Apple,iPhone 7  y 7 plus Silicone case,Silicone,Silicone Case 7 7s,Tipo Silicon Case,Silicona
66, iPhone Xs Max Xr X 6 6s 7 8 Plus Funda Tpu Brillo Flexible ,200,NA,"
			
				Nuevo
			
			
				
					 - 
				
				137
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,7,https://perfil.mercadolibre.com.ar/ILOVEPHONE.ARG,https://articulo.mercadolibre.com.ar/MLA-694771167-iphone-xs-max-xr-x-6-6s-7-8-plus-funda-tpu-brillo-flexible-_JM?searchVariation=20691124078,6,0,1,0,0,#694771167,Apple,iPhone,ILOVEPHONE,iPhone,Carcasa,TPU/Policarbonato
67, Funda iPhone 8 / 8 Plus / 7 / 7 Plus / X Antideslizante Mate ,355,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(1873 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/DREAMSSTORE1,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Ae3cJ8W%2FGARGBTcmZFUPC3VliL3gFwaV8bKJQZB%2BBcoYuTYlzFE4UcokNoMoEDMXx6Qcowxnj%2Fm7W9ioVHWJkIlY%2F8%2BjO1Wrqhowf85HG1SBUj%2FU2%2F5pP%2Fdz%2FkVTSDVpcbxPOFMJsiNHCMgbiWBFDZcn4xGOiLZAhVDCjDYP2d5T%2BkoyBJY5JiGBMYRd9wcBwisFxZIMq%2BenLPMOoO%2BMfthDcfaoVOQtkziy0lh%2BxKFvjZgUKA9lzYLX1Nye0jfP9tIoYPxVmsbA%2B%2B%2BSBZHYrqqsxY61sVoFYhTml4Br%2Fc5cIGPVUEgcsuZMKIWWYAospjv31Yy%2BchRwmAX%2FFDr89%2BxqOTTj%2B2mBfPY74oSRcZEZaMHfnpEf4CoxlqdkIUSKvrQYVbqk91to47A5nIonF7%2BK%2BoSpkwMlJQoewPFIXocQ2Q%2By3hDk6Qd%2BxT2ugDyMiaFdj%2FJGtWJfN7ICeEA6DJePf6ROWK1OSyEuXDaAYqVoDiDpWc0M1n%2FR9Bp%2FVPIBMC%2FaXWIcViMyKkIh34bQumgYSjvwaSO5IY3wT%2FNKldk0R3ehgYnjx6lim2XqOoRnXHLvLlYCqQRGmfqmlAK8aMYIT3O5G6WYa0%2Bv2r%2B0bYVIOk8VhPrbppERYNj9Fx6zvv96hwd7DNSQcul8cTNDlOli6x8J%2B48hSuJ2I1FMlZ0xYJsTR2ZkCA9Fjc54k6IMAzjuQ0uOTbRe4xFgFgEBVRLSCSw56gn6u%2Bzy53vY7nQcccWgQUYKwCXJJMaHHxES1Ct%2BdGjutV%2FlwYMFJJBAkLap4unFu2g2sndEN1xWkP5wNw4gdwS9L4lxyqZvw1R9WGsPBxZOivpFAGPMasPwAc9%2FCdvqiYd4wXWMGN%2BoWQwUm3jqnAl4L0z2YLJskXh4JB65XjC9uRnFjGItu%2BgkGAG%2BeON0dFyHQPhzYSMzkmoWc%2FlU2fgBRghs6zYSZoOm14uRR5cm351xbUBU%2FioI%2Fk6dwPeVl4cZMiHjLORJw1ZkV7ocibxVO9%2FNX7ospldd1e5lZ17hO%2FXBDA4l7uqSydDqoRtTv1trRSvurB8VAJiQzdWjthKGLt%2Bybwkxv%2BOrFA44qLtnhishSao7kvHaTLLRTDOhMU58YYuMrR1XCmHwEXKKQ6z2gKFwc7Z%2Fb2dJsMweZyHsih2t5rhTlcng3xf4QcmnaW9xurvG%2FbfpWinYeX%2BjGpcuRar4ick5SOrmeU1dBzV8RKLkAsiqHQbZ8XCbhxwqXqe4lo09RQUtJ0s0wpdT7jH1Uj6qm92a58yvOPENvXsG9Su5nQU7%2FofXBKNyP%2FHhhSQ7DBhdacbqEtyFxqLV0Rnul9l4AamUbPB4Gd28X%2BzxJ8MgxTyLFBmm5MYc5smJab1FNjZuns7%2BBk9PDZFQDNV1RMjktloRNHL9CmYFwAPHRGBuHf9UGIKROxzHq7%2FpbGDgF8QNqge8ONxJ%2Bz2kLHQV6thKIZsgDO2o5N2HWx0sTOY0LDlIe4AvcXVkvbQRx3AJSfCgnuC9YGsVANWiNqadsfP6ti1xAK%2FbqpXrVvytg4iPpk3RZgUwFXwGAiP%2FpupZw57y44zW3Os1zrd0npOh5r%2FAeyQp8GFhmYKoPDTwcBsrrVT43Q3NWzh3QbPPXOf0%2Ft%2BFumt1xXzZbvJPzXmXZwm%2F4eegaV7vXahjmOc3ElA%3D,NA,NA,NA,NA,NA,#717421199,Apple,iPHONE 8 / 8 Plus / 7 / 7 Plus / X,Genérico,Antideslizante,Bumper,Silicona
