search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Género,Peso,Tipo de visor,Tipo,Línea
11, Casco Moto Integral Mt Targo Certificado Europeo Ece - As ,279.990,340.000,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 7.778
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,13,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-462871593-casco-moto-integral-mt-targo-certificado-europeo-ece-as-_JM?searchVariation=32912015146,12,1,0,0,0,#462871593,Negro mate/Rojo,NA,MT,TARGO,Integral,NA,NA,NA,NA,NA
12, Casco Moto Abatible Doble Visor Certificado Ich Mas Placas ,114.900,169.900,"
			
				Nuevo
			
			
				
					 - 
				
				407
				vendidos
			
		",(393 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.192
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,48,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-449639667-casco-moto-abatible-doble-visor-certificado-ich-mas-placas-_JM?searchVariation=21093543550,34,10,2,1,1,#449639667,Negro,"S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
13, Casco Kontrol Certificación Dot/ Ntc/ Knt 878 No Shaft ,94.950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(92 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.638
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802139-casco-kontrol-certificacion-dot-ntc-knt-878-no-shaft-_JM?searchVariation=35427983402,NA,NA,NA,NA,NA,#509802139,Negro mate,"TALLA L,M",KONTROL,878,Integral,NA,NA,NA,NA,NA
14, Indicador De Direccional Y Freno Para Casco ,19.985,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/BEHA9030420,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=zgBQbJ0b1ANbe3nWQvmUpa1CWVPI1PgZI%2Bl2%2FRVW3aK4dqMUiE0BU3CmYLeXOnHe21NCans7pWiy1a6uDD1jBxjzT1jeJKeXUQf2JBCYS9EzTaMk55zLaUZziEmbmrAEtqlsuTHcIjNA4HScIm5mK%2BL8qruDK7NtMLxB1i2w2H005eNPHui1ieNXqbqUB85ObDbC6nPri7%2BMxkulvaNvDzmR1HLaNPntmXpN4EBKTzDQ0WlsvfkwJ2QV9OBF5T7or6M1WpT0OqGvAHpG6HQUWlEWIhhPhMdKtCnRtOxL3FVvOYYhBotzUoOEth%2Bwcc9KB5VaRLgPF9rNPYdtcUrNUfdJalxUnnbkDEPdDM3wVR%2FdC%2BjLxyP%2BKKsb9F8vaiHgRGlmlmcB%2Bjheiz2MjfAPxIDThkncfqBlXA0EJSQU0K4Zm%2BCwbyFwpmvgEwllvIzPBGrPd5%2FxFto9aPF9rElepVBCjlC7egC4HUELuwi303jJm8UPp9PGDyljJI7ACsrBKFZhWqnMxg5ysI2T2MMgfUta0Ue6WyQZcG6sHA3WibyJ7pmA4mlBCXfUzJ4VlPP4OBFndoUh4QX6kUU1d29xk5h%2BqZZS%2F3cLoH1wwMyT9WBdhb4mFfVnkjNC8t1oIUfp6qDSeWPSfrhC9t1UZhXKOsu98ADUffpxuQuAmy3X1wibRNr2kAwNxHXtrHr8VGlmTlsTSpH7SDfUs12t3VdpHZQ%2BonBl4iXN6IbeAyDGrRAihTnaVoKJX2peMQcqlZAG7xvn1EDNjer9M5cO3lqzBeQSC8Mrzm7YPWnbDOxBda1ITtQp2AFUImu9bU8ljehsN2HBAHioiP15VLCFAjKURTQH5hnaBUGRmLbt1qECvBic9KsezHfHdkZAVKv3AWE6dFIx%2B42crolZL6X1yJuhVKCGQOSfKUdT7Vz%2FS5GTtOUz6vaQgZgPSplmatzghgJSb56q9oHNF4GsA85MF5hYKBa%2Bum0ku1LphG3NjoLNMN%2FOyOz7kjIpljP4oiKKXtgkOEI95TYtxWfKRSFfdt%2BDpHEJgP3cxe9gI18E79Q5JL0JkM4utsWrs3PFCZPWZC3dvATmGDspKCYzIB2mowntASqaJOARlAJt1oZkdKdWU63glAefeh8ft9p4cJJi11EJQD0p1d7q8PArgBmaBzUUntyryB75E3vBFA2DzciCLJKcJrRWW7IYrUGO2Um1F%2FSs1lCAFDK%2FYF5XPa9lU1m7LG87Ho34r7xhgxTsWha08rJpC5BONoonZD%2FBHVQd3pC7ExKLxm9HVoCN0fpb4JguN%2BgQO1%2BjstOza1nXtgDyP7znnZvQR7MUtL5GS716py8F1PjZ50EwQa5AmhRlgigPJ9as0s9Wr6g3NsXbV76mAmdoR2Xn%2FR3uoOMNacMA5Kw5sR2qnjbKvHBbpNHgp33jeNx982SbMFuu9%2F4aipXdHlIY9p5xQFYhTHVzko05vtaUeBzIm6mpqw2WUCVMKflawFGQaKxydQL80LuCNFVI%2FVdODJz64V%2F5jj3WRWkAQh8w6vRIN8Cw5ChbR%2Bg68bZK6HUS1%2FGk2RBtSAKhDFDtpGMg7mLsRss%3D,NA,NA,NA,NA,NA,#517895112,NA,NA,China,13420178237,NA,NA,NA,NA,Multi-Modular,NA
15, 2 Cascos Abatibles Doble Visor Dot + Intercomunicador - As ,199.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.555
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.0,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-508809203-2-cascos-abatibles-doble-visor-dot-intercomunicador-as-_JM?searchVariation=34939691274,NA,NA,NA,NA,NA,#508809203,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA,NA,NA
16, 2 Cascos Abatibles Doble Visor Dot + Pasamontañas - As ,199.990,240.000,"
			
				Nuevo
			
			
				
					 - 
				
				88
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.555
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,8,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-456597030-2-cascos-abatibles-doble-visor-dot-pasamontanas-as-_JM?searchVariation=17680791576,7,0,1,0,0,#456597030,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA,NA,NA
17, Casco Moto Integral Mt Revenge Certificado Europeo - As ,379.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 31.666
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-460325258-casco-moto-integral-mt-revenge-certificado-europeo-as-_JM?searchVariation=36574696971,NA,NA,NA,NA,NA,#460325258,Amarillo flúor,NA,MT,Revenge,Integral,NA,NA,NA,NA,Speeding
18, Cascos De Proteccion ,25.000,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.083
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MUNDOTACIONES3,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=ljOf3TVSCOv2qnicRHmY9wuvtCKId%2FpdX4oKuI9ETNnqvl3wX%2FAfzN1dliQjNHA%2F8qF8cxD9HQZkMNF%2Bb8twEvOdUGAAlLy8e%2FBDHUuJqYXQ6tzgpBVJNVBv1BieCtfnMdeudG4YvkKL1aLfBHl7VQ5FNr7f%2BDZbmOD01CjnVnVSwNSxIURJq0nfVXeJyVt5EB2N0mDyhhfsuB%2Fd8%2BuZT%2BEsqBJ6p6WbhmTLPjfTaxefHcNdsVKnjcKHZRBIvwXbCuJMIj3ozlDrpIU0uDAlwdLRsKsMtIKaeeODb8vog2ku9%2Fr9vUQrDps86ZV0mByQl68k15Ob%2FtW5bSWH4CBYj4ejoEiKC0j4oGETEaF4Gksnv83khwjlAV6LFSzw7RJD9P5CIb%2FfaH%2B7QgzLep6Jo6cl404Iy%2BbwxWBwWEWV0%2FVNBRqA6rnaM%2FOGvFS3VXmojZPyzZh7ZYnjQi0cIdAuSLpMzXYDVXQzfK0OfpReMUWvdlGHvjyemJNr%2FVYQTMH4YcbvwBkiiECrCBWucVPKa7Sp2IvWqvDgvoLUWt9t1RoqVAe24T9aX0RRk%2FwL9oaDAnl1ZtZxR5%2BWIZOvyWN7DTdpryoF%2BHZlyn%2F7ALBFSe4xkqT5BJD%2BM1bZCuASdK%2Fn7I2dNmFWesuTjw%2FsTtIJfjdIHNtH9zigkFAh%2BXNlE3aieJe%2FEFj58UZxoukLBYTmzCNWWwIWSSWpQ48LKgkayQtbM1y8nnZkpuYBrxmfTdZ%2BVky3Ci%2BGe%2F%2Fp4NChrx0AqVIu1Oth9798kWFzAnlxPXbfX0RCqrkNf%2FXw0RlVdNYgNZLxKzam2fE4KNtHf%2BlY6hmh%2BkH0Gua405ltAkwx4QjKlBKZffAZjrvYL%2FxWOdydR%2BAQUe%2Fg5EU6poTVXaXRcG1qEHJieXO%2F6gjBd7a8id1bIqRI3Y1Ngo3G6TnA89S%2BuxNLFhrMv8Vf4qMZ3AqZpfrUGBgHsi23Fpu2zlU5CUhiMs67KaXjPuVvliI5xSzJqiiEbdrqAfOhUpucyNae9ezG4cV5h6jkutMzs3oRosAEQbDgWU%2BC6rxGkmbzrg%2BMaSOxWYpJFzxzl%2F%2BYKXYA7BUMncg%2FsBQrzM7A3UedtHWj%2B%2Fjdj0mbRpcMfivNPQyIzMPfPuU6KbW4l%2F48ffZv%2Fo0QrDAn03IL786VKjcIAi7FLHvB4PUOm2ygdJjGlTTcMwN2Ek9AbMbxPPizQx2ud1L2ij8lByqijVJnAU8Cjqo%2FpS%2B9j42zpYQrGC%2BeooXHJo%2FQhTvQDy7Ir7ycy2zQZmwYDvcm0C0O3qiJkCJ%2Bil%2B1SbpCu5aCHRusZnH6gxEbzRSlDc7fhEFDL6CPcPs9W%2BiTgYUcLVSBwfCaCarB8%2FMW2xSZYPuIG2Fki6ox7CRQhC%2FKsSR8EbTttwzfhR0jdWZA2WqrocfkV7qiSjVLM8ZueOVK%2Fv33lh51cVP%2F%2B3OWjHlASjxzLNg1HlNftLDZxBCKXO7nDjrIA978rn2uvjgPvKTTMHENGgcIXU6HmHGueY8KhJhbvUxpDQqAA0Dd3nxKz7FvMz0e9HR88x5q,NA,NA,NA,NA,NA,#497858939,NA,NA,NA,NA,NA,NA,NA,NA,Integral,NA
19, Casco Abatible Doble Visor Ich Certificado Dot Oferta ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(397 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451519145-casco-abatible-doble-visor-ich-certificado-dot-oferta-_JM?searchVariation=19434542345,NA,NA,NA,NA,NA,#451519145,Negro,"S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
20, Casco Moto Integral Kontrol Certificado Dot + Obsequio - As ,109.990,140.000,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.055
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-501927986-casco-moto-integral-kontrol-certificado-dot-obsequio-as-_JM,NA,NA,NA,NA,NA,#501927986,Mate / Brillo,NA,KONTROL,KNT-858,Integral,NA,NA,NA,NA,NA
21, Casco Moto Abatible Ich Certificado Dot Oferta ,109.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(400 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-452707556-casco-moto-abatible-ich-certificado-dot-oferta-_JM?searchVariation=17157074010,2,1,0,0,0,#452707556,Verde,"S,M,L,XL",ICH,3110,Rebatible,NA,1000 g,NA,NA,NA
22, Casco Kontrol Certificación Dot/ Ntc/ Knt 860 No Shaft Ich ,119.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(94 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.306
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802051-casco-kontrol-certificacion-dot-ntc-knt-860-no-shaft-ich-_JM?searchVariation=35427908834,NA,NA,NA,NA,NA,#509802051,Negro mate,"TALLA L,M",KONTROL,860,Integral,NA,NA,NA,NA,NA
23, Casco Moto Abatible Doble Visor Ich + Pasamontañas - As ,99.990,340.990,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(45 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.778
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-455522017-casco-moto-abatible-doble-visor-ich-pasamontanas-as-_JM?searchVariation=37520131339,NA,NA,NA,NA,NA,#455522017,Negro mate,NA,ICH,ICH - 3110,Integral,NA,NA,NA,NA,NA
24, Casco Moto Integral Mt Thunder 3 Doble Visor Certficado - As ,327.990,360.000,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.111
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-467200995-casco-moto-integral-mt-thunder-3-doble-visor-certficado-as-_JM,NA,NA,NA,NA,NA,#467200995,Varios,NA,MT,Thunder 3 SV,NA,NA,NA,NA,Integral,Thunder 3
25, Pinlock Casco Lamina Antiempañante ,59.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				55
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,5,https://perfil.mercadolibre.com.co/COJE1458660,https://articulo.mercadolibre.com.co/MCO-477622802-pinlock-casco-lamina-antiempanante-_JM,4,0,0,0,1,#477622802,Transparente,NA,TRIMON,NA,NA,NA,NA,NA,Integral,NA
26, Casco Icon Alliance Dark + Visor Oscuro- Omi ,499.590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.878
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,11,https://perfil.mercadolibre.com.co/OUTLETMOTERO.COM.CO,https://articulo.mercadolibre.com.co/MCO-455276293-casco-icon-alliance-dark-visor-oscuro-omi-_JM?searchVariation=17288117369,9,1,1,0,0,#455276293,Negro,L,Icon,ALLIANCE DARK,Integral,NA,NA,NA,NA,Alliance
27, Cascos Moto Ich Abatible Certificados Doble Visor ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(112 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-472297009-cascos-moto-ich-abatible-certificados-doble-visor-_JM?searchVariation=24243151273,NA,NA,NA,NA,NA,#472297009,"Azul,Amarillo neón,Azul,Fucsia,Gris,Naranja oscuro,Negro,Rojo,Verde","S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
28, Casco Certificado Icon Airflite Battlescar Integral Dot Ece ,869.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 24.139
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-510032063-casco-certificado-icon-airflite-battlescar-integral-dot-ece-_JM?searchVariation=37246860015,NA,NA,NA,NA,NA,#510032063,Verde,M,Icon,Battlescar 2,Integral,NA,NA,NA,NA,Airflite
29, Casco Shox Certificado Stinger Creepy Tipo Mt No Shaft ,199.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.542
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-513415783-casco-shox-certificado-stinger-creepy-tipo-mt-no-shaft-_JM?searchVariation=37200429749,NA,NA,NA,NA,NA,#513415783,Negro/Blanco,"TALLA L,M",Shox,STINGER CREEPY,Integral,NA,NA,NA,NA,NA
30, Casco Cross Para Adultos + Gafas + Obsequio ,63.700,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(145 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.769
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,1,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503610375-casco-cross-para-adultos-gafas-obsequio-_JM,NA,NA,NA,NA,NA,#503610375,NA,NA,NA,NA,NA,NA,NA,NA,Cross,NA
31, Casco Ich Dot + Llavero + Placas ,95.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/POSA4722849,https://articulo.mercadolibre.com.co/MCO-493753358-casco-ich-dot-llavero-placas-_JM,NA,NA,NA,NA,NA,#493753358,NA,NA,NA,NA,NA,NA,1000 g,NA,Rebatible,NA
32, Casco Moto Integral Mt Certificado Europeo *5 Diseños - As ,299.990,360.000,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.333
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-447470688-casco-moto-integral-mt-certificado-europeo-5-disenos-as-_JM,NA,NA,NA,NA,NA,#447470688,NA,S / M / L / XL,MT,Thunder 3,Integral,NA,NA,NA,NA,NA
