search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Género,Peso,Tipo de visor,Tipo,Línea
1, Casco Ich Integral 503 Certificado Gratis Placas Dot ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				445
				vendidos
			
		",(28 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,18,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-461184205-casco-ich-integral-503-certificado-gratis-placas-dot-_JM?searchVariation=40175841457,16,1,0,0,1,#461184205,Negro,"M,L,XL",ICH,503,Integral,Unisex,1000 g,NA,NA,NA
2, 2 Cascos Moto Certificados Abatible Ich Gratis Placas Dot ,189.900,249.900,"
			
				Nuevo
			
			
				
					 - 
				
				1143
				vendidos
			
		",(956 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.275
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,102,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628815-2-cascos-moto-certificados-abatible-ich-gratis-placas-dot-_JM?searchVariation=37527543135,79,17,5,0,1,#451628815,Negro mate,"S-S,L-L,XL-XL,M-M,S-M,S-L,S-XL,M-XL,L-XL,ML",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
3, 2 Cascos Moto Ich Certificados Integral Dot Gratis Placas ,199.900,279.900,"
			
				Nuevo
			
			
				
					 - 
				
				147
				vendidos
			
		",(58 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.553
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,11,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446507047-2-cascos-moto-ich-certificados-integral-dot-gratis-placas-_JM?searchVariation=40421912606,10,1,0,0,0,#446507047,Negro mate,"L-L,L-M,L-XL,M-XL,XL-XL,M-M",ich,503,Integral,Unisex,1000 g,NA,NA,NA
4, Casco Ich Abatible 3110 Certificado Norma Dot Gratis Placas ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				456
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,45,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451861202-casco-ich-abatible-3110-certificado-norma-dot-gratis-placas-_JM?searchVariation=21094453672,33,9,3,0,0,#451861202,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde,verde policia","S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
5, Casco Moto Abatible Certificado Ich Dot Gratis Placas ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				575
				vendidos
			
		",(376 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,65,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452034081-casco-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=39382201338,47,12,4,1,1,#452034081,Negro mate,"S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
6, Casco Ich Abatible 3110 Certificado Dot Eliminador De Olor ,114.900,169.900,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(66 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.192
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446506027-casco-ich-abatible-3110-certificado-dot-eliminador-de-olor-_JM?searchVariation=25698736423,NA,NA,NA,NA,NA,#446506027,Azul,"S,M,L,XL",ICH,3110,Integral,Unisex,1000 g,Doble,NA,NA
7, Casco Ich Abatible Doble Visor Certificado Placas ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				155
				vendidos
			
		",(386 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,12,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452437042-casco-ich-abatible-doble-visor-certificado-placas-_JM?searchVariation=23233326269,10,2,0,0,0,#452437042,Negro,"S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
8, Casco Kontrol Certificado Alamo Tipo Mt Icon Shaft Agv Ich ,139.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(90 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.875
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802204-casco-kontrol-certificado-alamo-tipo-mt-icon-shaft-agv-ich-_JM?searchVariation=35428045017,NA,NA,NA,NA,NA,#509802204,Negro mate,"TALLA L,M",KONTROL,ALAMO,Integral,NA,NA,NA,NA,NA
9, Casco Moto Ich Certificado Dot Guantes Chaleco Gratis ,139.900,179.900,"
			
				Nuevo
			
			
				
					 - 
				
				149
				vendidos
			
		",(104 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,10,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451860693-casco-moto-ich-certificado-dot-guantes-chaleco-gratis-_JM?searchVariation=21096322764,8,1,1,0,0,#451860693,Negro,"S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
10, Casco Moto Abatible Certificado Ich 3110 Dot Placas Gratis ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				122
				vendidos
			
		",(396 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,9,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-445921735-casco-moto-abatible-certificado-ich-3110-dot-placas-gratis-_JM?searchVariation=18010980802,8,1,0,0,0,#445921735,Negro,"S,M,L,XL",ICH,3110,Rebatible,Unisex,1000 g,Doble,NA,NA
