search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Materiales del interior,Género,Modelo alfanumérico,Peso
23, Casco Abatible Bkr Deidad Quetzal Svs Con Certificacion Dot ,"1,299",NA,62,5,18 meses,72.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660786514-casco-abatible-bkr-deidad-quetzal-svs-con-certificacion-dot-_JM?searchVariation=31940900484,NA,NA,NA,NA,NA,#660786514,NA,"S,G",BKR,Deidad Quetzal,Rebatible,MODULAR ABATIBLE,NA,NA,NA,NA,NA,NA,NA
24, Casco Tipo Cross Negro Mate Cer Dot Tallas Con Mica ,"1,049",NA,173,4,18 meses,58.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,6,https://perfil.mercadolibre.com.mx/MSREFACCIONES,https://articulo.mercadolibre.com.mx/MLM-632407672-casco-tipo-cross-negro-mate-cer-dot-tallas-con-mica-_JM?searchVariation=25247596244,5,1,0,0,0,#632407672,NA,"S,M,L,XL",WYL,CAS-CRO-118,Cross,Cross,NA,ABS,NA,NA,NA,NA,NA
25," Casco Moto Vintage Negro Mate Roda, 3/4 Dot Gogles Gratis! ",999,NA,36,16,18 meses,55.50,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/SELLATODO,https://articulo.mercadolibre.com.mx/MLM-664359717-casco-moto-vintage-negro-mate-roda-34-dot-gogles-gratis-_JM?searchVariation=32919947420,1,0,0,0,0,#664359717,NA,"XL - extra grande,L - grande,M- mediano",Roda,Vintage,Abierto,NA,NA,NA,NA,tela,Unisex,NA,NA
26, Casco Abierto Ls2 Airflow Solid Of562 Negro/mate 2019 ,"1,301",NA,150,9,18 meses,72.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,24,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-599846131-casco-abierto-ls2-airflow-solid-of562-negromate-2019-_JM?searchVariation=32169910434,18,6,0,0,0,#599846131,Negro,"Mate,S,M,L,XL",LS2,OF562,Abierto,CHOPPER,Simple,Policarbonato,Adultos,EPS,Unisex,OF562,NA
27, Casco Para Motocicleta Cross Enduro Con Mica Gafas ,969,NA,900,164,18 meses,53.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,45,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218965-casco-para-motocicleta-cross-enduro-con-mica-gafas-_JM?searchVariation=36754939909,33,7,5,0,0,#552218965,NA,"L,XL",INNOVANDO,MX009000,NA,NA,NA,Policarbonato,Adultos,NA,Unisex,NA,NA
28, Casco Faseed Fs-701a Top-gun Abierto Certificado Ece ,950,NA,68,1,12 meses,93.85,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,3,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-647086195-casco-faseed-fs-701a-top-gun-abierto-certificado-ece-_JM?searchVariation=38592463161,3,0,0,0,0,#647086195,NA,M (57 - 58 cm),Faseed,FS-701A,Abierto,Top-Gun,NA,NA,NA,NA,NA,NA,NA
29, Casco Alessia Abatible / Modular Negro Liso Gafas Internas ,799,NA,158,31,12 meses,78.93,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,8,https://perfil.mercadolibre.com.mx/ARTICULOSDEPORITVOSRT,https://articulo.mercadolibre.com.mx/MLM-592843891-casco-alessia-abatible-modular-negro-liso-gafas-internas-_JM?searchVariation=32332336614,8,0,0,0,0,#592843891,NA,"S,M,L,XL",Alessia,CAS-JK111-016,ABATIBLE,Abatible/gafas integradas,Doble,NA,Adultos,Plastico ABS,Unisex,NA,NA
30, Casco Joe Rocket Rkt 14 Negro Iridio / 2 Micas ,"2,599",NA,67,14,18 meses,144.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ZAMUDIO8AA,https://articulo.mercadolibre.com.mx/MLM-661020862-casco-joe-rocket-rkt-14-negro-iridio-2-micas-_JM?searchVariation=31987498574,2,0,0,0,0,#661020862,"S,M,L,XL",,Joe Rocket,Rkt-14,Integral,Rkt,Doble,ABS,Adultos,Resina termoplástica,Unisex,NA,NA
31, Casco Abatible Caberg Duke 2 Smart Negro 100% Italiano 2019 ,"3,699",NA,348,7,18 meses,205.50,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,38,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-549258203-casco-abatible-caberg-duke-2-smart-negro-100-italiano-2019-_JM?searchVariation=26388914704,32,6,0,0,0,#549258203,Negro,"Brillante,L,M,XL,S,M,L,XL",Caberg,Duke,Rebatible,SMART II,Doble,Policarbonato,Adultos,EPS,Unisex,NA,NA
32, Casco Híbrido Crossover Moto Faseed Trooper Certificado Ece ,"1,469",NA,90,5,18 meses,81.61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,5,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-686224257-casco-hibrido-crossover-moto-faseed-trooper-certificado-ece-_JM?searchVariation=40049216136,5,0,0,0,0,#686224257,NA,"L 59-60cm,M 57-58cm,XL 61-62cm,S 55-56cm",Faseed,Fs-726X,Multi-Modular,NA,Simple,ABS,Adultos,Poliestireno,Unisex,NA,NA
33, Casco Alessia Matte Negro Motocross Enduro Utv Atv ,739,NA,172,72,12 meses,73.01,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,4,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-623927155-casco-alessia-matte-negro-motocross-enduro-utv-atv-_JM?searchVariation=23386214027,3,1,0,0,0,#623927155,NA,"S,M,L,XL",Alessia,Colores,Cross,CAS-CRO-15,NA,ABS,NA,NA,NA,NA,NA
34, Casco Depredador Con Luces Envío Gratis Con Descuento!!! ,999,NA,178,387,18 meses,55.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,2.7,6,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-621431018-casco-depredador-con-luces-envio-gratis-con-descuento-_JM?searchVariation=23088432417,0,1,3,1,1,#621431018,Negro,"ROJO,grande,chico,extra grande,mediano",JK,DEPREDADOR LUCES,Integral,DEPREDADOR,Simple,Fibra de vidrio,Adultos,Esponja,Masculino,EDL,NA
35, Casco Faseed Fs-710 Chopper Gráficos Certificado Ece R2205 ,"1,050",NA,64,1,18 meses,58.33,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,23,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-649431709-casco-faseed-fs-710-chopper-graficos-certificado-ece-r2205-_JM?searchVariation=30624767950,20,3,0,0,0,#649431709,NA,"S (55 - 56 cm),XL (61 - 62 cm)",Faseed,FS-710,Abierto,Gráficos,NA,NA,NA,NA,NA,NA,NA
36, Casco Moto Negro Kov Abatible Certificado Dot Lente ,"1,247",NA,243,35,18 meses,69.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,81,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-623624975-casco-moto-negro-kov-abatible-certificado-dot-lente-_JM?searchVariation=27476315673,63,14,2,1,1,#623624975,NA,"M,L,XL",KOV,Kukulk-stealth,Rebatible,Legacy,Doble,ABS,Adultos,Resina termoplástica,Masculino,NA,NA
37, Casco Joe Rocket Rkt 13 Negro Mate ,"2,199",NA,24,3,18 meses,122.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,22,https://perfil.mercadolibre.com.mx/ZAMUDIO8AA,https://articulo.mercadolibre.com.mx/MLM-668024905-casco-joe-rocket-rkt-13-negro-mate-_JM?searchVariation=33750094683,20,1,1,0,0,#668024905,NA,L,Joe Rocket,Rkt 13,Integral,RKT 13 Series,Doble,ABS,Adultos,Resina termoplástica,Unisex,NA,NA
38, Casco Abatible Para Motocicleta Con Mica Y Gafas Integradas ,899,NA,675,156,18 meses,49.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,49,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-559694368-casco-abatible-para-motocicleta-con-mica-y-gafas-integradas-_JM?searchVariation=26063210759,26,12,8,1,2,#559694368,Negro mate,"1,L,XL",INNOVANDO,MX006000,Integral,CASCOS,NA,NA,Adultos,NA,Unisex,NA,NA
39, Casco Abatible Roda Revenge Con Certificacion Dot ,"1,285",NA,115,10,18 meses,71.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,119,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660781205-casco-abatible-roda-revenge-con-certificacion-dot-_JM?searchVariation=31940340060,93,19,4,1,2,#660781205,NA,"S,L,XL",RODA,Revenge,Rebatible,MODULAR (ABATIBLE),NA,NA,NA,NA,NA,NA,NA
40, Casco Integral Ls2 Rapid Para Moto Negro Mate Seguridad Euro ,"1,661","1,749",98,6,18 meses,92.31,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,55,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-640623530-casco-integral-ls2-rapid-para-moto-negro-mate-seguridad-euro-_JM?searchVariation=27207815085,51,4,0,0,0,#640623530,NA,"Mate,M,L,XL,S,M,L,XL",LS2,Rapid,Integral,TOURING,Simple,Policarbonato,Adultos,EPS,Unisex,NA,1250 g
41, Casco Integral Ls2 Ff353 Rapid Negro Mate Ece22-05 ,"1,749",NA,307,20,18 meses,97.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,55,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-619831621-casco-integral-ls2-ff353-rapid-negro-mate-ece22-05-_JM?searchVariation=23848272608,51,4,0,0,0,#619831621,Negro,"Mate,S,M,L,XL,XXL",LS2,Rapid,Integral,FF353,Simple,HPTT,Adultos,NA,Unisex,FF353,1250 g
42, Casco Abatible Dama Risky Pink Ultra Negro Rosa Dot Ece2205 ,"1,499",NA,133,16,18 meses,83.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,8,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-660198062-casco-abatible-dama-risky-pink-ultra-negro-rosa-dot-ece2205-_JM?searchVariation=31791591046,7,1,0,0,0,#660198062,NA,"S,M",Risky,CAS-VA-31,Rebatible,ABATIBLE / MODULAR,NA,NA,NA,NA,NA,NA,NA
43," Casco Abatible Moto Kov Cancho, Zapata, Mictlan Kov Part ","1,289",NA,193,76,18 meses,71.61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,53,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564633165-casco-abatible-moto-kov-cancho-zapata-mictlan-kov-part-_JM?searchVariation=29925586337,36,10,6,0,1,#564633165,NA,"CH,M,G,EEG,EG",KOV,Stealth,Rebatible,KOV,NA,ABS,NA,NA,NA,0661787041817,NA
44, Casco Integral Con Luz Led Roda Firefly Certificacion Dot ,"1,239",NA,57,3,18 meses,68.83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,2,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660782909-casco-integral-con-luz-led-roda-firefly-certificacion-dot-_JM?searchVariation=31940490265,1,1,0,0,0,#660782909,Rojo,XL,RODA,Firefly,Integral,C/LED MIDNIGHT,NA,NA,Adultos,NA,NA,NA,NA
45, Casco Niños Faseed Fs-815 Certificado Ece R2205 ,"1,350",NA,31,1,18 meses,75.00,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-662103524-casco-ninos-faseed-fs-815-certificado-ece-r2205-_JM,1,0,0,0,0,#662103524,NA,"YM (49 - 50 cm),YL (51 - 52 cm),YXL (53 - 54 cm)",Faseed,FS-815,Integral,Júnior,NA,NA,NA,NA,NA,NA,1.25 kg
46, Casco Motocicleta Dot Abatible Modular Kov Element Mica Inte ,"1,149",NA,84,1,18 meses,63.83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,64,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-639258066-casco-motocicleta-dot-abatible-modular-kov-element-mica-inte-_JM?searchVariation=27785845917,43,18,2,1,0,#639258066,Rojo,EG,KOV,Element,Rebatible,Colors,NA,NA,NA,NA,NA,NA,NA
