search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco
62, Casco Moto Ces Abierto Jet Certificado Negro Mate ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435210448-casco-moto-ces-abierto-jet-certificado-negro-mate-_JM,NA,NA,NA,NA,NA,#435210448,NA,NA,NA,NA
63, Casco Ces Moto Cross Certificacion Dot Con 3 Regalos !!! ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435358107-casco-ces-moto-cross-certificacion-dot-con-3-regalos--_JM,NA,NA,NA,NA,NA,#435358107,NA,NA,NA,NA
64, Casco De Moto Spider Para Niños De 1 A 4 Años ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432766363-casco-de-moto-spider-para-ninos-de-1-a-4-anos-_JM,NA,NA,NA,NA,NA,#432766363,NA,NA,NA,NA
65, Casco Moto Cross Certificado + Lente Y Guante Con Protector ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435220306-casco-moto-cross-certificado-lente-y-guante-con-protector-_JM,NA,NA,NA,NA,NA,#435220306,NA,NA,NA,NA
66, Casco Moto Ces Adventure Ax9 Certificados Dot Modelos 2019 ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435807672-casco-moto-ces-adventure-ax9-certificados-dot-modelos-2019-_JM,NA,NA,NA,NA,NA,#435807672,NA,NA,NA,NA
67, Casco Moto Cross Todo Terreno Con Mica Ces Cert. Dot Mate ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435819922-casco-moto-cross-todo-terreno-con-mica-ces-cert-dot-mate-_JM,NA,NA,NA,NA,NA,#435819922,NA,NA,NA,NA
68, Cascos Ym-627 Moto Y Bicicleta Certificado ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435405392-cascos-ym-627-moto-y-bicicleta-certificado-_JM,NA,NA,NA,NA,NA,#435405392,NA,NA,NA,NA
69, Casco Moto + Guantes Reforzados + Cadena De Seguridad A S/99 ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				80
				vendidos
			
		",(71 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,1.0,1,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-425815044-casco-moto-guantes-reforzados-cadena-de-seguridad-a-s99-_JM,NA,NA,NA,NA,NA,#425815044,NA,NA,NA,NA
70, Casco Moto Cross Ces Ax-9 Certificado Dot Con Visor Incluido ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-426198893-casco-moto-cross-ces-ax-9-certificado-dot-con-visor-incluido-_JM,NA,NA,NA,NA,NA,#426198893,NA,NA,NA,NA
71, Casco Moto Cross Con Lentes Y Guantes A S/199 ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-426299548-casco-moto-cross-con-lentes-y-guantes-a-s199-_JM,NA,NA,NA,NA,NA,#426299548,NA,NA,NA,NA
72, Casco Moto Ces Mujer Lila/negro Certificado Dot ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-426198908-casco-moto-ces-mujer-lilanegro-certificado-dot-_JM,NA,NA,NA,NA,NA,#426198908,NA,NA,NA,NA
73, Audifonos Bluetooth Para Casco De Moto ,90,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(43 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/THONY_C,https://articulo.mercadolibre.com.pe/MPE-432783812-audifonos-bluetooth-para-casco-de-moto-_JM,NA,NA,NA,NA,NA,#432783812,NA,NA,NA,NA
74, Casco Moto Ces Abatibles Certificados Dot Nuevos 2019 ,219,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435819982-casco-moto-ces-abatibles-certificados-dot-nuevos-2019-_JM,NA,NA,NA,NA,NA,#435819982,NA,NA,NA,NA
75, Casco Ces Moto Cross Certificacion Dot Modelos Variados ,149,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435393381-casco-ces-moto-cross-certificacion-dot-modelos-variados-_JM,NA,NA,NA,NA,NA,#435393381,NA,NA,NA,NA
76, Casco Moto Ces Integral Certificado Para Dama ,159,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435393396-casco-moto-ces-integral-certificado-para-dama-_JM,NA,NA,NA,NA,NA,#435393396,NA,NA,NA,NA
77, Casco Moto Shaft Diseño 2019 En Oferta ,239,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435819976-casco-moto-shaft-diseno-2019-en-oferta-_JM,NA,NA,NA,NA,NA,#435819976,NA,Shaft,NA,NA
78, Casco Moto Cross Todo Terreno Con Mica Ces Cert. Dot Bull ,219,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435358060-casco-moto-cross-todo-terreno-con-mica-ces-cert-dot-bull-_JM,NA,NA,NA,NA,NA,#435358060,NA,NA,NA,NA
79, Casco De Noto Chopers Rosado Con Visor ,60,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-424648365-casco-de-noto-chopers-rosado-con-visor-_JM,NA,NA,NA,NA,NA,#424648365,NA,NA,NA,NA
80, Casco Moto Cross Todo Terreno Con Mica Ces Cert. Dot Spark ,219,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435393305-casco-moto-cross-todo-terreno-con-mica-ces-cert-dot-spark-_JM,NA,NA,NA,NA,NA,#435393305,NA,NA,NA,NA
