search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco
35, Casco De Moto Para Niño Hombre Araña Edicion Especial ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436425792-casco-de-moto-para-nino-hombre-arana-edicion-especial-_JM,NA,NA,NA,NA,NA,#436425792,NA,NA,NA,NA
36, Intercomunicador Bts3 Bluetooth Para Casco De Motocicleta ,220,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERCOMAX+SAC,https://articulo.mercadolibre.com.pe/MPE-436638954-intercomunicador-bts3-bluetooth-para-casco-de-motocicleta-_JM,NA,NA,NA,NA,NA,#436638954,NA,NA,NA,NA
37, Casco De Moto Niña ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-429866062-casco-de-moto-nina-_JM,NA,NA,NA,NA,NA,#429866062,NA,NA,NA,NA
38, Casco De Moto Aleman Negro Brillo Hard Hay Tallas ,65,NA,"
			
				Nuevo
			
			
				
					 - 
				
				56
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.8,6,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-422057965-casco-de-moto-aleman-negro-brillo-hard-hay-tallas-_JM?searchVariation=39126392164,2,1,3,0,0,#422057965,Negro,Start FG+7,Aleman,NA
39, Casco De Moto Para Niña De 1 A 4 Años. (visa) ,60,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432869297-casco-de-moto-para-nina-de-1-a-4-anos-visa-_JM,NA,NA,NA,NA,NA,#432869297,NA,NA,NA,NA
40, Casco De Moto De Niño ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436192624-casco-de-moto-de-nino-_JM?searchVariation=39946745636,NA,NA,NA,NA,NA,#436192624,Negro,NA,NA,NA
41, Casco De Moto Abierto Skuat Jet Certificado Visor ,100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435570074-casco-de-moto-abierto-skuat-jet-certificado-visor-_JM,NA,NA,NA,NA,NA,#435570074,NA,NA,NA,NA
42, Casco Para Moto Niños Y Niñas Nuevos Diseños 2019 Pegaso ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(30 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-425199353-casco-para-moto-ninos-y-ninas-nuevos-disenos-2019-pegaso-_JM,NA,NA,NA,NA,NA,#425199353,NA,NA,NA,NA
43, Casco Para Moto Ls2 - Yohe ,370,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436684639-casco-para-moto-ls2-yohe-_JM,NA,NA,NA,NA,NA,#436684639,Color blanco/negro,LS2,LG 325 Stobe Civik,Rebatible
44, Casco De Moto Para Niña Dulcinea De 5 A 11 Años ,60,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-433476344-casco-de-moto-para-nina-dulcinea-de-5-a-11-anos-_JM,NA,NA,NA,NA,NA,#433476344,NA,NA,NA,NA
45, Casco Abierto Tipo Vespa Color Negro Mate ,95,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-425805598-casco-abierto-tipo-vespa-color-negro-mate-_JM,NA,NA,NA,NA,NA,#425805598,NA,Vespa,NA,NA
