search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Tipo,Marca,Modelo,Tipo de casco,Línea,Edad,Género,Tipo de visor,Materiales del interior,Materiales del exterior
11, Casco Integral Ls2 Negro Liso | Oferta! Moto Protección ,69,75,29,5,18 cuotas,136.16,NA,Envío gratis a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-451251909-casco-integral-ls2-negro-liso-oferta-moto-proteccion-_JM,1,1,0,0,0,#451251909,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
12, Casco Nenki Nk-822 Rebatible Con Lentes Varios Diseños ,4823,NA,62,5,18 cuotas,267.94,NA,Entrega a acordar con el vendedor,NA,NA,4.7,11,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444622780-casco-nenki-nk-822-rebatible-con-lentes-varios-disenos-_JM,8,3,0,0,0,#444622780,NA,Integral,Nenki,NA,NA,NA,NA,NA,NA,NA,NA
13, Casco Mt Thunder 3 Con Lentes Negro Y Verde Mate ,125,NA,7,17,18 cuotas,246.67,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453055870-casco-mt-thunder-3-con-lentes-negro-y-verde-mate-_JM,1,0,0,0,0,#453055870,"Negro, gris y verde mate",NA,MT,Thunder 3,Integral,NA,NA,NA,NA,NA,NA
14, Casco Moto Husqvarna Motorcycles Gotland ,890,NA,0,2,18 cuotas,1.756.27,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=7aIbQWa25w%2FgdoIMOQCSlGCkKQRrSp5ORawIOT88MwB3gwQACogpBDpJv7cmaRadi0XQcNNHsO%2FlT5D%2BBKaycNb9f3A6Zpj54nEIFWu06C69Hd0vKF9KISC%2Fe4bCPU6TyYPQ6lfFFtUihxtxRO4vlAcrWhw08fUF37ubdES3%2F0y9ndfxHnv5qtbgxP%2Bg3QwdzvIEn9pKcItY3VqUNq4JR6SRuqLXSB7Izi86pNnQr1QK3RZxWlFh84VFmRqGAdyftk5AKAWVfg2mcT8MEV3W%2BDalTVltZPG%2FVHzn5N9L7G5%2FDYIEiJqAi6QWhaA5riMVQbn1Lu9NpXtGcKOt%2BZ571jF5grkQVnjD9ZKWuc%2FkBCQolzx61Efoawj6SwwAG8Fhco1JF9ke2Lob7m%2Bb7Y1opfl1l1BMwAAws6qSj5Wz8F%2BUpubGxqPn9YrzXBkM4sAK4Nq8cWUyWddcb9cG8dnZ3TdptqwDwb0oBlpdzUXAHEyf58nWYWsBmjeA8XWIvTVDhH4vUS3f6hIlexezAn6lJsEFbJz4e%2FrZZ%2Fothv7DesePpc4LG28QegKOo5WZ24180CwNoFxn%2F5Les6ZDY3YH9XtSDaFWEqOXxu%2BJdjdT1v3j4YyFcKrMKsmXKeHsmhNjn%2Bddq2rqr4PY3vOYwSCR%2BN%2BNdHKnaeLkuaFKk7PCjZvFlxJ1iPt%2Fr0PNx%2BwXpaFhaUSFRFVAbL9lIIV3v%2F3%2B4XUm5M67ZQK4YLKepW7z0xOQOXH9bO65LLWBRXd7MYPvgYqTiPo4svl0xB%2FPITXTzFytc9w9AcqqfwVdiaiRGIOomDKrV8kZkBXYJ7wTwV5mH40FfgBmhLGvseZKWRGrQ%2B0XfBwk3TB8y7u65oyqZH%2FKfRW78IQWZ7OMK3pKEwC5FC97d8WJcyAwsoz5kCN1%2BGj8ZiQeQfcX9hOEhTmf4CYchI1Uy15w6jWNzTl4N%2Fjp4wRTvrMY%2BnvSSnvyIOMlKPlJtrE2VuDnbi89E0NhbXKHeZA3Jk3sTBH%2BL1yPqdHfsg5Fen3updxBYQwtZWB%2B9oX2RO2J1uL6ya2hf0INLkftYEH8X3hrSiQcW3QheVYFfgjvPZeGwKzHdOHq4QS9Meku5GA%2BqyXtaJuktLfl2gNZgW3JL5IBU45Mqsdm8a2YncF9SJyY8dNfwCy3q12rprEGo7Jj5QLSAeteeOvoJP3w3VH7bJWUAJ4VQXFqlMMJRWCe%2BaBvVhV6kW16Ge6gkYo6pqb0YCK25CE41bOVOyuMJLQ2zNP%2FuY8DMMm3b08ctysajlmtaytaYT0p1ULfA6GuP6bUqwM%2BhOMcA5%2BnIQ8FGibD2LGPeU76jpDs5TNr7iSDl9HZhCqSbtO4QWUFz2%2FIbX%2FKfklGev%2FqE0ea3ln3DXx1L0M%2FbmMkAJ17MJOftNpd4FDFltlbn4WSJmep4vDZoP%2FR7LyYeq1f%2BPsC2UZF5qbtUu5VuQjzBviqJRFIb%2BqMkQstEVppgEGdL%2BghpRTPBW5LTP3O51ZbATZuU5aJklDptxX7A0rgiiOdTxYdCrzbci3iYebi6aFRB2SOVpb5btcNl%2F%2Fwv4qimcIOEJS0%2ByX8TsrhXeS1lCAjjofOBlaong6qxdrZNS%2FFJwA%2BA2IcVM0jW2scBUWrZWYPHw%3D%3D,NA,NA,NA,NA,NA,#459369166,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
15, Cascos Para Motos / Mt Helmets Stinger / Warhead Naranja ,86,NA,10,90,18 cuotas,169.71,NA,Envío a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456303557-cascos-para-motos-mt-helmets-stinger-warhead-naranja-_JM,5,0,0,0,0,#456303557,NA,NA,MT Helmets,Stinger,Integral,Warhead,Adultos,Unisex,Simple,Poliestireno,Resina
16, Casco Moto Hjc Is-17 Arcus Mc-1 Con Lentes Incl. ,259,NA,5,1,18 cuotas,511.09,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979871-casco-moto-hjc-is-17-arcus-mc-1-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454979871,NA,NA,HJC,Arcus,Integral,IS-17,NA,NA,NA,NA,NA
17, Cubre Nariz Deflector Casco Moto Hjc Cl-st Fs-15 Cl-16 Cl-y ,149,NA,7,43,18 cuotas,8.28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-459817226-cubre-nariz-deflector-casco-moto-hjc-cl-st-fs-15-cl-16-cl-y-_JM,NA,NA,NA,NA,NA,#459817226,NA,Integral,HJC,NA,NA,NA,NA,NA,NA,NA,NA
18, Casco Moto Husqvarna Motorcycles Pilen ,595,NA,0,1,18 cuotas,1.174.13,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=gBVUMDw9lVtD4U55Hl%2BvtaS47NE34fTdzj6GUYEa91bhfzdiSJhrVo7aLTHxsk4zM1ePA2IvBt6rt1d5HTt9R8Cm9%2FVQeshR5bKfjOG%2F7gSy%2F3qFQRa9K000j2c%2FNhwWxG8DXQ3VJVYjpuTndeaoyNrIIHqaD67NLVU2cmFNGGE6GnE042IFQPL6%2B73Aaad09GOqxcr7uDEqewz6qCpw0JoIGjzC261jecllXDIdOEBpNv%2Br2WPolt4YV9GjOi9EMo%2BXMH9Ch7n1zl39OeFD%2Bd%2BPZx%2FU2YVGjgfzLtKRiD1R39W7SvtFRqXb2SBxoVDqoosltmargJC8nc9HoA9f380AlvBagJHLGbusIy69KcGNUdLz1m8Ug5bFj5KjidkOibFFvzEaD0qp0InWkLZZsrKAhO%2Fjzxh1uyLj2Kzzk3nCIw%2B0qZVHaaffDLMEfvEgQVNzg7uJEEA%2BKrg5C7LTphFTWDjGDM6f96wM5%2B7M%2FwB0eaDWLAmM%2FdDN0%2B99nPkhE5RyCZ6fkFfz24EcanAt8s8QUd6iM6LP6VH%2FuXtjkd8R%2F6vVJM6UUVmiehrb0OMqMWvXAA8L3e61IrEypFs7qZRcbbp1SiZMDQWRoVaI8nNcpOJ%2BcM1XSieAaNf14q1a%2B4PNqM9Ky8oumb9m599UP6Neai5oCnRctDyXwvZGUJp8evzU3J0v4MBOwFqOGUw18QytLCFXpnEblCFOEl%2B2JMzG8oq2LGOXsGnyswtWa3JVeYKORPYgsyf6kdDz0MM%2FkD5QXKKPvflakPKsjuiRIzYKi4vrfqiL7TFAj%2FBfquGIdgNzClvbxHQctN7mf%2BhszR3SQ7%2BhS889R5PQK3v0s6UtZFDj1oE3zd6eZJDTshRSDgrom70ajMZ8IKuBc3IKi2Xra0azSh2%2BRMJRoPHwXiRXG72Pv9BYWHT%2F6nx1wIHYnsI0BhJdRHssSakROUZErzqPobzVNplZxTsnO99OGh%2BVZQGqrXHdasdL%2F5tmS4RnWRPY3xlXl2ePdE5YADb7rR4SyrK38Czi96kOPBEfOpVZVdFafdtgHe7463FgV4NNrn60%2FnE1qaZDoMtEtVQWZYqMPuZjb1f2lIYzaV%2FxBvyu7rDwbJ4kmI%2F6GjC4%2FJnHW6%2BIpz8h6bUO1vdGeYw4WTTWOAgAxjVXzTgf%2FinOQ7dq8CdYB1riqKYpEwhd3oTyYfaJsgVLB1GGoQzOp%2F3rXZXou0SrNJz1rh3EIBpwFbp6Qf4TcvavgCCUI03%2BvfEqhgIMKy%2Fsh1er7Rok%2FTNjuL2lj0O19w4idKQCkaMpr%2BI0IykXiNju1qQr%2Ftt6TvWxz9Cj4ECA2vJI4UbHBM%2Bd%2B0%2BAndxAZzXHLQPbxbZwENgrijGsU7oJMVXP52KHdpKs0a4VxG%2FCxS0MrcRz6prstTX3d5QtpjY68YUcFISKTa7L9ArZ%2FT2p01qXbukYq405LnstTQN6A%2FqdoRvxnsB%2BnDOw8NHjtaZHers%2FPL2OFYs%2BdQJS0E9kXGpAwEk5nlLD5SE7wscEve48vTFL7Ejv%2F7wBSFnpMnVmM3cLXxDLdfxqR32jSH4t89CiAAzaILdS6%2FAR00EN1rV5xOQHCMB%2FIWmNsBRWNv12ol%2F6nEPc2XH2%2BCxh86ZFiKzlxvg%3D,NA,NA,NA,NA,NA,#463828974,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
19, Casco Nash 3/4 Abierto Con Visor Y Lentes Con Protección Uv ,32,35,24,7,18 cuotas,63.15,NA,Envío gratis a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460324842-casco-nash-34-abierto-con-visor-y-lentes-con-proteccion-uv-_JM,2,0,0,0,1,#460324842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20, Casco Halcon Basic - Nany Motos ,990,NA,8,5,18 cuotas,55.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NANY+MOTOS,https://articulo.mercadolibre.com.uy/MLU-460165753-casco-halcon-basic-nany-motos-_JM?searchVariation=39434346987,NA,NA,NA,NA,NA,#460165753,Azul,NA,Halcon,NA,Integral,NA,Adultos,Unisex,Simple,Espuma,"Fibra de vidrio, Plastico"
