search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Tipo,Marca,Modelo,Tipo de casco,Línea,Edad,Género,Tipo de visor,Materiales del interior,Materiales del exterior
31, Casco Moto Hjc Is-17 Loktar Mc-8 Con Lentes Incl. ,259,NA,1,3,18 cuotas,511.09,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454978455-casco-moto-hjc-is-17-loktar-mc-8-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454978455,NA,NA,HJC,LOKTAR,Integral,IS-17,Adultos,Femenino,Doble,NA,Policarbonato
32, Casco Integral Para Moto Power Maxx Linea Amarillo Fluo ,1390,NA,3,7,18 cuotas,77.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-460817606-casco-integral-para-moto-power-maxx-linea-amarillo-fluo-_JM,NA,NA,NA,NA,NA,#460817606,NA,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA
33, Cascos Ls2 Ff352 Single Mono Negro Brilloso ,73,NA,29,8,18 cuotas,144.05,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-444273158-cascos-ls2-ff352-single-mono-negro-brilloso-_JM,2,0,0,0,0,#444273158,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
34, Casco Integral Power Maxx Negro Mate O Con Color Homologado ,1439,NA,22,3,18 cuotas,79.94,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444404541-casco-integral-power-maxx-negro-mate-o-con-color-homologado-_JM,1,0,0,0,0,#444404541,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
35, Casco Moto Evs T5 Venture Dual Sport ,295,NA,0,1,18 cuotas,582.13,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=2s1O9aGJrpAdlVcY3t%2BiYgzs0SyQYN86n5Zhojl9AGt7mVk4GgubtC5o8roXmgCfTwOKwedJvQFx1M311qP6gJkM9BzMzOMBwkakpI3T9lPC%2BEBe77ArNb5idBHRuNYIIA8yTG%2FRMFwKhtP6bzfG2KqV1Yd%2BRdxWS0q2%2F9lR399XyPy2de%2F6xZUx%2FC7G0hE%2FPU3q%2FuXHTxpSgko8Vye5zfYBiFxUyNhkkqsIymT0wc7rIplf5QiKF7smrMfXec4juC1wKzi9i%2BrAe2oxg4hfrJiBsRfoZFh7fycHkkWGCpmsPW6vfjgSkIWFkEx9aBekBxzrYS4g6B6603OMPTgkeOp05tLd7yZiYB2m1%2B8%2FABx%2F5NIspYiyp0AzgS3%2FXmMCCLWzHScXrdP%2B7MD9bOEpURjs5DtwKv5m7g1XXt%2BcavZv5EONoBXaeRYDVG0K3GZVO6msHbFYYZcfWRRPuLNRj1DZidgYbupe0Ido7AUR%2BSeyZ6nJ6oBtfFhTl3fys9C9T42BeCzKet6egqPCQ%2F6o%2F8iWiStIrw6vL0S8DSQ%2F9%2BWT9gv9SCbjkIrwsRPpjA89RY1dPmV1NMkyiOucQq%2FDOQK6FlKHyb35SU1TBclmNkofJNilXgWIz0ji40Y9txX9oqMpKFVcQh4fdAuqXKn9UulEC25D4YouDTFP5N2eUFRaE7188jJx9Uoez7emYIkFRVkSB6Q6kOHQwHxhL8nNkL39gk61lqVES3dmRcAIiHatZT5astrBJbMSJ3cr6gWdN30V%2Bu7ecrsW2nN%2FJ%2BjKttgXo6g4aPQvRVQWl5Y36AAbtE3lnPEEdoHiY0Ev8N%2FAWKh9MLV%2FDItp%2BTVxFL19wVlElZ%2B0Hq07jN%2BgGSx61e6XxySU4mL%2FHmBQr8TDtjtQlmgy7%2B2JNwi22Srq0qQhySBLTJbWPQixnnsMY3OgolAHllasGGgvVTtMNCJ6FRNrQQE7LpniUIHncKChZKnS0NIk628wXYXCSYaSAyZ%2F0UWFMRV47F2Oh0JJZrLXLN2pftcFntLK5GbGUES67wu5bjSuBai7UESGd64eceHMHH1IsKdu8BKr8dI22K3AGdi48HVQJ3w53hWU7Y27kd8Lo5p8Y7lTYTlIFM9nPvTvIycLWVfeYoEZA32RiuttBzN%2BaSOcJIrOlBKtACiwVWKiVqY4shgCWaRELvTJGKVngdB4%2B%2FJsMo5AdFevHs6L%2FgP%2F6LUv%2BQcwmotR%2FvP2ARQz6WDnOdWSaqU6eQS2hSaGGYMRvlm3zlu0KjFt3caIAkTkWw55K5KfXZjqgCr9lKwdHqqgrvTrJA8%2FRfD%2FtrhgjmWa7mLAaH%2BUiTWIp4icVcEagWlS5eDuy%2BedGeKPX9Jz10VNzMoSjDzTBFiYKB%2Fqeh5%2FvGUEGd7LITzIxlyDs6NW91HwYGS%2FTAtExJCuy0T7Nvbh9AlEeNREOm9AqiPIJQ6xOFBFBaf7wGce9h%2Bb6YbiXKPgzPb1dPI%2FxhiXjDNG9lul5DbKktzphn4z8pgYjiyyYcacKXHqOjDpGnhVHvurd0%2Bw4andvmzuSWLaFIlHq9LwZcZMPX6Up9pgfaRFCQtl0asPwhxxecrmQp%2Fa%2FcT4kc%2F2bpI6HF%2BxlxEU%2FLPJrWrOgDixHhGVozGM,NA,NA,NA,NA,NA,#459347885,NA,Cross,NA,NA,NA,NA,NA,NA,NA,NA,NA
36, Cascos Para Motos / Mt Helmets Stinger / Pole Rojo ,86,NA,6,96,18 cuotas,169.71,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-454432878-cascos-para-motos-mt-helmets-stinger-pole-rojo-_JM,NA,NA,NA,NA,NA,#454432878,NA,NA,MT Helmets,Stinger,Integral,Pole,Adultos,Unisex,Simple,Poliestireno,Resina
37, Casco Moto Rebatible Givi X16 Voyager Antracita Con Lentes ,219,NA,6,24,18 cuotas,432.16,NA,Envío a todo el país,NA,NA,5,3,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-446875319-casco-moto-rebatible-givi-x16-voyager-antracita-con-lentes-_JM?searchVariation=16566253194,3,0,0,0,0,#446875319,"L,M,S,XL,XXL",Rebatible,GIVI,X.16,NA,NA,NA,NA,NA,NA,NA
38, Cascos Para Motos / Mt Helmets Stinger / Affaire Rosa ,86,NA,2,71,18 cuotas,169.71,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-463060028-cascos-para-motos-mt-helmets-stinger-affaire-rosa-_JM,NA,NA,NA,NA,NA,#463060028,NA,NA,MT Helmets,Stinger,Integral,Affaire,Adultos,Unisex,Simple,Poliestireno,Resina
39, Casco Ls2 Mx436 Pioneer Element Titanium. ,200,NA,13,7,18 cuotas,394.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-445069240-casco-ls2-mx436-pioneer-element-titanium-_JM,NA,NA,NA,NA,NA,#445069240,NA,NA,LS2,NA,Cross,NA,NA,NA,NA,NA,NA
40, Cascos Para Motos / Mt Helmets Stinger / Pole Rosa ,86,NA,2,71,18 cuotas,169.71,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-463060145-cascos-para-motos-mt-helmets-stinger-pole-rosa-_JM,NA,NA,NA,NA,NA,#463060145,NA,NA,MT Helmets,Stinger,Integral,Pole,Adultos,Unisex,Simple,Poliestireno,Resina
41, Casco Para Moto Rebatible Con Lentes Safebet ,2090,NA,7,4,18 cuotas,116.11,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459497070-casco-para-moto-rebatible-con-lentes-safebet-_JM,1,0,0,0,0,#459497070,NA,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA
42," Casco De Moto Para Niño Power Maxx Modelo Bite, Aprobados. ",1260,NA,2,49,18 cuotas,70.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-464045000-casco-de-moto-para-nino-power-maxx-modelo-bite-aprobados-_JM,NA,NA,NA,NA,NA,#464045000,"Azul, verde y rosado",NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA
43, Cascos Abiertos New3 ,899,NA,31,12,18 cuotas,49.94,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/WINSTONG2010,https://articulo.mercadolibre.com.uy/MLU-451037731-cascos-abiertos-new3-_JM,1,0,0,0,0,#451037731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44, Cascos Para Motos / Mt Helmets Stinger / Warhead Verde ,86,NA,68,72,18 cuotas,169.71,NA,Envío a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-450710516-cascos-para-motos-mt-helmets-stinger-warhead-verde-_JM,5,0,0,0,0,#450710516,NA,NA,MT Helmets,Stinger,Integral,Warhead,Adultos,Unisex,Simple,Poliestireno,Resina
45, Lamina Interior Casco Moto Anti Vaho Anti Empañante Invision ,23,NA,11,39,18 cuotas,45.39,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-447177989-lamina-interior-casco-moto-anti-vaho-anti-empanante-invision-_JM,2,0,0,0,0,#447177989,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
46, Cascos Para Motos Rebatible Mt Atom Sv Tarmac Amarillo ,185,NA,4,36,18 cuotas,365.07,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-446379933-cascos-para-motos-rebatible-mt-atom-sv-tarmac-amarillo-_JM,NA,NA,NA,NA,NA,#446379933,NA,Cross,NA,NA,NA,NA,NA,NA,NA,NA,NA
47, Kit Movimiento Casco Moto Hjc Hj-09 Cl-st Cs-15 Cl-16 Cl-17 ,18,NA,11,9,18 cuotas,35.52,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449859005-kit-movimiento-casco-moto-hjc-hj-09-cl-st-cs-15-cl-16-cl-17-_JM,1,0,0,0,0,#449859005,NA,Integral,HJC,NA,NA,NA,NA,NA,NA,NA,NA
48, Casco Moto Hjc Cs-15 Treague + Visor Humo ,139,NA,1,5,18 cuotas,274.29,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-450257942-casco-moto-hjc-cs-15-treague-visor-humo-_JM,4,0,0,0,0,#450257942,NA,Integral,HJC,Treague,NA,CS-15,NA,NA,NA,NA,NA
49, Casco Repuesto Boquera Invierno Alta Ls2 ,16,NA,13,18,18 cuotas,31.57,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-455082842-casco-repuesto-boquera-invierno-alta-ls2-_JM,1,1,0,0,0,#455082842,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
50, Casco Abierto Nash Maxx Shiro Nenki Con Visor Y Lentes Uv ,32,35,5,2,18 cuotas,63.15,NA,Envío gratis a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460324922-casco-abierto-nash-maxx-shiro-nenki-con-visor-y-lentes-uv-_JM,0,1,0,0,0,#460324922,NA,NA,Nenki,NA,NA,NA,NA,NA,NA,NA,NA
51, Casco Deportivo Agv K-5 S Torn 46 (carbono Y Fibra ) ,550,NA,1,10,18 cuotas,1.085.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-458943024-casco-deportivo-agv-k-5-s-torn-46-carbono-y-fibra--_JM,NA,NA,NA,NA,NA,#458943024,NA,NA,AGV,K-5 S,Integral,NA,NA,NA,NA,NA,NA
52, Casco Moto Hjc Cs-15 Liso Negro Mate ,109,NA,22,10,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-444549068-casco-moto-hjc-cs-15-liso-negro-mate-_JM?searchVariation=39327735951,0,1,0,0,0,#444549068,Negro,NA,HJC,CS-15,Integral,CS-15,Adultos,Unisex,Simple,NA,Policarbonato
53, Casco Moto Cross Hjc Cs-mx Negro Mate ,119,NA,3,3,18 cuotas,234.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454980035-casco-moto-cross-hjc-cs-mx-negro-mate-_JM,NA,NA,NA,NA,NA,#454980035,NA,Cross,HJC,NA,NA,NA,NA,NA,NA,NA,NA
54," Casco Negro Mate Integral | Ls2, Modelo Ff352, Aprobados ",69,75,3,8,18 cuotas,136.16,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-463349996-casco-negro-mate-integral-ls2-modelo-ff352-aprobados-_JM,NA,NA,NA,NA,NA,#463349996,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
55, Casco Hjc Moto Cs-15 Treague Mc-8f Mate ,109,NA,2,1,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979602-casco-hjc-moto-cs-15-treague-mc-8f-mate-_JM,4,0,0,0,0,#454979602,NA,Integral,HJC,Treague,NA,CS-15,NA,NA,NA,NA,NA
56, Casco Hjc Moto Cs-15 Trion Mc-8f Mate ,109,NA,3,3,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979312-casco-hjc-moto-cs-15-trion-mc-8f-mate-_JM,NA,NA,NA,NA,NA,#454979312,NA,NA,HJC,Trion,Integral,CS-15,NA,NA,NA,NA,NA
57, Casco Moto Hjc Cs-15 Sebka Mc-5 ,109,NA,2,1,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-455010470-casco-moto-hjc-cs-15-sebka-mc-5-_JM,NA,NA,NA,NA,NA,#455010470,NA,NA,HJC,Sebka,Integral,CS-15,Adultos,Unisex,Simple,NA,Policarbonato
58, Casco Mt Integral Stinger Negro Y Verde Mate ,86,NA,8,17,18 cuotas,169.71,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-456689158-casco-mt-integral-stinger-negro-y-verde-mate-_JM,NA,NA,NA,NA,NA,#456689158,Negro y vede mate,NA,MT,Stinger,Integral,NA,NA,NA,NA,NA,NA
59, Cascos Motos Hjc Integral Cs-15 Space Mc7sf Mate ,109,NA,1,2,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-456018254-cascos-motos-hjc-integral-cs-15-space-mc7sf-mate-_JM,NA,NA,NA,NA,NA,#456018254,NA,NA,HJC,Space,Integral,CS-15,NA,NA,NA,NA,NA
60, Casco Moto Hjc Integral Cl-17 Black ,99,NA,3,10,18 cuotas,195.36,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-444506074-casco-moto-hjc-integral-cl-17-black-_JM,NA,NA,NA,NA,NA,#444506074,"L,M,XL",Integral,HJC,NA,NA,CL-17,NA,NA,NA,NA,NA
61, Casco Moto Hjc Integral Cl-17 Redline Mc1 Oferta ,99,NA,4,6,18 cuotas,195.36,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-444505907-casco-moto-hjc-integral-cl-17-redline-mc1-oferta-_JM?searchVariation=16665886855,NA,NA,NA,NA,NA,#444505907,"M,XL",Integral,HJC,Redline,NA,CL-17,NA,NA,NA,NA,NA
62, Casco Mt Integral Stinger Negro Y Naranja Mate ,86,NA,6,14,18 cuotas,169.71,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-456688958-casco-mt-integral-stinger-negro-y-naranja-mate-_JM,NA,NA,NA,NA,NA,#456688958,Negro y naranja mate,NA,MT,Stinger,Integral,NA,NA,NA,NA,NA,NA
63, Cascos Para Motos / Mt Helmets Thunder 3 Con Lentes /torn ,125,NA,8,383,18 cuotas,246.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-444589619-cascos-para-motos-mt-helmets-thunder-3-con-lentes-torn-_JM?searchVariation=39807380904,NA,NA,NA,NA,NA,#444589619,Azul,NA,MT Helmets,Thunder 3 SV,Integral,Torn,Adultos,Unisex,Doble,Poliestireno,Resina
64, Casco De Motos Ls2 Aprobados ,2870,NA,4,6,18 cuotas,159.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/SEJO2377096,https://articulo.mercadolibre.com.uy/MLU-462289485-casco-de-motos-ls2-aprobados-_JM,NA,NA,NA,NA,NA,#462289485,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
65, Cascos Para Motos / Mt Helmets Stinger / Brave Rojo ,86,NA,2,71,18 cuotas,169.71,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-463059744-cascos-para-motos-mt-helmets-stinger-brave-rojo-_JM,NA,NA,NA,NA,NA,#463059744,NA,NA,MT Helmets,Stinger,Integral,Brave,Adultos,Unisex,Simple,Poliestireno,Resina
66, Casco Ls2 Ff352 Rookie Flutter Negro Púrpura ,84,NA,2,6,18 cuotas,165.76,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-462916452-casco-ls2-ff352-rookie-flutter-negro-purpura-_JM,NA,NA,NA,NA,NA,#462916452,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
67, Casco Moto Cross Evs T5 Pinner ,195,NA,0,5,18 cuotas,384.80,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=CpBiKfsUDv7krdp5KngqwL52LRLynixG2qzJ%2BDZGUrV818OmGAqrSMa7fNIYkxq61JApjAhxgLiPq8FkvC1mJuDk6hZVI0Ce1UBPFXRs1U4LoAQ%2FaamELg6FAGUmGKuyQ9u%2Fj7eQTNfZ1bShugV9eWdqW0J3eA9JpHbYIfj%2BxdV9ZjhfNuBygSrnbb9r%2FZ8YhBPj5iHjIPKAscPk1nC2jD76Rd3hdYJCSWPVKyhk9xydwELcxzH7BYuzD6MZwaom3PvnBvpHd3mCgvlbtb4YxoFc80PE0Fg0dqZYcv0a3iQx6q01Gcl%2FOTEultQR8kzMN5fBRIUFtA61x9rj%2F7KKnsTWE1QeIdkAe5UnSWTs%2Bqo%2FXPV41VVW4WzEM3IhkK99xsaBfPICRXq8fkTteYOFNUAPxezzJOHVkDZjVworUnyJkXTvrZAeIu%2Fbo7yjHRg60vVYujJCwec18JnGy1WelEB9W7xPKBw4Lhe1kF92%2BE3BPdVTp2UV6Kg9rGIyVfn0vpaXH%2FTXpMT761qRlsKhWZbaSrZrldtWBXnLqxakuEuYF4M88iYccio5mJZ8eU%2B6YGP4jwbbYVmJJV%2BACZVi0uWp2FmS1jPqKhb2pNIVK%2BhL0DcsU%2FhGV2SoOIOOtGlnqEiiOSgTh%2B%2FYu%2FE%2FDqfY7JxP0tj2fTwgpezAlOHWNBSOR7nzBI1cIV8CCnTW%2FbEavQAwM2SiOTY8RwULESPNgoY5fT80HCEPaLh7anYoSZBgmfMVxpqJDRRh53EvETnqmRufiGVUq0uP0hkrVBMe9mZhnpfkA1c%2FZv5fubJgQoPdjy8Dxr3mIw%2Fto2JeQpnAdcw%2Fv07M3GnuIQ2RqzkvvYLhxYJhaIcuKZahwnrvBOUudqL3C3AEBdgvZyPDBbjf6M39BcWFk2GPKOEtcM7M8eADGuGwXSGADQWmb%2BdkRO2Wec1nsDQtEB2Qij1Kp7KadExZoez4zJv%2FTYk7ydE4yOoZY8F%2FxV3yNCzfDx%2BkgUQrqPgOwfmrzHa7Y8uVUrLV7MYelJxZ4cNsPkxVNPbu72y4y%2FV3TZFeL2Ygx5OPjKjaMRlBL%2BohEDoPzKM%2BheGF90Sk2c4nkBjh6qO%2F7R7TOU04%2FwSZAs9EmrXxMu9%2FFgW09IH9%2Be2men%2Bv%2BHQ1e9%2FHBeazeqOZ39hyjGvkndRpmNW4v3Rk92CLFObNiYKnuD3UV3Y4TLCZ0jXCjrMeZpR%2FKrMuMJTPV5H8x6%2FfHOK9Q1hnlSQY3R0DJv7LoJCRDJOV1wDB9JPKgIGlx%2BXprw49BZxOP%2BT8kP4TWFgyqH70jsm05SdOBJdfaq9fQP2fuj9TpLXY0PFxIPIgOkIKBBbAvvZkBdh2Ez08lEp%2FWruFBVGT9Rtfeq0HaIBDLKmMWPEOLUfMrxNXj11vQrRdyvWdo3RS58pZe87O3v%2Bti6Ez7tHCv0m3rYLfijegkjPjQcyH5LSDCdcYO%2B%2Bem5tOZ1QTMEYUISopKZNucsIZN3UDBHK1f7%2BJ1K3u0jatHh1Vj2m0vVTpshnrqFZ1cUT89dzl4Mier13MJSzPLi1PjAqzcdwpQiLRD6wBAg0iQRi3SUxEghiCJmZIVumma8vAXvpQmadMRnLMcucgLC5rwHqTy9RVFoa%2Fw6d%2FvDKhqQ7tg5f%2FV9r4hA%3D%3D,NA,NA,NA,NA,NA,#450229561,NA,Cross,NA,NA,NA,NA,NA,NA,NA,NA,NA
68, Casco Moto Hjc Cs-15 Space Mc10sf C/visor Oscuro Incluido ,139,NA,4,2,18 cuotas,274.29,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-455335030-casco-moto-hjc-cs-15-space-mc10sf-cvisor-oscuro-incluido-_JM?searchVariation=39014318422,NA,NA,NA,NA,NA,#455335030,Blanco mate,NA,HJC,CS15,Integral,CS-15,NA,NA,NA,NA,NA
69, Cascos Motos Hjc Cl-17 Redline Oferta ,3300,NA,1,2,18 cuotas,183.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460192572-cascos-motos-hjc-cl-17-redline-oferta-_JM,NA,NA,NA,NA,NA,#460192572,NA,NA,HJC,Redline,Integral,CL-17,NA,NA,NA,NA,NA
70, Casco On-off Cross Con Visor Y Visera Power Maxx ,3023,NA,7,3,18 cuotas,167.94,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-455160565-casco-on-off-cross-con-visor-y-visera-power-maxx-_JM?searchVariation=38966041912,1,0,0,0,0,#455160565,Negro,Cross,NA,NA,NA,NA,NA,NA,NA,NA,NA
