search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Peso,Materiais do interior
1, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,134,NA,862,78,12x,11.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,205,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,163,30,7,5,0,#824544027,"Branco e rosa,Preto e Azul,Preto e Rosa","56,58,60",EBF,New Spark,New Spark Borboleta,Integral,Simple,ABS,Adultos,Unissex,NA,NA
2, Capacete Moto Fechado Ebf Masculino Varias Cores/tamanhos ,120,NA,97,39,12x,10.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,10,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-799885731-capacete-moto-ebf-fechado-unissex-varias-corestamanho-_JM?searchVariation=29524996254,6,3,1,0,0,#799885731,"Preto-fosco - Naranja,Preto-fosco - Plata,Preto-fosco - Rojo,Preto-fosco - Rosa,Preto-fosco - Verde","56,58,60",EBF,Spark,Black Edition,Integral,Simple,ABS,Adultos,Unissex,1300 kg,NA
3, Capacete Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,549,60,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2041,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122504,1347,392,177,61,64,#1162746915,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva"
4, Capacete Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,566,15,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2041,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=39733343550,1347,392,177,61,64,#1162758324,"Amarelo,Azul,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva"
5, Capacete Moto Ebf Fechado Unissex Varias Cores/tamanho ,189,NA,322,21,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,15,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803341736-capacete-moto-fechado-ebf-masculino-varias-corestamanhos-_JM?searchVariation=27796982381,9,4,1,0,1,#803341736,Branco - Azul e Vermelho,"56,58,60,61",EBF,EOX,Frost,Aberto,Simple,NA,Adultos,Unissex,1400 kg,NA
6, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,149,189,3133,857,12x,12.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1657,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1191,323,92,23,28,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,"ABS, Policarbonato",Adultos,Unissex,NA,Nylon Pluma
7, Capacete Moto Ebf Fechado New Spark Flash Varias Cores/taman ,121,NA,218,25,12x,10.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,8,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798245069-capacete-moto-ebf-fechado-new-spark-flash-varias-corestaman-_JM?searchVariation=28781552237,8,0,0,0,0,#798245069,Preto-fosco - Verde,"58,60",EBF,New Spark,Flash,Aberto,Simple,ABS,Adultos,Unissex,NA,NA
8, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,129,NA,198,172,12x,10.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/JN.MOTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=C2Tz79FJuTMYj9W4CdksNmbPrsYFtSxq1hyZqZE4MnZQJy0uIB1A91aRTMFTLbgkwe1YcvuxVDIuXkZrrGLN9mCu27gxeFxCrWMxp7ULzDa83c0F2CLfJmkRZf8FufVBlja7JAhV5vZjXvuuQOdI4SofZQfwvGCRfQl%2F6kTS2Y0XQx%2BjIZXnr0gqJp%2FKJ%2BQD4zsrAlRBqkoLzTl1HwMtQht8j2gtQvV%2Fs4m8aevcCsalqa90dBmgZzDhi2C4hpCWx%2FM%2F5vUq4g0XbuQp08wblEgIaPxjlvv0bgiqV4vZd4xyNT%2FQbAA3cAbj6E7tIZmp4aTZw0t%2BcQ0ybzbQq3PceTOuo2BbqMUuesfat01NH0hNrfi7n3%2B2IXEX6bIy6GvnBwe%2FtwtrCQgxZDzE2hydYHDoXJqD6CYkcHsl7HMVAdYqguKfoEfDsHbTDFtjHG2I6m0UixXC3MIl4z2PDpppaf5v3N8BeEqkyiZ9TNYFG1vvAlL8kVsUUocBHJh4VeRIzkTtLkGcm%2ByM8jufrPQJIyJJv6KQFJ8ktXdroZeE4XkOdm8%2BDQLOv7ssG7lcGE5CmBsyQlt6otzngbtlqV78iHIS2WPiketaxHhBd3DybplqGYS3BzbzmDLXt3%2BLuVa7XBqnvvMYATzfJOkMsnAzriHPnlmNPyuYjOWVCwikjANKfY8K4CXgV1h6eRQfK0qFutbAmrBB53GtK%2FGgmoVG4Vd1TmnQeCxPuFYfszKncX%2B6gPf1UGILDWg9PTaavsLJyD3AckxRKEBn5vJZVaXm6y3g2Uwprtw6A1EOfxrF%2Fs7wbEvqLTBY9OJAMUsNxe5dlEWtkA2y421jQ7X9v7a0nwDm%2F%2BJwDpLFTfRG63TqEebDMVBZlCIGFKzuzBJUdKN2pPyPZmo7XL5r8CIGCDbe6eidUX7s5k1dEJQO6IcWUAClPcHby5UnEAJIZdJEOe0RwUJzvWupAVfGkW5hy%2FB2Um7XiVpIznJNkr25IoMYQOvBeJpjc7gw65Lc1KKX%2FyOnqMHm4%2Fx%2Fpj9uUlwBsqqaPGSG3beQ4SPB%2BsrfxekvHMkLM%2FYisUopiyy4AU3TZiV83XCUYzcGzO9I5%2FNECwi94asD4s%2BpSE9sj21SMd1AZp%2F2s8T7MX4AInhbFVwYsuvYWCIjqsWyqiIb8C%2FLvrwofkNsuoH7Oc2kANugG7cFpg9KTHn0Mt9HgvYgajbXlvYqeYMEcn5wKCn0whdzAXrMi%2FLm6scExZhMO%2Fnp4QVT%2Fv7qSdF12%2BtlAKZZRtOnrFcp5J2ENPjTHf%2BMyjp0vx9Dt1hJekCj1wgw7PM66UoSxbj%2BfI%2BQI64nMeC38uOZGEtCk1JqbP%2BD%2F0QepR%2BSxmp1KCF51YP9bhHazX1aRH%2FLB%2FIwaIg3BIdBZ43ZmqmFYYzDu%2BnzoxDeWI%2BDubFH8YtZO8uXNQyqYp%2FE6u9DbXkbXwndo8BNlMzkC9CGo70%2FIfJWRNwlTfz9QU0BPq95brslcJv%2FCYLSMxdsEmMoxJCgga1vBCB7bCDV9I5lrMGkxTJBhQtWw4nt3A6bRRlsDkHwy%2BFd2OwXROS0Y5GCCn1sEyeTiRyMXKbcDfFQcLhZumFx4CKB4ew%2Bk8OkVe0iep%2FQThNYxQeXFsSUpxk3ktPPM%2FfY9JV2YeCW07TQgzkMLOxKvG3fpM%2FljVdxcE32,1033,334,141,30,22,#1122944031,"Verde,Amarelo,Azul,Azul-claro,Laranja,Plata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,NA,NA,NA,NA,NA,NA
9, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,NA,786,33,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,73,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,45,18,6,3,1,#960763001,Preto,"56,60",Pro Tork,Capacetes,NOS Evolution,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g,camurça com alto nível de conforto e absorção;
10, Capacete Moto Ebf Articulado/escamoteavel Robocop Varios T/c ,60,NA,512,62,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,40,https://perfil.mercadolivre.com.br/BEE-STORE,https://produto.mercadolivre.com.br/MLB-852374852-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22590316605,20,10,6,2,2,#852374852,Preto,Grande/58cm,Pro Tork,Custom,Coquinho,Aberto,NA,Revestimento em Napa,Adultos,Unissex,NA,NA
