search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Peso,Materiais do interior
11, Capacete Pro Tork Moto Evolution Nos ,57,NA,1442,102,12x,5.54,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1033,334,141,30,22,#871667175,Preto-brilhante,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,ABS,Adultos,Unissex,NA,NA
12, Capacete Protork Coquinho Moto Custom Couro Boulevard Harley ,165,NA,1453,28,12x,13.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,219,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798271820-capacete-moto-ebf-articuladoescamoteavel-robocop-varios-tc-_JM?searchVariation=25735860637,144,45,16,6,8,#798271820,Preto-brilhante,60,EBF,Robocop,EBF E08,Aberto,Simple,ABS,Adultos,Unissex,1.8 kg,NA
13, Capacete Moto Mixs Fokker Carbon X Fundo Fosco Lançamento ,134,NA,837,2574,12x,11.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,44,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-969334380-capacete-pro-tork-moto-evolution-nos-_JM,38,2,3,0,1,#969334380,Dourado (City),"56,58,60",Pro Tork,Capacete,Nos,Integral,Simple,ABS,Adultos,Unissex,1.47 kg,Nylon Pluma
14, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,114,NA,173,175,12x,9.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/JN.MOTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=AJVkw9e1YZa8DcCjlgPdAeWYmegslnYHQ19L0KZeCKkTTYj1t%2FELmrvbQIT%2F9Bcj%2BLbdd5EUNalhMfyGgvIZHROazKT%2FhRd5LFdtqbWLxNQ8p%2BrSumjVBr%2BPC1DVoZUQySmT3K3ZicAEwsDsQ%2FgbAi%2BP2zeV1tTC%2BWPGqD1%2FmYfjaM1GAqBJ7tocBgtNjNWtVI%2BMZnuDDb1TQJBFC6I6eZuHRhC3IaW9ypHscpPUH35vf59AeP7EsUjatrBZpY%2Bk%2FkXMg6ahdjvGyPu%2FldnBxHZdyBy0wU8FF6cddn%2BZ5dVKMHXsZB7W5TZ7mIEI4EbZblWJhuihQbGHMhBSAFrQJZcd4rWZlx6jqe%2FzQ3N%2BP4Q8clTlDoETBFag9kGQ0YruRZbjkoYNHwpLBcKcmGOcyb36OQ9hKP0TZRtGBbOqbSiZDRrcRYtM1nWPzCeeoCSWHQ5Q%2FvIFV0xfv8L1Lq0yC9e8dPyWpIAGqdy8R63khXkwvkYmR0zCUoPaJ9ZbRDFwXyYty6OO4GISweH1BCBxEJe0XAGUsdz2%2Bd0yBa285vcNCerP9ezNRq1As2EyVv7Lbrzg0x%2Bl3EwtkCezC6He%2F8DZV7yO1x9gChDQXsPRNH8jFMQ2IXeY86Amddm5eVLlhp3t1ZmNjpuAdpofWNDsiWsqqb6Rax13K5RHoxwXcSj2%2BPbI4aSeS6D4KFEpmCuQavVUFeQ4LGCoF5u1AuqNeka6z6TS8LyNkCE34PIkcb2ZWx2Fgv4EFO3fYpBTOuRM%2BrrSot1meTe2Rs8TwkWYkSGpxK%2FSMLVkudvTcTZxq71s26GYWzt7O2e0HYSp8iiuCon94GxB%2BcpQQ3LpmeBotkzyJ%2FCn5td7b1CzF9z%2BL4QFy7oiItPJZTgVPUw7blzIcVTkvSINnAD5A%2Bpgjs32%2FdEM%2FYZrNiGDwdg0AxxdNLomyPHd%2B4ldLV7eO%2FoPXPUEx6EZfPtx3dfyN8cUqaKzDvQ3v0BUWQKCUU1sFRkptcMQ21AnSkcZMGNZFlfCI6ADxmQ6TLZqwiT1qvDV6yOLiPA4s2pZDdSIoygpeUksMHHlI0q1%2FmHXSxeikr02pFIrynyNsTQre98vAc%2FHR5IxN1QYHZtR9a6iBN1yhaf3ATHRonXB9K%2BuR1EmFgdF3cuBhyUS8djjd79O2ADmY6dMXQWefcmYt5fzVOqjHcJH%2BSb4TqfpHjK5Hd5BqvMn%2FM3QBBZOhQ71eaSEfSUiJPKtIUBTDa55Xi3ev%2Fml3laBqFMrGBymZ22yqlT6JzGFvKujC7osyQJKO%2BSqnDJ4OUVZ0NtJcv%2Fd%2BFAg8Ww%2BsTRiiHqxVP749XXJbXSwo3y6fR%2F%2FtYk0O98zi88m0lY6vfCgIR4ooy2KKDv7rYUyex1HGUT9yEebjMFX3ShU6%2FDuB8MiLGA%2Fq3%2BWTn1N%2Bolvz4H0OXVWwvqt3dMNH6iVzQafjbSWk%2B8hJDS8LN64UqUYRd9fj0ADKECNV48oHM0UxUB3Q3mYoAArtwcZkcmyxBAE1wvnUyA9R3ICr%2BywKU7YjX1NtZ1Krq7SQo79E0awCGHjXMp%2Fte3a27OcwIeJK6AJhQOA%2BD%2BtdzH4nHxuc9E%2FhSE%2FGVzIHX1w4i7qt5C5hwLnClCdzx%2B9nUEq%2Bwx9NDWYCkzJjpCqgClRJVVPN8FnmXyMqszai0ZuS8aMjhqYBQ%3D%3D,1033,334,141,30,22,#1122939289,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,Simple,ABS,Adultos,Unissex,NA,Berço Antialérgico
15, Capacete Moto Cross C/ Viseira Pro Tork Várias Cores/tamanho ,75,NA,1885,19,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,42,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,28,5,6,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,ABS,NA,NA,1.04 g,NA
16, Capacete De Moto Evolution Fechado Preto Pro Tork G6 Pro ,65,NA,163,14,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1548,https://perfil.mercadolivre.com.br/TOPMOTOO,https://produto.mercadolivre.com.br/MLB-1018059715-capacete-aberto-new-liberty-three-3-pro-tork-moto-_JM?searchVariation=23212833263,1142,274,100,14,18,#1018059715,Branco,"56,58,60",Pro Tork,ABERTO,New Liberty Three,Aberto,NA,ABS,NA,NA,NA,NA
17, Capacete De Moto Retro Branco Azul Pro Tork Vintage ,199,NA,239,2649,12x,16.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,643,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1182548689-capacete-moto-cross-c-viseira-pro-tork-varias-corestamanho-_JM?searchVariation=33240848583,470,97,44,17,15,#1182548689,"Azul,Amarelo,Azul,Bordô,Cinza,Laranja,Verde,Vermelho","56,58,60",Pro Tork,NA,Adventure,Cross,NA,NA,NA,NA,NA,NA
18, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,399,NA,191,6,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,19,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-702919658-capacete-moto-axxis-by-mt-skull-caveira-preto-fosco-_JM?searchVariation=32770177127,16,2,1,0,0,#702919658,Preto - Skull Fosco,"56,58,60",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,1430 g,NA
19, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,167,184,186,2597,12x,13.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,81,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172424994-capacete-de-moto-retro-branco-azul-pro-tork-vintage-_JM?searchVariation=32457692709,60,14,6,1,0,#1172424994,Azul-escuro,"56,58,60",Pro Tork,Capacete,Vintage,Aberto,NA,ABS,NA,NA,NA,NA
20, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,137,NA,263,1877,12x,13.09,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,490,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172424054-capacete-de-moto-evolution-fechado-preto-pro-tork-g6-pro-_JM?searchVariation=32457999916,346,84,36,7,17,#1172424054,Vermelho,"56,58,60",Pro Tork,G6,G6 Pro,Integral,NA,ABS,NA,NA,NA,NA
21, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,60,NA,2697,80,12x,5.74,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1543,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,958,332,148,56,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Branco Flor,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,sm 788,Sport Moto,Integral,NA,ABS,NA,NA,NA,NA
22, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,875,45,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1543,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773,958,332,148,56,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,ABS,NA,NA,NA,NA
23, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Azul ,60,NA,320,245,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1548,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1167358616-capacete-aberto-new-liberty-3-moto-motociclista-promoco-_JM?searchVariation=37125151127,1142,274,100,14,18,#1167358616,Prreto Brillante,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto,Simple,ABS,Adultos,Unissex,NA,Poliestireno
24, Capacete Moto Axxis Eagle Preto Fosco Lançamento ,120,NA,1865,63,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,64,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=37766877263,36,11,13,1,3,#1133429702,Cinza-claro,"58,60",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,Unissex,NA,NA
25, Capacete Aberto New Liberty Three 3 Pro Tork Moto ,129,NA,655,9,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,23,https://perfil.mercadolivre.com.br/HELMET+WORLD,https://produto.mercadolivre.com.br/MLB-1161394046-capacete-moto-mixs-fokker-carbon-x-fundo-fosco-lancamento-_JM?searchVariation=31626934867,15,7,1,0,0,#1161394046,Laranja,"58,60",Pro Tork,Capacetes,Carbon-X,Integral,NA,NA,NA,Unissex,NA,NA
26, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,60,NA,977,16,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1543,https://perfil.mercadolivre.com.br/PHOENIX+ACESS%C3%93RIOS,https://produto.mercadolivre.com.br/MLB-977356315-capacete-moto-sm-automatico-marino-pro-tork-motoboy-_JM?searchVariation=20808453870,958,332,148,56,49,#977356315,"Preto,Amarelo,Azul,Branco/Preto,Cinza,Preto,Preto-fosco,Rojo/Negro,Rosa,Rosa/Preto,Verde/Negro,Vermelho","56,58,60",Pro Tork,SM,Sport Moto,Integral,NA,ABS,NA,Unissex,NA,NA
27, Capacete Moto P/ Mulher Fechado Rosa R8 Viseira Espelhada ,132,NA,1089,1299,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2041,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1077714424-capacete-moto-fechado-protork-r8-viseira-fume-balaclava-_JM?searchVariation=26160059577,1347,392,177,61,64,#1077714424,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,NA,NA,1200 g,NA
28, Capacete De Moto R8 Pro Tork ,59,NA,445,117,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,791,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-1008373865-capacete-sm-moto-pro-tork-sport-moto-788-marino-automatico-_JM?searchVariation=22726180496,476,186,89,21,19,#1008373865,Vermelho,"56,58,60",Pro Tork,SPORT MOTO,788,Integral,NA,ABS,NA,NA,1.04 g,NA
29, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Tork ,159,NA,158,180,12x,15.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,235,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-1193560008-capacete-moto-cross-pro-tork-preto-mxpro-trilha-oculos-788-_JM?searchVariation=34009613384,171,43,14,2,5,#1193560008,Preto,"58,60",Pro Tork,NA,Libety Mx Cross,Cross,NA,ABS,Adultos,Unissex,NA,NA
30, Capacete Moto Fechado Masculino Th1 New Adventure Pro Tork ,399,NA,176,2,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,24,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1107073421-capacete-moto-axxis-eagle-preto-fosco-lancamento-_JM?searchVariation=31076436867,18,5,0,1,0,#1107073421,Preto - Fosco,"58,62",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Masculino,NA,NA
31, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,65,NA,329,156,12x,6.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1548,https://perfil.mercadolivre.com.br/CMC+RIDERS,https://produto.mercadolivre.com.br/MLB-1130342691-capacete-pro-tork-new-liberty-three-3-moto-motoqueiro-motobo-_JM?searchVariation=29629708493,1142,274,100,14,18,#1130342691,"Preto-fosco,Azul,Branco,Prata,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,CAPACETE,New Liberty 3,Cross,NA,NA,NA,NA,NA,NA
32, Capacete Moto Feminino Pro Tork 788 Preto Fosco Rosa ,120,NA,125,1772,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2041,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-1060817490-capacete-moto-fechado-r8-viseira-fum-pro-tork-azul-_JM?searchVariation=33318876637,1347,392,177,61,64,#1060817490,"Azul-claro,Amarelo,Azul,Azul-claro,Cinza,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,ABS,NA,NA,NA,NA
33, Capacete Moto Pro Tork R8 Fechado Viseira Iridium Azul ,59,NA,1116,741,12x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-976779410-capacete-de-moto-pro-tork-new-liberty-four-4-preto-fosco-_JM?searchVariation=21592696088,1033,334,141,30,22,#976779410,"Preto-fosco,Azul,Branco,Cinza claro,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,New Liberty,New Liberty Four,Integral,NA,Casco injetado em ABS,NA,NA,NA,NA
34, Capacete De Moto Evolution Fechado Preto Pro Tork G6 Pro ,55,NA,536,100,12x,5.26,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1548,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1190902717-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=37973983683,1142,274,100,14,18,#1190902717,Preto,"56,58,60",Pro Tork,NA,New Liberty Three,Aberto com Viseira,NA,NA,NA,NA,NA,NA
35, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,129,NA,198,172,12x,10.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/JN.MOTOS,https://produto.mercadolivre.com.br/MLB-1122944031-capacete-moto-new-liberty-four-pro-tork-r8-fechado-_JM?searchVariation=29027404207,1033,334,141,30,22,#1122944031,"Verde,Amarelo,Azul,Azul-claro,Laranja,Plata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,NA,NA,NA,NA,NA,NA
