search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Edad,Género,Peso,Tipo
77, Casco Moto 4rs 09b Gear Azul Sun Visor Certificacion Dot ,38.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(87 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.498
			
		
		 sin interés
		
	

	
		","
				$ 6.498
			",NA,Envío gratis a todo el país,NA,NA,4.3,3,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-447200866-casco-moto-4rs-09b-gear-azul-sun-visor-certificacion-dot-_JM,2,0,1,0,0,#447200866,"M,L,XL",,4rs,NA,09b,Integral,NA,NA,NA,1360 g,NA
78, Mica Casco Ls2 Ff351/ 352/ 369/ 384/ 370 /322 ,19.990,NA,"
			
			
				
				57
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464306301-mica-casco-ls2-ff351-352-369-384-370-322-_JM,NA,NA,NA,NA,NA,#464306301,NA,NA,LS2,NA,FF351/ 352/ 369/ 384,Integral,Simple,NA,NA,NA,NA
79, Protector De Cuello Cervical Para Moto Tao Trail ,22.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.832
			
		
		 sin interés
		
	

	
		","
				$ 3.832
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-444378887-protector-de-cuello-cervical-para-moto-tao-trail-_JM,NA,NA,NA,NA,NA,#444378887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integral
80, Casco Moto Ls2 Ff324 Abatible Metro Evo Negro Matte Naranjo ,149.990,NA,"
			
			
				
				3
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 12.499
			
		
		 sin interés
		
	

	
		","
				$ 12.499
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711801-casco-moto-ls2-ff324-abatible-metro-evo-negro-matte-naranjo-_JM,NA,NA,NA,NA,NA,#464711801,"M,L,XL,XXL",,LS2,EVO,FF324 METRO EVO,Rebatible,Doble,Adultos,Unisex,NA,NA
81, Casco Moda Retro Estilo Vendimia Motocicleta Gafas De Protec ,7.065,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 589
			
		
		 sin interés
		
	

	
		","
				$ 589
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-474587097-casco-moda-retro-estilo-vendimia-motocicleta-gafas-de-protec-_JM,NA,NA,NA,NA,NA,#474587097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abierto
82, Casco Moto Ls2 Ff320 Stream Evo Lava Negro Naranja Fluo ,89.990,NA,"
			
			
				
				1
				vendido
			
		",(24 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-495652795-casco-moto-ls2-ff320-stream-evo-lava-negro-naranja-fluo-_JM,NA,NA,NA,NA,NA,#495652795,"S,M,L,XL,XXL",,LS2,NA,FF320 STREAM EVO,Integral,Doble,Adultos,Unisex,NA,NA
83, Casco Moto Ls2 Ff325 Abatible Civik Blanco Negro ,99.990,NA,"
			
			
				
				11
				vendidos
			
		",1,"
	
		
			
		
		12 cuotas de
		
			
				$ 8.332
			
		
		 sin interés
		
	

	
		","
				$ 8.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461037599-casco-moto-ls2-ff325-abatible-civik-blanco-negro-_JM,NA,NA,NA,NA,NA,#461037599,NA,NA,LS2,NA,FF325 CIVIK,NA,NA,NA,NA,0.155 g,Rebatible
84, Casco Moto Integral Saiko Flecha Blanco M España ,34.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.916
			
		
		 sin interés
		
	

	
		","
				$ 2.916
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOSHOW+CHILE,https://articulo.mercadolibre.cl/MLC-480106907-casco-moto-integral-saiko-flecha-blanco-m-espana-_JM,NA,NA,NA,NA,NA,#480106907,Blanco,M,Saiko,NA,Flecha,Integral,NA,NA,NA,NA,NA
85, Casco Moto Ls2 Ff352 Chroma Negro Azul ,52.990,NA,"
			
			
				
				20
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.416
			
		
		 sin interés
		
	

	
		","
				$ 4.416
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-472970583-casco-moto-ls2-ff352-chroma-negro-azul-_JM,NA,NA,NA,NA,NA,#472970583,"M,L,XL",,LS2,NA,FF352 CHROMA,Integral,Simple,Adultos,Unisex,1350 g,NA
86, Casco Moto Shoei Gt-air Negro Mate ,274.990,339.990,"
			
			
				
				4
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 45.832
			
		
		 sin interés
		
	

	
		","
				$ 45.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-452056622-casco-moto-shoei-gt-air-negro-mate-_JM?searchVariation=39262593758,NA,NA,NA,NA,NA,#452056622,Negro mate,"M,L,XL,XXL",Shoei,NA,GT-Air,NA,NA,NA,NA,NA,NA
87, Casco Moto 4rs 537 Jet Black Star Cierre Rapido Certificado ,19.980,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.330
			
		
		 sin interés
		
	

	
		","
				$ 3.330
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440296636-casco-moto-4rs-537-jet-black-star-cierre-rapido-certificado-_JM,NA,NA,NA,NA,NA,#440296636,NA,NA,4RS,NA,537,NA,NA,NA,NA,940 g,Integral
88, Casco De Moto Polarizado Abierto Tipo Aviador Piloto Jet ,49.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.166
			
		
		 sin interés
		
	

	
		","
				$ 4.166
			",NA,Envío gratis a todo el país,NA,NA,4.5,4,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=j5%2BiFAHayOzylPtjwzZlmnLk7Yxo1G5rWWXQOYTSCP3tiRqbjtmrKEeodGcWR4FGln5KhtpWz6wGgilvySUvsSknxCbGIjHIzqQ%2B8ljWJqyxG2aT1OpWFvjn%2FSFJKBxImhTZhxoHSQBkg492cCz3fo1l9rpZ%2FqIWxpaim0ruwc5ku3jeuk3NcTM%2ByHq6TUfcD5DkgbrxKLu6cMBdPp4Z%2B0%2FgiGQmGdEqdSFs8jWJPf%2BuyGjYAJyku3WGBc7BXtqi2NKKZvSEl5A2Maraq6PrJGlPgsJSVLTIMhb7qSRnr79owwslV5HXtzGt9r2aF0SMbLhcuvroh9cTKBftJUftqGdGnudJtb%2FMXOxD0jCKCwgXDuhmDQmuU0PxWX7zS7%2FpcsXgvXyobtaKq5yUYOdX4etcVG8WbcueZTeYuBncGYjr2chqHAbtm%2Bnve1a%2BjCC%2FqVAdZY37dFovLHzv%2BSq1H01Lef24%2BBno5aATJIIr30wvfDPbip76iefXZbmApNqE6biurXbltAM8fwBbOVQ3VerrG8OerLZSGtC94w%2F4yc9z5KYjvKo1WUWTLtyuGCNTb5rRUF2x6FrT%2F6FEsUciHrv1D9D8N8T2Howabs9CiOYo%2B%2FCj4voKVVQ3GlnQgtoBI1v64snK3fODmvex%2B70g1ZeUVldDCgJAccjzotPQKW17y%2FzaSgSzEDGYDEGv152LRTArNUnsUXbr6Km3H9UDnMoXiAbdCTeIEqHFWjodN5Gtt7xHbuX4I%2BVVe8LlDII8Xgn3%2FDgtzT9IOq4nVLI2sc8LMtrJJ5GtLK3Z37Jzx67Kqlz34mJY0mxxhStYBM536Nb%2Fm2kS3zRWSJVN1t%2Bz2D4KVQ8XZwlVa0ajhluU0XAAPSjlQLM1ZfyziVqcag9u47MaZhuJ1yLgZt%2BIah1putp4k%2Bo%2FExdzUQbiBikPQEtBG3sYjv6h5IpDP9gvshBGAWPLohNG8P5Eyz3VxKCZWqznrz%2FmjM6%2BYvBHqakiFh2n5ogwb7Hp1AIUocrHhDve4%2Fh8gLrXiUMbCv7dsUwcvqcbJ3k3xCf3UGqNTdq4fTH8xvwM9bxdqfQjrPD61G5TVVl%2F23jcanwHXZhhmpaAL%2FqeaBtP24vZNcIVgsK%2BpAduddEWZk1Ku%2BynB6BFLRonS2iOqLYx6CVRC6%2FrYqHCSFjSMPPvoghGFsfI44XdBXkOq18zSD9vjcU2%2BvrB3Erl8ruAGSH3gOyNu3NBWOpMPLrLH7AUEF5IgPV6kFLzBtpvJAUCA9Hb1gFn%2FARtscxOU9jCoqQ2TZbKPihCjLKBO3XSBeTi7TpaGWUf5NqRF55SYzQEgfPGtt7PjUTOcPQTaB8%2FZPw3B8%2BFLJOydHU5bRMadsqBlBodifItOs5WRV49F%2Bt2xQhC4j5whZKXhV%2FxaXJSIegO%2FvfsMSjR6q2%2FmcfB%2BOsKXGBujPkwRHdjkY%2BBJ9DrNddfwt6sgE76swxoNcfkSB15oDLhYoOhkNaukd04J%2F2RdKHmCdCadK%2Fay%2FeYsHxzQYopI%2BYNhDs%2BFlpGfifIF%2BuwNYubjj7zE2hMMKLlYKjr70SLj2MLKL9oMiTFKBIn8J7jVWPqd8NkxId3PLTXGGAHhDxm1Q%3D%3D,3,0,1,0,0,#435085925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abierto
89, Casco Moto 4rs 168 Abatible Con Sun Visor Venom Red Dot ,43.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				30
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.332
			
		
		 sin interés
		
	

	
		","
				$ 7.332
			",NA,Envío gratis a todo el país,NA,NA,4.5,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441007009-casco-moto-4rs-168-abatible-con-sun-visor-venom-red-dot-_JM,3,3,0,0,0,#441007009,NA,XL,4rs,NA,168 venom,Rebatible,Doble,Adultos,Masculino,1450 g,NA
90, Casco Moto Vnetphone V6 Completo Dúplex Bluetooth Intercom ,33.422,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(199 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.785
			
		
		 sin interés
		
	

	
		","
				$ 2.785
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/QHXSTOPCL,https://articulo.mercadolibre.cl/MLC-481516425-casco-moto-vnetphone-v6-completo-duplex-bluetooth-intercom-_JM,NA,NA,NA,NA,NA,#481516425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abierto
91, Casco Moto Marca Origine Modelo Strada Gravitier Negro L ,71.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 11.983
			
		
		 sin interés
		
	

	
		","
				$ 11.983
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DUNLOPCHILE,https://articulo.mercadolibre.cl/MLC-461205035-casco-moto-marca-origine-modelo-strada-gravitier-negro-l-_JM,NA,NA,NA,NA,NA,#461205035,Negro,L,Origine,NA,Strada Gravitier,Integral,NA,NA,NA,NA,NA
92, Casco Abatible Arex Modelo 701 Color Graphic 93 ,40.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.667
			
		
		 sin interés
		
	

	
		","
				$ 6.667
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-448268054-casco-abatible-arex-modelo-701-color-graphic-93-_JM,NA,NA,NA,NA,NA,#448268054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rebatible
93, Soporte Camara Gopro Mentón Casco Moto S/daño Adaptado ,19.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.658
			
		
		 sin interés
		
	

	
		","
				$ 1.658
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ESTOYKUKU,https://articulo.mercadolibre.cl/MLC-467482186-soporte-camara-gopro-menton-casco-moto-sdano-adaptado-_JM,NA,NA,NA,NA,NA,#467482186,Naranjo negro,NA,Estoykuku,NA,Go! Pro,Integral,NA,NA,NA,150 g,NA
