search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Usos recomendados
11, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				555
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,533,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-617028559-casco-rebatible-okn-10-doble-visor-cuello-guantes-full-fas-_JM?searchVariation=35227027230,336,135,44,10,8,#617028559,"Azul,Negro,Rojo","M,XL",Okinoi,Rebatible,OKN-10,NA,Rebatible,NA,NA,ABS,NA,NA,NA,NA
12, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,2930,NA,"
			
				Nuevo
			
			
				
					 - 
				
				308
				vendidos
			
		",(129 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,875,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=29459445374,559,231,54,16,15,#755651553,mate,"S,M,L,XL",Hawk,Rebatible,RS5,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Unisex,NA,Urbana
13, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,1773,NA,"
			
				Nuevo
			
			
				
					 - 
				
				495
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,286,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123643,193,58,30,4,1,#636093454,Negro mate,"S,L,XL",Hawk,Integral,RS1,RS1,Integral,Simple,NA,ABS PREMIUM,Adultos,Unisex,NA,Urbana
14, Casco Rebatible Punto Extremo Xr 650 Doble Visor - Sti Full ,7700,NA,"
			
			
				
				1
				vendido
			
		",(13 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/WAKEFIELD+ARGENTINA?brandId=1743,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=s1bEe8%2BggqHivvSKDgDtr%2FypFfc3P6QrgSgSOR8kfAncCSBiU0nkbY8Q3hoPPUf9IFpNd9sMb%2B6lcoun5NPvrjrtLzqiiBdIEGDwJeOYRsrlsQokqjqmUmpmz02kK%2F3nIzJlCeT5GyAANJeGC8WOM0m6dKMxWmQV9Uw6PPREVMFzFETtWSV3U1NbAwGFZdAn3cYD7%2BLF5fbDwXbeVFC%2F0C%2Fq2V1L9v%2FzASdUuFIvM8nefj264H0zYcYUux%2BKYYDgr44paundsgodgRCYx%2BMdIl1FwtF0Pozq5Wukd5Vjb3X%2Fpg9M4wZb%2FLZcIkksjfXTKZzEjX0M3%2B3z6vlfDOZO2jK5EO4%2FDDWfNAmuUCk3ob9UtR8Y83EEq1TnX4Ozrqcu5YcWNiJddDb2zlYnbTNpkri3Ko%2BIGbWUuLMlpTItBFrlxa%2FCpk2xfQSmYZockwcfWjPzWJ%2F%2FBhp6YqZMacdu%2B9%2BddtBZDEfcEmNJBNSzb9%2Fimat27dWZ8NfubjSbGe7DiFDY4ml2jyA%2BVzGmMcgXn26xvCKQ7txxWXzgBiui1Jy8V1y9sdX6fm9t3zdXBqOTcOeFLxDUfcFp%2Bl2TZvGIXzW5QL30R3usfE5CjZ%2BBFRnHGQyrGuN1kHeGctOzGzdt14ZCtPrq11yc%2FnFcquiRZm9clMpS7AMi5LRzxouHba2aA8olq5yarGRdCRQ4PEtfMCLv%2FB8LCJK9Uw4Af%2BxJg%2FQAwzcb5nCwpa7j4GqnIvO2I%2ByezbN2k0bQUPM1%2BE5TYI9xLE8%2BLyschwul7nWtwJlNOXaeAjeiAQbMdtEBWC2tyLxbXO2hwgFijVN8lAoDAuk3D7KoHvfY31Pkawc7ZnM8xXOITx7BgxZ6QXd%2BaxeSGA%2BBehx6ku1AxS2zdo4cqnh1QNR5h9repQkNMN6B4LB5nVDXIUbsDBAeQgxIU8QsN3dY6z7aAjfa2KtvC8EskgXzx0y57Q75ZA22Yd6fPfJ4O5eIu65nIakaWDVwl6jpFluKQd%2Fb3lRXBL8vIXzc6aW9thcCQfZymYVQu3MFeOlvroQAOKHmM%2FdnVsUxEeYpnKFudECKPXsCc%2BSSu5j3Gvc%2F6N7aywEWBxgCDsjdR1UB36BGmklFkJ7WGZrJBlrpM4A7ACgyfXIk2Vv9xn8VwGoRwNvXVIluvGWsBGu16dyOLuUGFxglRzmswu%2FeeGoAfp%2BxComYPK4aKRi6CA9E9twrTH8FgxnqPF%2FBR3DgP8iSHktC2Unhu0P6FcVRHumGFUFK2ZO1hYJkgxY6pq341un6jpUcPOo9HCi2TI8DIrR20gABocxxozndVJ4sfMwpSEwFimck6BJV0XfOWqlzYEHFQjpPcaaFmFcWW3WTTsatY8QCtHra11zuECcN%2B2u9OZ7QYBqdbqrv%2B73sOFEhtY%2FmuYaaurZTrMTfGS3HrnhEHSJc262GLRuA6vrPfiT5VAB4yliXcsS%2BWIIFDykbjInvpESHXV5hq39zZ2FDnLT4rG2GmzBzvnVkc08X%2B0%2FRLxr4YY9PmaZAr432qwvWx6%2BNVWKs%2BYCnx5U8KhKSxvt9igztheDrWPx8Os92duXH8n6pA%2FKEC2fbZd0yJ4Ds3WWfgMgqAcpT3pNm1Z%2BNrAQZoZ%2FtXF8yuoo%2FI0i0XqO%2BLecCw6Wq6R4b94AgCP%2Beuq3Bhw%3D%3D,NA,NA,NA,NA,NA,#778216147,Negro y Amarillo Fluo Brilloso,"S,M,L,XL",NZI,Rebatible,Combi Sword,Combi Sword,Rebatible,Doble,Poliestireno,ABS,Adultos,Unisex,1550 g,Carrera
15, Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx ,3690,5535,"
			
				Nuevo
			
			
				
					 - 
				
				316
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,124,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-618257139-casco-rebatible-punto-extremo-xr-650-doble-visor-sti-full-_JM?searchVariation=27343436204,85,33,5,0,1,#618257139,Negro brillo,"XS,S,M,L,XL",Punto Extremo,Rebatible,XR650,XR 650,Rebatible,Doble,Dry Confort,ABS,Adultos,Unisex,NA,NA
16, Casco Moto Abierto Vertigo V10. Full. En Gravedadx ,2225,NA,"
			
				Nuevo
			
			
				
					 - 
				
				759
				vendidos
			
		",(20 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,103,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-full-en-gravedadx-_JM?searchVariation=17140773994,68,28,2,2,3,#674080413,"Beige,Celeste,Negro","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vértigo,Vintage Maya,NA,Abierto,Simple,Micro Fibra,Termoplástico,Adultos,Unisex,NA,NA
17, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				921
				vendidos
			
		",(16 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-full-en-gravedadx-_JM?searchVariation=17182066327,30,12,5,1,0,#679809834,Negro,"L (60 cm),XS (54 cm),S (56 cm),M - 58 cm,XXS (52 cm)",Vértigo,Vértigo,Basic,NA,Abierto,NA,Set Poliester,Termoplástico,Adultos,Unisex,NA,NA
18, Casco Punto Extremo Xr650 Rebatible Doble Visor Negro ,3499,4898,"
			
				Nuevo
			
			
				
					 - 
				
				102
				vendidos
			
		",(33 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,214,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,152,44,12,3,3,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,urbano,MOTEGI,821,Integral,Simple,NA,ABS,Adultos,Unisex,1390 g,NA
19, Casco Moto Rebatible Hawk Rs5 Vector Oferta En Devotobikes ,4590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(17 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,124,https://perfil.mercadolibre.com.ar/MARELLI+SPORTS%21,https://articulo.mercadolibre.com.ar/MLA-684785717-casco-punto-extremo-xr650-rebatible-doble-visor-negro-_JM?searchVariation=29203451786,85,33,5,0,1,#684785717,Negro mate,"S 55-56 cm,XL 61-62 cm,L 59-60 cm,M 57-58 cm",Punto Extremo,XR650,XR650,NA,Rebatible,Doble,Goma Espuma forrada,Policarbonato,Adultos,Unisex,NA,NA
20, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,5650,NA,"
			
			
				
				1
				vendido
			
		",(38 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/WAKEFIELD+ARGENTINA?brandId=1743,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=fwGRoxWt%2FgotChgpSq4MFCR4xOxuzmWhrCy91nZJT6K9fWabDVk4RchQA7PC6XfMsDdAG%2F7OmqeMUdcoUhYNL6mEinFGk9hdvUbfIa3vZn4PXidEx4m5nF3DAKO3ozaDjrn0OemFshnpyW7yElxHy9cb02NDd5D7eUID25%2B5Zh0bBMz8uaUfL%2BMcuvlvxFRJTlhHvXpuweoHVC7zy4cmfhWQVUbhXRiV%2BMlix2n3g0uqxh5mIEVj6Jc%2FHym6TfvNOr3RWoQO%2B89EIP45T9Hvx6dehho5I79r8ES4zdBC%2FPveEOdG%2Bf3zgBkBfAkAqdoUwqLYh1p0xyKkNv65MND8twECovths7cb599wVEuUVePFq0dAcBtaiEp8JFojFtLo0aDnBCi3CGQgoBMxma97wZ83ZweXYb2d3Ln89zwbvxYsImiXGOfmmoWhN0CXJVvzhAfZRHFpDyvymCkuHuQhqtuIVze7Hzj4po%2BP648zK4LYXjgafPJbiIItLT87oKfM77uh2InfsY%2FRO%2By7Mx5S5RMBZBbJNX%2F7MCSRn5ibCUjVpOcNU4iPQ%2FxJ65POoZKNZ5Yob87tYpxPznhZRd5HgsgLjnUhNwLyPYCPAmdvevhSkSUcJb8HSDVg7E7kokn3J0sv4vOqrPasNKIxbPad7y9zKWsUOTBoxg%2BM27JDOOfN6ySknE%2B2vjUxAOpIbnVAVMp18sNfAclOpt42po4jUdnjCNs3nk0V4yBanqDMvHtZ9Gry9HRkOV8AQNeu0wSpm5ZRHwOaYHeRMpemwaktk5sorsaHDfX%2BO4GKk%2FDO%2FBqKOpXZa2kpZO81ze1SBMLZoeChw8il4kVbcJ%2F2gaktteGOYpoFE7jv4qa%2Ft%2Bu%2BWEOPB6VsdnHcMJK1kV7HG99Y9e4%2Bs9zQmokNG9B%2Buut9Qw3VKB2idHBkV%2BjrWzRKGefw5dwph4n9%2BhDskGxHAD3WFPq71%2F6u512uyvA3AOgrTE1FPcMyHO88MDII8S6OJ3se4PF0a%2BWb6xVLT%2Bq0gKz5j8CiYaHui8MIFcx1g%2FFwVHypFmn1empTJ6Tptc01bvgtccTjg%2B8Rw9QlpQ%2FdRJRz8UYDq1lx0oHXxMmsLUKw1SNWJ%2BEPVYX240fEJ7plbpbtiVVFN0a%2Fq4F4lmbnUjVcO9Cny4Ne3fYDKahRy9ZDQvNfwZpmyYxRW33O4bkEKHPDOM0H8eWNdCnaS6v21OK6iLx1niyuzgzGyka2uitSz1vvz50cb0NhV1zsVPP7A%2BdsaEh5CLHuvUvtf8RxxYtuvNEewSuS%2FNOzsjQD0sF5staBr81USUkmfbFXRbICGt7%2Fg5%2B6MbdVRi1PKCxu6yFwWGj2aJak9S34GD7m1S5cDkTuh16axvProGNPwLDcFPTQNYE0C4HGLl53KcPUYeVA1eh4YXHUNdSLBTZAorSE%2BgaGu%2BvZk4bwtyA6lwFrq21338wipXFEBlzT36Xqhx0sfJsfseAg5l%2FQA4%2FkrqbDBDU4Fdd4kcFqt0joaWUdEoXSoY0DVNyxwlqFAd1CV%2FEdk3Vw8SHzAEn2tnJ%2FejiXW6qZbQMijbnV%2FvqwCWsc%2BPpwvxOxlI6jmK5uKw6cWpA9YKhA5Co9ZSfsqJtS0Hhau4GfTqT9fXycE7U%2B6Enw1DmpDWtNRRZVNzR5XUDwF4kHcehukM4%3D,NA,NA,NA,NA,NA,#781742305,Negro y Lima Brilloso,"S,M,L,XL",NZI,NA,Symbio Mega,NA,Integral,Doble,Poliestireno,ABS,Adultos,Unisex,1500 g,Urbana
