value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes
2,meses,meses,Envío,,
3,,,Llega hoy,,
4,,,Llega gratis hoy,,
5,,,Envío gratis a todo el país,,
6,,,Envío a todo el país,,
7,,,Envío gratis,,
8,,,Entrega a acordar con el vendedor,,
