value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,meses,meses,1,1,1
2,años,años,2,,
3,días,días,3,,
4,,,4,,
5,,,5,,
6,,,6,,
7,,,7,,
8,,,8,,
9,,,9,,
10,,,10,,
11,,,11,,
12,,,12,,
