search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Tipos de filtros del parlante,Altura,Conectores de entrada,Color
1, Parlante Bluetooth Bose Soundtouch 30 ,375.990,465.990,"
			
			
				
				5
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 62.665
			
		
		 sin interés
		
	

	
		","
				$ 62.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-499656545-parlante-bluetooth-bose-soundtouch-30-_JM,NA,NA,NA,NA,NA,#499656545,Bose,Parlante Bluetooth Bose Soundtouch 30,NA,NA,NA,NA,NA,NA
2," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",24.990,29.990,"
			
			
				
				272
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,4.2,13,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-462984847-parlante-karaoke-bluetooth-fiddler-altavoz-65-panel-led-_JM,8,3,0,0,2,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA,NA,NA
3, Amazon Echo Dot 3 Generación Alexa Español Latino Original ,33.990,69.990,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.665
			
		
		 sin interés
		
	

	
		","
				$ 5.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-482258081-amazon-echo-dot-3-generacion-alexa-espanol-latino-original-_JM,5,0,0,0,0,#482258081,Amazon,NA,NA,NA,NA,NA,NA,NA
4, Jbl Go 2 Bluetooth Portátil Resistente Al Agua Loi Chile ,21.890,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				257
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.648
			
		
		 sin interés
		
	

	
		","
				$ 3.648
			",NA,Envío gratis a todo el país,NA,NA,4.8,49,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-466753692-jbl-go-2-bluetooth-portatil-resistente-al-agua-loi-chile-_JM,41,6,1,1,0,#466753692,JBL,GO 2,3 W,NA,Activo,NA,NA,NA
5, Parlante Ducha Bluetooth Portátil Agua Piscina 71603 Gocy ,2.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				538
				vendidos
			
		",(97857 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 482
			
		
		 sin interés
		
	

	
		","
				$ 482
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/GOCY+EIRL,https://articulo.mercadolibre.cl/MLC-439441873-parlante-ducha-bluetooth-portatil-agua-piscina-71603-gocy-_JM,3,0,0,0,0,#439441873,Gocy,71603,3 W,NA,NA,9 cm,NA,NA
6, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Impermeable ,24.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				338
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,4.8,49,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-impermeable-_JM,41,6,1,1,0,#470706708,JBL,GO 2,3 W,184 g,Activo,NA,NA,NA
7, Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante ,439.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 36.583
			
		
		 sin interés
		
	

	
		","
				$ 36.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA,NA,NA,NA,NA
8, Parlante Bluetooth Soundcore 2 Select Anker ,32.990,49.990,"
			
			
				
				325
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.498
			
		
		 sin interés
		
	

	
		","
				$ 5.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,56,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-455898956-parlante-bluetooth-soundcore-2-select-anker-_JM,51,4,1,0,0,#455898956,Anker,NA,NA,360 g,NA,NA,Auxiliar,NA
9, Parlante Bluetooth Harman Kardon Onyx Studio 4 ,114.990,129.990,"
			
				Nuevo
			
			
				
					 - 
				
				358
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 19.165
			
		
		 sin interés
		
	

	
		","
				$ 19.165
			",NA,Envío gratis a todo el país,NA,NA,4.9,48,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-_JM,46,1,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,60 W,NA,Activo,NA,NA,NA
10, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				210
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,13,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,12,1,0,0,0,#465278552,MLAB,7806,60 W,5.8 kg,NA,NA,NA,Negro
11, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,15.000,21.990,"
			
				Nuevo
			
			
				
					 - 
				
				156
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA,NA,NA,NA,NA
12, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,37.990,49.990,"
			
			
				
				331
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.332
			
		
		 sin interés
		
	

	
		","
				$ 6.332
			",NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-461986096-parlante-karaoke-bluetooth-fiddler-doble-altavoz-microfono-_JM,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,NA,NA,Auxiliar,NA
13, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.990,159.990,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(389 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.999
			
		
		 sin interés
		
	

	
		","
				$ 9.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,NA,NA,NA,NA,NA,#481530674,JBL,Charge 4,30 W,0.96 kg,Activo,NA,NA,NA
