value,units_of_time_operating,units_timeframe_of_amt_sold,arrival_time,shipping,free_return,free_return_info
1,años,años,,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,,Llega gratis mañana,,Tenés 10 días desde que lo recibís
3,,,,Envío gratis a todo el país,,
4,,,,Llega mañana,,
5,,,,Envío,,
6,,,,Envío a todo el país,,
7,,,,Entrega a acordar con el vendedor,,
8,,,,Chegará grátis amanhã,,
9,,,,Retiro gratis en tienda de Geant,,
