search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Conectores de entrada,Voltaje,Lugares de colocación,Formato del parlante,Tipos de parlante,Peso,Configuración de canales,Línea
1, Megafono Bluetooth Mini Bocina Portatil Usbaltavoz Bs-559 /e ,129,NA,"
			
			
				
				1802
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 717
		
		 sin intereses
		
	

	
		",17,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-569194544-megafono-bluetooth-mini-bocina-portatil-usbaltavoz-bs-559-e-_JM?searchVariation=29975771894,NA,NA,NA,NA,NA,#569194544,OEM,Megafono,3 W,Subwoofer,Entrada para Micrófono,NA,NA,NA,NA,NA,NA,NA
2, Bafles Amplificados Bluetooth 8 Pulg Portatil Starsonic St80 ,617,"1,171","
			
			
				
				1228
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3428
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,114,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-589904974-bafles-amplificados-bluetooth-8-pulg-portatil-starsonic-st80-_JM?searchVariation=21241457676,93,14,2,1,4,#589904974,Star Sonic,ST-80,450 W,Subwoofer,Auxiliar,100v-240v 50Hz 0.5A,PISO / POSTE,BAFLE,NA,NA,NA,NA
3, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,56,62,"
			
				Nuevo
			
			
				
					 - 
				
				1740
				vendidos
			
		",(394 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 315
		
		 sin intereses
		
	

	
		",15,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,4,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744228-bocina-contra-agua-bluetooth-recargable-waterprof-negro-_JM,1,2,1,0,0,#665744228,Genérico,WATERPROOF,3 W,NA,Auxiliar,NA,Portatil,NA,Tweeter,100 g,NA,NA
4, Bafles Amplificados Bluetooth 8 Pulg Portatil 81 Star Sonic ,499,899,"
			
			
				
				3903
				vendidos
			
		",(147 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2772
		
		 sin intereses
		
	

	
		",72,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,118,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-593882819-bafles-amplificados-bluetooth-8-pulg-portatil-81-star-sonic-_JM?searchVariation=17434285683,84,27,3,3,1,#593882819,Link Bits,ST-81L,4500 W,Subwoofer,"Auxiliar, USB",NA,De piso,BAFLE,Subwoofer,NA,NA,NA
5, Bocina Recargable Bluetooth 6.5 Usb Fm Bafle 6000w Fussion ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2045
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,143,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,https://articulo.mercadolibre.com.mx/MLM-594639543-bocina-recargable-bluetooth-65-usb-fm-bafle-6000w-fussion-_JM,109,27,3,2,2,#594639543,Fussion,PBS-9970,65 W,Subwoofer,NA,NA,NA,NA,NA,NA,NA,NA
6, Bocina Contra Agua Bluetooth Recargable Waterprof Rosa ,56,62,"
			
				Nuevo
			
			
				
					 - 
				
				949
				vendidos
			
		",(615 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 315
		
		 sin intereses
		
	

	
		",15,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,4,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744227-bocina-contra-agua-bluetooth-recargable-waterprof-rosa-_JM,3,1,0,0,0,#665744227,Genérico,WATERPROOF,3 W,N/A,Auxiliar,NA,De pared,NA,Tweeter,100 g,NA,NA
7, Bocina Jbl Go 2 Bluetooth Negra Metalica A Prueba De Agua ,649,799,"
			
				Nuevo
			
			
				
					 - 
				
				779
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3606
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,375,https://perfil.mercadolibre.com.mx/TECNOLIBYO,https://articulo.mercadolibre.com.mx/MLM-669024398-bocina-jbl-go-2-bluetooth-negra-metalica-a-prueba-de-agua-_JM,348,26,1,0,0,#669024398,JBL,GO,3 W,Subwoofer,NA,NA,NA,NA,NA,NA,"NA",NA
8, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,56,62,"
			
				Nuevo
			
			
				
					 - 
				
				1740
				vendidos
			
		",(394 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 315
		
		 sin intereses
		
	

	
		",15,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,4,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=hDS6J%2FidRzBvZ7axOA4F47afPz96g5v1MDEiKL0IHNuqO9PQ08xwSpOcG2IIuXo3r6AB4ziTRNBnqrGZGvx2qD1VtfhRazY7U0Pa8Cxo%2B1bSkoLITmjJzbj12f1FsaF20h8CpQKT8T2f9WJVz34A9rJe5%2Be1PSKRn9Ld5c9axhTHLB2efqdJmzwqxv83rx2XORkbcyZfBXgeVJ7GA8rpuIRy80T5cgOWOrpEQ5hhEFKfPXI2bPI4TlRV%2BcGaVOry3SH%2BrWYMW1F4TJN2Wjj5y%2FHdBdLn00sxdFQUD%2FcI8gGnJKzlQyo9C%2F6ckRCKsdta74vwvv2LLIoOLee5v0%2FpBvW3KkfBGRNl7675TGNCDbK5eIDsOK95GNehpf%2B3umWRJS4%2BICJtLXMiRssCvnkJ7Ogrhd%2F52NWAjd%2BucxoESDAs9Cvwn0LU2DwnCzLmOuK2V1UpQH48dNKiOBd8940wWjTPrPWL4rB2XGR9wbf0Twm64xnCBYqrfdSS59CdtnaLOS16ctU72MVcjoA2QcgaT9a9DF2Trzep7hm54aXkJr2p%2BNDDAp9YBFxJAxME0EQDBUf58v34hxh2CqgVd%2FleaFk2pHGXhC3dLlRK0G6KK%2Ful1QRi9mi4blTHUrMU8obgRUBRo015XLh16FaSnp%2B1YNoiRbDIjUGm%2Bs7vrbfkkQrNbWRIFuMEz2qgJrqS9CpP4%2BS3n7gONud%2FXMHkWInJiFcftncUqqEb5EBHlFnWwd7LZn74kJl4XfNqYw9Z8VvoWL9%2F%2BOe8vHzbZR4aLZvZp0szbJWyFWD8DEDQLuwpe1JUo9upEkdQ9J2GIahjvTgouKpYrD5I5%2Bich%2FbENY4XYdnViYD%2FUXuFBtE6xEum46zDivaDaXIdQcdGuTtJFP2%2FPau58yqFGYWb4XRjdVPifFuFdpvP7alkNj0jsgBSBBRCr0Fdn%2F69xwJgM4uAzO2q%2BXAV53wagRAQlr5B6tgEnYJWX4GDLPyKQf2m6h0o1GGO9%2Bk22BlS6kYdH%2Fk0p8ltHKKQrgsTSFgGrCiTZxsbdlzQ%2FMZ%2FpbyOXZeNn%2F4k2BEoaNm23t05eOxF%2Fe6QZ6blT9XWEp9yhtXAz6zu5Uid6aLzDgRSvuzNjqyLK5eQdnP%2BnACXz9%2FvKytWkXYngWun94IZ3KFrP137%2FUNVlWMe4WESFemTKxFmJPA5Sp36NiHpZmatYrySjXmMPhe5%2F6fVAZPpCCLLOqZXX1zeNVs5vU5pjMV2pVo2m3NXsc0upqE%2FUd7Py2DkOyqBnbbb9XmUpBZg7NuCcxY6xo7Y20s0CvKv1JDNSl7chTsIUBE7HIHZ9NFCeD1gmKdBMpOt3jVmNPLP6PQWQ%2FrteMU0MaLnBtQChKcfxjV8VQyBc7XratvAyVPWAHeQBg07BCIC20QG0rRBhLtHpCUr42TZZ5YUk2FgRFzfQF9mr1HFlo6wF%2BcXFDBM35CuC%2FI3z6mqcDFidsLGdZR5mX2enU%2BuXBfKUtXmz11Hoo7dnZKzHfrhX0AL%2Bh6A0ketMgSTnvxlCXQyvCpPtLvpzfgOlMGLzrkKDYO1R%2FlPxGG2PNJ1BqBGQ8%2B5hzGDtpbBttSYD7SWQE0Kqwatny%2B3OnTZocPfJpGBqNAiWTTrMHPDFT%2BFtL2Ni7Y1jJVq41kPqxe5mG9nhjAAq3RhnDLZz7ueFVvQJP75O0F2bVOR5Ums2NZhJoaP8ZBEXECLqP48G5lIVZ4uQZbyeMSp3U4QGvfJc4%2FIjnpGsV8YMfY%3D,1,2,1,0,0,#665744228,Genérico,WATERPROOF,3 W,NA,Auxiliar,NA,Portatil,NA,Tweeter,100 g,NA,NA
9, Bafles Amplificados 6.5 Pulgadas Bluetooth Portatil Necnon C ,479,737,"
			
			
				
				2743
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2661
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,143,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1423,https://articulo.mercadolibre.com.mx/MLM-593881197-bafles-amplificados-65-pulgadas-bluetooth-portatil-necnon-c-_JM?searchVariation=17434536989,95,32,9,3,4,#593881197,Necnon,NB-06,20 W,Subwoofer,Auxiliar,NA,"Pared, Poste, De piso, Techo",Caja,Subwoofer,NA,1.1,NA
10, Mini Bocina Hongo Bluetooth Recargable ,115,128,"
			
				Nuevo
			
			
				
					 - 
				
				1806
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1138
		
		 sin intereses
		
	

	
		",38,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,23,https://perfil.mercadolibre.com.mx/GURUDELGADGET,https://articulo.mercadolibre.com.mx/MLM-631248089-mini-bocina-hongo-bluetooth-recargable-_JM?searchVariation=24953043605,18,3,1,1,0,#631248089,GDG,Mushroom,3 W,hongo,NA,5 volts,"telefono, mesa, vidrio, plastico",Caja,Tweeter,NA,ninguno,NA
