search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Respuesta máxima en frecuencia,Respuesta mínima en frecuencia,Peso,Tipos de parlante,Voltaje,Cantidad de parlantes,Sensibilidad de entrada
11, Sony Xb10 Parlante Playero Resistente Salpicaduras Y Arena ,3199,3999,"
			
				Nuevo
			
			
				
					 - 
				
				1623
				vendidos
			
		",(105 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,311,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-614542424-sony-xb10-parlante-playero-resistente-salpicaduras-y-arena-_JM,249,47,12,1,2,#614542424,Sony,XB,SRS-X11,10 W,Portátil,PORTATIL,Caja,si,USB,20 kHz,20 Hz,NA,portatil,USB,1,NA
12, Parlante Portátil Bluetooth Winco Fm Led Usb Mp3 Aux + Mic ,2990,3590,"
			
				Nuevo
			
			
				
					 - 
				
				1256
				vendidos
			
		",(898 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,116,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-720520187-parlante-portatil-bluetooth-winco-fm-led-usb-mp3-aux-mic-_JM,84,17,9,3,3,#720520187,Winco,W,W235,30 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, MicroSD, AUX, Micrófono x2",NA,NA,NA,Woofer,220,NA,NA
13, Parlante Karaoke Bluetooth Usb + Luz + Sd + Microfono ,1339,2299,"
			
				Nuevo
			
			
				
					 - 
				
				933
				vendidos
			
		",(969 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,81,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM,57,17,5,1,1,#648179703,TECHNOLOGY LINE,NA,SBL10-KARAOKE-RED,10 W,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA,NA,NA,NA
14, Parlante Bluetooth Recargable Resistente Agua Sopapa Negro ,218,NA,"
			
				Nuevo
			
			
				
					 - 
				
				238
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,1,https://perfil.mercadolibre.com.ar/DIGITAL+APPS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=iGHpmT%2Fv2VxU9OaHnSn1aDJ6nD0GmJ7Zi1F2tJnyrnt1RcXhvUTIjkYurHIKLB09z451tjFO1K7dDNTH8Xk5GO3HG6WKWgQV6xiIELsqhC%2FZQUxD54nFUoouKvMN6Am%2BUnp%2FSUMkICEXeF8XE%2BLoWeEVOaQPqp0Yf5jY830M0oGdazk4G3R9BCgpYCbsPaZH%2FAMLQf9G%2BUPc4HfWW7fZwuFesuGK9ljs7mHYqGRUuanOukDJ96zMiMXCkVGouOrnfQwN23U4%2FmXIo0CI21RaPmZTIHErCtdbUbEYtvWKFncHtos4fmAyC6QzHcT%2F1o0lnCzJsXlVdan35BVtXqHUtjynaRtY5wTlUNLZ0kAJh1YFswtFt%2B7R2fUPvbMMZAIA6nvx5RG65g2wRKBjzCzmiObdhioxAuMDoMLrQXqnbaI%2BI7Bzfa%2B1mq9%2Fl6xUzqyrz5K5sdJ8bdIs2yPeVXMj4a0IaxMLPlGZq62PbxbrTEsqqpjXcKLiE6qBvb5hSXB0HYvYgePQhOfv%2BjPZ3NlM6DDD6eff7e%2B%2FIwIK7%2BhizSn6DjYnwr8WxyNX6n%2Bo6Aa3VbUK0O%2BDZ3CxpFswoaqH7JO8VAMcL0Uu099i1m61sMsdTirK9qHjo8laBqL0wyINDooHO7fCK%2BPd35FZjvHbf1oHEK0jk41tGMUYRkdTDGpevpK7ZRwIXIAbJjWKohJj2C9x8ZqpT05eUHTYck%2FSBzvVDFJJ25L95kpo%2B10xQfuba2r%2B9STbdnz90A%2Fx8lXL9LHYkH90bBPezcHHS50rTJA7JQTMPUQYayZ3DyrT0zesORP8%2BFpu19AFZUkLpog7ea2VozVnq%2BusG91zAuHOxYgQWR8d6AXj%2F1ezkoYwt%2BWCTPSOGOMteShtMKaNPazitJZAt4%2FHfsaCm0CJnT%2BqXDHHWLzufRuAhtKcMhJ9FyrVLv4oOfikAnfIMNZOIGwx%2Fmy4EpyePaOCEER6PoQtDImxq9mys03Rfv5KHNU9uqkW8lz1g0XhhyZIz%2BfcqklkF%2FiaA0DYxoCZ38ZmVx9UEwNk059Xyrm064KzLAm16%2BKeMiWUxGm9orOA9A%2FXokxzlz7LqkXFtpz3bEgeK8bEJSs5%2BBXx6CWA7De622kSRGUrhvqafSAklt46t1Kf0ieg5V098ComAoSFrsXk6MShA1DE3lTgHF9UGZ686N%2BvfHEmPI199kYZAkwbPoh3BCcwrXKedJQHoA8XBD5nz2pfWGofajGUbc4oaqtN5AFRgT9wS69Msr9YlgrNdW6VO6PsAtdSMun56whsWY6M9H56jezT%2B7TeulFFSFU4qritk31aJe7%2BvR18cyGxRCMQxVRkMTUQ%2Fz%2B1aUiwZoLe5I%2BbAF%2FhL1nG2dqfPi5LlhcK5TbjQy2QtMkso%2Fjb0TbpZ06yq3GgO0PenAe%2FDgAH7J0dQJMgrZE4t5nxmdFUaenYW7A9SbcU2tAqAcGomVZzQ9peUv%2FDhrhFWzEhcfdQaA%2BkbJVbX4%2FBp60ASO2paxjhAiK3gAy0UFaL8X9suz4uIyaet0srgiwnIWuHyh04XWb5ukz7ncQm9rLPvUj%2FWLgbfUFgY5cPcba2dy70JAVjEBb7z1o2zDww2C8%2FjK15%2Ft52UqjxY51Q07vL66zxhnLJ3D9lvrI4fc3hZKpRT9%2FCBg%3D%3D,NA,NA,NA,NA,NA,#717844625,Global Electronics,NA,Bluetooth,3 W,NA,NA,redondo,NA,NA,NA,NA,NA,Bluetooth Recargable,NA,NA,NA
15, Parlante Portátil Bluetooth Winco Karaoke Fm Luces + 2 Mics ,3190,3990,"
			
				Nuevo
			
			
				
					 - 
				
				1571
				vendidos
			
		",(966 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,264,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663857293-parlante-portatil-bluetooth-winco-karaoke-fm-luces-2-mics-_JM,180,58,19,3,4,#663857293,Otras Marcas,W,W235,30 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,NA,NA,Woofer,220V,1,NA
16, Parlante Bafle Portatil Daewoo Rock 12 Bluetooth Karaoke Mic ,3999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1848
				vendidos
			
		",(9896 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,160,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-748174545-parlante-bafle-portatil-daewoo-rock-12-bluetooth-karaoke-mic-_JM,113,33,10,2,2,#748174545,Daewoo,NA,Trolley Speaker Rock 12,2000 W,A Bateria,Portatil,De caja,no,Auxiliar,NA,NA,NA,Subwoofer,NA,NA,NA
17, Parlante Bluetooth Portátil Potente Radio Fm + Lámpara + Mic ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				381
				vendidos
			
		",(925 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-664087692-parlante-bluetooth-portatil-potente-radio-fm-lampara-mic-_JM,29,10,3,1,0,#664087692,Otras Marcas,MS,MS-107BT,10 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,NA,1.5 kg,Woofer,usb,1,NA
18, Parlante Grande 12 Pulgada Karaoke Bluetooth Led Fiesta +mic ,3999,5990,"
			
				Nuevo
			
			
				
					 - 
				
				1691
				vendidos
			
		",(968 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,529,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077845-parlante-grande-12-pulgada-karaoke-bluetooth-led-fiesta-mic-_JM,349,133,30,9,8,#739077845,Otras Marcas,T - 12 Pulgadas,T152,NA,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Mic x2.",NA,NA,NA,Woofer,220,NA,NA
19, Parlante Portatil Radio Usb Bluetooth Potencia 4000w Karaoke ,5999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				639
				vendidos
			
		",(481 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,60,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-680688727-parlante-portatil-radio-usb-bluetooth-potencia-4000w-karaoke-_JM,35,19,3,0,3,#680688727,Winco,Bateria Portatil,24/7,80 W,Portátil,Central,Vertical,MP3,NA,NA,NA,NA,Subwoofer,220V,NA,NA
20, Parlante Bluetooth Daewoo Rooster Da-900 ,2395,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,1,https://perfil.mercadolibre.com.ar/IMPORTADOR+RCSA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5zqnIXdoG%2BQaShK5U3eC40Kl3HaAMy6rG0bOzhAIR5xUPA4P6cZQ8GhUW%2Fx9T38WcC12ND4eIRZa3MUqVP5R9D%2Fggs9ISMbg9n%2FqW%2BeJEZRAycCDwsUoIKiYMi2QyeWScIZRuEqqfou4N5Ugi5pVBrJzeure9kZdpt0QoAJzkb1uUtI9TwsJH7z8MLHG5b%2F%2BwKTGvLHlZcNepvCCFmmNtTXfXBiA3FY0cFJqQGbDVeZHiQgoKPxpeHk9wEjPGqUN0%2FrvPIoUc%2BkSD%2B6rkL4AsufsT0OiphLjG9%2FUY0JZOZWoIoHmaoRZXivGuoPOdBITpR5FBftuyU1K9VP1o9MvYuM8xozw%2BuUq66X%2FBJvXupzccPotGS7QDdGWpl3OrtjjFOb1gmq%2FuOO8vEM5MfL77Tyy17KkAqIo%2FOrsakyizMjWp4JCbsPxliGk4ixFXYLEV0Qw6da76T7yo92aUGE%2Bm2bOTqqYMPWICik23r%2BEE8C9IfUCnFIUStaXHJi5a5YpQo3bI0N%2Bdwwe262d6F4dBlJTh7wsuEmko9tWiluJ7LHIdJsf9GCkoTqZP%2Fdf%2FmvAzd9ZniLzIE6BZkuYmRk5z3fnGH%2F15oIeoljnSkiQpH8yMM%2FjKfoU2B8jOM4peVOVn%2BWvVqSaLixR4yCLzZzkNDh3qFCS%2FAfk%2F1lSjIIj92W1xzSg5HMOM7S9HwX%2Bl0zt2G1RQcd4dCehFrATzcXeOY6L7j8U2ZjH%2BdO71DMqhyjOqghaIpt4pkq7fHHDQ0Cmu0pLycUDKAkJjg5zYfnf8R5pL4FblxvVbi%2BEeCGAMlVIgxtXiSZLtdGLnhboXSQy%2FkJmMZl59OPV6D9zm5uggkiXrAW6SpR3jNNGAHjXvH8xJZ4HY1iBh4kW43KhxPLnt30qDZfefodAbNF2A7bhaTjwn5GepoSGzvAwfLCdHl1ubtFwUHCHwx7kN99Eu0BOv4QZo%2FNjg1D%2FuJ%2FFwPnkHlBht6vRj%2FZZO5e8JcVZGtm%2BTjbNY4NA7FCS%2BqEJtQlzZ1FAyABxaUx65aNPEbvKH3K8whQ7KdCRr%2FeaVXk7Vf5K9zu5zkEyBrCBn1A30WPaQGk%2BL0KCrpFyrRBILFXKYLXsC4qICRFn9aPxbFJA53dwYhidclnUvkQAJNSX8HYKLl%2By9DHgc3GDRPx%2FXMcrWnC6l%2FezTHYv33hclanmVkVobO8ldXPWiaKXpGILw9DgkA9KYD8fWsITJkwxIAtZ0Sud4r2b%2B8bRqZCrqBpitb60x2MM%2BuNcQTzT1DJL2eZiqfMbMtrsLxjjQy2aO5JKnEl7BDbO5ArriMH1KaEdfkpBr8lDlCEZXG%2FVbRK8hw8zLCJgDV4nVBrBwPVL%2BlXEnCCOiv1XaDXFPfZK8O0LNt2%2BcddS5SCNEiW4TXzzseq58iGFh%2FUd3kqYkCKKF8BZiv40ZzrAAFHG70saX2rTa%2BvynmZQzepbVd%2FIuZCiZnYR2vWdlnqlDK76EAb1oBfrg%2Fe6YARbdpVgF6vnbKHsbfVZnN%2BsT02CgM1ZOwCVthm23QKdboRarBl6UkHss326j1FaOLSsyQZGmu5og8DvzCFOSrWK18cfdJZuUv7f77vPq6Cbedeclvhq3qPd86BJ5gwi4E1yYFIOK7UyYA%3D%3D,NA,NA,NA,NA,NA,#775821778,Daewoo,NA,Rooster,1000 W,NA,NA,NA,NA,NA,NA,NA,2.8 kg,NA,NA,NA,NA
