search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Voltaje,Ancho,Altura,Conectores de entrada,Formato del parlante,Profundidad
34, Parlante Harman Kardon Aura Studio 2 Sistema De Altavoces ,129.99,249.990,47,3,6,21.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-harman-kardon-aura-studio-2-sistema-de-altavoces-_JM,NA,NA,NA,NA,NA,#451893220,Harman Kardon,NA,NA,Aura Studio 2,NA,Activo,NA,NA,"1.5 """,NA,NA,NA
35, Home Theater Mp3 Bluetooth/fm/puerto Usb/ Sd Aiwa Awa-299bt ,79.99,99.990,21,7,6,13.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=FMw3XvVrvpaMWZ0%2FyWaMu9jqeUPvjiRTQu09FAkeUsRBs%2FXfZ%2BtnQNzRhSp2V0KacXLOAM1dfonMTV8AP41o6hFJoyRaPPtPJj45AsXvk9yCWVCT6jwzeN2eIBwU5rv6iO1s5Ao4AMahELpBIzpO8meE3kpP%2B4R9a1P45pefDPyAVaQJt%2F7KJ8PhHaqFKSgwU8EphhpoZeP%2B%2BU7icuOgnj5CrdDDXh%2FDpxGgPSlziGDPXg8wBmbnDK%2BWD1GpI646igqBbe15D75Sf4HeyG59ZCWfDApjvpSGJho1mOWdV2JkNGsm6LBxNEm5XdODiHjGxjcEZxWWMybgAhJj94JWgPz1xrG2ueqeJVRxdN218sh31VbzEdgAYxuES9rxf5LRRJf4hxjqmSJnZ1c2LAml6GryLBln6ZUj2vmwlIKzVXLveO4bB0QMkgAv53j87dcyAzMKERKo9AAezE8MI27ahQIYPomwVNLltrt8Rj8gkQ5Tm6%2Ftkf186ed48Mu%2BV9zc3%2FG1yzE35sPzW74cfzDKLrdlchjiZIMqClsDorCv3P%2B%2FaBlTXkPWsHmwqx%2F5inNIFdfnYnHBNCGAeBZDj6mjFRkF1M4OLpmWf1%2FORR88kkU0ATfvqaI6mJfLtfv962lABWcpSfXWrXWgidBZBcEuqwIeL7WRUXYTCTiI6xqFnSVEM5gZkofXjnhhA7pAPRbaXBTj%2FEaGMpYpXovvYFUltyHRndcnEhbWvJ7p6msV9uvrFYxzQrMgnSTMiiIHA1phR4IPMclczicbXselAykvQuewFFT7uctllrpl2KaQ4lrQFUwksSGdJb135ESAKQsE1LiF7JKj7ak%2FBr6ThJ0m9FvbWl73PEE3jumA735Gayab1bBHJg90eXQ%2Fe0x3Svwxrqnz%2FiyzHdDM9i4WfVMULZWWXX3wyz4YgKGWI0qPgTqjUQpoHfRnWBUzSmSDj6Rao25jJky6Lti70CMvjJ69YOfwyNKuicxNpGus3ZUvEqgBOKEgXYzm95zl8h7kUxqGZ6joZuBdwqRb9zq4Q2RRaJtwh13jxDvcIvyXbb%2BDibLrSlXxd07J3l44HXGpd2hChEGxd157bLI9a5uHUMVO9p3AFOW%2FeS4g4dYPyMM%2F7CuIRWh9ThyjT0Z8%2Fs0ReOxmjMiinxSBtB41dj7TA5RsiPO5MCtFvbSTuqv2shMcq4GCZ35uPwLqOQ%2BFLxRmN7h4GXw4ds0t5%2Fcft%2FpKlEk3kWO7q0DGwswlVetsC%2Fgpz%2BtaXP8vPmIo5nvNHWHNB5p2rd56KJrhqbSrb7gPok9Wl9%2F8WG6W3iCiCaemAqzl9cji6%2FKuwAwTZ0A2kbwwgKarvVf7%2FgwFz2lFeTOvDxQMMCmoTKU1n6xW6yEBdrrsrCBgjIcDT2TJ15axfRLJ6Z01W2b1MIj14%2FIME0xIOuhdNuX8Cpl%2B77asFDDegOJR,1,0,0,0,0,#486139169,Fiddler,NA,NA,FD-PKBTDUAL8,NA,NA,NA,NA,NA,NA,NA,NA
36, Parlante Karaoke Bluetooth Master G Spb8b ,39.9,NA,5,5,12,3.325,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-477322523-home-theater-mp3-bluetoothfmpuerto-usb-sd-aiwa-awa-299bt-_JM,NA,NA,NA,NA,NA,#477322523,Aiwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37, Parlantes Cajas Activas Bluetooth Tws Fiddler Con Trípode ,34.99,NA,95,8,6,5.832,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376585-parlante-karaoke-bluetooth-master-g-spb8b-_JM,1,0,0,0,0,#472376585,Master-G,NA,3 kg,SPB8B,20 W,NA,220V,26 cm,38.5 cm,Auxiliar,Caja,21 cm
38, Parlante Bose Soundtouch 30 ,465.99,NA,16,2,6,77.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472184462-parlante-bose-soundtouch-30-_JM,1,0,0,0,0,#472184462,Bose,SoundTouch,NA,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA
39, Bose Soundbar 700 ,699.99,NA,5,2,6,116.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-473710717-bose-soundbar-700-_JM,NA,NA,NA,NA,NA,#473710717,Bose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40, Parlante Karaoke Portátil Aiwa-166bt Microfono De Regalo ,22.99,NA,24,76,6,3.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOCENTERCURICOSPA,https://articulo.mercadolibre.cl/MLC-476888160-parlante-karaoke-portatil-aiwa-166bt-microfono-de-regalo-_JM,NA,NA,NA,NA,NA,#476888160,Aiwa,NA,NA,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA
41, Parlante Karaoke Bluetooth Fiddler Negro + Micrófono ,39.99,NA,130,6,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434130507-parlante-karaoke-bluetooth-fiddler-negro-microfono-_JM,3,2,0,0,0,#434130507,Fiddler,NA,NA,PACK,NA,NA,NA,NA,NA,NA,NA,NA
42, Jbl Flip 4 Parlante Portátil Bluetooth Inalámbrico ,69.99,99.990,192,26,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-457910644-jbl-flip-4-parlante-portatil-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#457910644,JBL,Flip Series,NA,Flip 4,16 W,Activo,NA,NA,NA,NA,NA,NA
43, Micrófono Karaoke Bluetooth Con Parlantes Inalámbrico Usb ,9.99,NA,81,219,12,832,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-457050245-microfono-karaoke-bluetooth-con-parlantes-inalambrico-usb-_JM,1,0,0,0,0,#457050245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44, Logitech Parlante Z607 5.1 Bluetooth Sistema Sonido Sorround ,86.99,119.990,14,2,6,14.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=85,https://articulo.mercadolibre.cl/MLC-484762004-logitech-parlante-z607-51-bluetooth-sistema-sonido-sorround-_JM,NA,NA,NA,NA,NA,#484762004,Logitech,NA,NA,Z607,NA,NA,NA,NA,NA,RCA,NA,NA
45, Parlante Radio Reloj Bluetooth Lampara Master G ,15.997,NA,26,1,12,1.333,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/QUIPPOO,https://articulo.mercadolibre.cl/MLC-475071355-parlante-radio-reloj-bluetooth-lampara-master-g-_JM,NA,NA,NA,NA,NA,#475071355,Master-G,NA,537 g,MGCLOCKBT,5 W,NA,220V,NA,NA,NA,NA,NA
46, Pack De 10 Parlantes Bluetooth Impermeable Ducha Agua ,29.99,NA,140,705,6,4.998,NA,Envío gratis a todo el país,NA,NA,4.4,5,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-440782353-pack-de-10-parlantes-bluetooth-impermeable-ducha-agua-_JM,4,0,0,1,0,#440782353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
