search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Conectores de entrada
60, Home Parlantes Barra Sonido Bluetooth Tv Klip Xtreme Febo ,3725,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(99935 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 20694
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,4.0,2,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459248547-home-parlantes-barra-sonido-bluetooth-tv-klip-xtreme-febo-_JM,NA,NA,NA,NA,NA,#459248547,Xtreme,NA,NA,NA,NA,NA
61, Parlante Bluetooth Portátil Jbl Go 2 Original Easybuy ,1350,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,https://articulo.mercadolibre.com.uy/MLU-453692877-parlante-bluetooth-portatil-jbl-go-2-original-easybuy-_JM,NA,NA,NA,NA,NA,#453692877,JBL,GO 2,3 W,Activo,130 g,NA
62, Radio Y Parlante Bluetooth Mk-113bt Retro Circuit ,1260,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(15 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7000
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-447676940-radio-y-parlante-bluetooth-mk-113bt-retro-circuit-_JM,NA,NA,NA,NA,NA,#447676940,NA,NA,NA,NA,NA,NA
63, Parlante 12 Activo Bluetooth Bateria Microfono Futuro21 ,76,NA,"
			
				Nuevo
			
			
				
					 - 
				
				191
				vendidos
			
		",(92 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 15006
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-463651026-parlante-12-activo-bluetooth-bateria-microfono-futuro21-_JM,NA,NA,NA,NA,NA,#463651026,NA,NA,NA,NA,NA,NA
64, Parlante Inalambrico 8000w Luces Bluetooth Microsonic Yanett ,175,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 34553
		
		 sin interés
		
	

	
		",53,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/UNIONELECTRODOMESTICOSLTDAU,https://articulo.mercadolibre.com.uy/MLU-451266414-parlante-inalambrico-8000w-luces-bluetooth-microsonic-yanett-_JM,NA,NA,NA,NA,NA,#451266414,NA,NA,NA,NA,NA,Auxiliar
65, Parlante Multimedia Bluetooth Energy Sistem Tower 8 120w Amv ,219,239,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 43240
		
		 sin interés
		
	

	
		",40,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452350467-parlante-multimedia-bluetooth-energy-sistem-tower-8-120w-amv-_JM,NA,NA,NA,NA,NA,#452350467,Energy Sistem,NA,NA,NA,NA,NA
66, Parlante Bt + Micrófono Karaoke Inalambrico ,590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",1,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3278
		
		 sin interés
		
	

	
		",78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TU+MEJOROFERTA.COM,https://articulo.mercadolibre.com.uy/MLU-455569574-parlante-bt-microfono-karaoke-inalambrico-_JM,NA,NA,NA,NA,NA,#455569574,NA,NA,NA,NA,NA,NA
67, Parlante Portátil Bluetooth Con Radio Fm ,650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				92
				vendidos
			
		",(137 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=lbyzPcpQ7gQQ7piK9T2rJ8H72YM4IuH3OrESMt4wwupKWzqCBMPawewlp82hPXDm02r38LCV2wontaEXnL22cILbnTypuaR76nIOraJ6gaObt%2BKjWH7T%2FZ9rIpvMyJirRnmN1qouCaVSa5uSx0qIYrqYzuLuCOVk%2Bxd5jdqSeOBtSM%2FFwoWTaV%2Fox29fGgeWufv%2FI5XSq9kSK%2BxQr4FaypCZ3sIp2f9otQQe8cB5cgoxqDHMRy5TqYRrh7zji%2FKJnOyF9QuvkiifttQ1dNypWWeKBRMPjFPhByImMNQ7LDNKzQH0jh7LKzzxlJIYIdXay7R3j9edhXhjHLsHyk9p0aG6RzwKRRaalbu2kBqmmGTlt8Dfi9OqcO1%2FD5168FiuUjXpImUC4%2B%2F%2BUrIezdefjvlh8GYaIWKLP9UTRgDTGcZ7nlH3lNV%2Fu7EBzGOKPp%2FoCqSTZZrTHKYr%2BNyC7tMeI944nnf9g0In2YqpZjjEbKH%2BEn2K7e%2B2hXsV5uUpuspak%2FlxgFLM0%2BBNsofdJe4UB20LF7yTvrB1BPePxfxrU2SDdDUfO2iipk5bRy4L8ZOOMLVRFO4BqgJRDvopiuOqxH4KDQDBpH%2F91K6joK4CQR6nMxanMOO2r0NxWa%2F7pm4C4FdkL%2FZruv8JNc5nMTdfM7W%2BhbxPeHL%2BBzGxb57nu7mYOX4MgK3PUmGtjzH%2Bw%2B4FRvtF9fzjqcUM95a9XRnRr3W9h%2BuyxN5h3pbHFFMptkT1g9Z338HDEsaWvK2Komr8%2BWANbFWoM%2B4y%2BOyD2sfsT5nK2xOI1ym6sEJM6FYZGtolPIQaoSp8UIvvzaUV1TIyp46SAcsBdw1OG7wkXzM%2FyBDF%2BnEzY7l%2FzuBzqUoNmwhi%2BtFb8lksgFsvIaqv57k463kHdAxB0aEsOZ7qx3EmuxwNoX6zMaHilJP%2FawRuoMGXX0W0hNILKPSPXN0H6BkCxljhpkDGOVgqXJ%2Bd3OpwAZ50kGHYWhYx9efqBySQih0oOC3nD4db%2BJQMjhEfp%2FmXCaUD4jmvlD8vz15nQ%2BLRFohYAuBl9sLUfoGSHo5FhU%2F7LtkH%2B6GG0JPkpnRFSXMvXn2Gw0luoc0do%2F0eOSQOBAty6z7ba%2FrdyOOb2GSXNx7n0hywQxluJCIvcHGgyex02KKMXUo3Qvvf9H%2FxfgzBGzONMZguVfhRkpeQnvPCPg7ivL%2F1h%2BbYhG20UiHuIgn6VXGLsbIr8l2t%2FsAPpXb9FRJnswSS7aeJ1wizXsvpyBIe2GglNqqS8O63PejCUuHJpmZusjEIHeaKWAcRMsuAlwtD4XrHGKQaa39GiJX1kLxCaamm2Lqui5p%2FT7gOukfnX2G8kphAPf38JBYgpL%2BqWJ9nYzD%2FfPiYL0hkrdoM0ei9b0B1Kk77sIZ2xGRecfPSOPXj5PbVSsJcJCVqveRI%2BCSgVRKVFZzYjo%2FzLJUV3qxZAAkZjfAxsUc5gOIsp2TIGsONCO5jrgCEs%2F8MmeBDibqOgv%2Bc7eAfabcUlFtAwn7WM0VjBb9T,3,3,0,0,0,#455532602,NA,NA,NA,NA,1 kg,NA
68, Parlante Portátil Jbl Go2 Bluetooth Sunkissed Cinn Zonatecno ,1379,NA,"
			
			
				
				6
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7661
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/ZONATECNO?brandId=628,https://articulo.mercadolibre.com.uy/MLU-459058649-parlante-portatil-jbl-go2-bluetooth-sunkissed-cinn-zonatecno-_JM,NA,NA,NA,NA,NA,#459058649,JBL,GO 2,3 W,Activo,NA,NA
69, Parlantes Bluetooth 2.0 Thonet & Vander Vertrag Bluetooth ,183,199,"
			
			
				
				26
				vendidos
			
		",(45 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36132
		
		 sin interés
		
	

	
		",32,NA,Envío gratis a todo el país,NA,NA,5.0,12,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444255526-parlantes-bluetooth-20-thonet-vander-vertrag-bluetooth-_JM,12,0,0,0,0,#444255526,Thonet & Vander,Vertrag Bluetooth,NA,NA,NA,NA
70, Parlante Jbl Charge Similar Bluetooth Usb ,1490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8278
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DATASURTECNOSTORE,https://articulo.mercadolibre.com.uy/MLU-460461830-parlante-jbl-charge-similar-bluetooth-usb-_JM,NA,NA,NA,NA,NA,#460461830,JBL,NA,NA,NA,NA,NA
71, Parlante 2.1+1 Tienda Oficial Thonet & Vander - Ratsel ,192,239,"
			
			
				
				26
				vendidos
			
		",(30 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 37909
		
		 sin interés
		
	

	
		",09,NA,Envío gratis a todo el país,NA,NA,5.0,3,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=WxDlQhufLQzwnJAj0XJA%2BP7oSEyTuS9Mt%2F1u9NsnnVIACX0fhp9SeBJr8EmQDdxfRJTpXKRL29umaPIgyjUFdokTvnZUWFuDZtQqnOcZibFaiRsU0aZFAJQY9UtoYLqvP71lMr9DBg6IqDSAF1PcIqEgkjjnvLB%2BFAXXpKJoyTp8S3PKsAAEgS44KzXarOYeSL3Mukp0kQizDV1wY08kVzKqBPC9UstgdunDCZgB%2BEL%2FU5riby9aMIDyRc7ra42qZyLooy5vhCVB8G%2F5eGDI5gytWPRXABtWV6XFHfwv5MkHYegg40Vi7PURISetsQ48Qgn59UBbc87swGSMg7KWG6nHnbxa%2B%2Bf2z5j9wxl%2FUIl8zZzb1a8YyIlYhtkvp4PrgsoNE69GgbOhP%2FWcHiSABrj7Cg1BlRz2iCel35qReRIxDxKq1pgxb0gBXCPeqknUbrB9t7S4FVBkeiWvXyt28Zt8hMzw5d8gP8UpIQzdexCsU83xSzrMCN62v1FmZ1%2BDIvmrRjewm4%2FpWM%2FdRHwkzvdXTpRoqoG7WkctnGfVQOMacYOJQmjzT4klzBWdTSkbLO7fWCt%2ByZ0I8cAPWFsSJk972adWEUkLbY9kb%2Bj16rS3pQ%2BZ7r%2FbmTz1TSGVMIAg16axVfmhz0yuiZ3LI%2BUw%2F5Nd45xj3Q5cimtBg5z5sXKa8IUI8IUGVvyi7LAakVyQ%2Baytzew9kg9hJ878%2BxFN7H%2B0vAAm79wavQQrDiZBunt8Q4%2B%2FTB9bLG30R5sdl8ftqrbzS1c9WgJHYCasrK4415IVlPjwq5WGGXRW7lbFoXclyXXXHzqtWpWnThVH9AwscvGoeWtCxpAmbYuzcRYajW25IIoffv23dKC8xkwmHG1iLBIm1VxBoDWo7dt0q7fz0RbWB6AjgqKOWpolFLWA%2BRbS8GVI58lvGc5BaFX9%2FnhtLCRb5DG7X%2BcSniW%2F0216UcEO6dJZ8dxvgqzc%2B2YdAgE%2Bl%2BrEPZgESeKrSFLIQNlQ9KBbmVkKApP8c4c58Rn18EZ5tksMI%2B7lKhDRJXOuSQ4EpRT3r%2FPBhjNI%2FgksDNFSM%2By70cwK0xfp%2Bl1oyknKX2jYxHY3BlwkkH6%2FABs7x6ckDt2JlNVhYa57rw6br3HVSgB9rejSCSsw1Z7PR%2FUHOnwHocsA7ZLegNdFh5SLTShHaKCzMPdOG9kQRCNWcx6Cpl1g%2BACXMrYRYQ03GNdMWscv76oVG44WJDp6Ty7HX2JLPDPyb5uaHA6dLNELJLRh4cAcaH8DVETP9tcesvmmrNA3taxqTuwwhMyYEwJaJirX7m1ohuSGEluziVM0sEvqvWA2EjtATs6uzlgpP5ZNRaSqcZvbhXbro5dQo0yq7x1ExRqDamDeVOpCTjsXk7RCQrQoscWTjAkQ1KbbgV7JbOkFKxaK0U%2BMkNMYJj31%2FcJvLIHgBiCdoigs6dwMWTWLNsHpXvN51Sxg2Kc6v2jBJAe68bslkMlKmAeHSnwshAxhQdR2sJpVESGcYHjyR1e1HeAzj%2BsunV00xF6b%2FWk%3D,3,0,0,0,0,#444942487,Thonet & Vander,Rätsel,66 W,Activo,NA,RCA
72, Parlante Buetooth Resistente Calidad Con Radio Y Micro Sd ,595,650,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(7 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3306
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-450436450-parlante-buetooth-resistente-calidad-con-radio-y-micro-sd-_JM,NA,NA,NA,NA,NA,#450436450,NA,NA,NA,NA,NA,NA
73, Parlante G1188 Bluetooth C/correa Excelente Música Usb ,280,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",1,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1556
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/FONOTIENDAUY,https://articulo.mercadolibre.com.uy/MLU-457605624-parlante-g1188-bluetooth-ccorrea-excelente-musica-usb-_JM,NA,NA,NA,NA,NA,#457605624,Cafini,NA,NA,NA,NA,NA
74, Parlante Energy Sistem Tower 5 Bluetooth Blanco 2.1 60w Nnet ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 31394
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-453518763-parlante-energy-sistem-tower-5-bluetooth-blanco-21-60w-nnet-_JM,NA,NA,NA,NA,NA,#453518763,Energy Sistem,NA,NA,NA,NA,NA
75, Barra De Sonido Tv Jbl Bar 5.1 4k Ultra Hd Bluetooth Febo ,30370,31990,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.68722
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-463115780-barra-de-sonido-tv-jbl-bar-51-4k-ultra-hd-bluetooth-febo-_JM,NA,NA,NA,NA,NA,#463115780,JBL,NA,NA,NA,NA,NA
