search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
248, Protector Carcasa iPhone 8 7 Pop Bubble Negro Funda ,299,NA,0,3,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448323604-protector-carcasa-iphone-8-7-pop-bubble-negro-funda-_JM,NA,NA,NA,NA,NA,#448323604,Apple,NA,NA,NA
249," Funda De Billetera Para iPhone 8 Plus, iPhone 7 Plus Y Iphon ",890,NA,0,100,18 cuotas,49.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457693012-funda-de-billetera-para-iphone-8-plus-iphone-7-plus-y-iphon-_JM,NA,NA,NA,NA,NA,#457693012,Apple,Dockem,SL CD i7P Felt BKnBK A,Cuero
250," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda De Silicona ",1068,NA,0,100,18 cuotas,59.33,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457702712-funda-iphone-7-plus-funda-iphone-8-plus-funda-de-silicona-_JM,NA,NA,NA,NA,NA,#457702712,Apple,NA,NA,Silicona
251," Funda Rosa De iPhone 7 Plus Para Niñas, iPhone 8 Plus, Vivib ",890,NA,0,100,18 cuotas,49.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457703641-funda-rosa-de-iphone-7-plus-para-ninas-iphone-8-plus-vivib-_JM,NA,NA,NA,NA,NA,#457703641,Apple,VIVIBIN,i7Plus-IMD-TPU,Silicona
252," Funda Impermeable Para iPhone 8 Plus iPhone 7 Plus, Fansteck ",1276,NA,0,100,18 cuotas,70.89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457755526-funda-impermeable-para-iphone-8-plus-iphone-7-plus-fansteck-_JM,NA,NA,NA,NA,NA,#457755526,Apple,NA,NA,TPU
253, Otterbox Symmetry Series Funda Para iPhone 8 Plus Y iPhone 7 ,2200,NA,0,100,18 cuotas,122.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457806662-otterbox-symmetry-series-funda-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#457806662,Apple,OtterBox,77-54080,NA
254," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda X-level Guar ",1095,NA,0,100,18 cuotas,60.83,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-459966218-funda-iphone-7-plus-funda-iphone-8-plus-funda-x-level-guar-_JM,NA,NA,NA,NA,NA,#459966218,Apple,X-level,GuaI7pRed,NA
255," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Doujiaz Funda Prot ",998,NA,0,100,18 cuotas,55.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457703910-funda-iphone-7-plus-funda-iphone-8-plus-doujiaz-funda-prot-_JM,NA,NA,NA,NA,NA,#457703910,NA,Apple,iPhone 8 Plus,NA
256," Funda iPhone 7 Plus, iPhone 8 Plus, Doujiaz Dorado Brillante ",998,NA,0,100,18 cuotas,55.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457710635-funda-iphone-7-plus-iphone-8-plus-doujiaz-dorado-brillante-_JM,NA,NA,NA,NA,NA,#457710635,Apple,DOUJIAZ,R-imd-TJ-qinshi jin-7P,Silicona
257," Funda iPhone 7, Funda iPhone 8, Funda Cartera Arae Pu Cuero ",1045,NA,0,100,18 cuotas,58.06,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457711763-funda-iphone-7-funda-iphone-8-funda-cartera-arae-pu-cuero-_JM,NA,NA,NA,NA,NA,#457711763,Apple,Arae,FBA_iphone 8 / 7,Cuero
