search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
280, Capa iPhone 8 Plus + Pelicula Vidro Capinha iPhone 8 Plus ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(774 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 624
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BOX-1001,https://produto.mercadolivre.com.br/MLB-1226883874-capa-iphone-8-plus-pelicula-vidro-capinha-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1226883874,Apple,iPhone 8 Plus,H+7,TPU,ANTI IMPACTO,TPU/Policarbonato,NA
281, Capa iPhone 6 7 8 X E Plus + Pelicula Vidro Capinha iPhone ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(777 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 624
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BOX-1001,https://produto.mercadolivre.com.br/MLB-1227183772-capa-iphone-6-7-8-x-e-plus-pelicula-vidro-capinha-iphone-_JM?searchVariation=36697357697,NA,NA,NA,NA,NA,#1227183772,Apple,iPhone,H+7,TPU,ANTI IMPACTO,TPU/Policarbonato,NA
282," Capa Capinha Retalho Couro Legítimo Apple iPhone 8, 8 Plus X ",30,NA,"
			
				Novo
			
			
				
					 - 
				
				161
				vendidos
			
		",(67 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 500
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,NA,NA,5.0,13,https://perfil.mercadolivre.com.br/SARROCHEOFICIAL,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wutXrZq7raz%2BvgTp8TLLQxsCKztCRJBjBes%2Fur59PRFhohG9q6yzZVKsYKOflZf6GszOnMpBvArQqYNsBaA6pOC7YFCzFlEa%2BfvL8oAA9DLPfXy4tdY3Y8ehPeKxGelr%2F5J8ZTV9Dvl7PY%2FNVXExsfLEqT4mZV7dI3sRTskReNoRLkCFJmS0lr1ENNcAUEHYYFzXv3hnfus%2B8GXc07OJbYCVax59e1We%2BxfVQ6Umc67Pd19neiCOlFM5Co4fNpg6aXyS4owkuf9FTvMp7jBF4jrRVaytiRPK1yQSwXRe%2F0G1GxMEAbOjoI38LbxeCZPJWWQE1kPMFPFJCvQ4TpslvNh4K2kO3Odg9fmaO%2BcmQO1FQ%2FCA4yBzQBog21juCJPbHpiL7dasoSwvucysluK7HzsoRueKUd1bCPvOio2AC0yP9S4Gm5E2HhcklQFUiuAYULN9jBlN7vvlP1bLipxFR8VCAhbjZYSuxy%2B5kLm%2Fe18%2BGAwW2kKEmdFe8TM8E%2FSZk1FBdL%2BeGEALLNpzLHjilBaPduFNAfjp%2FeGhT1ElmYo0NRcWUMlmMcq8GfIiUH94gQ5ARt0WEom4ucXweVaTt1BDXz%2B4KEfD5Mp4yz%2BtIJo8Ku%2BuhpSMDP%2Ftl7EbVkIjDB7rmv%2FnlzRMgiwn9wRMvIAAee6fgaS0An4DJmpVRxloaGEW8R1dfxdUwbX16xY%2FUSTrkkXiel2GeKJMzj9RuJa3d0mLHusQPpjP9LsJkyrL%2FDTwcTVviyf6IRxje3nxJSJJHsyLZNF0ccO6KQCv9IfTISPpBDPyOrnZoDt4QlzZIrn64VRMktWnnC%2BGbvZ85j%2BIIq6BaEGTx5ItQEBS5hHvEU2C7%2Box2Jrd2cX9hMEZOD2mz2N%2Fca5KY5wfVTUcFjwiK8hrcGezBcOPJpJCkaGdTaqDR7pQ8uJkV4%2BrLyTf%2FZhjTmrKC%2B4vXQC2xqBelxZiQXmw57pwLm4OD%2Fk17OV4ULuaJrgSYqsrffAiHvIskTsyM%2F4QQsut%2BEyJ%2Bxu9jFXk5bbW5fVqe%2Bwg99ynLgiDeG8HAHn914%2F52P5pCLKBTUqG24GxG3X7qAQiycyqly8T1An1PKU6PoVFnheyQUs08fvr0enIDf5n5K6XYYUwisHC%2BxnWLeIK3IWpOX06GtFjeJG5Y4zszVAn2t%2Fmi1IwNduav%2BjpO9RCqR86Lyl0Dn%2FPP2RnwXT0TlDc0UOGJCJY%2F4yPHr6FPRCxpPrn3Fob2Hmxq5qtE%2FmrD6h9kzKxGOnH8YyVawQVda6SJaSiEB67L152SWAZhh66EFfN%2F6%2BmdM44YSpXHWEuRKR80zJdYsnPT9%2F12v5PI%2Fvji8ulYtNvevJ54ZVlkRcYXfFZNSxCy8rCvdz81cPqLfaEVH6H6G5vU5FZ9CvI03K1mLv3EsldVNAu4UJOk0mgxokED10ZpFP19zXMwrvqplxK5EpJh0ZvFGWyH%2F1vCVTjp0feBCpVTRxy40ZSWYcRtYmo3%2BOoqr4uF1UVkBg%2FBgwNR%2BDLDBFeTT%2BwYsD8sPZBWUFyVlG7dJPazQwpRfuOEDist2MqOtqms6NoOaCOpgpOe6w6aqeDVhs08o2OJn4m8uwWeYtqZ%2BmzB0awdJUOtZdTcxu%2B6hzRg5ZUqW3bN4Y%2Fu1k%3D,13,0,0,0,0,#682537105,Apple,Sob medida,Sarroche,Retalho couro,Saque rápido,Couro legítimo,NA
283, Capa Capinha Case Fluminense iPhone 8 / 8 Plus ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(36 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CAROLL41,https://produto.mercadolivre.com.br/MLB-1089035023-capa-capinha-case-fluminense-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1089035023,Outros,Mais de 150 MODELOS,Tudo Celular,Silicone Flexível,Silicone,Silicone,NA
284, Capa Capinha Case Fe Nossa iPhone 8 / 8 Plus ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(96 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CAROLL41,https://produto.mercadolivre.com.br/MLB-1130086940-capa-capinha-case-fe-nossa-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1130086940,Outros,Mais de 150 MODELOS,Tudo Celular,Silicone Flexível,Silicone,Silicone,NA
285, Capinha Capa Case Super Luxo iPhone 8 Plus ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 548
		
		 sem juros
		
	

	
		",48,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1179649725-capinha-capa-case-super-luxo-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1179649725,Apple,iPhone 8 Plus,Iphone Super Luxo,Slim,Ultra fina,Policarbonato,NA
286, Capa iPhone 6 7 8 X E Plus + Pelicula 6d Capinha iPhone ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(776 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 582
		
		 sem juros
		
	

	
		",82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BOX-1001,https://produto.mercadolivre.com.br/MLB-1227177442-capa-iphone-6-7-8-x-e-plus-pelicula-6d-capinha-iphone-_JM?searchVariation=36698599775,NA,NA,NA,NA,NA,#1227177442,Apple,iPhone,H+7,TPU,ANTI IMPACTO,TPU/Policarbonato,NA
287, Capa Capinha iPhone 8 Nillkin Tpu Original - Frete Grátis ,99,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1132492067-capa-capinha-iphone-8-nillkin-tpu-original-frete-gratis-_JM,NA,NA,NA,NA,NA,#1132492067,Apple,iPhone 8,Nillkin,Nature TPU,Emborrachada,Silicone,NA
288, Case Capa Capinha iPhone 6plus 6splus 7plus 8plus Fibra Carb ,12,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 676
		
		 sem juros
		
	

	
		",76,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/D%C3%89COUVERTES,https://produto.mercadolivre.com.br/MLB-999008327-case-capa-capinha-iphone-6plus-6splus-7plus-8plus-fibra-carb-_JM?searchVariation=32753525102,NA,NA,NA,NA,NA,#999008327,Apple,Iphone 7 e 8 Plus,Apple,Capa,Fibra de Carbono,Silicone,NA
289, Capa Case Capinha Silicone Aveludado iPhone 8 Rosa ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(498 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165542952-capa-case-capinha-silicone-aveludado-iphone-8-rosa-_JM,NA,NA,NA,NA,NA,#1165542952,Apple,Iphone 8,Apple,iPhone 8,Silicone,Silicone,NA
