search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
199, Funda Griffin ® Survivor Summit Original iPhone 7 8 Clip ,1199,NA,11,189,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/PUNTO_+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-701722599-funda-griffin-survivor-summit-original-iphone-7-8-clip-_JM?searchVariation=36484811142,1,0,0,0,0,#701722599,Apple,iPhone 7 / iPhone 8,Griffin,Survivor Summit,case,TPU/Policarbonato
200, Funda Brazalete Premium Deportivo Running iPhone 8 X 7 6 5 4 ,149,NA,107,8,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,4,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://articulo.mercadolibre.com.ar/MLA-617628299-funda-brazalete-premium-deportivo-running-iphone-8-x-7-6-5-4-_JM?searchVariation=17770943949,3,0,1,0,0,#617628299,Apple,"Iphone Xr, Iphone Xs, Iphone Xs Max, Iphone X, Iphone 8, Iphone 8 Plus, Iphone 7, Iphone 7 Plus, Iphone 6. Iphone 6 Plus, Iphone 6s.",Genérico,Brazalete,Sport,Neopreno
201, Funda Para iPhone 8/7/6s/6 Plus Griffin Survivor Clear ,1599,NA,14,2,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MACSTATION+TIENDAOFICIAL?brandId=1380,https://articulo.mercadolibre.com.ar/MLA-704072195-funda-para-iphone-876s6-plus-griffin-survivor-clear-_JM?searchVariation=19894247395,NA,NA,NA,NA,NA,#704072195,Apple,iPhone 7 Plus,Griffin,Survivor Clear,Protectora,TPU/Policarbonato
202, Funda Silicone Case ® Original Apple iPhone 7 8 Y 7 8 Plus ,1149,NA,5,197,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PUNTO_+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-732878523-funda-silicone-case-original-apple-iphone-7-8-y-7-8-plus-_JM?searchVariation=25902388966,NA,NA,NA,NA,NA,#732878523,Apple,iPhone 7 iPhone 8 iPhone 7 plus iPhone 8 plus,Apple,SILICON CASE,case,Silicona
203, Funda Tpu iPhone 5 5s Se 6 6s 6plus 7 7plus 8 8plus X Xs Xr ,444,NA,13,137,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DH+CISCO,https://articulo.mercadolibre.com.ar/MLA-688030579-funda-tpu-iphone-5-5s-se-6-6s-6plus-7-7plus-8-8plus-x-xs-xr-_JM?searchVariation=25052370174,NA,NA,NA,NA,NA,#688030579,Apple,Iphone,Soul,TPU,NA,Silicona
204, Funda Ipaky 360 + Vidrio P/ iPhone 678 Plus +envio+cuotas ,617,740,5,89,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-765237932-funda-ipaky-360-vidrio-p-iphone-678-plus-enviocuotas-_JM?searchVariation=31717938187,NA,NA,NA,NA,NA,#765237932,Apple,IPHONE,IPAKY,360°,Plastico Duro,TPU/Policarbonato
205, Funda Licencia Original Disney iPhone 8 7 / iPhone 8 Plus 7+ ,269,NA,25,186,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIENDA+CONTROL,https://articulo.mercadolibre.com.ar/MLA-727864694-funda-licencia-original-disney-iphone-8-7-iphone-8-plus-7-_JM,NA,NA,NA,NA,NA,#727864694,Apple,IPHONE 8/7 o 8/7 PLUS,TPU + PC,Disney,CARCASA TRASERA,Silicona
206, Funda iPhone 7 iPhone 8 Cuero Leather Case 15 Colores Belgra ,499,NA,127,927,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,3,https://perfil.mercadolibre.com.ar/APPLEHELPP,https://articulo.mercadolibre.com.ar/MLA-646235229-funda-iphone-7-iphone-8-cuero-leather-case-15-colores-belgra-_JM,2,0,1,0,0,#646235229,Para iPhone,Para iPhone,Para iPhone,Para iPhone,Cuero,Cuero
207, Funda Ultra Fina Tpu Transparente P/ iPhone 7 / iPhone 8 ,99,NA,74,9,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,5,https://perfil.mercadolibre.com.ar/BG+ELECTRONICA,https://articulo.mercadolibre.com.ar/MLA-637003572-funda-ultra-fina-tpu-transparente-p-iphone-7-iphone-8-_JM?searchVariation=32317905560,3,2,0,0,0,#637003572,Apple,IPHONE 7 IPHONE 8,Soul,TPU,silicona,TPU/Policarbonato
208, Funda Spigen iPhone 8 Plus 7 Plus Ultra Hybrid 2 Cristal Cle ,1399,NA,111,47,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,8,https://perfil.mercadolibre.com.ar/ORIGINALCASE+NET,https://articulo.mercadolibre.com.ar/MLA-689873835-funda-spigen-iphone-8-plus-7-plus-ultra-hybrid-2-cristal-cle-_JM,8,0,0,0,0,#689873835,Apple,iPhone 8 Plus 7 Plus,Spigen,ULTRA HYBRID 2 CRISTAL CLEAR,TPU / POLYCARBONATE PREMIUM,TPU/Policarbonato
209, Funda Speck Original Brillos Glitter iPhone 8 7 + Templado ,649,NA,8,12,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PUNTO_+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-702363211-funda-speck-original-brillos-glitter-iphone-8-7-templado-_JM,NA,NA,NA,NA,NA,#702363211,Apple,iPhone 8  7,Speck,Presidio Glitter,tpu,TPU/Policarbonato
210, Funda Tpu iPhone 5 5s Se 6 6s 6plus 7 7plus 8 8plus X Xs Xr ,123,NA,1,139,6 cuotas sin interés,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DH+CISCO,https://articulo.mercadolibre.com.ar/MLA-688030540-funda-tpu-iphone-5-5s-se-6-6s-6plus-7-7plus-8-8plus-x-xs-xr-_JM?searchVariation=25052244437,NA,NA,NA,NA,NA,#688030540,Apple,Iphone,Soul,Tpu,NA,Silicona
211, Fundas Cuero Original Apple iPhone 8 7 Plus Case 100%calif ,3499,NA,59,3,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PEDIDOS_Y_ENCARGUES,https://articulo.mercadolibre.com.ar/MLA-614652361-fundas-cuero-original-apple-iphone-8-7-plus-case-100calif-_JM?searchVariation=36808234723,NA,NA,NA,NA,NA,#614652361,Apple,8 7 Plus,Apple,Cuero,Original,Cuero
212, Funda Waterproof Sumergible iPhone X 7/8 Plus + Envio ,1075,1139,15,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,2,1,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-747975486-funda-waterproof-sumergible-iphone-x-78-plus-envio-_JM?searchVariation=36660403403,0,0,0,1,0,#747975486,Apple,iPhone 7 Plus; Iphone 8 Plus; Iphone 8; Iphone 7; Iphone X,Norcel,WATERPROOFT SLIM,SUMERGIBLE,TPU/Policarbonato
213, Funda Spigen ®100% Original Crystal Shell iPhone 8 ,680,NA,19,5,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/COSASLINDAS-,https://articulo.mercadolibre.com.ar/MLA-683830388-funda-spigen-100-original-crystal-shell-iphone-8-_JM,1,0,0,0,0,#683830388,Apple,Iphone 8,Spigen,Crystal Shell,NA,Silicona
214, Funda iPhone 8 Plus / 7 Plus Alcantara Cuero + Templado 5d ,999,NA,5,994,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CRAZYSTATION,https://articulo.mercadolibre.com.ar/MLA-698477099-funda-iphone-8-plus-7-plus-alcantara-cuero-templado-5d-_JM,NA,NA,NA,NA,NA,#698477099,Apple,8 PLUS / 7 PLUS,Apple,8 Plus,Bumper,Cuero
215, Oferta! Funda Resistente Delgada iPhone 8 7 Baseus ,275,NA,29,148,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TIENDA+CONTROL,https://articulo.mercadolibre.com.ar/MLA-680685915-oferta-funda-resistente-delgada-iphone-8-7-baseus-_JM,1,0,0,0,0,#680685915,Apple,7 Plus,Baseus,Plaid Case,Trasera Ultrafina,TPU/Policarbonato
216, Funda Tipo Rugged Armor Carbono iPhone 7/8 + Templado + Env ,579,NA,7,94,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DREAMDIGITAL,https://articulo.mercadolibre.com.ar/MLA-696087011-funda-tipo-rugged-armor-carbono-iphone-78-templado-env-_JM?searchVariation=33584741907,NA,NA,NA,NA,NA,#696087011,Apple,Iphone 8 / 7,Rugged Armor,Rugged Armor,Flexible,TPU/Policarbonato
