search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1467, Audifonos Lg Tone Studio Hbs-w120 ,410,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JCESARCS10,https://articulo.mercadolibre.com.pe/MPE-432091655-audifonos-edifier-w855bt-bluetooth-nfc-sellado-_JM,NA,NA,NA,NA,NA,#432091655,Edifier,W855BT,NA
1468," Audifonos Edifier W855bt, Bluetooth, Nfc. Sellado ",285,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437055797-auriculares-inalambricos-chisana-c1l-auriculares-blueto-_JM,NA,NA,NA,NA,NA,#437055797,NA,NA,NA
1469, Auriculares Inalámbricos Chisana C1l - Auriculares Blueto ,169,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,81,http://perfil.mercadolibre.com.pe/CARLOSAVENDANO15,https://articulo.mercadolibre.com.pe/MPE-436484570-xiaomi-redmi-airdots-audifonos-redmi-note-6-pocophone-mi-8-_JM,55,22,4,0,0,#436484570,Xiaomi,AirDots,In-ear
1470, Xiaomi Redmi Airdots Audifonos Redmi Note 6 Pocophone Mi 8 ,195,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MYJ+C%C3%81NEPANEGOCIOS,https://articulo.mercadolibre.com.pe/MPE-429354043-audifonos-sony-bluetooth-c400-wireless-_JM,NA,NA,NA,NA,NA,#429354043,Sony,NA,NA
1471, Audifonos Sony Bluetooth C400 Wireless ,140,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROSE_2019,https://articulo.mercadolibre.com.pe/MPE-436770110-audifonos-i13-de-ipohone-color-blanco-inalambricos--_JM,NA,NA,NA,NA,NA,#436770110,Apple,NA,NA
1472, Audifonos I13 De Ipohone Color Blanco Inalambricos !! ,405,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437195079-auriculares-inalambricos-con-bluetooth-para-motorola-xv-x-_JM,NA,NA,NA,NA,NA,#437195079,NA,NA,NA
1473, Auriculares Inalámbricos Con Bluetooth Para Motorola Xv X ,339,NA,"
			
				Nuevo
			
			
		",(30 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434095257-audifonos-skullcandy-hesh-3-bluetooth-premium-sound-wireless-_JM,NA,NA,NA,NA,NA,#434095257,Skullcandy Hesh 3,NA,NA
1474, Audifonos Skullcandy Hesh 3 Bluetooth Premium Sound Wireless ,164,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-434121432-gratis-audifono-bluetooth-41-philips-shb3075-bass-_JM,NA,NA,NA,NA,NA,#434121432,Philips,SHB3075,Over-ear
1475, Gratis!!! Audífono Bluetooth 4.1 Philips Shb3075 Bass+ ,184,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437251520-auriculares-inalambricos-bluetooth-s6-con-microfono-para-_JM,NA,NA,NA,NA,NA,#437251520,NA,NA,NA
1476, Auriculares Inalámbricos Bluetooth S6 Con Micrófono Para ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(98 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-431333674-auricular-deportivo-bluetooth-manos-libres-sportpro-sy-bt650-_JM,NA,NA,NA,NA,NA,#431333674,NA,NA,NA
1477, Auricular Deportivo Bluetooth Manos Libres Sportpro Sy-bt650 ,254,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437252120-soundpeats-auriculares-bluetooth-magneticos-inalambricos-_JM,NA,NA,NA,NA,NA,#437252120,NA,NA,NA
1478, Audifono Bluetooth Hansfree Universal Music Itelsistem ,39,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-432496141-audifono-bluetooth-hansfree-universal-music-itelsistem-_JM,NA,NA,NA,NA,NA,#432496141,NA,NA,NA
1479, Audifono Auricular Collar Bluetooth Music Hands Free Hbs 730 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PABLOCINVERSIONES,https://articulo.mercadolibre.com.pe/MPE-430626470-audifono-auricular-collar-bluetooth-music-hands-free-hbs-730-_JM,NA,NA,NA,NA,NA,#430626470,NA,NA,NA
1480, Audífonos Xt-6 Bluetooth Imantados ,48,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SCREAMTECH,https://articulo.mercadolibre.com.pe/MPE-431602184-audifonos-xt-6-bluetooth-imantados-_JM,NA,NA,NA,NA,NA,#431602184,NA,NA,NA
1481, Audifonos Mini 503 Bluetooth+radiofm+puerto Sd ,50,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DAKSHOP,https://articulo.mercadolibre.com.pe/MPE-435203032-audifonos-mini-503-bluetoothradiofmpuerto-sd-_JM,NA,NA,NA,NA,NA,#435203032,NA,NA,NA
1482, Audifono Bluetooth Inalambrico ,29,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PETMET12,https://articulo.mercadolibre.com.pe/MPE-425681728-audifono-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#425681728,NA,NA,NA
1483, Gratis!!! Audífono Jbl E45bt Harman 16 Horas Bluetooth ,299,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435636929-gratis-audifono-jbl-e45bt-harman-16-horas-bluetooth-_JM,NA,NA,NA,NA,NA,#435636929,JBL,E45BT,NA
1484, Ifrogz Audio - Impulse Duo - Auriculares Bluetooth Dual D ,249,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433380032-ifrogz-audio-impulse-duo-auriculares-bluetooth-dual-d-_JM,NA,NA,NA,NA,NA,#433380032,iFrogz,NA,NA
1485, Bluetooth Stereo Headset Auriculares Inalambrico Bluetooth ,49,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VPSOLUCIONESINFORMATICASSAC,https://articulo.mercadolibre.com.pe/MPE-433722164-bluetooth-stereo-headset-auriculares-inalambrico-bluetooth-_JM,NA,NA,NA,NA,NA,#433722164,NA,NA,NA
1486, Audífonos Bluetooth Inalambricos Mini I9s Android & Apple ,100,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAVE1225614,https://articulo.mercadolibre.com.pe/MPE-436061394-audifonos-bluetooth-inalambricos-mini-i9s-android-apple-_JM,NA,NA,NA,NA,NA,#436061394,Apple,NA,NA
1487, Otium Auriculares Bluetooth Magnetic Auriculares Inalámbr ,234,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-434082549-otium-auriculares-bluetooth-magnetic-auriculares-inalambr-_JM,NA,NA,NA,NA,NA,#434082549,Otium,NA,NA
1488, Audifonos Bluetooth Deportivo 5 Horas De Musica Envio Gratis ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOLUMATICA+IMPORT,https://articulo.mercadolibre.com.pe/MPE-424388096-audifonos-bluetooth-deportivo-5-horas-de-musica-envio-gratis-_JM,NA,NA,NA,NA,NA,#424388096,NA,NA,NA
1489, Audifonos Tws I7 Bluetooth Estereo ,50,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RUBENMOSTAJOH,https://articulo.mercadolibre.com.pe/MPE-434975855-audifonos-tws-i7-bluetooth-estereo-_JM,NA,NA,NA,NA,NA,#434975855,NA,NA,NA
