search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Peso
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,"
			
			
				
				1584
				vendidos
			
		",(91 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3942
		
		 sin intereses
		
	

	
		",42,NA,Envío gratis,NA,NA,4.5,64,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,8,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,252,284,"
			
			
				
				980
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2490
		
		 sin intereses
		
	

	
		",90,NA,Envío gratis,NA,NA,4.3,61,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,35,14,8,2,2,#591638162,Taurus,Minos,Taurus Minos,Planos,1,Láminas,Recargable,45,45 m,0.14 kg
3, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1412
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,NA,NA,4.8,83,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,71,9,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA,NA
4, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,269,299,"
			
				Nuevo
			
			
				
					 - 
				
				263
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1500
		
		 sin intereses
		
	

	
		",00,NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,NA,NA,NA,NA,NA,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,799,899,"
			
			
				
				668
				vendidos
			
		",(361 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7893
		
		 sin intereses
		
	

	
		",93,NA,Envío gratis,NA,NA,4.9,16,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,15,1,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h,NA
6, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,279,442,"
			
				Nuevo
			
			
				
					 - 
				
				371
				vendidos
			
		",(383 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1556
		
		 sin intereses
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.6,10,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,7,2,1,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
7, Rasuradora Recargable Portatil 4 Cabezales Pelo Y Barba Kit ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				238
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2756
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,NA,NA,4.4,8,https://perfil.mercadolibre.com.mx/IMPORTACIONES+ACAPULCO,https://articulo.mercadolibre.com.mx/MLM-657933483-rasuradora-recargable-portatil-4-cabezales-pelo-y-barba-kit-_JM,5,2,0,1,0,#657933483,etceo,rasuradora,etceo,Planos,4,Láminas,Recargable,40 min,8 h,NA
8, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,"1,279",NA,"
			
				Nuevo
			
			
				
					 - 
				
				113
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.com.mx/SALAG+M%C3%89XICO,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ygi5QdETRFY5jXWMp2DNSrCFdO4t462IgE5wwq99aQ0IOYuiCM6u17adcMHq1t4joZr3DzL7%2F3118Z8kaoTBOp3c1hK%2BLF5N1zqeLCEiBysRwsK1InQk3%2FPki5DErGuVDI2O%2F8%2FX6yQFBEZunPRfUfffkhTec32z9cX2dGFFb%2FN8D9aAazYZZX723qzmX3BjZTwp7e5CvQ9oqEMoehs3y9b6Gs62xm4DwpxP1oqZVuaMzlzgAlbc8PvXShiYRQF3tXyPIY8BpPow%2FXgBcC2ky2TSsuMXUotmrVNEsG3Gz6vHXuTWrak8n3U3bTcOOH7em1Taja7TAz2LgyHCEkvFZsm1ylXQn7Vp%2FSHvcp0RWHSEJqsMZkBl5H4UsqLL8iwaxYpayvOrUyTZD%2B2UBmo6ZdWqHSwErOHKNROIh1cu2BCE%2BTVNELAoXF%2BfPMzA1QdWrwwRxDhiRnUvp1CKANdRTXNGkhvvbFAAmQujtndAZrsC6Qwcp4v5P2Uh73GYDukfr4IG1ZxGGqpLeYmwU6MELIgXlg3n7Ku76ATzPIH8GXiFr2Mr5aSKVUufdfoONCWjxtoMBzba2HJkim0QmgnCRsnPTikangRq232MX%2BuaiadEnfmnJKKo3mWjik5HNIv7vqEwLlKYU2NIPACJhhL0BzVkxwkiqtm4WKNu8BS%2B3SNV1aiR8s3EMTrSLoE4fhNpfpKZ7jE03hgL2YeVG%2FgSqurRK2S3KMzheuvT1s0jid2lN1bZ0ihmLywhOq62bdUXdKyBzKfvqHXvw36RRHuL8JolVgSj3wCUT79BlxtKwyPDDBVswL5zEdJ9HUwmGhrS9uQe1PVxoBXzstG%2BYbmxrZxRu6ov7VKqFLgGnXxN4u4pCzmVK%2BrQx06eKvzTEowcryptub1q6glx3Q3eEGv71zMIQhlrFZqGRSiyRxh%2FycSimDgx7e1qHoec9Q5v3bY1Lvv6DLAyfvOw2999tKxdv3ePo4aIBoBmbHRyehw0YAVZkycnlnEryGhUbS10rLkV72Hr59jCWc1z2wpuhWp79Z7%2BXPyPK8l56PVHfr%2B1g9dNvsXjI3i%2FF3mJMAuWQtrzNxKcaqL%2Fvn0%2F%2FWQgwenoqOyHsU21dvaaU657pmbboNSC6KNANWy3vG4px1y%2FyocqU8xrcCI1OmQYYmbPTk1ZHZB0LByh4bWzQRAT0wjpPDgzlMxqVLiweVOePR%2B2eR87CGsQXJ67bEZZATe6%2Fn3irACJT6eFMKh7DQtXgpqajfMnTwSMvsZ%2FucfOY1WFqO%2F%2FaMn4gnQHAqzELQq%2BR5hA8Z47jSbagVsEC0GXElM3PL4Vmn3koZAiHY647EHf9KB7ygvQrGdkaaROHp3PjUkGKXEkZzSAZLih9cSfp8nMeXSdVAh519mzKu8XKyIrN6EdFFR%2Bw38e%2BXnCDHLDJKhgE9ZmpomhgxjFEwDI7L6e9oM1JtlDATqpWAjm3qQ9hA9qfoMawSWFKFOGhkEYn6rTpanHolzaaFVMaaQrXYby3B6new4obnpiec6V4J7hkG5ck%2BaLbEOSL1te6z33JRbOkCWU54Lz7RC9x5Uf6O5DzRtk9n6OYXFbdiKwnuRcdJyFdiQ%3D,NA,NA,NA,NA,NA,#643641170,Wahl,5-Star,Shaver,Removibles,1,Rotativo,Recargable,3 HORAS,50 m,NA
9, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,780,NA,"
			
			
				
				115
				vendidos
			
		",(33 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7706
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis,NA,NA,4.7,9,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,7,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h,NA
10, Rasuradora Electrica Remington Cortadora Cabello Vello 9pzas ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,NA,NA,2.7,3,https://perfil.mercadolibre.com.mx/MALU8988452,https://articulo.mercadolibre.com.mx/MLM-664802590-micro-rasuradora-maquina-barba-_JM,1,0,0,1,1,#664802590,universl,barba,micro rasuradora,Planos,NA,NA,Eléctrica,electrico,NA,64 g
