search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Peso
1190, Cortabarba Afeitadora Philips Bt9280 Recargable 17 Posicion ,3999,NA,18,888,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,19,https://perfil.mercadolibre.com.ar/TRES+MARES,https://articulo.mercadolibre.com.ar/MLA-611595503-cortabarba-afeitadora-philips-bt9280-recargable-17-posicion-_JM,8,6,3,2,0,#611595503,Philips,BT9280,Beartrimmer,BT9280/32,NA,NA,60 min,1,NA
1191, Afeitadora Braun Mg5050 Multifunción ,2710,NA,0,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,13,https://perfil.mercadolibre.com.ar/ESTEBANTABLADA,https://articulo.mercadolibre.com.ar/MLA-776997063-afeitadora-braun-mg5050-multifuncion-_JM,10,2,1,0,0,#776997063,Braun,MG5050,MULTIGROOMER,NA,Corriente directa,NA,NA,NA,NA
1192, Maquina Afeitar Corta Barba Patillas Electrica Recargable ,590,NA,0,5,12 cuotas,NA,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-777510295-maquina-afeitar-corta-barba-patillas-electrica-recargable-_JM,NA,NA,NA,NA,NA,#777510295,Yoko,NA,NA,NA,NA,NA,NA,NA,NA
1193, Máquina Afeitadora Babyliss Profesional Doble Foil Fx02 ,7990,NA,1,1000,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/NEWPLAMIER,https://articulo.mercadolibre.com.ar/MLA-759291548-maquina-afeitadora-babyliss-profesional-doble-foil-fx02-_JM,1,0,0,0,0,#759291548,BaByliss,FOILFX02,BabylissPro,NA,220v,Flexibles,3 Horas,NA,NA
1194, Afeitadora Panasonic Er 2403x Para Vello Facial ,1199,NA,0,25,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELENADIFUSION,https://articulo.mercadolibre.com.ar/MLA-661254240-afeitadora-panasonic-er-2403x-para-vello-facial-_JM,NA,NA,NA,NA,NA,#661254240,Panasonic,ER-2403X,Panasonic,NA,Corriente directa,0,60,NA,NA
1195, Cortabarba Ducati By Imetec Gk 818 Race ,2619,NA,8,4,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,2,https://perfil.mercadolibre.com.ar/ALESTEBRANDML,https://articulo.mercadolibre.com.ar/MLA-722729862-cortabarba-ducati-by-imetec-gk-818-race-_JM,1,1,0,0,0,#722729862,Imetec,GK 818,Ducati,NA,Batería,NA,NA,NA,NA
1196, Mini Afeitadora Eléctrica Recargable Portátil De Viaje Mike ,4099,NA,0,5,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MIKECOMUNICACION,https://articulo.mercadolibre.com.ar/MLA-765601167-mini-afeitadora-electrica-recargable-portatil-de-viaje-mike-_JM,NA,NA,NA,NA,NA,#765601167,Xiaomi,MJTXD01XM,Mijia,NA,Batería,NA,NA,NA,100 g
1197, Afeitadora Eléctrica Gama Gsh895 Inalambrica Lhconfort ,1999,NA,0,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/LHCONFORT,https://articulo.mercadolibre.com.ar/MLA-676779805-afeitadora-electrica-gama-gsh895-inalambrica-lhconfort-_JM,NA,NA,NA,NA,NA,#676779805,GA.MA,GSH 895,Shavers,NA,Corriente directa,Giratorios,45min,NA,NA
1198, Afeitadora Braun Serie 1 130s1n Smart Foil Cuotas ,2578,NA,5,13,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,18,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-732896876-afeitadora-braun-serie-1-130s1n-smart-foil-cuotas-_JM,11,2,3,0,2,#732896876,Braun,130S1n,Series 1,NA,220V,Pivotantes,45,NA,NA
1199, Foil Braun 5001-736 Series ,500,NA,0,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TORDILLOGOMEZ,https://articulo.mercadolibre.com.ar/MLA-755622463-foil-braun-5001-736-series-_JM,NA,NA,NA,NA,NA,#755622463,Braun,5410 957,410,NA,NA,NA,NA,NA,NA
