search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Peso
1, Afeitadora Eléctrica Fading Shaving Teknikpro ,1790,2750,367,63,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,76,https://perfil.mercadolibre.com.ar/-LASMARGARITAS-?brandId=100,https://articulo.mercadolibre.com.ar/MLA-684054385-afeitadora-electrica-fading-shaving-teknikpro-_JM,46,19,5,3,3,#684054385,Teknikpro,Fading & Shaving,NA,NA,NA,NA,NA,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,1927,73,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,295,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,218,71,4,1,1,#687451947,Philips,MG5730/15,Multigroom series 5000,MG5730/15,220v,Planos,80,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2199,NA,2352,109,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,182,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,134,43,4,0,1,#729119308,Philips,MG5730/15,Series 5000,MG5730/15,220v,Planos,80,NA,NA
4, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,3799,NA,614,23,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,208,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,137,55,13,0,3,#728426848,Philips,S5070/02,AquaTouch,S5070/02,220v,NA,40 M,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,609,78,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,36,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,26,10,0,0,0,#740807251,Philips,Multigroom,Series 3000,MG3730,220v,Planos,60 M,NA,NA
6, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1389,NA,3963,2,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,440,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,276,123,29,6,6,#618507579,GA.MA,GC 545,NA,NA,NA,NA,NA,NA,NA
7, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3059,NA,63,43,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,29,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,20,8,1,0,0,#624059346,GA.MA Italy,GCX 685,AFEITADORA,NA,NA,NA,NA,NA,NA
8, Gillette Afeitadora Electrica Fusion Proglide Styler 3 En 1 ,1064,NA,4,6,12 cuotas,NA,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/FARMA365,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=hzEoLk5g8Rb23Pf4fHJoEqUYqwgtb6jW1rf7QB7AxJwkvAJ26QpkUDI%2BP%2F0d9zHtNzYk3FH%2B2ExlLfMcss%2B3W3DxMIn3BSw3%2FsOxZ8eGu070Zv5Zzz2seDZAyagpBiQBX64vomab3B8qCYa40UbsUqkrT06%2BxEBVfstoSMebXHYNEMxwVYzR7KHE9aJ6fNf57%2FBGHPVFsqGwL%2FDYVecUKqwpi7vzDOj0R8kJYvTeDv4QH8Ug%2BSvHjwJRQYm%2FXXA98783la3PM56Sw1RYU34Mzpv63l8Tn%2FfWEN9NfPo1hQ2uuCw97dt6YB%2FYe%2FVK4Hhaejuu6CIMsShJ4%2Fd5IMmlKUfCY0WGr39kgpdeQ98KxD6bI%2BjCBKnaD%2BlQUftxwh7H7hJcaec08%2FlKM1gfm2qbAngQ0Ii%2BP%2B0KoIJ1z9AuTM1vIN03E5jyz7JYx1q9uBuMnGIYc3RyuCDl%2FX4Butz1X3jS6rVLqh78l2dRjNY11QWl3Z9O%2FqrOG5cRlr59P%2FW0%2BvDq2v0O8mfCS8KxOQoVT%2FgB8elqr4rg4wIpuj%2B7dmk4BKClHKDLZnMkE24QOFkPTvxW28CR73ZP3scKBPt%2BlS9sf9UzUNZocMFdNuOsqAFccsLDLah8alr0PVQdBVK8IU%2B0No%2FAF61wo4ykuRzq5m48bTWNOhqPedRAiqtC6Xe98kyL2BhYxHRhzD8VHjfJJzGqnOtpnsi6vpb%2FLutsLr%2BcpVs9s8FSSitAybR1OTsf6Sfup7KbSt8Xbfq7AlUVOhuTERRbU9nPxi754o8TI7Co3KpvlEW3kpdx2ifdBI8XPc3piPODSFmLqZ3gWzhi2X%2F%2FYXBPogfQfjgov5ArfW%2FOMQSwKSKM8Tqbr1Ln1qIhSGuqNPUTHr5cCzqUWPGDUasje5ST9UmNUQTocJwI5xPh%2BWSGAqUuVa%2B68Gus2TQrku5o0g0l68wg5frv%2FlY83miWiOUvzIAtJCKQGiSR76zZLMIDoh08ZnHJeR6uIPEd%2FnwnzI%2B5Cxkl8T2Iu2EiRNNMtqwsZJ2oYjazef6HckdXqV82gs%2FIkYGQU7jQCGfZkd7RYNdhjTR%2BIuvClNbD5a%2F0n5Ha4TqptdC9of0ACgJAYqN%2FQSrgWm17uWBBm22z7C38TujUK4SJRzQwZICe0gvpdRl0f2WBSoKmmLCu2jBNdKhZdN%2F3bjp3sdLpeVtMr1NWrfb8%2Fs8c%2Fs5REHcOGa6oY0p6Y2VtozWTp8k%2BnLMm5kYSPCHScDsqNswKR3dwe6E3%2Frqs3C8%2BveX3baexPbubVAwJOADgCsxtTVHSvxIjHf65xOu6OJfOKDGtaJPN24uGRf%2F7vfvhk8ynFQVvd3Ql6PQNc011t9QyXRpAt%2Fo4gmM6o5ZuqRv5xNbbEzBScpKTuWfNwWX46OQXVQC1pjX3aow4tRzSskxqp1yQ0CKRhAi5kfsx98yHs6pDLkJwad4Af%2F7l1A0cpViejPpHqY%2FtVt8Qw1Nq4yAVpKeDwAtET160VPh3iULzSRDw%2FkwoUGXdqmUjbSXCCb0WHOg4GYvKvW82JT37JmoFyxNXLAYFanIUmQk0SyrExyfv0RMZXE2%2B1GKhXYeL39RR0ygbdI%2BtXz8oGg%3D%3D,NA,NA,NA,NA,NA,#788831986,GILLETE,NA,NA,NA,NA,NA,NA,NA,NA
9, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2299,NA,361,39,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,67,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,39,22,5,1,0,#739507858,Philips,BG3005/15,Series 3000,BG3005/15,220v,Planos,40M,NA,NA
10, Afeitadora Recortador De Barba Phillips One Blade ,1199,NA,618,29,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,63,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,50,8,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,NA,NA,30 minutos,NA,NA
11, Afeitadora Electrica Cortadora Barba Philips One Blade 2510 ,1900,NA,47,16,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-594545386-afeitadora-electrica-cortadora-barba-philips-one-blade-2510-_JM,1,0,0,0,0,#594545386,Philips,QP2510/10,Afeitadora,NA,NA,NA,NA,NA,NA
12, Afeitadora Philips Aquatouch S1030/04 ,1799,NA,828,41,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,533,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,357,120,35,13,8,#729696881,Philips,S1030/04,AquaTouch,S1030/04,220v,Flexibles,45 M,NA,NA
13, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,1790,2740,393,53,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,29,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,21,7,1,0,0,#741917410,Teknikpro,Fading & Shaving,Barber,NA,Batería,NA,40 minutos,NA,NA
14, Philips Aquatouch S1030 Maq Afe ,1799,NA,0,20,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/SANTA-ANA+FARMA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1F3OANHmjhy6qaVtC9YseT4L7pc%2FnP%2BlKWRhHTk4IQct8QUniTL1iiaTRFo7x9N%2F1ksMQINsoTieiLf0xXIgOphrGq5oe9Te%2BtfWWyXEJ9Lur5RvPoclBT47DGKkOmsS%2B3uNvmayMCdoxbv2%2FvPC756b9BmttOFycY8tf3M9kzpkzWBrDfiFkftrnin49OjQsjn9b9zNAQxQuPXdSiWEiZrL2i5gzhpKQqKOMqHJZpwQP1xaBzXD7O070vhFA35XT82%2FblNJ0kwy0h%2BjJgL%2Bcu2LdYZ2CQScOUkCGHek9zvZ5gnAdD%2Br1CN60hhGBIKV910DnpVMINdhBs5QZWeNXjOv5PZswBXVQN0XmSdd%2BTSSK7pd35zdy%2BubN%2F%2Ft6jugqaGPV3fnm9B0SaYRv07Jwl24ndPYq9ahrSUfNfOkX1GPLVITqKh%2FLCgqv%2F19hGRvdMW%2BGYWyxklb9PljbQEG25m6yh3jbw4RY9SjiEoKFPJZj8vHtHbRB4BVHNN0s8YixQ%2FOJtMNDudmPzksm3KbFLeRqv0YNJMcynchcWeGZcKtskawjlcB8qDN1q4CkwLuOLYb3k692mTk0A9MHcXGGjShS67PBDhDblj9GdcPoDK05wtILF4%2Fa9wChKlacofpJwcCzcnqFhkRHHlwNS9Vp0tfg0DhXoTYhTlbNvazlRFNxHmIIloSxseUg9xFPFHCbotkdSYQnB1X2C7U3Kun6D7Xg4GdMALnWc%2FX1t6D4r1RkOjcMOtsWeJy0hi45Eh1RnxJcRVaKpaG1fzODg6FQyCzmJyUcVa22AGOZcy%2FQYCzIlqi%2FknvbtPFWdLxzB%2Bgi5UWUob3VPTp9LUL5%2BhvxGizAsxQeYF3SZ9YwC3cfhy9jz7PVdRXSz%2BzdGd04r%2Bf2M6lx9jOLqo2NkOLSBndn2hnALb%2F%2FQMDExFGqKBz6oV8n8%2F8CxBmvae3tVzpoDnwrRRGXjK53gmVVgfa7Z%2BAqdsg1zzJ%2FToTeMVyozAq5L7HA8HUNyu3wK2qhI0qaOgRU146xaQuk39vPvwwDvbytVXeEBOr2YCHa1k2ic1hwcQrpQuVHp4oTTdl3aPWOoNL3Ffgtqjob2%2BaGKcILEONXKSeMq2dU2ZKmUvtqbuUhFYbySeo%2BBrR3z9286AUI%2B4JmJsp5MjSX4gtR2Trj38zKxrHjtuet0LCaW0s%2BeKRlHbUmKsgKCQzIQL6CUm1xTmT69PQbsUmOqlVymuFjCeA%2BOaTF49zk%2BpnZRQybeuivGOvJr5U5FVL84%2BRNqgqshvsK4KCHJ4fTeJygTCu6z6ErVncfKWS6yg4rhvN3NKFBHW7GF9ipdPXXXNz2Zp1xV71tKJKvymOy01NVv4AW1HME%2FWKQVdLCKQ1z8M3%2Bi0om5ijigyGhLWe%2Bx3qcwE2uYAb9MobaJiQEYelB271nBQOKdTPvdBNDhhUIFfaR%2F76t2lBv9RrCLLHfOO7lyi4MVa1EF9iXS0pwPlO541rJoFTe9N4WHPDCFz66zP8L%2BhTAdzlsgvCZt4g4It1FfvhJkp2QcqVqSTfj9Kh9iYgRgZ0LubSGd3PQyx9sFrgSg%3D%3D,NA,NA,NA,NA,NA,#794748457,NA,NA,NA,NA,NA,NA,NA,NA,NA
15, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,2950,NA,3,97,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,88,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM,61,16,6,2,3,#756788500,GA.MA Italy,GT 555,NA,NA,NA,NA,NA,NA,NA
16, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1899,2299,155,39,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,8,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM,5,3,0,0,0,#788821630,Philips,QP2526/10,OneBlade,QP2526/10,100-240v,Planos,NA,NA,NA
17, Recortador De Barba Philips Oneblade Qp2510/10 ,1199,NA,1679,48,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,236,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694466683-recortador-de-barba-philips-oneblade-qp251010-_JM,169,49,11,3,4,#694466683,Philips,QP2510/10,OneBlade,QP2510,Batería,Plano,30 m,1,NA
18, Maquina Afeitadora Electrica Profesional Finale Whal ,5990,NA,1,NA,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DISTRIBELLEZA.COM,https://articulo.mercadolibre.com.ar/MLA-736947110-maquina-afeitadora-electrica-profesional-finale-whal-_JM,NA,NA,NA,NA,NA,#736947110,Wahl,Finale,NA,NA,NA,NA,NA,NA,NA
19, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,2549,NA,378,51,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,46,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM,42,4,0,0,0,#614330177,Braun,32/S,Series 3,NA,NA,Flexibles,NA,NA,NA
20, Phillips One Blade Qp2510/10 Afeitadora Recortador De Barba ,1299,NA,1,500,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,236,https://perfil.mercadolibre.com.ar/SANTA-ANA+FARMA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=wB2NMPHjtYu7lH0yOApz71fTY6DHHIeD%2B5DSqOOdUjsoNTxcjP16HVqCyAQKoPG3KFC6kQh84BcKqPM%2FbyVgPPipiL9RwJDTdSIDoYChuhc9HzLOXfzX1ayQd9h13nVN4dyMeMSrQTifkOOpEH%2BpR%2BdPGcx0Wffp5PmzxYyQCBnHrIef%2F40UNnwhIzwM7qJA4YLh75gbD3b407Sv44ckUsiR7KA7tuUDjz3V8%2FjZAEjWkzWih58i1nQPZygF0Cdkgl41d1%2FMkPeX4TUkUVCeeqGCUSawoF7HQnGqHKk2Bt3hDMZyb1GdoN4Lw9q9TN%2BP0KUg8%2BMGVi0tHGR0hjVRrWqq5cbEZYB8EyBSW959dCKvcmTELNsfk%2FnA8%2FjbYmOUnOALSJQdKdaXBp4nPuhYUMpy4lqGahh%2BCb0hfwhgNUe5U8a%2BFKCeGXUSuzI%2Fuuw8NE3L4YKA0CkS3pEsOFwND2dlyyImd6dsCgtcm9TEx%2Fi9Aw17lNZTZVojQEabOZal8bcmQqpJ1i04oAc42PuMAjztqAZfWPSGfE8UmQ%2BLJUTllGVLBQssrAFZaKBHcWJpPRrZTcYTdQEpY3qzxI5Y%2BrIkdDpudOz3J6zyq5%2BSyIffcmT9K2gWA6b%2Bd6d7bcihsEHbEOj5H%2BOWAkpIZJndn6ExlVmIvBXxAbGrVUuLWj326mMNCdYkZdI5zEwWPr0j%2BZUDBydmV%2B3dSTZdSSDXy%2FC7jVYne0H9b64zLuuMjRCR6lk%2F%2FLHvUVaxWX5nXosFBos7faeqQMMgAKhaodVbseSG39Fd1PcJE0RZrRW7VC7xq2CGpzJQPC0FMg5luivIKtY9fMqer27gRn0u%2FOy1TXqGc16v5ESaAKyiQuoJpG8bFiKlKheSChI0STRFV5OA8%2BK2McXjbDsBqWEgyECsMTKMQZXnK74mQi%2FR2E9gDYV6OIWQ6ZxnA3cZi6Qc%2F1k3vyFTi7WD56u%2FSh%2BXDUbvWzFoEaOhtBRPFiUJad69KrSlB2TVZeE33vkQDzqTrQ5sL1JUtVvCJzkbLyqlh%2B3OJtvZgxL7bdZ7PWtbsa4FE2GWfoDHTQLus9VRg0oiolxaFaUqXW1%2FBpmvCr9Wp9%2F2Azhm6Np09KZPwv4zQrWXVDXyH1pcfLgNVB0zsSlCS0f6OVIpWh5HWbwiWTZl7evaL%2BAN7lWadiD%2FhysTYwAD0v7NHzA45YtNUf0J7KkycNYANh6SvnnAoLfMdAFd2RaiEug48hwUDTJFjJLpytvtox%2FLFSFfStPz%2FEAU33q8p4MmG9qZ1KR9vKyeJI%2BpnVzGnaQ519Fg1glRd6DP57BPWuWmHvWN2kiIxRW6U8SF7ExNjP0SCSsIusEDE0e3R81TAo%2Bc6VnvP6I%2F2yDcsDeowiMGGNBvVnLakjEzEFDljag8JliZwifp2wYK5PvSm8We9aW0Bx8o96P03R8EXsRte9uiRDo97dzhkhGaOWACnGSY%2FL5lk5BrLR7z9HsHT9Fg0STI7a4YrZLOvHt%2FQqR5sv8KLt7KD05oWk0zKKY1264GiwI3Gba%2BigCSMEk9BfnuP3tciG34DrwDpNoy%2BrAGKiCHB61%2BZspk0vHPmvEH8djQo5Bkk2fBpQ%3D%3D,169,49,11,3,4,#788036643,Philips,QP2510/10,OneBlade,NA,Batería,Planos,NA,NA,NA
21, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,10899,NA,223,7,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,143,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-617927378-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM,108,29,3,2,1,#617927378,Braun,7840s Wet&Dry,Series 7,NA,Batería,Flexibles,50 minutos,NA,400 g
22, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1650,NA,26,4,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TOMASSA+ONLINE?brandId=1449,https://articulo.mercadolibre.com.ar/MLA-749275441-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,1,0,0,0,0,#749275441,GA.MA,GM 560,NA,NA,NA,NA,NA,NA,NA
23, Set De Afeitado Multifunción Braun 9 En 1 Braun Mgk3080 ,2299,3999,221,663,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,25,https://perfil.mercadolibre.com.ar/NEW-VENTURES?brandId=642,https://articulo.mercadolibre.com.ar/MLA-752502673-set-de-afeitado-multifuncion-braun-9-en-1-braun-mgk3080-_JM,22,2,1,0,0,#752502673,Braun,MGK3080,NA,NA,NA,NA,60 m,NA,NA
24, Afeitadora Remington Bht1000 Bodygroom Cortadora Corporal ,799,NA,493,156,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,124,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-614373794-afeitadora-remington-bht1000-bodygroom-cortadora-corporal-_JM,80,33,9,1,1,#614373794,Remington,BHT1000,Bodygroom,NA,Batería,Flexibles,30 minutos,NA,NA
25, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1199,NA,5,19,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,1,1,https://perfil.mercadolibre.com.ar/PPSTOREPEPPERSRL,https://articulo.mercadolibre.com.ar/MLA-737092131-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,0,0,0,0,1,#737092131,GA.MA,GC 545,NA,NA,NA,NA,NA,NA,NA
26, Maquina Afeitadora Profesional Wahl Finale Lithium Ion ,5590,6250,72,6,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,43,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-713758106-maquina-afeitadora-profesional-wahl-finale-lithium-ion-_JM,26,11,4,1,1,#713758106,Wahl,Finale,5-Star,NA,Batería,Planos,Inalambrico,NA,NA
27, Cortabarba Multigroom Philips Mg7730/15 ,3599,NA,1134,53,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,157,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-690160611-cortabarba-multigroom-philips-mg773015-_JM,119,35,3,0,0,#690160611,Philips,MG7730/15,Series 7000,MG7730/15,220v,Planos,120,NA,NA
28, Maquina Corta Pelo Barba Electrica Patilla Afeitadora Padre ,800,NA,12,100,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,219,https://perfil.mercadolibre.com.ar/ELECTRO+GO,https://articulo.mercadolibre.com.ar/MLA-718564652-maquina-corta-pelo-barba-electrica-patilla-afeitadora-padre-_JM,117,51,32,8,11,#718564652,Oryx,CP1012,NA,NA,NA,NA,NA,NA,NA
29, Afeitadora Razor Shaver Andis Profoil Lithium ,5900,NA,191,34,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,10,https://perfil.mercadolibre.com.ar/E-SHOP+PELUQ,https://articulo.mercadolibre.com.ar/MLA-674516231-afeitadora-razor-shaver-andis-profoil-lithium-_JM,10,0,0,0,0,#674516231,Andis,Pro Foil,ProFoil,NA,220v,Ergónomicos,80 min,NA,140 g
30, Cortabarba Y Cortacabello Philips Mg3730 Kit Profesional ,1699,NA,1617,76,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,41,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747798332-cortabarba-y-cortacabello-philips-mg3730-kit-profesional-_JM,24,15,2,0,0,#747798332,Philips,MG3730/15,3000,MG3730/15,220,Planos,60 min,NA,400 g
31, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1199,NA,2,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,440,https://perfil.mercadolibre.com.ar/GAONA+NEXT,https://articulo.mercadolibre.com.ar/MLA-740289123-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,276,123,29,6,6,#740289123,GA.MA Italy,545,NA,NA,NA,NA,NA,NA,NA
32, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,1799,NA,3862,105,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,763,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM,575,130,42,6,10,#694476063,Philips,QP2521/10,OneBlade,QP2521/10,Batería,Planos,45 m,1,NA
33, Afeitadora Philips S1030/04 ,1699,NA,821,28,12 cuotas,NA,NA,Retiro gratis en local de Frávega,NA,NA,4.5,533,https://perfil.mercadolibre.com.ar/FRAVEGA?brandId=229,https://articulo.mercadolibre.com.ar/MLA-725232886-afeitadora-philips-s103004-_JM,357,120,35,13,8,#725232886,Philips,S1030/04,AquaTouch,S1030/04,NA,NA,45 minutos,NA,NA
34, Corta Pelo Barba Electrica Patilla Afeitadora Dia Del Padre ,680,NA,7,98,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,219,https://perfil.mercadolibre.com.ar/ELECTRO+GO,https://articulo.mercadolibre.com.ar/MLA-731860110-corta-pelo-barba-electrica-patilla-afeitadora-dia-del-padre-_JM,117,51,32,8,11,#731860110,Oryx,CP1012,NA,NA,NA,NA,NA,NA,NA
35, Maquina De Cortar Pelo Y Cortabarba Bodygroom Philips Mg7730 ,2999,NA,557,488,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,15,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747481161-maquina-de-cortar-pelo-y-cortabarba-bodygroom-philips-mg7730-_JM,11,3,1,0,0,#747481161,Philips,Multigroom,NA,MG7730/15,Batería,Planos,120 MIN,NA,NA
36," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",999,NA,360,3,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,19,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-733195547-recortador-philips-para-nariz-orejas-cejas-nt316010-_JM,12,4,3,0,0,#733195547,Philips,Nosetrimmer,Series 3000,NT3160/10,Pila,Giratorios,NA,NA,NA
37, Rasuradora Electrica Ga.ma Vello De Orejas Y Nariz Gnt 512 ,1799,NA,1,98,6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,66,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756889307-rasuradora-electrica-gama-vello-de-orejas-y-nariz-gnt-512-_JM,36,26,4,0,0,#756889307,GA.MA Italy,GNT 512,NA,NA,NA,NA,NA,NA,NA
38, Cortabarba Philips Mg7730/15 ,3090,NA,130,34,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,10,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-757903232-cortabarba-philips-mg773015-_JM,6,2,2,0,0,#757903232,Philips,MG7730/15,Series 7000,MG7730/15,NA,NA,NA,NA,NA
