value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,meses,meses,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís
2,años,años,Envío gratis,,
3,días,días,Chegará amanhã,,
4,,,Entrega a acordar con el vendedor,,
5,,,Vou retirar no endereço do vendedor,,
6,,,Envío gratis a todo el país,,
7,,,Lo retiro en el domicilio del vendedor,,
8,,,Retiro gratis en tienda del vendedor,,
