search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo,Color
1138, Casco De Motocicleta Scorpion Exo-r420 Helmet (large) (black ,233.84,NA,0,99,6,38.973,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242752-casco-de-motocicleta-scorpion-exo-r420-helmet-large-black-_JM#position=31&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#478242752,NA,NA,Scorpion,EXO-R420,NA,NA,NA,NA
1139, Gmax Gm35 Casco De Moto Harley Cruiser Adulto Completame ,84.713,NA,0,NA,6,14.119,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILE.,https://articulo.mercadolibre.cl/MLC-478691917-gmax-gm35-casco-de-moto-harley-cruiser-adulto-completame-_JM#position=32&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#478691917,NA,NA,Gmax,NA,GM-35,NA,NA,NA
1140, Casco Moto Shiro Sh-881 Motorland Amarillo Mate ,72.99,NA,NA,32,6,12.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-480525984-casco-moto-shiro-sh-881-motorland-amarillo-mate-_JM#position=33&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#480525984,Amarillo mate,"S,M,L,XL",Shiro,NA,SH-881,Integral,NA,NA
1141, Visor Casco Moto Shoei Cwr-f Mellow Smoke X-spirit 3 ,54.99,NA,NA,3,6,9.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-480745568-visor-casco-moto-shoei-cwr-f-mellow-smoke-x-spirit-3-_JM#position=34&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#480745568,NA,NA,Shoei,NA,CWR-F,NA,NA,NA
1142, Casco Integral Moto Abatible Negro Mate Doble Visor. ,44.99,NA,0,30,12,3.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/JIACHENGLIU,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=CymHdEME1E%2FsjNmxW4Ki4aBsNxWIBofEjsB5rOffKwwDsCkkcFRHVtusti8P3uB3owR1jHh4CQYSuPvZu0jyOoG%2BQcYHjOBiY3CMIpenPaR98%2Bw2A5N5DQm2dt2qgTGJoR%2B%2BhGjKdzf8z2qfOGzEXBJ2KG544BGZD5kNTw5jZ8U1Jd6LV1nI1HmtrPDXrOg4vJH7mFqbKrBkWnVvUjA0p%2FOU7egmTo0wKZurn1iwDHLaiR%2FsuQD%2FeBaijYG3TGxB0SmMd%2F%2BpfDg9XuYEoto00xzGFkiX2rlI%2BYNCauzGz%2FDkcx27OyM5C9JQT%2BAaJznaHbv3w%2FpwV0OvwyzasuEujzUAji%2F6MkQa0vX%2BFiqG%2FuVS7igxQ8LBDLo61Ru1M2%2BdWEB8QC0tN2MSO9dQGq2q9TS8Tz4oARGjsKpjEDPkICOkFBr9q9QkBRNey8RYs8KhmHqpo86Kid%2BsxNuLhmohrpGkmHHJ%2FfojWVwyDiFyYt2P0nQ7Vf8SkyUm2%2FI5G1b2TWO4P8tbDpOkxbymNFRM43SXlqThUl7uNmUCQMKCBiZZLbfbJ%2FUrpm8QmKZbjmo%2BHryHJ6NyJEu2mlCAg5MKyY9UUjj5RV1OddufpZdkBnX7SvHYX805k1Yb4mZK7vDdvALgwhDbzlJ8ZjN0b79uDiloND2FITWzFO7rf8CFb7TXeFPywDeUJ29qQQUd2gp3Kcbs8zMGnInA3i1LyEgYzBv687fuja9E1PPXRpFJr3pTHjBpqaEem31FRGtvBTK6vcPxanlmJn8cRR%2B7qwN8a47Za2WwbHGl3oIybzg7lkEI%2Fv%2BS3Pj9BS2mz7dSFUVrwEizgRF3jbEGK%2BW62vemMSHeL%2Fzv4Do2kE7C%2B%2FEh%2BteMhsseLH3LEwQAVZIlHOSWXusgDduBNnJ7nP0YeWckfEKvpgCzXgWNINdC6rwPriSj%2F%2FjRcgrqfR4vWGcrxj38%2FlVN%2FlT2t9xG0X5AlDv6Bt%2B%2B0E2JceRW0Hpsj88TMkkZTM3lP9%2BdWbQW2QmXl03NbiRcxUKxwZDd4zAsIXOZ16xTS74R%2FLtjyD69pKUcpXnZWEP4q8WbdE8tEMW9DPK5EX%2FPjoz53Sp56eh1TuPZNZHOZDAdxmkwHIGB0QmIKbYSgjnTvt0740WuetUQhEEswvKYOoNviXVJaCEq6HYgfTdVP1p%2FeUHoMKjKGi25WmNdbulTvYio%2BzTJ5FL4KEndx7cPicAM%2F6v6Z20blUmzNZ9AYTf1u6nzkHycLFc3EW37vtIin3n7URy9R4dDj%2Bg5839j2pYMu%2BHkuLWsTkt5tR3SezYYt%2BxSfZN5Yt5l68t331nJO0pbLLPO8B4njihOYqv3ujyCstZc8WbJQayHxWC3vuRsUd8NzQ2vYamyjm6g0B2sg%2FygqoV8ITk7ykmuYwuCzos0MJTFvP7Zfj4pipKqRyfxrvHq4LzLJEvykDmO3WT%2F6eoZS0vd1clxbtee%2Biec%2BeMGquj%2FWFFQhjEUITGPjgU7pbN0%2BxQU5RXjFzMg2uAsGv5AhoNTU1lG4y1zDh0i6N1JF5ILPtRNCpSRaUsnRy0RmRkhhInuHIbj6tpxJy6c0vhWjGJopz0Xyffz037bpzHAHYAdGJeA7NJ%2F7UU9KWdJpaQ277g9mHi7YaPJ7RR00H9mNhJq4eFuuMRIke1xwa2Y6hegf1tn3z%2FTGPfUHEmbx4eYMXTiFn8cgxnbFLxMKmICp3nFsKGYoengmtPlYiMgfptmJvjhkoUrngDbDLKFGYLxYd2lFLRQNoFM7%2BQ963Xi6weuGqS%2FdnCKLoQecr3b2bg%2BrUAqSdZNsUEuNCGOqqZnoHthuuz7ChsQ86lLnqNaqnhCqSoELamFkUa3W%2FNb2ALJHBAiUhwJHohO9jioSHps2xVIXQ%2FjyW0397oWLhU7%2BCYmjHB1fckT,NA,NA,NA,NA,NA,#501799236,Negro mate,NA,JC Helmet,NA,NA,Integral,NA,NA
1143, Shoei Neotec Ii Casco Abatible Para Motocicleta Matte Deep G ,902.558,NA,0,100,6,150.426,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-485470251-shoei-neotec-ii-casco-abatible-para-motocicleta-matte-deep-g-_JM#position=36&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,2,0,0,0,0,#485470251,NA,NA,Shoei,NA,Neotec,Rebatible,NA,Gris mate
1144, Ilm 8 Colores Motocicleta Modular Abatible Casco Doble Viser ,102.683,NA,0,100,6,17.114,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-487601930-ilm-8-colores-motocicleta-modular-abatible-casco-doble-viser-_JM#position=37&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#487601930,NA,NA,ILM,NA,NA,Integral,NA,Rojo
1145, Crucero De Motocicleta Medio Casco Protector Del Sol Casco ,11.492,NA,0,3,12,958,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FASHIONBEAUTYCL,https://articulo.mercadolibre.cl/MLC-491225347-crucero-de-motocicleta-medio-casco-protector-del-sol-casco-_JM#position=38&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#491225347,NA,NA,Unbranded,NA,NA,NA,NA,NA
1146," Just1 dominator J12 casco Para Motocicleta Todoterreno, C ",249.99,NA,0,NA,6,41.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILE.,https://articulo.mercadolibre.cl/MLC-497007425-just1dominator-j12casco-para-motocicleta-todoterreno-c-_JM#position=39&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#497007425,NA,NA,Just1,J12,Dominator,Integral,NA,NA
1147, Máscara De Casco Del Moto Con Gafas Desmontable Anti-niebla ,29.99,NA,0,NA,6,4.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/LIQUIDADORALOSCAMPEONES,https://articulo.mercadolibre.cl/MLC-472134911-mascara-de-casco-del-moto-con-gafas-desmontable-anti-niebla-_JM#position=40&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#472134911,NA,NA,NA,NA,NA,NA,NA,Negro
