search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Tipo de fechamento,Certificados de segurança,Usos recomendados,Posições da ventilação
11, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,134,NA,932,11,12x,11.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,415,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM#position=11&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,329,60,15,8,3,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,NA,NA,NA,NA
12, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,NA,892,130,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,84,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227#position=12&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,55,19,6,3,1,#960763001,Preto,"56,58,60",Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,NA,NA,NA,NA
13, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,129,NA,2248,72,12x,12.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,80,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517014#position=13&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,46,14,13,3,4,#1133429702,"Vermelho,Amarelo,Azul,Azul-escuro,Cinza-claro,Rosa,Verde,Vermelho","58,60",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,NA,NA,NA,NA
14, Capacete De Moto Robocop Articulável Mixs Helmets Gladiator Neo - Lançamento! Com Design Moderno - Várias Cores ,199,NA,1,8,12x,16.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/POLOBRISA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Fsi4WmV9AA%2F7oAieGFk56NfFobqN4DRVP%2BMM9EEbiCzKjMGHaMm1IzroTLWlNx5lFvG3HdV8yChv6skO%2Fh5NcdcQh7NboKhyZvYeoec0334Fp24w%2FO86U6CcGuEVdZqe1fRmFhZCKHFl1tGHnl9CAVDi%2B5miWrjIw2hUg8cjmCIqT93T69NzTkBLB2yBFXqHbCpuc12mUhVc2dfcH8PoUDBxnNjkqxy9E75Qy0MAQqQQxfwlqi1ChKJ42kuGzMi56zEd%2BcWpdo%2Bk4KIpAVz2RmmJsB5IZ7zN2jtIG6LQ1SY%2F1DHXF87%2BVeoJCQXt3Id9el9kWd0cWA%2BtKCyO2%2F%2By9HS%2BNLuvpfEGA3sm%2BV0YNEkyd5bgybK1TYcfWWBykFOYNMNXmztzBngX42eajwviALyLVvz0uWwGEXfeF9J77TEUvaHCcolVDTBcpG0S2dqMRT5ZV7yuysz3dBaaappPne9UA1gT6k0BFBzEGxFTOjQM66tKgaxrnDRjggCtsqQ6IW8qeiHz5aQxXEgFFfAt6msBRtKbp5b4wQmyY9ld8U3PMMwU%2FYb%2Bv5AYaGMad%2FzM08HyU6QJrb0b0CfUKmHHe0lxCHsaZB9PHxsAJc4cV%2FkNON8Vn8V4vtWLFO3uqkNqkXFGocc1pLRkTaViA5CVxMGxB9nHmbtgVK%2BOysZGGBpTzrwjo8leWQ%2B94X70WD2x4xJfft2MpGyqvsd6xPhwQb06X%2BToV6Ih0zd4QmneNSlgC4DgJyV0ekRx%2FBy2BfKEYvtUcUx1x%2B0AQWqXMFaKu3pMerv2yZhgf8GdHlBTz4vzKtEo6KTyX%2FoG6Hhdki3bRmIpdfrsnL1yPEBhdsCjgHpKrvad13%2BW7RaEozJMTp6vHlcoBB7cRfv6RNlclHycgnRDiE78D8YY3xWl7QH0MkyMM4%2BaTAzoH8TYk9XkkC9dzE3ckmewGOSqWpUy%2Bqy5icGqQNqjGCl3T6ReLO69s9jT8eVnoEDpnFEK5ysRqFw9l7k2VTu93XH0Zenq7lMXN385HIMtn%2FIytqruzR5kVTQd3kLio%2BFUB12Ht6tgIaTLsX44CZRMgV01MAvz%2BAl47VuiBASkgSlJtK8yu6kLcfhYvtQ7CsmKclcqyJfTZikIzUDF3YFtdeG3H962zRyyeaHGW9hlcyC7IvQw%2BS2ib96xV5hj0M1RwApTHxIuHk9Gkublnq8Pvakw4mDrSRaZ1Tw7W8TzUWRuHZm7%2B0ePDBv5o0lcvD3O3023pOTFEP4NokxMToZh4mXXYl43Q2R4754HpQKlxlOuVWjCvC08EH4EEIhiz58SO4RsDRsMxTPESwN78t0ixIqQSVza82LlmD8qO8LlrYzyYq8Y4W0mqUoh4CmoJhKflfcqtXfdG%2BMDemlxCw6Q51MbpgBR4jqnJK12V%2FKo6YajBXsySnTOh%2FE%2BSaLEI7VHC1%2BclbH6NfJ8h84AQUBQjpgsaALy59lLVjY%2FFpfc8JZs8ufXXGicH1n5TETV6kwI7QoGZnmauiMl9xo6%2FxYizWrmBmke6eNL3NqP9V%2BcqYdU21nOa0SiVCOmbo3YjYFjFqBrxArmvU73HAmw05MohW86IaPssUZwXI0wdPXKfcM%2Fy0HV%2BHWije3t%2FhaIhXWgdgOoVS2p0yILVQiMXfSJjUaVBa5MSKP2eOCANvXGvhPS2MzJ9kxIC6%2B09IziPZ9fGEVYCLR%2BZm88W7RuoEY4khIved5W%2BgVMKbNTMpSBEJlMAloFw0np1RaOR7ecZG1hArjH2MYc6l3%2FLV9zC0YGMKlJ%2BMCORsIkVf%2FxR%2BoQJQbQtnZC%2F0FNpXiFv0kue7sOwYlXPJAFnfWYg9a%2BhjWhMyBMk8C8vIJzzDvR%2FldbdbFIXuZxdaDVkt%2BXi7l7CLpt16tQthv1vmCdHPOwCByh%2Bz1NfsVqXUnu1m6h8uUF7hrE3%2FVILqv8q4vSSXMU%2Be0dIiQ%2FHu%2BadrYepK5dkUFnev2AG6eq3JLf%2BEFQdPh9c0kX3TwJgkvXdBC7ze%2FIwkY4PlN9zDygiwoKbLwIB4Rw8%2FP8r32I6X5%2BE6GVRoc0XahYgnXiwrCvRcTorsaY9l4%3D,NA,NA,NA,NA,NA,#1302848730,Vermelho,"56,58,60,62",Mixs,Gladiator,Gladiator Neo,Cross,Simple,Poliestireno,ABS,Adultos,NA,NA,NA,NA
15, Capacete Aberto New Liberty 3 Moto Motociclista Promoção ,60,NA,756,2961,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1052,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1167358616-capacete-aberto-new-liberty-3-moto-motociclista-promoco-_JM?searchVariation=37125151127#position=15&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,750,206,70,14,12,#1167358616,Prreto Brillante,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto com Viseira,Simple,Poliestireno,ABS,Adultos,NA,NA,Urbano,NA
16, Capacete Moto Pro Tork R8 Fechado ,104,NA,4901,2699,12x,8.67,NA,Envio para todo o país,NA,NA,4.4,2249,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-781215610-capacete-moto-pro-tork-r8-fechado-_JM?searchVariation=17279219016#position=16&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1497,422,189,70,71,#781215610,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,Simple,EPS,ABS,Adultos,NA,NA,NA,NA
17, Capacete Protork Coquinho Moto Custom Couro Boulevard Harley ,60,NA,601,76,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,44,https://perfil.mercadolivre.com.br/BEE-STORE,https://produto.mercadolivre.com.br/MLB-852374852-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22590316605#position=17&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,23,11,6,2,2,#852374852,Preto,Grande/58cm,Pro Tork,Custom,Coquinho,Aberto,NA,NA,Revestimento em Napa,Adultos,NA,NA,NA,NA
18, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,55,NA,684,54,10x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1052,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1190902717-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=37973983683#position=18&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,750,206,70,14,12,#1190902717,Preto,"56,58,60",Pro Tork,NA,New Liberty Three,Aberto com Viseira,Simple,Nylon,ABS,Adultos,Micrométrico,Inmetro,Urbano,NA
19, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Rosa ,98,NA,478,1474,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2249,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108206634-capacete-moto-fechado-r8-viseira-fum-pro-tork-rosa-_JM?searchVariation=27938281942#position=19&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1497,422,189,70,71,#1108206634,"Rosa,Amarelo,Azul,Azul-claro,Laranja,Plata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,Simple,EPS,ABS,Adultos,NA,NA,NA,NA
20, Capacete Mixs Gladiator Neo Escamoteável Robocop Moto ,197,NA,2,1,12x,16.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/YESSMOTO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2FAVzrJiV1Z%2Fgg1%2B3V%2BJPhtobaSMRjJhcsu%2BsXugC9CyyZegcAJp%2FQ5dLYMEcHCoJcBSfeT4gKwt6US0IE6NN1h1DlmUZ%2BJ1Mm06QGSp68ulXH7LB%2BSv7DtuJzRlqM7OeRyLob6z1c434DogIZDnm4AXBqI%2F2%2FP1JrS56hCpA8WQ20Quvxph6OZWJHfvUL7hg2LyxZlZlsrkjdwG3sDrTXMVNOe7Oi6pv3RtPJgA6nRg2AEG5Uxllhv%2Btf%2BVe2p9JMoJtEZRaWJHivo1Io8FPDDx3Q7p0Vs7gjgB1rF5ID7VmiRWlbYGMTAaXvCIRrMnmSyMB6y83NbR0uv5lc6e9EKcCNFm0ZM0f%2FhvkQdyj%2BBctfYdDAIKAjvfcEUfVwgFMD9wylOny05w5Fms%2B3sb4vkRxK8X1dUBTlhZrKBwhL3mfkvM08BfvJ%2B5ZRZCWHhQc0XNpnh18NCvqhpGu5FxXJ%2BoVE3vAPb4LliyO3YJyj%2F%2FUQTxPluoVmrFQ7IEsa8VRCjaj4RqzUsaiAhQ%2FygYfl9I8cb3fOQVl632us13YXYg8envrmSzgztg4OL95VHuneOrPPjfqvYrZy8gOlDEKsLXDctlMR2q%2BYqQORM5QnFgkGI%2BpCQ8TjbtmyArbU4lIz2JcQYkDPEjdkggMX4cKpuLGjUqGE4jhnipWrFRdss8FfzxjyGMvV6bc4wcmhenEZw3NjZyooBn2USVmoJ1LlwXnb%2FjPgW055rL3MLcRbCcComEBqTiwovyQg6O7j%2FYoRCsYI9KWv1cNdIHd7rjMnMYtr25Fzc3kQanxqNUvOh%2BxH0Y4B5uuCenlkTipGaualxYnCLkmsaw4t1nn14tOsJUuhUN8F%2BsaiaGu97HI7njfbYLeFRfYHEPnfk7gOn3%2FZDfABwD2mKR7p4HI9vLyka2X2me3W5go%2FJqRgKc5QQF4fGS6a0sqm0dcxWxWGm%2FdHbS3jvo5bfU2knoXCZnk8hx7Ilu4lDqf1fTAJXE0OiRl7Pnlf%2BYUk6sQWQpwtYU%2BVQX%2BLZcXaCRyg7WX0Hv%2FWUXUCWBMedv13w9Y1BmYpngJ9YwgNhHHQLAIWjZDKJksyKQs7GbU%2FImB%2FU3J0MbtR0kij23iwukxrvwjPjRxS%2FiLZrQ3ZFZBS76OcfKGgT%2FBmJJ1lBbdFUQurvngigmjSDmH1tsStIJdqJx5luxH4sVGvF3bIRA5x5kDm9dWvjmjBcLsepFODQS2de4wrb10kGibU3yg%2Bfu0CZZV%2Boqyc8QCwyx2BkuhrzWbFsK0I%2FUFIc%2F56WF6kR7VO6BdPySucl72bnYZWfRK%2FHkf1RUY2nlQ9IKyfm3KSZhqFIyhFlp8xoVtG3rDS22Bi7Lroe808nBfi%2FBMgBbJyXLSwHbaIZZb8YyfxUue9woSc965N%2FJWkf4fbw8MYLgiuWxGn4pfI%2BfSp9xnmhA%2BeeGRsQzRUJB%2BVwmSKjKp%2FMpKlTQdXpfEMXYNevtyDRig9N9PgosOCTCupIhpLaqZdIzTZT3a6SvReHEeYXETHQnaXp6PXWSRvWGi24MmUeXAU4CW0O%2FQP1V%2BcPQ2L6mpn1fcb0wwAHE7QV%2FsiBF3FU8JXtwURABcmRFgb1Fq9tDwZ2mfa9TCidV2%2FF2%2B1TP3DDjT7ciipqyHn5dYmkAfsr0Uxu1deVkT0sKyWgZziSjZcNTDJ9nN76mDqBFfLjxRzc6KKU8JDthoZT5G6vdWOYFGbzsA%2B6niVx98dyHsrCU930X3icO6236DKOKYk9PdVl8txSw%2FEWp7%2F4fC6Uq9pHnPGWYvSZsnZCibd134n6erQLz1HynlylAAYyTfF9Bl9QEmKMyGmSdWOAjQrfSVWZbXlPyvDdyLmnNHX%2BOB7Y%2FqGNR5cJ8AhjJNI1LGkWFLg95MqondtFZpg%2Ba0hxCtOs1NWl2xvwt0l6vW6uHNgHKVYy9Nn8oODEfDcPNyIPeLMuE9LbWIV0xe0jtN0adrGnCuVT37%2BWMnfqp%2BD7Kpz61dRpLsy%2FGHFzMu,NA,NA,NA,NA,NA,#1282925754,Cinza-escuro,"58,60,62",Mixs,Gladiator,Gladiator NEO,Escamoteável,Simple,"Dry Confort, Cinta jugular com engate micrométrico, Narigueira removível Anti-embaçante","Abs, Resina Termoplástica em ABS, Sistema de fixação de viseira que facilita a troca rápida sem o auxílio de ferramenta, Três pontos de ventilação de Ar no interior do Capacete, Viseira Solar interna com excelente visibilidade e de fácil manuseio, Viseira",Adultos,NA,NA,NA,NA
21, Capacete Moto Pro Tork Evolution G4 Las Vegas + Viseira Extr ,154,NA,822,2367,12x,12.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,338,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-984292838-capacete-moto-pro-tork-evolution-g4-las-vegas-viseira-extr-_JM?searchVariation=21128485402#position=21&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,262,52,14,3,7,#984292838,Branco,"56,58,60",Pro Tork,Masculino,Evolution las Vegas,Integral,Simple,"ISOPOR, FORRO",ABS,Adultos,NA,NA,NA,NA
22, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,929,4,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1584,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773#position=22&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,982,347,149,57,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA,NA,NA
