search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Tipo de fechamento,Certificados de segurança,Usos recomendados,Posições da ventilação
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,164,189,4710,2673,12x,13.74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1842,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456541671#position=1&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1326,359,100,26,31,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,NA,NA,NA,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,4242,1502,10x,5.90,NA,Envio para todo o país,NA,NA,4.6,1485,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969#position=2&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1112,254,88,12,19,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,Simple,EPS,ABS,Adultos,NA,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,1262,81,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=39868558664#position=3&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1497,422,189,70,71,#1162746915,"Prateado,Amarelo,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,NA,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,921,44,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=39733343550#position=4&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1497,422,189,70,71,#1162758324,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,NA,NA,NA,NA
5, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,2325,30,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651#position=5&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1497,422,189,70,71,#1071430308,"Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,NA,NA,NA,NA
6, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,1289,1181,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2249,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051#position=6&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1497,422,189,70,71,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,Simple,EPS,ABS,Adultos,NA,NA,NA,NA
7, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,57,NA,1893,485,10x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1559,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615#position=7&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,1044,323,140,31,21,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Micrométrico,Inmetro,NA,NA
8, Capacete Moto Tipo Sanmarino Automático Masculino/feminino ,63,NA,43,3565,12x,6.11,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,37,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ItEeD6McrR5LLHv5UDsTv%2FeWxlKjJq4Dz4%2F7kXtvlEmKvpF6uxQxXs3j8BgvNfFp5EtRKpP1rLCjYwzBhD9fbiznEATQOtK9tYJyCzhlt3KVEObMY5PsEFRdeFd%2FVOdJg1E2PJDPLE9dImTPlDGR%2BdBVpiQYZMe6C5DnjzZztM04ToM6oCK%2Fs7IOso8ZoGxN12PSXZDFWp3PyKJdX5nqJ9WMRLEZwP1GYolFyVBTGUheToTGdhmegBF2FAYeE7kpre64A6bgZfL3SE9qKc4UmP9w6%2FKV1ukjhlcALqZbXHFP%2FkZLebRf3R4Y6Ta54iV3DHJvuhigoiaITpfoLqbnFirM9S0rnDm5tOCNXLTLkfx6KHJUCOZWt6bSEkOXBd6MAGwpHLwU54%2FrCeKXIPXGZce3iCYeHdtpfuRNjHHX38vqf9hFh1NGxR5LLdHaSA%2FJ4xR8JdgzCpOUA6Kph6ByBxFvpzn0pVup%2FmpMI5Lb%2BpoHrh%2F6olgQf4r3pI3MhY2vxVDz0TD8jWyLKDl5UgJPGKuKTVDKCK4gQ5XCI2hmuFhzuWRvwWmlqGJ3GEgQtDXhvwn5403oGITngTR96uNO7unwhQUKagGewlgxOeihwYhXIgtddTvejY2jKHclRrL0PDtF46ohht%2BXJCNa8YdQqgYPR8E95tolzJJEExCCqKw4gIrXaUvVAjg8eDjp6Iwj%2FUzEtCMU3dU8BLKTmaVLll43uQbqZ%2FTQKZ2thftFgzdcqvzpg2lmKMzjy1j7WFu1x2nIh5QVp1HP5ZPOT81Qv%2BVJnsqh39%2B2WKl5Ze7KOpzUvtjJ28HSAAbLLuaKqtwMIaYMq%2BiCUpCwGPHS9obWOmK5DxPQQK6XCgRhgx1L%2FBUbM9wsngVJD1GOodtG4LywW%2FSKc80mzJWg50p8hBE9w7bzxpbaHZDUdtopk%2B4UqNNVIBU0H6DX%2BNyKnb8Ck2BWL8BIw11rJmiQT2Sgxs9t50JmnE4PaQsu%2F1zOWhxdqzMhC4QA%2FT7dmrwbgB2NFRj1J%2BwOO%2FlxK0WZ%2B0jPChBwzsOjZP%2B20m8JNlZWS%2FmbxlqAmy3kG%2FTgs0V3QPMoLnwhNTDEB%2BmVB47mUSyeLuZoK0JkA5upekJAC2pnHUd7N8%2Fj3fqTFZ0048ou37uF1zPq74Uq4%2F805srrRiny3H2mRITYZ3i3GyYTYdwpUA3MiXx%2BzQ5AsUWctewLm86u348zpSN1h75kMXX4ZDkqu1rAXcDZINltk7wJ2AkTjbRKyHiTUR0%2BjZQ7dTCjeSNONl3Z1B0BUvFnqTqplCt7lORc%2FrQGnf6SMf7X04Bo2m0E%2BhFDQRymIybK5sO%2BNQmcxyLiEJhi2eku2t88yHPr2By6wRnZ8%2Bsj7GefrjY0%2BzZz%2BYdrQ0tyErI%2FXzAPHEM4S3JXbfDrOG00Z6DHXT8BVrz59c0Jnzw0l%2FCQCggDS0iCTgR7C9NQcSqftMNL5%2B5OaPCIyfmQhtAPomABe7biHDYFwnHDJNwjgtfhxRmd883WJbx9I3UuDlmSm7uCMsb%2Br%2BQ6Nys9FohSbR6lkcCvf5NYglje%2BQPe9PPi9DhFWi%2FbCFdOB7JY%2B8EXh6%2BDUl5G1fcCbdBzJpKAPsxpNu3l1beckjv9V09MmZDdOaZ3HGt9Cf9G4o5Mj5NIzsuLKm5sYNgPtrqhcmGuXOHVbI9Wo7NvjpTvGk84Htv8dZlBBIqPCYQNKzxi40jgrfkCvA5nIQN2fITeN3B50LFVWyWwjj5j2wVlT93vZ%2BbP%2BcB4QUHYPx%2Bai%2FycKI5t4565qUnIT2rhcXqPEgeg9bYW5dHbKeirxVr3isa9SuUhy4TEtRAFxaFrCeMoEVzHQHcRlhiOuIULv73YVrcke3DG9cqKcZSil9VHH338w7vNGz1MXjVW%2B5l8nq66joBpAmE1lBzFl1vMmHTItPffDRd8tBxNlPTxdMpEXm%2BqG%2FVI77bBLCTfABmXYXd%2FZV0CKo%2B8SfFrhbv3DQb1Vg3%2BeulqA7RM%2F%2BmAypAD8%2BE%3D,23,5,7,0,2,#1281264225,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,NA,ABS,Adultos,NA,NA,NA,NA
9, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,57,NA,1042,2476,10x,6.48,NA,Envio para todo o país,NA,NA,4.4,822,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836775816-capacete-pro-tork-fechado-automatico-sport-moto-788-_JM?searchVariation=15907429717#position=9&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,495,193,90,24,20,#836775816,"Laranja,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,Sport Moto 788,Integral,Simple,EPS,ABS,Adultos,NA,NA,NA,NA
10, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,60,NA,3093,20894,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1584,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283#position=10&type=item&tracking_id=44c66e70-6d42-4200-8b23-1ace8caa7941,982,347,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,SPORT MOTO 788,Sport Moto,Integral,Simple,Poliestireno,ABS,Adultos,NA,NA,NA,NA
