search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Modelo alfanumérico
656, Casco Tipo Cross Bmx Negro Mate Amarillo Certificacion Dot ,"1,070",NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 10571
		
		 sin intereses
		
	

	
		",71,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MSREFACCIONES,https://articulo.mercadolibre.com.mx/MLM-658056955-casco-tipo-cross-bmx-negro-mate-amarillo-certificacion-dot-_JM#position=23&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#658056955,NA,"S 55/56cm,M 57/58cm,L 59/60cm,XL 61/62cm",Rudos Biker,"Motocross, BMX, Enduro, Downhill",CAS-CRO-40,Cross,NA,NA,NA,NA,NA
657, Casco Cerrado Moto Agv K-5 Magnitude Rojo Con Plk ,"8,900",NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 49444
		
		 sin intereses
		
	

	
		",44,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-651738561-casco-cerrado-moto-agv-k-5-magnitude-rojo-con-plk-_JM#position=24&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#651738561,Rojo,"Negro,XL",AGV,K-5,Magnitude,Integral,Doble,EPS,resina pintada hir-th  resina pintada hir-th,Adultos,NA
658, Casco Tipo Cross Bmx Negro Mate Naranja Certificacion Dot ,"1,129",NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-658058029-casco-tipo-cross-bmx-negro-mate-naranja-certificacion-dot-_JM#position=25&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#658058029,NA,"S 55/56cm,M 57/58cm,L 59/60cm,XL 61/62cm",Rudos Biker,"Motocross, BMX, Enduro, Downhill",CAS-CRO-41,Cross,NA,NA,NA,NA,NA
659, Casco Abierto Tech-x2 Tx-707 Negro Mate Rider One ,"1,198",NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6656
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-657871159-casco-abierto-tech-x2-tx-707-negro-mate-rider-one-_JM#position=26&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#657871159,NA,NA,Tech-X2,ABIERTO,TX-707,Integral,NA,NA,NA,NA,NA
660, Cardo Scala Rider Packtalk Bold With Natural Voice Motorcyc ,"15,884",NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 88244
		
		 sin intereses
		
	

	
		",44,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/DRIFTMEXICO,https://articulo.mercadolibre.com.mx/MLM-684510798-cardo-scala-rider-packtalk-bold-with-natural-voice-motorcyc-_JM#position=27&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#684510798,NA,NA,Cardo,NA,PACKTALK Duo,NA,NA,NA,NA,NA,NA
661, Broche De Liberacion Rapida Para Casco Moto Envio Gratis ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/MOTOSHOP-X,https://articulo.mercadolibre.com.mx/MLM-612751304-broche-de-liberacion-rapida-para-casco-moto-envio-gratis-_JM#position=28&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#612751304,Negro/Rojo,HECHO EN CHINA,SM,BROCHE LIBERACION RAPIDA,LIBERACION RAPIDA,Integral,NA,NA,"METAL, PLASTICO Y NYLON",NA,NA
662, Casco Abierto Rebellion Negro Mate Rider One ,"2,200",NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 12222
		
		 sin intereses
		
	

	
		",22,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-629719233-casco-abierto-rebellion-negro-mate-rider-one-_JM#position=29&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#629719233,NA,"M,L,XL",LS2,Abierto,Rebellion,Abierto,Simple,Mixto,ABS,Adultos,HH590
663, Casco Doble Propósito Rkt25 Trans Canada Rojo / Gris / Negro ,"2,999",NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 16661
		
		 sin intereses
		
	

	
		",61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,3,https://perfil.mercadolibre.com.mx/ESNAKIZAR_GUADALAJARA,https://articulo.mercadolibre.com.mx/MLM-642009891-casco-doble-proposito-rkt25-trans-canada-rojo-gris-negro-_JM#position=30&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,3,0,0,0,0,#642009891,Rojo/Gris/Negro,"Gris,S,M,L,XL,XXL",Joe Rocket,TRANS CANADA ROJO/GRIS/NEGRO,RKT 25 TRANS CANADA,Integral,Doble,Poliestireno,A.T.P.A.,Adultos,25
664, Casco Cross R7-188 Negro Mate Certificacion Dot ,"1,169",NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-615798009-casco-cross-r7-188-negro-mate-certificacion-dot-_JM#position=31&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#615798009,Negro,S,R7,Racing,R7-188,Cross,Simple,NA,Fibra de vidrio,Adultos,NA
665, Casco Azul Cerrado Motoneta Moto Bici Niño ,274,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1522
		
		 sin intereses
		
	

	
		",22,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/ENDORCOMIC,https://articulo.mercadolibre.com.mx/MLM-665815782-casco-azul-cerrado-motoneta-moto-bici-nino-_JM#position=32&type=item&tracking_id=51698ac3-a7f0-4f83-808b-7a17533998de,NA,NA,NA,NA,NA,#665815782,Azul,Niño,Alessia,NA,C014,Integral,NA,NA,NA,Niños,NA
