search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Tipo de casco,Tipo de visor,Edad,Tipo,Modelo,Línea,Materiales del exterior
1, Casco Integral Ls2 Negro Liso | Oferta! Moto Protección ,69,75,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 14206
		
		 sin interés
		
	

	
		",06,NA,Envío gratis a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-451251909-casco-integral-ls2-negro-liso-oferta-moto-proteccion-_JM#position=1&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,NA,NA,NA,NA,NA,#451251909,NA,LS2,Integral,NA,NA,NA,NA,NA,NA
2, Casco Rebatible Con Lentes Hawk Negro Mate ,2500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				89
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13889
		
		 sin interés
		
	

	
		",89,NA,Entrega a acordar con el vendedor,NA,NA,4.6,14,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-451740128-casco-rebatible-con-lentes-hawk-negro-mate-_JM?searchVariation=40474244677#position=2&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,11,2,0,1,0,#451740128,Negro,Hawk,Rebatible,Doble,Adultos,NA,NA,NA,NA
3, Casco Integral Para Moto Marca Vento Modelo Dama ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				52
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,5.0,11,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212832-casco-integral-para-moto-marca-vento-modelo-dama-_JM#position=3&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,11,0,0,0,0,#459212832,NA,Vento,NA,NA,NA,Integral,NA,NA,NA
4, Casco De Moto Para Niña Princesas Aprobados Por Latu ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,4.7,3,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455463403-casco-de-moto-para-nina-princesas-aprobados-por-latu-_JM#position=4&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,2,1,0,0,0,#455463403,Blanco y Rosado,Mixx,Integral,NA,NA,NA,Selfie,NA,NA
5, Casco Integral P/moto Vento Mod Italy Con Fucsia Ideal Dama ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-460684094-casco-integral-pmoto-vento-mod-italy-con-fucsia-ideal-dama-_JM#position=5&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,NA,NA,NA,NA,NA,#460684094,NA,Vento,NA,NA,NA,Integral,NA,NA,NA
6, Casco Hjc Moto Cs-15 Liso Negro Mate Con Visor Oscuro ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 28619
		
		 sin interés
		
	

	
		",19,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-458020157-casco-hjc-moto-cs-15-liso-negro-mate-con-visor-oscuro-_JM?searchVariation=39013534296#position=6&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,NA,NA,NA,NA,NA,#458020157,Negro mate,HJC,Integral,NA,NA,NA,CS-15,CS-15,NA
7, Casco Integral Para Moto Marca Vento Mod Italy Con Gris ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212375-casco-integral-para-moto-marca-vento-mod-italy-con-gris-_JM#position=7&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,NA,NA,NA,NA,NA,#459212375,NA,Vento,NA,NA,NA,Integral,NA,NA,NA
8, Casco Mt Para Moto / Mt Helmets Stinger / Warhead Naranja ,86,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17706
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,5.0,7,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456303557-casco-mt-para-moto-mt-helmets-stinger-warhead-naranja-_JM#position=8&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,6,0,0,0,0,#456303557,NA,MT Helmets,Integral,Simple,Adultos,NA,Stinger,Warhead,Resina
9, Casco Moto Hjc Fg-70s Apol Mc-5f Retro Bobber Vintage ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36854
		
		 sin interés
		
	

	
		",54,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979981-casco-moto-hjc-fg-70s-apol-mc-5f-retro-bobber-vintage-_JM?searchVariation=41153414535#position=9&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,NA,NA,NA,NA,NA,#454979981,Negro,HJC,Abierto,NA,Adultos,NA,FG-70 APOL MC5F,NA,KEBLAR
10, Casco Integral Power Maxx Dot Colores Lisos Homologado ,1264,NA,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7022
		
		 sin interés
		
	

	
		",22,NA,Entrega a acordar con el vendedor,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-443908518-casco-integral-power-maxx-dot-colores-lisos-homologado-_JM#position=10&type=item&tracking_id=18e37930-013a-48ba-8dbe-4db808c54679,12,4,1,0,0,#443908518,NA,NA,NA,NA,NA,Integral,NA,NA,NA
