search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Usos recomendados,Línea,Modelo alfanumérico
11, Casco Moto Abierto Vertigo Vintage Maya. En Gravedadx ,2339,2599,802,25,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,106,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-en-gravedadx-_JM?searchVariation=35477292242#position=11&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,71,28,2,2,3,#674080413,Negro,"S (56 cm),XS (54 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,NA,Micro Fibra,Termoplástico,Adultos,NA,Vértigo,NA
12, Casco Motos Integral Halcon H57 Modelo 2019 - Sti Motos Full ,1226,1716,548,40,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,317,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-617071459-casco-motos-integral-halcon-h57-modelo-2019-sti-motos-full-_JM?searchVariation=35322465035#position=12&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,198,71,32,12,4,#617071459,Negro,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Polipropileno,Adultos,NA,Integral,H57
13, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,3990,5586,174,19,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,233,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572#position=13&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,163,49,13,3,5,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,XL,XXL",Shiro,MOTEGI,Integral,Simple,NA,ABS,Adultos,NA,urbano,821
14, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1546,2164,715,377,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,317,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=g5PLr6sSP1A%2B%2FrRAEqthH8NV%2FGBYBfBM6lb%2BwCFjrQytCB1QB6vtTSQ5RwRESw7M0keXV4dB3lbsUggH5YCyOuHKekgib7a7B7Q3M0pwJFyfv9txmY%2FXNrHIlDnY2Bqf2OlSZrLABBg89U%2FRv6IQ3%2Bj8QZROCU9f9E08b5JFSTLItRegX%2BUInwrS1d13nNgBuVTpWE7cDXyKJukOjZS%2FTYgerjmgwI%2FEx0OGsXpYBcz29IX%2Bwkrhar1qyo3ZVm9evW1%2BzQNndIzoK%2BOlzlcUPO6RWzDne%2BaUIV40t%2F%2FHpCVC6kzBoo%2B0ZK6x9r5Y8QeycgB56yOl81gqgRyD%2FmpvlcqULbkySFbcyuP%2BkscLljkFN1sqwuMQueoeK2NSW7pJjAAYjyKX7YX3bgvZzWlRbmdrpuoH0v1mYP37ok268PoSu05Nj1plbNqDgNpSBXohaYrz2I34fCrkcIo%2BpSOeN0I9oJVOQe4bNlwQTlclAWwRP7yYY03XCPTBeuNGk4S8kZZ%2FYawQGBZTnCed8iqQ3V3cWTIuH6dI0rarneioL474jeEmLQMClW2omHnXvcEQghAAdwHZVxF%2F7HBoI%2FUUpsW1YVcYu9psH2l0Jatx0SZS5rOSiUaUTRnIAe0yY1Xc2u7U6fHzzwoR%2FHfv75NW8mG%2F5eoT%2B6EpBZmVVKBmsZHJb%2FmhkzunMRWi9gLuYeedylvMznYM08ZFfdHXzaAlxFD3QY6wqvVO0f8VU7cO0k6aeTBj8dcA3qVFZbQevEjXYVrgbjpzowSajyQTP%2FXUONAiKqqpPa8G9w8S17ucNPANOIGLO0TAP1NH3in8%2FvDHbCZI%2F8n02bftXop5K1qckNa%2F4i%2BuC5ySweSZeJsVRYzFnM%2FE6uk9%2FN%2FccCZOvdZnSmRi6k28ZOcep9%2BX%2Fw2%2FOImWYQFK4XHJ%2BshKItkN54Ww6PqCvJNc%2FIinRSJemdz7smcp7I2%2FOn9H9z6ZLQJhu7jU%2BypSYPoDOaOJ5NdrWnF73E%2FaBP%2F71d40uHjSSrJXZA1FKFDiEfKVESacChDqSOC9BzXOJWlZRskiLMfVMfEiObv5KcZdW0%2Bf8BLVN%2B221wURvUBsWLOospgBbVVGaWrg660gR3hDKoH9ZUVr66wYWKfBED%2B4aPtcOvALO2qbL54aIdbqhCKa83ELaX4ReJG1QYpV5ZEYMdD5LQ40RTMjDcc3VT%2F%2Fi8kilgf0Kjl740wAkm3okYCzWUC3zOsjfNJSFuKqeSwDQe7z9%2F41qWTyRhUc53aiVQOBjgtNb9XCET0BgZ53aBCQVD0riyFL5xBGGQKsUkJh0Y9QxfR6spQTeYOS3fHULTbzmwpKJoKNmgNkNghT3EQ3Lj2mVmsjpGQ0cmVNeI4Lw1hAji3dS10EeK05rtQ8ik12yxaQVRPt7GQCytiHap8wpJs%2FNI2ZG%2BSYHKWzsjuI7Q%2F9yuFyG%2Fks%2BXJ5%2BOeP%2BSpUN9%2FRVFK%2BAfhxLc15sVuLod7kN2NgqZaZ0rtUwR1i6tInQHn6FbRZeGAWi%2BHkb7d6DhZYWyH3%2BPFteprBYCkcrpt6QlYhoM4SGbdUT3kiMbrKRqAODAclzYnyJz3DlPwh3Y0Eq3Eap9dZeR0I01BFyXj45RQ5rPtyscoduh3vghE2lTKzOC8XQhKdM9MigpJDUMw8SkTlpgfgk6xbdY6%2FcWgLzU6Q3AlveXxWRRS%2BjwgU3uzgCelvJFi9LXrMr7xrCTC%2FBMEY8XLNL790nbuzC3GqU1OHPgunDeqdIMjfYZvgrYZB%2BMtk4Nk4YLYRmcXfx35YKDteCiwttVZvzB8C2kqlc4DFDgOSSWK3Kwn4bkA1mI9GRbcoxvJYsHs6RR7zD6gYLaPS6Hf5WMFtKf%2F378aT24h3ylIWiyGLp9lvtBl%2BR67yosI%2BtjN%2FJCqtUIA9XW30DAgbi%2Fwkj5U9QhyEiaZ23haxXLC%2B1jzZnvW2gHpjgB4YlNOrf9UMwDH5Ib2CRkFFioM%3D,198,71,32,12,4,#744827612,Negro,"S,M",Halcon,H57,Integral,Doble,Resina termoplástica,Polipropileno,Adultos,NA,Integral,NA
15, Casco Moto Abierto Vertigo V10. En Gravedadx ,1079,1199,971,17,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,51,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-en-gravedadx-_JM?searchVariation=17182066371#position=15&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,32,12,6,1,0,#679809834,Rosa,"L (60 cm),XXS (52 cm),M - 58 cm,S (56 cm),XS (54 cm)",Vértigo,Basic,Abierto,NA,Set Poliester,Termoplástico,Adultos,NA,Vértigo,NA
16, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,3440,4500,379,95,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,1053,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794#position=16&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,642,281,83,30,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Urbana,Rebatible,RS5
17, Casco Rebatible Doble Visor Okn 10 Guantes Cuello Full Fas ,3750,5250,181,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,13,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-620583344-casco-rebatible-doble-visor-okn-10-guantes-cuello-full-fas-_JM?searchVariation=25987731736#position=17&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,7,4,1,1,0,#620583344,Blanco - Rojo,"M,L,XL",Okinoi,Okinoi 10,Rebatible,Doble,NA,ABS,Adultos,NA,Rebatible,NA
18, Cascos Moto Integral Ls2 352 Brilliant Negro Mate ,4990,5690,130,18,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,10,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-662533166-cascos-moto-integral-ls2-352-brilliant-negro-mate-_JM?searchVariation=15407937165#position=18&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,7,2,0,0,0,#662533166,Negro,"XS,S,M,L,XL,XXL",LS2,FF 352 Rookie Brilliant,Integral,Simple,Poliestireno,HPTT,Adultos,NA,Integral,FF352
19, Casco Motocross Enduro Just1 Edicion Limitada ,5553,6533,170,37,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,36,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-683981943-casco-motocross-enduro-just1-edicion-limitada-_JM?searchVariation=20998787194#position=19&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,33,3,0,0,0,#683981943,"M,L",,Just1,CHUPACABRA,Cross,NA,Termoplástico inyectado,ABS,NA,Carrera,J32,NA
20, Casco Rebatible Doble Visor Okn 10 Guantes Cuello Full Fas ,3750,5250,181,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,13,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xdlERJ1hHoplvzug7jo5ln4VBFP2qe2YvOKyFY0eAsaBfpnMNgYzn0T98Hmqdy0iObeUpR7lukqt0Y%2BoAEVx%2FQ8Z2%2BwGMIxZSrDWq80oXaVVXmCVoigY2tX1a7KELIKzHymZY%2BvOMoBK8rsAkX7EZbiyFLq8wUL5KyMT13u2WZF%2FvyMWUvpdNt53D5xyPpIZuDE%2B%2By5ntwgLVEHDlk2R4viyrP4dK1HT6lbB8NjRTuGUmoJPOirx7jJIPr8ag3NNsBHEUI9a3HvgzMRgcl%2Fx30NChQJIpf31%2FZnv6qEDy4zSdwGQJFdfqWR9v75%2B6lyQc9r299JG%2BQLnyw5V%2BMbENa2iopviGVvjAOQ4LibC73jgf%2FOWuNNzJZmO3uc0iZ%2FqKmxdZB57ewSbITQqm6k1P6KXHRgdWilns7gvzxYXpSRHzNBaBwcPHsGa7C32eEvAKiVSF47sPmLoysBCTy%2FXgJQwr2vlaQkMqxqYhxGZe2%2FSPV%2B%2BvKml%2Fs%2FxB8NKG0jSiFVtEy7EmtO9heeAkdao0EVICeKuw%2B4kYtMf3GLXBzNC3ihsvUEGqRxTuXBkoDeWqk2WsprY3VYrl35J%2BMptJyjf751OTe7pHb0VAGzVFolJT07czLK7MkA54sClLj6oUdTo8GteqMpONfn01%2F0tboUSa0WD3mrriGlHvHioyczEnOb4SFrX5fzpOerdj5i5SFg1UuqQOuj8rX%2FF1RCodBnXO9QejX3AonskAj6PWB%2FCKAlcL7hcA6PYzfz4TXLn16kRIWbkmG2jHty5NkR7CUL3seNp6GweVP3VyDVSnN1qNpaIaA%2FHKT%2FnUGEoqGgKaPLatr6v2zSOs14q733P9qJzG564LEqDBTRuU%2Fz3uqwDi9B59dIJKOy2zqIRvqj2FYjinI3I1ANiw5sT%2FwbbZSnUkBhxD%2F1zDvLafe%2Bo3863u9wo6fkgExwoX%2FpS3Kx4AvD5%2FAId2bFVtkX%2B44jj%2F0R7FVUmZjuo1OUMNd5r0DQHCW%2FqEakJ%2FHGjVSCLooWGaUh0Akk7bnH40DR9%2FKn4AeUwpoNiFOGibnd1JyIGQLxBdD%2FnH7e%2FB8%2Bqm7%2B%2Fj4wgpNDMLFbDsEYl958jS4sqtDmWYkhf9YJ8QS0BTJnkSLZ9lcaTQaQVoeHqLQ629rYT6DGdxeTEjxZofUIBYCtwLWMduAsKZ%2B0XRM21yV3%2B1vUzgi84uVXcygxrzIN0pDpc0wC4kV0FI4lPFft3LEcVt%2FIWMb4ABreJdixpNtoluu4yQlmkWbkbVw%2FtwvKvirwBiBpOxqw0OCLAR0eBu8wp%2FjCQBT6i5O1Nyvdvm5ZmdMxEjurKpFJDpbU%2FB%2Bwubo5QE%2BA0QZz%2FFP9T11JpXP9Hzm1CEhq1dFWoRIgG%2BaayToGGq%2BGGYfyTHH7Mb8BZfyUlE8CVpPJyWCvvBBBFCOdnNmIHMQ4w14U4TNQECLyWxFL9%2BVCWT88QS3AEqFaD101ToL5s2zZQ2MnTipCx24CFbK0xwbYcvkU09V4HFAqYccvMiad0hIY6P5DgQyEc6%2Fng0DLnWd9WzNUJHgvkohRxp58Al3CiJ5cttWj9Yv3GNcHm%2FuxSib%2BG6HJrctmYrejKvdOV6nknVOLQVPe5CLQ6orYkjceqEWVFk%2FQDyKbhc1WBeabgLZ57fsd%2FHl%2BDsdMpWq4tPKRVpstC7ytRrs6AfzcJv4hDx32NV%2F4ohwoEjW4xfgphtXvkTS4DMIJNfM8hA9GLHSx2M0%2FnhlfboFIJoQLrA2LqhkeKVV3fyfIBwBjFYGNo4n0JvTbaLiPWcG9uv6X%2FxE4fv73WRPk3U9nF%2FeS2mk6fi1o1IeBZfF9B3XqUIiu1%2BXuaAZd32M5pfhL7zoJX64LScJZoPtvI%2FPS9TXx%2BddnResYEfNFXOV3ZfG%2BaB24%2BG%2F%2BEJi8Ri9ooKVLySoOxeVkBN9Sr8CgFmyS6%2BFSbupFOGNmd%2BsXjwRr2GYGtY00rmU6udE%2FBdqpEAP%2F1Zg%3D%3D,7,4,1,1,0,#620583344,,"M,L,XL",Okinoi,Okinoi 10,Rebatible,Doble,NA,ABS,Adultos,NA,Rebatible,NA
21, Casco Moto Integral Ls2 352 Negro Brillo Single Mono ,4490,4890,227,20,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,248,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-653198003-casco-moto-integral-ls2-352-negro-brillo-single-mono-_JM?searchVariation=25521231404#position=21&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,180,60,6,1,1,#653198003,Negro brillante,"XS,S,M,L,XL,XXL",LS2,F352 Rookie Single Mono Negro Brillo,Integral,Simple,Poliestireno,HPTT,Adultos,NA,Integral,FF352
22, Casco Moto Integral Doble Visor Vega Rs1 ,3790,4490,178,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912564#position=22&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,23,0,0,0,0,#770829978,HI-VIZ ORANGE SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA
23, Casco Just1 Enduro Motocross Pro Solid Matt Black ,5964,7017,148,92,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,21,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-688138709-casco-just1-enduro-motocross-pro-solid-matt-black-_JM?searchVariation=35911134536#position=23&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,18,3,0,0,0,#688138709,Matt black,"XS,S,M,L,XL",Just1,JUST 1,Cross,NA,NA,ABS,NA,NA,Cross,NA
24, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,3750,5250,592,9,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,31,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-617028559-casco-rebatible-okn-10-doble-visor-cuello-guantes-full-fas-_JM?searchVariation=35227027250#position=24&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,23,5,1,1,1,#617028559,Azul,L,Okinoi,OKN-10,Rebatible,Doble,NA,ABS,Adultos,NA,Rebatible,NA
