search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Usos recomendados,Línea,Modelo alfanumérico
1, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,2333,NA,403,24,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,330,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668377#position=1&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,219,69,35,5,2,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Urbano,NA,NA
2, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,4678,NA,14,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM#position=2&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,1,0,0,0,0,#714158396,Negro Fluo Amarillo Naranja,XXL,MT,Torn,Integral,Simple,Poliestireno,Policarbonato,Adultos,NA,Thunder,NA
3, Casco Moto Integral Vertigo Max. En Gravedadx ,898,998,854,19,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,53,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-en-gravedadx-_JM?searchVariation=36506481010#position=3&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,38,9,6,0,0,#683109534,Negro,"XL (62 cm),L (60 cm),S (56 cm)",Vértigo,Vertigo Max,Integral,Simple,Set Poliester,ABS,Adultos,NA,Vértigo,NA
4, Casco Moto Integral Vertigo Dominium. En Gravedadx ,2599,2899,898,21,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,225,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-en-gravedadx-_JM?searchVariation=32109894625#position=4&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,141,56,20,3,5,#698754581,Amarillo fluo,"XS (54 cm),L (60 cm),M - 58 cm,XL (62 cm),S (56 cm)",Vértigo,DOMINIUM,Integral,Simple,Set Poliester,ABS,Adultos,NA,Vértigo,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Full ,1557,2179,2298,4,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,317,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-full-_JM?searchVariation=30355974225#position=5&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,198,71,32,12,4,#616668706,,"S,XL",Halcon,H57,Integral,Simple,NA,Policarbonato,Adultos,NA,Integral,H57
6, Casco Moto Integral Vertigo Hk7 Mate. En Gravedadx ,2834,3149,1425,17,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,225,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-en-gravedadx-_JM?searchVariation=25749397874#position=6&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,141,56,20,3,5,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),XL (62 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,NA,Vértigo,NA
7, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,3149,NA,1027,4,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,888,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=26631103121#position=7&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,563,238,57,15,16,#639034451,Gris - Brillo,"S 56cm,M - 58 cm,L 60cm,XL 62cm",Hawk,RS5,Rebatible,Simple,NA,Acrilico,Adultos,Urbana,Rs5 Rebatible,NA
8, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,2333,NA,403,24,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,330,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=jwjOEFP4UdGyuEx6qI2IpYLCBM8XxZJHCSupoYUgDqLNzsTXuu2i%2Bm%2FigIzkXIgq79xBCVuFUO52YfX5EoNznVdyiUNpEkAXNPBCac8c9KFcqhTwFU9HD%2BTOaX0jR9z5bRWNxhGpPw18igIK09qCWNLhZPW5w8jxPZ5HikJFgxxY0GCzb7KEZxbD817hQbLj5t%2B6ZOQN2%2FN207Xg5XjQqoVFJcHaCMZj3qzkwwr8F8xwB0RhC62fi3MKU5BTw4VzNMWm8NF2s69ngr5o48tGfpGv1HgOPckYZgxJmFYR5Lf99Pz0RXTHTIH2Z8JmaIjiy68yo7QBqPa6Yl1mTA5oZgNsjs7ozOHZk%2FUiMwqPUK1ykJEPckUhj4gXwwQPVGz1N3tsgjNVNz8nJ36gvZLtAPpZPprFc3KzfvR9Oz0Ol0zljTa3n3S0tPTZqCfblh2rhIBp%2BUHNWIuuAQdFjBhehHPuicPoSpmjIHfVbTywDPAlqDNe0x8kRanJ0vm%2F7pLhd10oblZ%2FJbOnTff75qZQRHHS%2Fzj%2FJrjMpE%2F%2FoXaRHBzjqKX5tIDtck%2FOHoR9MbYAdN1w1T%2BqsjxVt561BLp0vJ7a60uTQBq7uAXfxeWLFzxBvwnLfd8RcRzBfjlwsHdxw%2BkccAangCDR974m71Hyhz1tauddFx%2FzqIBBShqowIEiWZyOhtrkBJ88BByL5VueqgOVAf1JWKSth%2F1%2Bqsm60GHxOUT5t2OKvs92smaBazjUJfuaywxiNGsSYcENu7I3R%2Bz0VE7x9K8c67DQlKEeI92nFAp%2B3FAf6cFRAyoTGu7P2Iag9mp%2BaR76CdRisNg0q0wzB2E7NI%2BXwAqI83TBJKwM7LOdjFf6JiDj%2FCNIu3iYzTxn8ZTi5rx92gS5c0AePSn74bphD8XHN0RG7QvAbZsLyKznnNiYVIlBsezFE2BP5MB7Fyvj0kAQWt6Fma%2BbFTkUQV2j9MX3xLmIfsGI%2BwCc1VKaDKAPzTBIjgCpLV%2B5AU34wU%2BYk%2B1tuzGgHkrYnhEZS7GaTBoQNonVcC9wQoqLeowQrfP9twaJfIBcAth%2BsRb0OR1vJPiTum0zG9KJwSp9qYS%2B%2B9lNGpCKoXlF71Hyv2ya0svHncR10i0Zk8zP7uZoE9mzfiAhugiSurWuspCwVKNsiQ7F1p8qBYzow44ohmeuKvvf89sQXa6%2BNvnmgBYeEQdNzEP2N6UQiwtg8f547EWC%2FYZvnUGGG4usC7YGjZvRreGzUYE66QEv42bAlDDKlErZnXWkkVviMbzcqu73rysaxff1ebUBj3m5fvLgg2oCvXZskkWtovEn0mi%2FAthwHIeZ%2BrpHHqbFqE44nu8GpLak7IkkzwCdF5w2NXgWV%2BP6rBtdw710RbhDVivFqAuhyXJtsQUW7ZPyuX32eTkvgpPNMXwGxHnHefUV9peLbPMRZvoel%2BteGXAJr4SIeugIm1iSq46X9tfpfOYL7hLs0Vyy6B8MewiSJnVb8io7EUuCglD5cNhtXYGYAjcQu9DtOoCudHyEznrYENtbwQdeaiCpNY0%2BjdF4Yq8PcSG1ALwX8sjcGeap1CMQ13yyUUtg4jzadkdMD8xasdvyCu6cMzhf6497CpdSKSP6FkhIW71vrhmpsCXF7j8x58bUvSe1tLNPhewN6qlUVupGwYtSXbYnZobv5RYLVDTsSbUVIJ%2FWZi3G04CH54Q5BPuS45UIkMM4gXohBv2QQ%2B57O5z20fxYPZPorlMXCS4bs7g5r1%2F3C0ebChgKd%2BRHSDsQZOoJAaFLVeOIzyjTz5Su5QCDQydKH%2BURoHNrBdSzN5SWibbHxZ31i6g%2FyvdqBrHrB9lCd9u%2FoVi26iL0B4vFn7rTj2%2F9W0hDLoBqyTmAFGS4vlwgkYTRHk5x6mDQXgdjzPbi3e%2B23T1ueCjbFd10RZUGn2YYF2tqOqyCxmpJXGfEsC4uZ2CvhtWqz%2FKwl%2Fcb8GUYGaVkzmOoOPf%2BVAXm,219,69,35,5,2,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Urbano,NA,NA
9, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,2381,3333,713,3608,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,104,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=41519443921#position=9&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,67,21,14,1,1,#745949532,,"S,M,L,XL",Halcon,MX Road,Cross,NA,NA,Polipropileno,Adultos,NA,Cross,NA
10, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1546,2164,715,377,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,317,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381#position=10&type=item&tracking_id=6ed439d7-4b7c-4260-a26b-f2760443afcb,198,71,32,12,4,#744827612,Negro,"S,M",Halcon,H57,Integral,Doble,Resina termoplástica,Polipropileno,Adultos,NA,Integral,NA
