search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
430, Casco De Moto Para Niños !!!bueno Bonito Y Barato Con Envio ,37,NA,2,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VRB+EIRL,https://articulo.mercadolibre.com.pe/MPE-428696257-casco-de-moto-para-ninos-bueno-bonito-y-barato-con-envio-_JM#position=32&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#428696257,NA,NA,NA,NA
431, Casco De Moto Scorpion Exo-t1200 Solid Street (negro Mate ,1992,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433968541-casco-de-moto-scorpion-exo-t1200-solid-street-negro-mate-_JM#position=33&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433968541,Scorpion,Solid,NA,EXO-T1200
432, Lexin 1pc Casco De Motocicleta Bluetooth Kit De Auricular ,355,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433502344-lexin-1pc-casco-de-motocicleta-bluetooth-kit-de-auricular-_JM#position=34&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433502344,LEXIN ELECTRONICS DESIGN FOR BIKE,NA,NA,NA
433, Casco Ls2 Helmets Citation Solid Cara Completa Para Motoc ,980,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433493713-casco-ls2-helmets-citation-solid-cara-completa-para-motoc-_JM#position=35&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433493713,LS2 Helmets,Solid,NA,NA
434, Freedconn Cascos De Moto Bluetooth Casco Modular Integrad ,1182,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433972699-freedconn-cascos-de-moto-bluetooth-casco-modular-integrad-_JM#position=36&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433972699,FreedConn,NA,NA,NA
435, Casco De La Motocicleta De Ohmotor Auriculares Bluetooth. ,569,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433386370-casco-de-la-motocicleta-de-ohmotor-auriculares-bluetooth-_JM#position=37&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433386370,Ohmotor,NA,NA,NA
436, Casco Para Niños Motocross Youth Dot Approved - Moto Yema ,522,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433286177-casco-para-ninos-motocross-youth-dot-approved-moto-yema-_JM#position=38&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433286177,Yema,NA,NA,NA
437, Ilm 10 Colores Motocicleta Visera Doble Abatible Casco Co ,440,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-436142731-ilm-10-colores-motocicleta-visera-doble-abatible-casco-co-_JM#position=39&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#436142731,ILM,NA,NA,NA
438, Casco De Motocicleta Ls2 Con Casco Cabrio Carbon Open Fac ,2034,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433968529-casco-de-motocicleta-ls2-con-casco-cabrio-carbon-open-fac-_JM#position=40&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433968529,LS2 Helmets,Cabrio,NA,NA
439, Cascos Para Motos Con Doble Certificación Talla L Y Xl ,250,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HEAL6322764,https://articulo.mercadolibre.com.pe/MPE-429547128-cascos-para-motos-con-doble-certificacion-talla-l-y-xl-_JM#position=41&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#429547128,MT,Jerome/Prey,NA,NA
440, Agv 01017486 K3 Sv Casco De La Motocicleta Mate Negro Gra ,1157,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435575203-agv-01017486-k3-sv-casco-de-la-motocicleta-mate-negro-gra-_JM#position=42&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#435575203,AGV,K-3 SV,NA,K-3 SV
441, Carboss Motocicleta Casco Motocross Goggles Dirt Bike Cic ,210,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-434227452-carboss-motocicleta-casco-motocross-goggles-dirt-bike-cic-_JM#position=43&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#434227452,CarBoss,NA,NA,NA
442, Mochila De Viaje Para Motocicleta Con Soporte Para Casco: ,298,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433525868-mochila-de-viaje-para-motocicleta-con-soporte-para-casco-_JM#position=44&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433525868,Badass Motogear,NA,NA,NA
443," Casco De Moto De Cara Completa Ls2 Arrow Carbon (negro, X ",2315,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-434017220-casco-de-moto-de-cara-completa-ls2-arrow-carbon-negro-x-_JM#position=45&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#434017220,LS2 Helmets,NA,NA,NA
444," 2015 fox Racing V2 race Casco De Adultos, Motorcross-moto ",1036,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437090627-2015fox-racing-v2race-casco-de-adultos-motorcross-moto-_JM#position=46&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#437090627,Fox Racing,Race,Cross,V2
445, Cascos Certificados Para Motos Mt Helmets Integrales ,229,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435284863-cascos-certificados-para-motos-mt-helmets-integrales-_JM#position=47&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#435284863,MT Helmets,NA,NA,NA
446, Casco Para Moto Dama Led Delivery Gratis Tdo Peru Lima 2hras ,250,NA,0,99,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOTO+AVENTUREROS-SOBRE.RUEDAS,https://articulo.mercadolibre.com.pe/MPE-432461536-casco-para-moto-dama-led-delivery-gratis-tdo-peru-lima-2hras-_JM#position=48&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#432461536,NA,NA,NA,NA
447, Casco De La Motocicleta Montar Gafas Gafas Con Mascarilla ,194,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433975881-casco-de-la-motocicleta-montar-gafas-gafas-con-mascarilla-_JM#position=49&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#433975881,GGBuy,NA,NA,NA
448, Casco De Motocicleta Bluetooth 41 Casco Auricular Scs Et ,503,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435572788-casco-de-motocicleta-bluetooth-41-casco-auricular-scs-et-_JM#position=50&type=item&tracking_id=91cc631c-e87b-4e69-a27a-13cb64583910,NA,NA,NA,NA,NA,#435572788,SCS ETC,NA,NA,NA
449, Cascos Integrales Certificados Para Moto Shaft ,229,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435486973-cascos-integrales-certificados-para-moto-shaft-_JM#position=1&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435486973,Shaft,NA,NA,NA
450," Casco Ls2 Helmets Pioneer De Motocicleta Todoterreno, De ",985,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437092905-casco-ls2-helmets-pioneer-de-motocicleta-todoterreno-de-_JM#position=2&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#437092905,LS2 Helmets,Solid,Cross,Pioneer
