search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Peso
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,"
			
			
				
				1679
				vendidos
			
		",(76 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3942
		
		 sin intereses
		
	

	
		",42,NA,Llega gratis mañana,NA,NA,4.5,64,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,8,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,248,284,"
			
			
				
				1071
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2458
		
		 sin intereses
		
	

	
		",58,NA,Llega gratis mañana,NA,NA,4.2,66,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,38,14,9,2,3,#591638162,Taurus,Minos,Taurus Minos,Planos,1,Láminas,Recargable,45,45 m,0.14 kg
3, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1576
				vendidos
			
		",(44 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis mañana,NA,NA,4.8,97,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,82,12,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA,NA
4, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,"
			
				Nuevo
			
			
				
					 - 
				
				492
				vendidos
			
		",(264 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.4,15,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,9,3,3,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
5, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,599,799,"
			
			
				
				744
				vendidos
			
		",(286 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis mañana,NA,NA,4.9,20,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,18,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h,NA
6, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				105
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9830
		
		 sin intereses
		
	

	
		",30,NA,Llega gratis mañana,NA,NA,5.0,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,NA,NA,NA,NA,NA,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h,NA
7, Rasuradora Cortadora Barba Bigote Remington Maquina ,780,NA,"
			
			
				
				133
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7706
		
		 sin intereses
		
	

	
		",06,NA,Llega gratis mañana,NA,NA,4.8,12,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,10,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h,NA
8," Philips Norelco Rasuradora Mg7790-18 Piezas, Barba, Cuerpo. ",244,442,"
			
				Nuevo
			
			
				
					 - 
				
				492
				vendidos
			
		",(264 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.4,15,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=lLKuobLnAiy6wVGzu5azLjMmEHDP92LEUpV6UEUiRWZO37YVqGU%2FfE1OOE9q94pDe0bWfwB3l54ZzPgkntXpMikcrtu%2B96vwsHknq1YkGPBvzfrvLbbMMNDsOxKe3ouPTsW85ii38UQCHcCGXARoURROBBrGN3v4%2FFSBaJwtMaubRBd8n5XMgEaDVKPkJUTktjKsmyTfOzbLoAkwu02imVJGiG2EaErnuXWtCVRXPfhj7omnQ7x2TqzbZnWVmXNNPy%2BVboXc0WuxHg4nJz9JDWgYsmnjEARL3RUV1FnvTLbnm6Bi11n6QykzqX0OaikBpKTRIm6W0jlLVRCh8QL5aEFXIku5XfxMOsGHp71c19S1oVhpd9fnKB2OnEEiboGB%2BUo61Q8BbJZ4COefj5he9U16nmGPJFlax3n4YSEMhlDhz6Mp20s7fCMdYU6A%2BDq0uruqaO7GcHVG8WcoFJeDRQVQ8CP4g44Ekp3pSChHje7u%2FRVb3TxVja%2FVnBKORzoq6EoU3I%2Fnrvb1NNU7wgXykIco13%2BJI%2BLCmSmTaPIStbE5cAiVw27BuIZy6jPNqY0EQPpJs7NCq%2BNKpPR%2F3V6xw4MpdztsnWPBiM%2FGv9%2Fu6oOEiWd24FCMoqf2CeCwMAboKlZgQxXtEP9o0oOifqApBZPEStC8XaoJ1ZlyMR9MxFzvwp5zuRNCVaw3CK4dc4wEzkVhA9XCr74xEHyQFFPBBYz7vwEsyNbJFywnrlfCcKVL8lQ9NWN2d60e39UO6ig9lK38n9Tfuztv3VZy%2BleKwLmi3%2FhCKe1LXgpBdf4%2BGDlPEfxvJ15ax4Q%2B3jHuvX%2BsD6XhRJrIrcyAEF3WmEpD%2BPs2mq%2F5BD5BNQSOMYHbVRyK7hB3IKkdQ7dXZXpoy1E3gyw0%2BoY%2BPl9HGIKoqEiERiaDzEl5VXqvALXrElDa%2F9X0EXtQ2zur8i9NX0rlN%2Fv5QYEQwEMMBPxoNpIHl%2BPyp53eUBrp49%2BDHbWUXowpUFPu3EL%2Bkerwc5KSFpFrcH0urByMziMyQZzOTQJebK4LDFFiNGAYvMxR9kFZSGiN01OQl%2BM5JFPZE5%2Fw7AJl20WkKgYno8to8lF558iRybWvtH8xPC%2FzgZb6S2zhGaT4%2BY28L1tHOz2Ua4c2O0wBMas5LcGvmosk9%2BVHuDdugv9UEJkZEqFrNjv9kS%2BapYgy%2FNIq0AkfpkNtlOd7gOz%2B2iq4nDK6U4ioajXMNrdhf8qXXNe8eNr91c8oKbVYm8oppzWsp5a28wAg1%2BKtm5HG5%2BVEymUtxcyV6rKf7h2s84zaRXGyHZYfmWFXNabRpmMwRfkTKfFoB2xdncZFUVv7U%2FsliZHZFTUqQ5PILVs1DVGeD1BAAoWgaqJfwO4BKlONsV%2FaUbtns1zMsSI7bADjPVF3ziC8ca%2BsiwofNqNS57o68JHWu%2B5gEmCCFe5p%2F0cpdMQjcX0z5m3LU9V%2Bf5KufOQVvfurRXCvgG6%2FIA8tfj6rG%2FzFA%2FPSYxb0O8MlZUh84tIE9ycZi51IFqWpuX3uiMHq6OCVePIut3vB%2BnH9FC%2Bjxm8W908aHNgcFrrKj3TxAv5%2BokPuyKBoh8L1c4tWyTbeOe4PlPkfwR0h1IMP8S8yg4fkRD24SRyNkAySWDGeaA7UDfxcyBZvQtToBpMpWYmBfg7A75nGLyedHyvQ2o9H8jys6XmLZyeqw%2Bbx7DS6QBofYzWg6gpZHwYg99r%2FnTQOq4adQdQoD%2FMGgD4EW9xj7EZjO2YWOQT2OBVIIO8Uaww6%2Fg%2FmuuewC83SM03cNdqqXanCFRlNcT3Etu%2BUmW%2BikBqGs9crUlMPX%2F02xD8%3D,9,3,3,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
9, Maquina Rasuradora 3 Cabezas Independientes Recargable ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				131
				vendidos
			
		",(166 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1939
		
		 sin intereses
		
	

	
		",39,NA,Llega mañana,NA,NA,4.8,4,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,https://articulo.mercadolibre.com.mx/MLM-666698396-rasuradora-afeitadora-wahl-recargable-all-in-one-14pzs-nueva-_JM,3,1,0,0,0,#666698396,Wahl,all in one,9685-200,Nariz y Oído Trimmer,NA,NA,Recargable,80 m,NA,NA
10, Philips Norelco Maquina Barba Nariz Y Oídos Envío Gratuito ,549,790,"
			
			
				
				953
				vendidos
			
		",(45 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5424
		
		 sin intereses
		
	

	
		",24,NA,Envío gratis a todo el país,NA,NA,4.5,46,https://perfil.mercadolibre.com.mx/MERCADAZOOFICIALES?brandId=880,https://articulo.mercadolibre.com.mx/MLM-612753157-rasuradora-electrica-remington-cortadora-cabello-vello-9pzas-_JM,33,9,0,2,2,#612753157,Remington,REMINGTON,PG6020B (110) F,"Cortador para detalles, Peine con 8 ajustes, 3 peines para barba, Cortador curvo, Cortador de vellos nariz y orejas, Mini afeitadora, Base de Almacenaje",4,Láminas,Eléctrica,50 MINUTOS,4 h,386 g
