search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
24, Depiladora Electrico - Rasuradora - Depilacion - Portatil ,58,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIEGO+ALIKE,https://articulo.mercadolibre.com.pe/MPE-431691414-depiladora-electrico-rasuradora-depilacion-portatil-_JM,NA,NA,NA,NA,NA,#431691414,NA
25, Corta Pelo Eléctrico Afeitador Cabello Maquina Rasurador ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(41 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,https://articulo.mercadolibre.com.pe/MPE-424302468-corta-pelo-electrico-afeitador-cabello-maquina-rasurador-_JM,NA,NA,NA,NA,NA,#424302468,NA
26, Afeitadora Electrica Inalambrico Recargable Depilador ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(94 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JHOUNETHAQUISE,https://articulo.mercadolibre.com.pe/MPE-433179890-afeitadora-electrica-inalambrico-recargable-depilador-_JM,NA,NA,NA,NA,NA,#433179890,NA
27, Povos Humedo Y Seco Rotatorio Para Hombres Afeitadora Electr ,291,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436105826-povos-humedo-y-seco-rotatorio-para-hombres-afeitadora-electr-_JM,NA,NA,NA,NA,NA,#436105826,Povos
28, Rasuradora Eléctrica Wilkinson 4 En 1 - Gratis 8 Recargas ,97,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/USER316,https://articulo.mercadolibre.com.pe/MPE-437132670-rasuradora-electrica-wilkinson-4-en-1-gratis-8-recargas-_JM,NA,NA,NA,NA,NA,#437132670,Wilkinson Sword
29, Afeitadora Electrica Taurus Tma 6000wd ,80,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432939167-afeitadora-electrica-taurus-tma-6000wd-_JM,NA,NA,NA,NA,NA,#432939167,NA
30, Corta Pelo Electrico Maquina Afeitador Cabello Rasurador ,39,NA,"
			
				Nuevo
			
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DEKORTIME,https://articulo.mercadolibre.com.pe/MPE-436432465-corta-pelo-electrico-maquina-afeitador-cabello-rasurador-_JM,NA,NA,NA,NA,NA,#436432465,GN
31, Afeitadora/rasuradora Eléctrica Recargable De 3 Cabezas ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(24 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LIMBO+PERU,https://articulo.mercadolibre.com.pe/MPE-433900807-afeitadorarasuradora-electrica-recargable-de-3-cabezas-_JM,NA,NA,NA,NA,NA,#433900807,NA
32, Remington Sp21 Cabezas De Afeitadoras Electricas - Cortadore ,210,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436105270-remington-sp21-cabezas-de-afeitadoras-electricas-cortadore-_JM,NA,NA,NA,NA,NA,#436105270,Remington
33, Corta Pelo Eléctrico Afeitador Cabello Maquina Rasurador ,34,NA,"
			
				Nuevo
			
			
		",(75 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LIMBO+PERU,https://articulo.mercadolibre.com.pe/MPE-436920085-corta-pelo-electrico-afeitador-cabello-maquina-rasurador-_JM,NA,NA,NA,NA,NA,#436920085,NA
