search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,2999,NA,"
			
			
				
				1174
				vendidos
			
		",(183 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,110,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,77,25,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,"
			
			
				
				1955
				vendidos
			
		",(45 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2493
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,192,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,144,43,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
4, Corta Pelo Y Barba Afeitadora Gama Electrica Inalambrica ,1669,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3966
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-electrica-inalambrica-_JM,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				689
				vendidos
			
		",(64 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,43,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,31,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos,NA
6, Afeitadora Philips Aquatouch S1030/04 ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				900
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,557,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,375,122,38,13,9,#729696881,NA,NA,NA,NA,NA,NA,NA,NA
7, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1632,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(60 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA
8, Cortabarba Multigroom Philips Mg7715/15 ,2999,NA,"
			
			
				
				1174
				vendidos
			
		",(183 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,110,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9hDWyPLSzCCeTPZj4BZWbrOT%2FIfSkT%2BL8RkaCIPaG0xpKPgWp1auKYCvuoR5ymR97PXAZUoByjS5akD9nImQB%2FGAAqTtf34Huxcg7zcLyZCpmW08yYP0QmIqYro70RAANKFeKu7cuZMe76lMGEBGZSMVesykGnU3770HDwfZg22MW0OLYvddPz7K3jn3uYeOy9%2BLW76dyqsq0MzzOuPR2gzNa%2B5gsYoIgVtY6FuxvfCySwPpog5KTaMgsp18%2Be0e9ZIP7MmxEngj1pEGJE8trob5askDu10Madd8gRT2YzTDvpF9CrjF%2BLB0eBEZh3AXh%2BrECnQOPxkQeJscNBPomHFE9qZdFhaLIllmG98PL5Wwse6HHaFl%2BZT6cQmIv59LUChkeKnmpw7ufoigQHtn%2FNlvOJIoxKhbAo33%2BZ%2ByZ9imwqJU2m781ktLPx09WDdmswWWGsHLsSsw9eRsYKN3q%2F%2Fr5IBZGll%2FBEK9Neo0ooDL2ESn8oGxwV6hU281a6yb8Lfg%2BcPnuXjW3UguB5LGkbaYAyqlW5iu173jZXjK4VjL1mb01gbkslXWzpl5nUsY383wYXZrqGmqERKRqvf4E0%2FPI55tkSTF8Uyy2dd9jSmMc8Sh%2B2yGNNUddfGPt5IFR2WyIjls2SiqKvMOMOaLZ%2FpwWzF6uJCvobldXnhMRXwKi%2B%2Bs08TufQ2rb9HhNH%2FsapLqvDhRu%2F5%2FkZiQpE4khxDjxWOKbO4p5W3HLWRPFkpPafwFC3WVzCkyJ%2FmbdUXtybzAOZjkmTFzleOIh2dhTynLl4CdWIzzmYMHNKhiYg0lLKzOoZog4LUgtDnrnsO2%2F%2Bc56EgBmG1%2FbBxx9itValYYJAokFyM%2FiRqR18L4PLAyo86tLB8D2pT32OpixIYGk%2F7DSzdpZtlhzaubBbrMz86mYau8E3oHB6ZycRmG%2Bt5L3UBlsxaZhTk7jYq4Zj6BlYuZdKIDcdglcUL5Lpu0x6zq32nns9RAGpAXZl7JN07VxFtiJmY3NzrsjXzDGNruBPdD%2B6rEorbto%2B%2Bch5ofbJDYEfWHZo6xVdsDIwWguVu%2BBcfu2AVHZetIrd%2B8t0n819mgTAaBn%2BKFIsPVuOAyaV8YDF%2BwvcQMj7d5nTXHoWJ0y9uSbxvGsPn%2BLCwE%2FPNYyofota9nDmivJkMPktaMCv2ZaPf1SNnNIrWwPNMuzxcXN1ehluI1pa5Pw4iet5%2Fgx%2BS0nKXYTuuZZ2Kr6w2NAQVRSzP0uctIbEtZfYNC4lLDf48KNJfbZI9tplsz4X5IofYqptZ491oYGK79PkAH05nCoLGZHgTRbjxL22p%2FfcPBv8refSCuyhtlzcjdh0gvvzIZ0pSeCQQxCF5dAVpax5h%2F2xLE71RYHep26IUEOgEyCTbX%2FDd00Mauw8jBpTrIdnAEKkrorjIMZoD5TEgGW%2B9m7xqk9iAoUIO37b1tM9Xclx8Q7v8J4hThUw9QC3prGo%2BX0uj5svgYHN0wKrzPFDoqwp6X4k1xneyw3ShOiPCAwovqGebZQ1hhtMzdNHAiJdLL46cTubQTy1EKVKhWd072pK2ApYjs0kY9y7VWckUeNvIs0TvFhyNQgR4pAUg3l2Po0Q5BtWs5Ho2CrEvUnYJW9g%2FQUpQWckf5KQFr3TYEcWFp1zhh7ULbdXjEsgtLWCGzkbmmA22BpondaIhQE1sp6sRqtg9b5w%2F2lfSJkHTKBw%2B7hiQ7cUDnaHmcsklqNKQtrYrp6jbmlnU1Jc4Cg0pgI%2BRf,77,25,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA
9, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				394
				vendidos
			
		",(30 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,15,6,1,0,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,40M,220v,Planos,NA
10, Afeitadora Recortador De Barba Phillips One Blade ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				709
				vendidos
			
		",(77 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,52,10,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,30 minutos,NA,NA,NA
