search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Marca,Modelo,Material
312," Funda Case Protector Baseus Premium iPhone 7, 8, 7+, 8+ ",55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BASEUSIMPORTLTD,https://articulo.mercadolibre.com.pe/MPE-423981203-funda-case-protector-baseus-premium-iphone-7-8-7-8-_JM#position=12&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#423981203,Apple,NA,NA,NA,NA
313, Case Protector Funda Touch Armor Ironman Plateado iPhone 7 8 ,39,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NDMSTORE,https://articulo.mercadolibre.com.pe/MPE-424208067-case-protector-funda-touch-armor-ironman-plateado-iphone-7-8-_JM#position=13&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#424208067,Apple,NA,NA,NA,NA
314, Funda iPhone 8 Case Ligero Apple Negro Azul Gris ,10,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ISTORETEC,https://articulo.mercadolibre.com.pe/MPE-429487120-funda-iphone-8-case-ligero-apple-negro-azul-gris-_JM#position=14&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#429487120,Apple,NA,Apple,NA,NA
315, iPhone Funda Protectora Magnetica 6 S 7 8 ,59,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROSE_2019,https://articulo.mercadolibre.com.pe/MPE-436448756-iphone-funda-protectora-magnetica-6-s-7-8-_JM#position=15&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436448756,Apple,NA,NA,NA,NA
316, Case Protector Funda Perlas Popsocks Elegante iPhone 8 + / 8 ,48,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-437007069-case-protector-funda-perlas-popsocks-elegante-iphone-8-8-_JM#position=16&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437007069,Apple,NA,NA,NA,NA
317, Protector Case Funda Pink iPhone 6 7 8 ,30,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LINESSTORE,https://articulo.mercadolibre.com.pe/MPE-437410896-protector-case-funda-pink-iphone-6-7-8-_JM#position=17&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437410896,Apple,NA,Apple,NA,NA
318, Protector Case Fundas Corazones iPhone 6 7 8 ,30,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LINESSTORE,https://articulo.mercadolibre.com.pe/MPE-437411536-protector-case-fundas-corazones-iphone-6-7-8-_JM#position=18&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437411536,Apple,NA,Apple,NA,NA
319, Case Protector +audífono Bluetooh iPhone 7 8 Plus X Xs Funda ,49,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SABO520433,https://articulo.mercadolibre.com.pe/MPE-437859505-case-protector-audifono-bluetooh-iphone-7-8-plus-x-xs-funda-_JM#position=19&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437859505,NA,NA,NA,NA,NA
320, Funda Case Protector Todo Terreno iPhone 7/8plus Metal ,249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-428831131-funda-case-protector-todo-terreno-iphone-78plus-metal-_JM#position=20&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#428831131,Apple,NA,NA,NA,NA
321," Fundas Silicona iPhone 7 Plus, iPhone 8 Plus, iPhone 7, ",60,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-429757047-fundas-silicona-iphone-7-plus-iphone-8-plus-iphone-7-_JM#position=21&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#429757047,Apple,NA,NA,NA,Silicona
322, Funda Silicone Case Apple Para iPhone 8 iPhone X Original ,49,NA,"
			
				Nuevo
			
			
		",(16 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AYD+PERUPHONE,https://articulo.mercadolibre.com.pe/MPE-430008037-funda-silicone-case-apple-para-iphone-8-iphone-x-original-_JM#position=22&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#430008037,Apple,NA,Silicone,NA,Silicona
323, Case Protector iPhone 7 8 Funda Protector ,35,NA,"
			
				Nuevo
			
			
		",(200 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-431707211-case-protector-iphone-7-8-funda-protector-_JM#position=23&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#431707211,NA,NA,NA,NA,NA
324, Funda Para iPhone 7/8 Plus | Geometric Premium ,38,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KINZESHOP,https://articulo.mercadolibre.com.pe/MPE-435471044-funda-para-iphone-78-plus-geometric-premium-_JM#position=24&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#435471044,NA,NA,NA,NA,NA
325, Apple iPhone 8 Funda Case Anti Golpes Estuche Cover ,39,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-436650062-apple-iphone-8-funda-case-anti-golpes-estuche-cover-_JM#position=25&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436650062,NA,NA,NA,NA,NA
326, Funda Universal Impermeable Con Correa Para iPhone X 8/7/7 P ,127,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436787946-funda-universal-impermeable-con-correa-para-iphone-x-877-p-_JM#position=26&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436787946,Samsung,NA,ARIZA,NA,NA
327, Funda Impermeable Universal Para iPhone X 8 7 6 Mas Se Galax ,123,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436821414-funda-impermeable-universal-para-iphone-x-8-7-6-mas-se-galax-_JM#position=27&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436821414,Apple,Pink,SMARTLLE,NA,Silicona
328, Funda De Piel Sintetica Con Clip De Cinturon Para iPhone 8 G ,138,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436821415-funda-de-piel-sintetica-con-clip-de-cinturon-para-iphone-8-g-_JM#position=28&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436821415,NA,Brown,HZYISIDA TM,NA,NA
329," Htwon Funda Impermeable Universal Para iPhone X, 8/8 Plus, 7 ",128,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436821421-htwon-funda-impermeable-universal-para-iphone-x-88-plus-7-_JM#position=29&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436821421,Samsung,White,HTWON,NA,NA
330, Funda De Nailon Con Cremallera Para iPhone 8 PlusiPhone Xsam ,123,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436821424-funda-de-nailon-con-cremallera-para-iphone-8-plusiphone-xsam-_JM#position=30&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436821424,Apple,Green,HZYISIDA TM,NA,NA
331," Ailun Funda Impermeable Para iPhone X / 8 / 8plus, 7 / 7plus ",127,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436821432-ailun-funda-impermeable-para-iphone-x-8-8plus-7-7plus-_JM#position=31&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436821432,Apple,NA,AILUN,NA,NA
332," iPhone 8 funda, iPhone 7 funda, Anker Karapax Seda Funda De ",151,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSDA6454778,https://articulo.mercadolibre.com.pe/MPE-437643307-iphone-8funda-iphone-7funda-anker-karapax-seda-funda-de-_JM#position=32&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437643307,NA,NA,NA,NA,NA
333," Funda Anker Karapax Para iPhone 8 Plus, iPhone 7 Plus, Con T ",124,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSDA6454778,https://articulo.mercadolibre.com.pe/MPE-437643671-funda-anker-karapax-para-iphone-8-plus-iphone-7-plus-con-t-_JM#position=33&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437643671,NA,NA,NA,NA,NA
334," Funda Para iPhone 8 Plus, iPhone 7 Plus, Anker Karapax Funda ",134,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSDA6454778,https://articulo.mercadolibre.com.pe/MPE-437643812-funda-para-iphone-8-plus-iphone-7-plus-anker-karapax-funda-_JM#position=34&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437643812,NA,NA,NA,NA,NA
335," Funda Para iPhone 8 Plus, Funda Para iPhone 7 Plus, Anker Ka ",144,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSDA6454778,https://articulo.mercadolibre.com.pe/MPE-437643907-funda-para-iphone-8-plus-funda-para-iphone-7-plus-anker-ka-_JM#position=35&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437643907,NA,NA,NA,NA,NA
336, Funda iPhone 7 Plus D30 / iPhone 8 Plus Case D30 ,65,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-430155602-funda-iphone-7-plus-d30-iphone-8-plus-case-d30-_JM#position=36&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#430155602,Apple,NA,NA,NA,NA
337, Apple Leather Case @ iPhone 7 8 Funda Cuero Taupe ,179,NA,"
			
				Nuevo
			
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436262253-apple-leather-case-iphone-7-8-funda-cuero-taupe-_JM#position=37&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#436262253,Apple,Taupe,Apple,Leather Case,Cuero
