search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo
679, Spigen Ultra Hybrid S [2nd Generation] Funda Iphone 8 Plus / ,112.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-474923269-spigen-ultra-hybrid-s-2nd-generation-funda-iphone-8-plus--_JM#position=16&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#474923269,NA,NA,NA
680, Spigen Liquid Crystal [2nd Generation] Funda Iphone 8 / ,68.512,NA,0,99,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-475050507-spigen-liquid-crystal-2nd-generation-funda-iphone-8--_JM#position=17&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475050507,NA,NA,NA
681, Spigen Liquid Crystal [2nd Generation] Funda Iphone 8 Plus / ,115.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-475050577-spigen-liquid-crystal-2nd-generation-funda-iphone-8-plus--_JM#position=18&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475050577,NA,NA,NA
682," Funda Jaagd Para Iphone 8, Funda Para Iphone 7, Estuche Anti ",215.5,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDREMATE,https://articulo.mercadolibre.com.co/MCO-475376900-funda-jaagd-para-iphone-8-funda-para-iphone-7-estuche-anti-_JM#position=19&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475376900,NA,NA,NA
683," 2018 Hot Sale Anlis Funda De Lujo Para iPhone, iPhone (8 Plu ",107.3,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDREMATE,https://articulo.mercadolibre.com.co/MCO-475528903-2018-hot-sale-anlis-funda-de-lujo-para-iphone-iphone-8-plu-_JM#position=20&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475528903,NA,NA,NA
684," Funda iPhone 8 Plus Con Monedero, Funda Zve Apple iPhone 8 ",133.228,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475610305-funda-iphone-8-plus-con-monedero-funda-zve-apple-iphone-8-_JM#position=21&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475610305,NA,NA,NA
685," Funda De Cartera Para iPhone 8, Funda De Cartera Para Iphon ",106.661,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475610344-funda-de-cartera-para-iphone-8-funda-de-cartera-para-iphon-_JM#position=22&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475610344,NA,NA,NA
686, Funda Spigen Slim Armor Cs Para iPhone 8 Plus / iPhone 7 Pl ,116.056,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475610517-funda-spigen-slim-armor-cs-para-iphone-8-plus-iphone-7-pl-_JM#position=23&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475610517,iPhone,NA,NA
687," Funda De La Cartera Para iPhone 7 Plus / iPhone 8 Plus, Zve ",106.661,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475610675-funda-de-la-cartera-para-iphone-7-plus-iphone-8-plus-zve-_JM#position=24&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475610675,NA,NA,NA
688," Funda Ulak Flip Wallet Para iPhone 8 / iPhone 7, Funda De P ",85.932,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475610763-funda-ulak-flip-wallet-para-iphone-8-iphone-7-funda-de-p-_JM#position=25&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475610763,NA,NA,NA
689," iPhone 7 Plus Funda Con Cremallera, iPhone 8 Plus Funda De ",164.258,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475610796-iphone-7-plus-funda-con-cremallera-iphone-8-plus-funda-de-_JM#position=26&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475610796,NA,NA,NA
690," Funda iPhone 7 / iPhone 8 De Urvoix, Cartera Con Cremallera ",164.745,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-475611687-funda-iphone-7-iphone-8-de-urvoix-cartera-con-cremallera-_JM#position=27&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475611687,NA,NA,NA
