search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Modelo del celular,Marca,Modelo,Material
1, Case iPhone X Xr Xs Max 7 8 Plus Protector Delgado Mate ,69,NA,10,89,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989808-case-iphone-x-xr-xs-max-7-8-plus-protector-delgado-mate-_JM#position=1&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,1,0,0,0,0,#435989808,Apple,Negro,NA,NA,NA,NA
2, Funda iPhone 7/8/7 Plus/8 Plus/ X 3 En 1 Case Carcasa ,12,NA,19,55,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431223060-funda-iphone-787-plus8-plus-x-3-en-1-case-carcasa-_JM#position=2&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#431223060,Apple,NA,NA,NA,NA,NA
3, Case Galaxy S10 Plus S9 S8+ S8 Cover iPhone Xs Max X Note 9 ,169,NA,80,73,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-424678527-case-galaxy-s10-plus-s9-s8-s8-cover-iphone-xs-max-x-note-9-_JM#position=3&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,5,1,0,0,0,#424678527,Samsung,NA,S10 Plus S9 S8+ S8 iPhone Xs Max X Note 9,Z-Bold Armor USA,Case c/ 2 parantes y Gancho,Policarbonato y tetrapoliuretano
4, Case iPhone X Xs Max Xr 7 8 10 Plus Xs Protector Supcase Usa ,129,159,16,83,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989656-case-iphone-x-xs-max-xr-7-8-10-plus-xs-protector-supcase-usa-_JM#position=4&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,0,1,0,0,0,#435989656,Apple,NA,NA,NA,NA,NA
5," Funda Para iPhone 6, 6 Plus,7 Plus ,8 Plus - Autofocus Case ",16,NA,6,70,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-432242766-funda-para-iphone-6-6-plus7-plus-8-plus-autofocus-case-_JM#position=5&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432242766,Apple,NA,NA,NA,NA,NA
6, Protector Funda Silicone Case iPhone X 7 8 Y Plus Sellado ,34,NA,394,34,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.7,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-422401481-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM#position=6&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,3,2,0,1,1,#422401481,Apple,NA,NA,NA,Silicone Case,NA
7, Funda Case Protector iPhone 7/8/plus+ Protector Pantalla ,19,NA,18,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-431577553-funda-case-protector-iphone-78plus-protector-pantalla-_JM#position=7&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,0,1,1,0,0,#431577553,Apple,NA,NA,NA,NA,NA
8," Funda Case iPhone 6, 6s, 7, 7plus,8, 8plus,xr, X, Xs, Xs Max ",55,NA,4,9,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296638-funda-case-iphone-6-6s-7-7plus8-8plusxr-x-xs-xs-max-_JM#position=8&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435296638,Apple,NA,NA,NA,NA,NA
9, Apple® Leather Case Para iPhone 7 8 Plus Funda Cuero Tienda ,189,NA,3,96,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990324-apple-leather-case-para-iphone-7-8-plus-funda-cuero-tienda-_JM#position=9&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435990324,Apple,Negro,NA,Apple,Leather Case,Cuero
10," Case Funda Anti Golpe Caída iPhone 6, 6+, 7/8, 7/8 Plus, X ",34,NA,5,45,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODRI+STORE01,https://articulo.mercadolibre.com.pe/MPE-432630035-case-funda-anti-golpe-caida-iphone-6-6-78-78-plus-x-_JM#position=10&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432630035,Apple,NA,NA,NA,NA,TPU
11, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,160,104,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM#position=11&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,4,1,0,0,0,#421205404,Apple,NA,NA,NA,NA,NA
12," Protector Funda Case Para Apple iPhone 7, 8 Original Sp ",59,NA,15,981,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SMARTPHONES_PERU,https://articulo.mercadolibre.com.pe/MPE-429142689-protector-funda-case-para-apple-iphone-7-8-original-sp-_JM#position=12&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#429142689,Apple,NA,NA,Apple,78,NA
13, Case iPhone 7/8 / 7/8 Plus X De Cuero Louis Vuitton Y Gucci ,65,NA,8,492,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-433215134-case-iphone-78-78-plus-x-de-cuero-louis-vuitton-y-gucci-_JM?searchVariation=40515285935#position=13&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,1,0,0,0,0,#433215134,Apple,NA,NA,NA,NA,Cuero
14, Case Delgado Mate Para iPhone X Xr Xs Max 7 8 Plus Protector ,69,NA,5,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989675-case-delgado-mate-para-iphone-x-xr-xs-max-7-8-plus-protector-_JM#position=14&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435989675,Apple,Negro,NA,NA,NA,NA
15, iPhone Case Fibra Carbono 8 7 Plus X Protector Funda Cover ,24,NA,5,15,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-433924614-iphone-case-fibra-carbono-8-7-plus-x-protector-funda-cover-_JM#position=15&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#433924614,Apple,NA,NA,NA,NA,NA
16, Funda Protector Case Uag Monarch Note 8 iPhone 7 8 Xs Max ,69,NA,112,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,2,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-420085642-funda-protector-case-uag-monarch-note-8-iphone-7-8-xs-max-_JM#position=16&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,0,2,0,0,0,#420085642,Apple,NA,NA,NA,NA,NA
