search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
11, Estuche Funda iPhone 7 Y iPhone 8 ® Blister En Silicona ,450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(61 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2500
		
		 sin interés
		
	

	
		",00,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406832-estuche-funda-iphone-7-y-iphone-8-blister-en-silicona-_JM#position=11&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,2,0,1,0,0,#455406832,Apple,NA,NA,Silicona
12, Funda Transparente iPhone 8 & 8 Plus Ultra Slim Hybrid Case ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				242
				vendidos
			
		",(20 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2772
		
		 sin interés
		
	

	
		",72,NA,Envío gratis a todo el país,NA,NA,4.6,22,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-448803228-funda-transparente-iphone-8-8-plus-ultra-slim-hybrid-case-_JM#position=12&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,14,7,1,0,0,#448803228,Apple,NA,NA,NA
13, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus + Vidrio 5d ,780,NA,"
			
				Nuevo
			
			
				
					 - 
				
				46
				vendidos
			
		",(45 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 4333
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443898511-protector-360-magnetico-iphone-6-7-7plus-8-8plus-vidrio-5d-_JM#position=13&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#443898511,Apple,NA,NA,Aluminio
14, Funda Estuche Protector De Cuero Para iPhone 8/7 Marrón ,35,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7206
		
		 sin interés
		
	

	
		",06,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFORAMA10,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=HwhryR0D9d%2BYUQYMprJcmupT74LcMBr1P7V7xv02%2BHpK0ZUw1qIRb5p%2F64NKfKNs5Jl2xerJ1hYxBXPmFCZNe5qffkB758C2271E38LwsJKc4CAqOiht%2BlQ1BmX1utV7xCDFomFKPkwTUvJeloYBpA7ubW5OWaSjhQHa4xVs8zp9ZqS9%2F596y9871dCy7uk4PK5GlGXO0zQ7Q6%2FB4lEQwDt9lxhb3ZWAS6mkNheiIbgVIAfCRx9IZxMkjoFkLyLUx%2FUVBzA4536LlMVrQ87R3bYcdwJWWDNJx84E%2BBwCMe6rYLHMMbliDhikOaSaxbGTofbet94IIkupHxn3H369RKwXmnQWd7DYEhEZpn1BsTIs5K2ZvnZ4GlQTT7FNvzl9gw8%2BKXlxPCkPgL1Nzmg7kkEzC7fHXruspzFbaNIfxkwUvqp8uhpk393q%2FbRn1XJC%2BkrWVU2OgGezTr%2FgliXfbotTN1bzGI6UBz0ONpDk6CzrU0rztiptJItrUFyJZ4WJeoq23SXEYQzH7scAFJBDqxlFJ%2FBZG%2B1F2TVYtX%2FxYKSFIgtItiQnJHF%2FuHH5Oqz8Lc3Ug3QpQxuqC3dOCNqLEc8ArPFXOr5kMfBHOZGFQ0qJL4tPWGXvFSGnSWsWzFnNjoLnP6mkkJ37J6vUcdwkjFbgwUWvqcMWs9kcFQHs13Zv%2BB9BvuYzGvLKM7xsGWdh91PGn5nMftMwrnwQsxNcL%2FCjqUYSmVVcAZ505oe0y3kNTU5RNmHZhUdvrS8JC5u96BAAhx2sgtV%2BE4qDTGuLj4FQnv1Lms89f3bpytATMHX87bOf2WAIqUnN3q8NxHqmja5hBZ25N5FeN2ytE%2FH7UpA2g1RvtVu7K%2BExfXOjYRj%2FUmMf8vgPktdBxzKLSX3wEfFlkKQkqEVJU6pCw2A0NyGOVp9uaKc79zHjYGlDEqi4P4IIu1IwrDo8SyOG02G96YG4FOxj3AjRJK8bbc9lkk6YdHloe%2FxVtBEkiKxW3WzmpFhp5QQ91TnBBkU%2By0XNKqiu6CNWnyjD8b3GnkW0umavUFCBBLMfYBUja7Skn%2BEAtPyEfS%2BxqXGVk5wA%2B6xjeSPAiyatuFL4lFFEl5vhK07VHIH2Op%2BFpDJEYh4I6W1giJdgjLoKOgbA9ODmKbNY6hSx%2F6DR9pCJ4I49Coxup6CHI2mSAB1aI8TuDexgnYU0DHBP%2BkzwJ3okgyGLpr5VTz%2FwnTd6c4hKPXTu9NtlYQdcWlIJx1d9x%2B5ziHSfK93CKx6niprxjKoUHiCzcu20R20Rwa5zPPYNIFDJ%2BQdHJrtXDJ%2BYBkFagA%2B0eYHOWKjxDAMHd94j0x2PKrShHjNXg0UGO0vqjR0H7rR2szhC4Wq7UVcwQBlQd%2BgyU%2BNfVxtaKloCe%2BivM%2FuY5z0UOTzKCOIlGR9%2FkuR8UOIrAuDU2bsiFa3cW4uYl94XEgeKqVstE5kOvpkGNJHnZXkaahBzMXI4LOBdZ%2FaqaX2RjVCCEC7OjJDiqayxtG4FigxPluL8GaLGuBVhvIl17qsQgKR%2BdvQBHhbSeJiVoLEh18dde7Qg37%2BhDCF63IiXfK%2BafbVBZyxUXW2V3UUQqnh61%2BhrM7h2Z86AF9GPL5ZHtXRqIRQUQazASjMw40AJg8Gbprp2MYs8CwoKS5pRbpNOJQ6MvrrXEVz13smKTS6UH26KkJUudRLJ1g6NLciNRGynnsZ1mvyxq5Jr%2FFk0LeNvSfKvyjzmdN3fPCW9mPKtgt2KXdUvscP5od8osEeyQRyJB3OBXMaIOm%2Bc%2BVzexAs76BPcQrLxlqOeDyaNeiM%3D,NA,NA,NA,NA,NA,#450412627,Apple,Apple,NA,Cuero
15, Carcasa Case iPhone Original 6 7 8 Plus 10 X Xs + Vidrio ,500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(150 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2778
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-465570879-carcasa-case-iphone-original-6-7-8-plus-10-x-xs-vidrio-_JM?searchVariation=41791790437#position=15&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#465570879,Apple,Apple,Todos,Silicona
16, Funda Protector Estuche Case Premium iPhone 8 7 6 6s 5 5s Se ,200,NA,"
			
				Nuevo
			
			
				
					 - 
				
				197
				vendidos
			
		",(94 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1111
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.7,11,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-444778610-funda-protector-estuche-case-premium-iphone-8-7-6-6s-5-5s-se-_JM#position=16&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,8,3,0,0,0,#444778610,Apple,Iphone,Borde Cromado,TPU
17, Funda Eco Cuero Apple iPhone 8 8 Plus Caja Simi Original ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(12 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-453894906-funda-eco-cuero-apple-iphone-8-8-plus-caja-simi-original-_JM#position=17&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#453894906,Apple,Apple,NA,NA
18, Funda Estuche Protector Cuero Para iPhone 8 Plus/7 Plus ,35,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7206
		
		 sin interés
		
	

	
		",06,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFORAMA10,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=F2hi9%2FpH7bSPyir9N675My4d%2F1LFFHEmNTrZpA%2Fmh4Ud4PqP7QIqyc%2FwDtDqLhZWXnQdxqke8fbXR%2FSCm3hyubbM7KCxhKe1jsZwcffgcBBtsJdh3dRigo1flF%2BfDDctnIrVT2BapBpFxCXVlp46pCRF4i319NhMPQGRii%2B9DT%2Bkrvl4rBV9LkvO4Ju%2BLR3qpvRuMzxAYysoD5yyMCSbyILQCCZRSgwdq79jKcSOxRNc6EH%2BdVJyGVH6Sl6XWSg9my8i1Oy7S3deGcIMjMfxo6dlkQvq%2BamX9L8wSTiskorF%2FHmBFFX0OG4Sz%2BvwWPEw6EY8p2zSKK%2FYjhiZlSRJ14mt09OWx9ObxxzqE3eYsXM5pXr9zkRhobb6bUrjmsXCXe08u8NBVeeCeftdCcTNiLbMCbBtxCwZbHAdZxye6CEc9f211v2d3rui9UP1HHYsl8eMaDlUpdARDusMEUOULYGb28nswrnQaU2LOYa8MCSR7lOHqA4SkpBe%2F8K8ES098V2rgPBio29PBdy30Bi5oYByDGPtdF%2BR7OYgDbs2px7k91jIL8Yia5xlCNJjEU48p5aojAkxA2PNyhJdF%2BRpALKBmBXqPXgIJnahm3lXWrfAxiRZtOWwAotQ86B2qYczeeKJStlxY8zElQlPuHwnoA8ijrhltTrIR9JUZEi0H%2BF%2FFTZzWZ7xlaA3KeD4%2FOGpT5wMGou2PSKR%2F2seZ9YB%2BJlkrxig%2F70yE%2FmD4ufPVuN972PWAu4tlIzHnZxSSLkdCbwLrauRXPCmziCmdtXJSAPZL2Gp%2F%2Fg59sdNwZ1qf%2BcZSQCv3sCN9q3%2BWnEHcw2u%2BNITMTkvxesMrQNbJolyy64KmUYHGQyUbiQfqesRYgh3P1XDgF4S%2FVA78CCL5XbvAU9wyC1h0rb4kkVSG0qkJZC9laD54ZDP2PZg%2BcilyUrf8m3R5i%2F1X0FjGSk3Lb5hZmkFUdHCC44X7968sPCeWTxq%2BDXjPt5f%2BY3qC9ASiaPerhG2DsjOENAs96CB7L8%2BxupK%2FYmnGjETMqHLllBmjrSOszfnCxQeXPbXi4%2BDe0lbw7UqtFLDQlwyz4IwmvVMyLKrwLEDwrChst4YtOHd%2F%2FgH2zz5CBwFYZiigQeC29k4qXsJrtlh%2BG5dIzZvmNgr0FF84fn1dJYiWSdlcsS4b18nvNfrlNVQHI0N56zJwf6kC%2B3GMQof6Ln1hEhsMV34RSazHaJ1Z0E4wyqFoes3PbjugAQkWo5s8oEURVs0T%2F59pHmvb3kEmS01IGPDpZlNyALwkM5zpDtrrtZxhKQywV0Sl%2BXC8wnezUIqGeJPtPUtBybFsCCOaKfMB0YboW5bgVbrtxXil62myiyO0xL%2B2KcUGwSM%2F7pv6rXzPpMPuyt61DBehHT0UYcy35HB4ZxctRovcpciE%2FSjo7Z7m8oOIynm7CWBh0xfWv%2BEBrzRchRSK3tQUgYDzmFswO03hFpmgAFLxQwpqlDhEhlvfKV%2BxNWwAbwJ4TjM4bqE2tJ4NZ3fbw8E4fWcWUDJN4XMjUDg0TqjYaie%2BFScpT72ED%2BEiFG%2BKsPVrJrGIvIa9NIPiCgHC2wlbquqYlVGjsPnsATPpg%2FaZw2zeL1%2B3u7IM0DzjdwrPNhHKvRSkObLUs%2BE4uP5eVUsqcbFQ9lqrSZd9o3aRhT%2FIENYerD0KDmeNHZmPq5cGlPvIdkmcC6uXksbQkKmYXND%2FZr2vUdae0vRnI8siIss86%2FlEC9AUwDJKDQ%2BHkqb%2BUDG%2BJZ%2FeJi5kL2pK27BgrsWuGO5IejnJnTF65E%2FQYOnz8bXIUjf1YU%3D,NA,NA,NA,NA,NA,#451912676,Apple,NA,NA,Cuero
19, Protector Funda iPhone 8 Plus Ardillas Carcasa ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3328
		
		 sin interés
		
	

	
		",28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449485678-protector-funda-iphone-8-plus-ardillas-carcasa-_JM#position=19&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#449485678,Apple,NA,NA,Silicona
20, Protector Funda iPhone 8 7 6 Plus Silicona 3d Alien ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(16 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1106
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448209107-protector-funda-iphone-8-7-6-plus-silicona-3d-alien-_JM#position=20&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#448209107,Apple,Apple,NA,Silicona
