search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Marca,Formato
970, Audifonos Bluetooth I7s Tws Version 2018 Cargador Portátil ,59,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONES+STA.L,https://articulo.mercadolibre.com.pe/MPE-433219493-audifonos-bluetooth-i7s-tws-version-2018-cargador-portatil-_JM,NA,NA,NA,NA,NA,#433219493,NA,NA,NA
971, Auriculares Bluetooth Al Por Mayor I7s Tws Versión 2018 ,59,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-432382172-auriculares-bluetooth-al-por-mayor-i7s-tws-version-2018-_JM,NA,NA,NA,NA,NA,#432382172,NA,NA,NA
972, Audifonos Bluetooth Hands Free Generico Samsung - Negro ,39,NA,25,72,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOW+1,https://articulo.mercadolibre.com.pe/MPE-430259428-audifonos-bluetooth-hands-free-generico-samsung-negro-_JM,NA,NA,NA,NA,NA,#430259428,NA,Samsung,NA
973," Audifono Bluetooth Handsfree 10 Horas, Original Envio Gratis ",69,NA,0,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOLUMATICA+IMPORT,https://articulo.mercadolibre.com.pe/MPE-433544951-audifono-bluetooth-handsfree-10-horas-original-envio-gratis-_JM,NA,NA,NA,NA,NA,#433544951,NA,NA,NA
974, Audifonos Panasonic Bluetooth 24hrs Extra Bass Hf-410b ,159,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436321781-audifonos-panasonic-bluetooth-24hrs-extra-bass-hf-410b-_JM,NA,NA,NA,NA,NA,#436321781,NA,Panasonic,NA
975, Mini I9s Audifonos Bluetooth Diseñ0 AirPods ,87,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-432419292-mini-i9s-audifonos-bluetooth-disen0-airpods-_JM,NA,NA,NA,NA,NA,#432419292,NA,NA,NA
976," Audifonos Bluetooth, Con Radio Fm Y Ranura Sd ",50,NA,16,1,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/DAKSHOP,https://articulo.mercadolibre.com.pe/MPE-423110853-audifonos-bluetooth-con-radio-fm-y-ranura-sd-_JM,1,0,0,0,0,#423110853,NA,NA,NA
977, Mini Audifono Bluetooth ,15,NA,1,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CAJO5420296,https://articulo.mercadolibre.com.pe/MPE-435020012-mini-audifono-bluetooth-_JM,NA,NA,NA,NA,NA,#435020012,NA,NA,NA
978, Lg Auriculares Bluetooth Tone Infinim Hbs-920 Harman/kardon ,379,NA,0,3,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TEC+STORE,https://articulo.mercadolibre.com.pe/MPE-436695048-lg-auriculares-bluetooth-tone-infinim-hbs-920-harmankardon-_JM,NA,NA,NA,NA,NA,#436695048,HBS-920,LG,In-ear
979, Audífonos Estéreo Bluetooth Hbs-730 ,28,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GUILLERMO+MADRID,https://articulo.mercadolibre.com.pe/MPE-434451765-audifonos-estereo-bluetooth-hbs-730-_JM,NA,NA,NA,NA,NA,#434451765,NA,NA,NA
980, Audífonos Marshall Major Ill Bluetooth Wireless Hasta 30hrs ,559,NA,0,1,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/UNALUKA,https://articulo.mercadolibre.com.pe/MPE-434596753-audifonos-marshall-major-ill-bluetooth-wireless-hasta-30hrs-_JM,NA,NA,NA,NA,NA,#434596753,Major,Marshall,NA
