search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
11, Fone Ouvido Headset Bluetooth 4.1 Sem Fio Stereo Amw-810 ,250,NA,1751,200,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,917,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1054567240-fone-de-ouvido-edifier-w800bt-bluetooth-nota-fiscal-e-gtia-_JM,769,119,23,3,3,#1054567240,Edifier,W,W800BT,NA,Over-Ear
12, Fone De Ouvido Wireless Samsung Galaxy Buds Sm-r170 Nfe ,47,NA,6702,15,10x,5.44,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,363,https://perfil.mercadolivre.com.br/DNR+PARTS,https://produto.mercadolivre.com.br/MLB-701050410-fone-ouvido-bluetooth-41-sem-fio-universal-stereo-radio-fm-_JM,185,91,47,17,23,#701050410,Universal,Fone De Ouvido Bluetooth,Headphone,4.1,Over-ear
13, Fone De Ouvido Headphone Bluetooth Stereo Usb Radio Fm ,76,NA,356,45,12x,6.38,NA,Envio para todo o país,NA,NA,3.5,11,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1220530730-fone-de-ouvido-bluetooth-i9s-tws-airpods-iphone-android-sfi-_JM,6,1,0,0,4,#1220530730,TWS,NA,NA,NA,NA
14, Fone Ouvido Sem Fio Bluetooth 4.1 Sports Universal Celular ,39,NA,1219,63,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,201,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wdP66I%2F2Cx4VYs9wyPFhUTq0GQiIAr7hLC0wVv6lcgOhuBCZagh3Wtv6NWdTFtPPGXXYgXaamNHgNuvC%2FhpUQpIAUDJaiV8TSrVa%2FjUvnLbszOyQ3hbUjyjOtzgAfdxYlBdYYD9r356U%2FHlIhVNpqds6bFBeeZSApn9PgVFSpfVwaXquNtFlToXFDTie0UMD%2B9anwcfhgrCHOtpBszck90JTqHcnBvA7osK1PABTlZCrtLwfI4CJIUNlhm2%2FNo5aPVL1FFsrGZ3MQpZRkrh6B0NeVvT%2F2103NPLVMyHRFVc9lTPZZqIEcN02dSB3tE7lddCphzDOBM9B64rxvN7iSJ%2B7z5xNtimgUB5skrQCWc4rwMqmQmmRVYwCsX18WY9HtUB7GqMhUMjL9vTORNRqlk8Glsyb46uJZZckZvt30n2LzZd0urQvuhdK0tgO3RalTdlJoM7ATZO5uBFjqgKmhYFXTTLv%2BBr9ew9ADavArmC7JmVFMFJsVOq9qVViUAwxXq3kEsuBd7%2FK10NbiugBn80KHbg9In6sugetwl3muEm9YIEOWERW38y1MPNBdfGPWcbJVEj%2BG%2BJ5URmKhSaKFKaA4YJmTPNOvD%2FULLkyTEfjfD7MosBI%2BjcoxvgL62TZSDSHh9UDZ6X%2FoPMH%2BBoqp35%2FfytaeAg8XSAEaTxLPvg1Y4LgX7bjAm6DS02v%2FKK4LXCxdKU%2FgfSHPwf1iDggm8Cpf1FJUBFzmhw5l5E0m1nlZOZTMazFBRYE7cqH4G3uHQI9HBg0tCUsxkHdrlgoVEizQSBPVIbBlCCtXbmRUL2jQC2vOky%2F12vs8Q4OX6LmoZt%2Fewp%2BdLCNpimhW5hdd%2BSbdTAwzBzH37E92CUxG7Cj5LeasInp0VMW7zK%2BWWYz14vbp340%2FLy74qfU6IpD8zXLovUaZsufjM5cfWcifeUp4yBw60ZruBsqbfhlg%2BEcWW6w4E3dWSJL9k6B6vbX4YcPJa8ErRVF6gUYHqqw9r%2FG1kbDzogr4UASRV4BTRMe0fGwXvQPVWYAfxdlgnUIpjFYT7VvVl1q21KuPQ5MtLfftWCr%2BVoKqSGkFpGYtY%2FRfEE9dywSZjkN%2BA7AESVoCp%2BwKvPwICz4vWuskt%2Bt96641w%2FydrzDu1aoKm7RBe%2B70Ak1WsdBbdPblvYKC3v0OUjbxJQbGiVEkBTvfG9SCZ9MBiax9JXYn9%2Bn3otU4u48QQ4dt%2BQ6eM0Cv6MLllGTd7XQxlbZdJig5AvnO5RXeGNDHYteJAAmqLukP4BPrydjeexmza8CVffGCowcvLvMA%2Bfwp2IZmD7FV7hXf7mUzd4SvsvJLA0s76l7r6a0YwLlYIb73OnVmP%2FPvN4XLBfxvBOcjkLjA1ch2VrddKIeajY54Ouun2QUz7lliqPXFzgU%2FbHynz4WDqNSlcQ6PshL47xD%2Fxi3wM1zx5gUrwPK87QviP0aA8M9nak5GJ1dy2TVQM0J72%2BzXxVRRjGgRYjvmNKZMRqvnA4%3D,118,35,28,3,17,#1081371623,Universal,Fone Bluetooth,LC-100,4.1,Over-ear
15, Fone De Ouvido Jbl T205bt Sem Fio Bluetooth Nota Fiscal + G ,47,NA,1359,25,10x,5.44,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,26,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://produto.mercadolivre.com.br/MLB-1137256842-fone-ouvido-universal-para-ios-e-android-sem-fio-bluetooth-_JM,7,6,6,2,5,#1137256842,Universal,Fone Bluetooth,Headphone Bluetooth,4.1,Headset
16, Fone Ouvido Boas Bluetooth Universal Smartphone Lc777 ,36,NA,1263,19,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,59,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1089735007-fone-de-ouvido-bluetooth-sport-corrida-esterio-hz-k4-nf-_JM,35,14,7,2,1,#1089735007,HAIZ,NA,Bluetooth,NA,In-ear
17, Fone Ouvido Bluetooth Sem Fio Chamada Micro Sd Fm P2 Mp3 B05 ,49,NA,391,1002,10x,5.68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,591,https://perfil.mercadolivre.com.br/NOVA+SHOPBRASIL,https://produto.mercadolivre.com.br/MLB-1093727169-fone-ouvido-sem-fio-bluetooth-jwcom-bh-668-conecta-2-celular-_JM,388,113,57,12,21,#1093727169,Universal,NA,JWCOM BH-668,FO-BH668,In-ear
18, Fone Ouvido Bluetooth 4.1 Sem Fio Esportivo Corrida Chamadas ,53,NA,582,50,12x,5.16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1975,https://perfil.mercadolivre.com.br/RYANLI,https://produto.mercadolivre.com.br/MLB-1242975458-fone-de-ouvido-bluetooth-sem-fio-super-bass-p2-usb-_JM,1433,323,122,37,60,#1242975458,JBL,Everest Series,Everest jb950,NA,Over-Ear
19, Fone Headset De Ouvido Bluetooth 4.1 Para Chamadas Profissio ,41,NA,480,4,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,11,https://perfil.mercadolivre.com.br/IMPACTOVENDASS,https://produto.mercadolivre.com.br/MLB-795285163-fone-ouvido-boas-headset-bluetooth-universal-celular-lc777-_JM,8,2,1,0,0,#795285163,Universal,NA,LC-777,NA,In-ear
20, Fone Ouvido Sem Fio Bluetooth Jwcom Bh-668 Conecta 2 Celular ,23,NA,227,773,5x,5.23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,11,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=UK6kwh3f7DIG0eMn7PTeM86PcmFu5hz%2B8Xo9g%2Fvo0EnWDXKvdVmKgdNLAaAiTasLEo4gVAveMjxr6iOVaY0slWdRBEzUGfEbzI6mXgjNyaQzsTFEOKPieKonVYmdVOGe9LB0AzT4c2rgCG2d8TllusL4PcHlHBbeU8pxsuIZSiJYjmtpp8q2ZCCbxbi%2FpPwiru4yalyvlTUsDHK39dl%2B653mvQFg11fiNWgtPuSUmRDMxPVPa8Y1JWlN6KPvOPe%2BIFcRak9frJJ3wzDVxxo9u5M1OXHf26X8qARZZvgzloj8bf051hIYrzyGC2osStBjKykyQv8MeUNvsXnPpSpZVhUckZESLmMv2czzL392TZTwso7AzU0nNrnlideAEqHcq51YXPbvQH2qu8P1j1o69%2BEoj6AZIWIZWIA0qeQC6xlVmzjh9iKpKQrLUjMWZkLExPTj5F3GtkMcggWmjKd6yI2L%2FISiQMnKhK0j%2FsUXWjuuXjc85x6SvbdKykToa%2BFd%2Bw77fNMU7tydGGUnNIlIFj033r5uR%2Fjt5DooB%2FFbKjKbtLnjQAAKXVpvmq6A0jwzO8z2bEu1t9bHBtwFqJEmQR37X12my99ST1YKW9ZN555lL9JLqjvLFzpmQ8lCMcHm0C6G7yeehAEcCUEzKbivQYdGx%2BafbHAGOsmTCmvJQMOY7IhIDnNrJh5TJnFz0l%2Bk4RuGsxYj1XPR4vGEL5%2FZdnWxeoLgAeOIbQEQL4RpwE1LWOy%2FhdKZxHykS4OeEU2p8ydpoaVFNGyvZfj8921UoX2Z85U%2FtHZnfiENYA%2BNSlmFx5pAmWK5Az3HoFIy7H0vL1mmC07i49n%2FcM2piP9e5tgO9lr9UuX1xN5C9EtZvpMsYZVQdLrnR9cIjBrpkh4AVBM09AJLl%2B41%2BxXk%2F7VEbUUK%2B8MFQV6GUrNSlJuZEnUA0GtBLinZl0zHa%2F2WOVZbCrL%2FTYArqk3O5MSfdV5e8WIJJXMxEPrap2DGvqnlSEBcgQIwj26QCF77Q%2BIfZ6Dm62icHKOR89NAbyz7Tx1JTGL13Pn1N5ko5tITjiQmth7gbLZLzJy87Hf%2BYU%2Bzvtp1pMx%2B7HbhiPmdEHwjZNCTtux2jMY7PSnlxh%2BLKbpRQ2XI6Q8dOQz%2F0KudbIzbGMVg2tmZ4SQpB6%2BfEf%2BO3FA39Q3cySLlz%2BEUPaqERSnPlrLN%2BCPHzfevXwDwSqrNcKz2c0v5Enu3pSuj3eOTLYWuCwAthtKzkYnTjZBZDFYm1jV3ZRSJ6H5HbxWhR8vBOlIqLAqOws8MCRHQ3G%2B9J%2FTULHFGBSbQQggQBUHHXJJBWm3WdZTEPu9HALdsjVsXspIR0TdELrzDEYwdOA4iMDcZuEiI8ywIe0JbBtL%2BtPO49%2BF3BtSAuTBvfty9i1tU%2B5HgS7%2FVGxrDAdwlTzKYKjnSu5L1nKCWjGVvhTzvC6UjTxl%2FSxCu8vc9QxRWJ3sLUhhSSm7V6rnRIxtIYdcOz%2BJD4%2FWwGoW7222E,10,0,1,0,0,#1241493404,Universal,Bluetooth,Sports,Amw-810,Neckband
