search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Redlemon Audífonos Bluetooth Manos Libres Sonido Hd Portátil ,310,388,4322,168,18 meses,17.22,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4,110,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-626523199-redlemon-audifonos-bluetooth-manos-libres-sonido-hd-portatil-_JM?searchVariation=23891594869,56,22,15,5,12,#626523199,REDlemon,Audio Bluetooth,I7,RL,In-ear
2, Audifonos Inalambricos Bluetooth I7s Android Y Ios Estuche ,179,NA,4755,347,12 meses,17.68,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,37,https://perfil.mercadolibre.com.mx/MR.UPSALES,https://articulo.mercadolibre.com.mx/MLM-659404535-audifonos-inalambricos-bluetooth-i7s-android-y-ios-estuche-_JM?searchVariation=31624203147,19,10,3,2,3,#659404535,Universal,Wear,i7s,i7S,In-Ear
3, Audifonos Bluetooth Resistentes Al Agua Manos Libre Luz Roja ,956,"1,087",2659,195,18 meses,53.14,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-659636323-audifonos-bluetooth-resistentes-al-agua-manos-libre-luz-roja-_JM,NA,NA,NA,NA,NA,#659636323,Arbily,Audio Bluetooth,TWS-T8,AR,Ear-Buds
4, Audifonos Bluetooth 5.0 I7s Tws Tipo AirPods ,120,NA,4047,239,18 meses,6.67,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,29,https://perfil.mercadolibre.com.mx/ZIPING0071988,https://articulo.mercadolibre.com.mx/MLM-625711291-audifonos-bluetooth-50-i7s-tws-tipo-airpods-_JM,23,4,1,1,0,#625711291,Universal,NA,IS7 TWS,NA,In-ear
5, Audifonos Bluetooth Mano Libres Inalambrico Bestsin Original ,199,NA,7809,154,12 meses,19.66,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,583,https://perfil.mercadolibre.com.mx/EBSTORE,https://articulo.mercadolibre.com.mx/MLM-569394811-audifonos-bluetooth-mano-libres-inalambrico-bestsin-original-_JM?searchVariation=16969851717,325,123,79,25,31,#569394811,Universal,NA,BST-S6 PLUS,NA,In-ear
6, Auricular Mini Audífono Bluetooth Manos Libres - Negro Amn ,38,NA,5156,464,18 meses,2.17,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,26,https://perfil.mercadolibre.com.mx/CONTECSHOP2014,https://articulo.mercadolibre.com.mx/MLM-617750464-auricular-mini-audifono-bluetooth-manos-libres-negro-amn-_JM,14,8,2,0,2,#617750464,Byteshop,NA,AirPods,NA,In-ear
7, Audífonos Bluetooth Tws-i7 Manos Libres Deportivos Portátil ,815,"1,045",419,289,18 meses,45.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,13,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-659639413-audifonos-bluetooth-tws-i7-manos-libres-deportivos-portatil-_JM,9,2,1,0,1,#659639413,Arbily,Audio Bluetooth,TWS-I7,AR,Ear-Buds
8, Audifonos Bluetooth Inalambrios Magneticos Manos Libres ,89,NA,5835,66,12 meses,8.79,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,51,https://perfil.mercadolibre.com.mx/MR.UPSALES,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=YVOVPxkWJrIKmQiBDtt%2BJ8N3DzzoxZ8CwOAEqMWO6mLzIUPen7ddkdII9DbCZEUX7mZYM3YBEXMSfbB%2B4Y7HsQKLzAzbmJfqO5N%2FedOZN37UqF%2FPWTf%2FZKBnSStGwFn02qqoPxg8uk4Kdn5an4h0ZfeLSLxgGWbgySpq9rUxbSvRMmWnk5IgJxoWnif%2Ft9dVm4nhAwyr4q6oVzxv0bFpYk6rWQ%2B3xEbksCWMmpIlEdWN4QmU3eKu5kvPm4GJoXh36NVYcxtRhGRgp0SAFVIZRTbx8%2BhgoMXw5b0praLtfkurb2w3ll28W3His7%2BzfKZjsa2b4lnnchrSZD2ilWnC0Sj28iInVWlBv7ATpNMlbaC2qkIi72unH%2FehS%2B%2BMueGERmyF%2BJGLAoJQEzdqF2qcFxu3PKPzmavErRUzvpc55AbQd%2BB7dpCzMBpGsif7xo9SQt26Td%2FAYVn9TheFJy1j8C8RVEhhyI44pj0sCZt6MjqchL57J2XKi8taCOO8HH73GvmRcUnK6qgGoLxnHXbbhiaDEwJiuJbqHo61653SzYBrNdqRm8NNkcMc4DCT785m8ThHwzB9Jmf%2BiDpRQsePyrkPoD6M9mo6lGdSjO9baKnDsn482jhf%2BmUp5%2ByxMwrcq7R2y8FIRrVfizXw%2FyZkOhN4aWFVJOInsiQpr41EJjQIQKf3Xs6fcNLpCLV6kBXUdEDkYqgQRvwd0%2FVhvu%2F3IBQ6hDsajGf%2BQi2sAccisgOO%2BlNNnHGqPifcw3gx6%2BqFKDAvBINJD%2Bek6UqCmbLVhYeWX4fJoylwGqjAfcwFs71YKJs4qtw7P3UWoN1LPAf6crxw8%2BohY1fo6v42rrL%2FoA0SjyiAOqOyjs6m%2B%2FAx5IUM1sNtfO3NC94F8Pqrd0zFEyHm076MfUtUsXASVjgfRfUjG%2BfcOFdIKGC%2BOB4DwJm9JAtjKtLtZEjr959jyaCW%2FQ2pvqYNYUTj%2BvGovubtIa4pRZoLiV%2BayLh%2BYRKZautB%2Fq0UuhV6kTpd6f6PxOGQNAsurinpfzNpQWw8aZpcuIn%2Ft%2FaqTHNVRL702ZuIsEgbbLtXnJHDKRRyxmCSCnj28HfzIgFRIV%2B6oyJ6%2BUCTBjDhCWcZLi0ZL5OUwmhPoV40013OBkl2HT6hxBaIGVi%2BAOZS8%2Bx8xbNoNbsBRqwTZtPzYhd2TujqKImOu9coglAADCWQRGumzHRZWBMnCnEkI5hwsLOVxcrlmsN12m1%2FqsCq6wGmavk1UwMsKfVsD2C%2BCOxOJn2Iwdxno4LHjI%2FT8YIUjgisrtRECTDWieYG2j9E216GWjSFgUkGbdGnesY17VewIFX44yZ%2B1Ysgk0o0tEtck9PHWZrSbrtDzaVh7jS%2F72LLiyNcImr13f0kccSDiVbZx3FOehlFbVorQLAUNsoAzb4q4vKBztXjKF1kfMYyePz94xzTuPoTPk9Hf%2BPkpL27tW1GWjsjhdyPxqTqGIa8fwAKg3prXi4Q6Pc%2BkgljV4jpqxSnI%2B%2FcjRpRw9vqni4KRfYrjMNnCyZcQSnQq4E6VbQQzy7QfThyWXlnDFK8U7zU,29,12,6,2,2,#655705883,OEM,NA,XT111,NA,In-ear
9, Audífonos Bluetooth Inalámbricos Estereo AirPods + Estuche ,319,340,3250,72,18 meses,17.72,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4,42,https://perfil.mercadolibre.com.mx/MONOKO+MEXICO,https://articulo.mercadolibre.com.mx/MLM-658345966-audifonos-bluetooth-inalambricos-estereo-airpods-estuche-_JM?searchVariation=31363992355,22,8,6,3,3,#658345966,TWS,NA,i7s,i7s,In-ear
10, Audifonos Bluetooth Inalambrios Magneticos Manos Libres ,89,NA,5835,66,12 meses,8.79,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,51,https://perfil.mercadolibre.com.mx/MR.UPSALES,https://articulo.mercadolibre.com.mx/MLM-655705883-audifonos-bluetooth-inalambrios-magneticos-manos-libres-_JM?searchVariation=30738135836,29,12,6,2,2,#655705883,OEM,NA,XT111,NA,In-ear
